3#apb#apb10#app1040/I  0.343 0.590  0.391 0.784  0.416 0.897  0.416 0.696  0.372 0.502  0.318 0.308  0.247 0.121  0.190 -0.070  0.126 -0.260  0.080 -0.455  0.009 -0.642  -0.074 -0.799  -0.271 -0.838  -0.468 -0.877  -0.665 -0.915  -0.862 -0.954  -1.059 -0.993  -1.111 -0.999  -0.913 -0.973  -0.714 -0.956  -0.515 -0.924  -0.318 -0.885  -0.119 -0.859  0.080 -0.838  0.281 -0.825  0.481 -0.817  0.682 -0.817  0.880 -0.795  1.076 -0.754  0.952 -0.620  0.809 -0.479  0.666 -0.339  0.522 -0.198  0.379 -0.058  0.236 0.083  0.092 0.224  -0.051 0.364  -0.195 0.505  -0.338 0.645  -0.481 0.786  -0.625 0.927  -0.768 1.067  -0.757 1.212  -0.561 1.252  -0.363 1.280  -0.164 1.311  0.036 1.329  0.236 1.340  0.436 1.355  0.637 1.363
3#apb#apb10#app1040/'  -0.912 1.401  -0.832 1.401  -0.765 1.370  -0.705 1.319  -0.645 1.267  -0.585 1.216  -0.525 1.164  -0.467 1.111  -0.408 1.058  -0.350 1.004  -0.291 0.951  -0.233 0.898  -0.174 0.845  -0.119 0.788  -0.070 0.726  -0.021 0.664  0.027 0.602  0.076 0.539  0.125 0.477  0.174 0.415  0.223 0.353  0.270 0.290  0.299 0.216  0.327 0.142  0.356 0.069  0.384 -0.005  0.412 -0.079  0.441 -0.153  0.462 -0.229  0.477 -0.306  0.493 -0.384  0.508 -0.461  0.524 -0.539  0.498 -0.611  0.462 -0.682  0.427 -0.752  0.391 -0.823  0.356 -0.894  0.305 -0.952  0.243 -1.001  0.181 -1.051  0.120 -1.100  0.058 -1.149  -0.004 -1.199  -0.072 -1.238  -0.144 -1.270  -0.216 -1.303  -0.288 -1.336  -0.360 -1.368  -0.432 -1.401
3#apb#apb10#app1040/l  -0.536 0.710  -0.474 0.648  -0.385 0.609  -0.291 0.606  -0.197 0.627  -0.107 0.661  -0.020 0.704  0.067 0.747  0.152 0.793  0.235 0.843  0.311 0.902  0.380 0.970  0.431 1.052  0.480 1.135  0.526 1.220  0.534 1.190  0.534 1.093  0.523 0.998  0.491 0.907  0.458 0.816  0.425 0.725  0.392 0.634  0.359 0.543  0.326 0.452  0.294 0.360  0.261 0.269  0.229 0.178  0.197 0.087  0.165 -0.005  0.132 -0.096  0.090 -0.183  0.049 -0.271  0.007 -0.358  -0.034 -0.446  -0.076 -0.533  -0.118 -0.621  -0.159 -0.708  -0.199 -0.796  -0.239 -0.885  -0.279 -0.973  -0.319 -1.061  -0.358 -1.150  -0.398 -1.238  -0.438 -1.326  -0.476 -1.415  -0.514 -1.504  -0.551 -1.594  -0.589 -1.683  -0.626 -1.772  -0.664 -1.862
3#apb#apb10#app1040/l  -0.416 0.333  -0.416 0.386  -0.323 0.396  -0.219 0.396  -0.120 0.426  -0.023 0.464  0.072 0.506  0.154 0.570  0.231 0.639  0.295 0.721  0.361 0.800  0.430 0.878  0.481 0.968  0.524 1.062  0.567 1.157  0.610 1.251  0.629 1.242  0.608 1.140  0.568 1.044  0.526 0.949  0.485 0.854  0.443 0.759  0.400 0.664  0.357 0.570  0.314 0.475  0.271 0.381  0.228 0.286  0.184 0.192  0.140 0.098  0.095 0.004  0.051 -0.090  0.006 -0.184  -0.038 -0.277  -0.083 -0.371  -0.130 -0.464  -0.176 -0.557  -0.223 -0.650  -0.269 -0.743  -0.315 -0.836  -0.362 -0.928  -0.405 -1.023  -0.445 -1.119  -0.485 -1.215  -0.525 -1.311  -0.565 -1.406  -0.605 -1.502  -0.650 -1.596  -0.698 -1.688  -0.746 -1.780  -0.794 -1.872
3#apb#apb10#app1040/g  -0.133 0.478  -0.053 0.331  0.103 0.275  0.278 0.275  0.402 0.386  0.470 0.545  0.492 0.717  0.476 0.890  0.411 1.048  0.284 1.163  0.127 1.209  -0.045 1.174  -0.214 1.133  -0.378 1.077  -0.528 0.987  -0.658 0.873  -0.760 0.734  -0.808 0.568  -0.787 0.401  -0.679 0.264  -0.555 0.140  -0.397 0.067  -0.228 0.039  -0.053 0.039  0.058 0.171  0.168 0.307  0.277 0.443  0.387 0.579  0.487 0.722  0.492 0.567  0.492 0.392  0.512 0.219  0.540 0.047  0.580 -0.123  0.607 -0.296  0.627 -0.469  0.617 -0.644  0.586 -0.814  0.520 -0.975  0.425 -1.119  0.310 -1.251  0.170 -1.348  0.009 -1.414  -0.161 -1.451  -0.334 -1.478  -0.508 -1.481  -0.681 -1.472  -0.845 -1.410  -0.989 -1.318  -1.112 -1.194
3#apb#apb10#app1040/o  0.029 0.330  0.119 0.450  0.215 0.558  0.168 0.700  0.089 0.826  -0.041 0.864  -0.190 0.864  -0.336 0.834  -0.480 0.795  -0.624 0.757  -0.755 0.690  -0.873 0.599  -0.992 0.508  -1.106 0.413  -1.168 0.278  -1.231 0.142  -1.285 0.006  -1.244 -0.138  -1.203 -0.282  -1.161 -0.424  -1.038 -0.509  -0.915 -0.594  -0.792 -0.679  -0.652 -0.719  -0.504 -0.739  -0.356 -0.759  -0.208 -0.780  -0.060 -0.799  0.089 -0.784  0.237 -0.769  0.386 -0.754  0.535 -0.739  0.679 -0.702  0.822 -0.660  0.966 -0.618  1.108 -0.572  1.234 -0.493  1.346 -0.407  1.331 -0.258  1.316 -0.109  1.206 -0.009  1.095 0.092  0.985 0.192  0.859 0.273  0.732 0.352  0.605 0.430  0.471 0.496  0.334 0.556  0.198 0.616  0.061 0.676
3#apb#apb10#app1040/t  0.918 2.012  0.856 1.880  0.796 1.747  0.734 1.615  0.673 1.483  0.615 1.349  0.557 1.215  0.499 1.082  0.427 0.955  0.354 0.829  0.280 0.703  0.206 0.577  0.129 0.453  0.052 0.330  -0.025 0.206  -0.102 0.082  -0.182 -0.040  -0.263 -0.161  -0.344 -0.282  -0.419 -0.407  -0.474 -0.542  -0.530 -0.677  -0.546 -0.821  -0.520 -0.955  -0.411 -1.049  -0.281 -1.112  -0.140 -1.147  0.002 -1.130  0.144 -1.098  0.289 -1.076  0.433 -1.054  0.572 -1.016  0.582 -0.942  0.468 -0.851  0.354 -0.760  0.240 -0.669  0.126 -0.578  0.012 -0.487  -0.102 -0.396  -0.216 -0.305  -0.330 -0.215  -0.444 -0.124  -0.559 -0.033  -0.673 0.058  -0.787 0.149  -0.869 0.216  -0.740 0.277  -0.595 0.261  -0.452 0.243  -0.311 0.205
3#apb#apb10#app1040/o  0.307 0.626  0.192 0.688  0.068 0.735  -0.063 0.752  -0.196 0.752  -0.329 0.752  -0.454 0.717  -0.573 0.658  -0.692 0.598  -0.805 0.528  -0.907 0.443  -1.009 0.357  -1.111 0.272  -1.180 0.161  -1.235 0.040  -1.290 -0.082  -1.245 -0.201  -1.186 -0.320  -1.113 -0.426  -0.995 -0.489  -0.877 -0.551  -0.760 -0.613  -0.642 -0.676  -0.514 -0.699  -0.381 -0.705  -0.248 -0.711  -0.115 -0.717  0.018 -0.723  0.151 -0.724  0.285 -0.717  0.418 -0.711  0.551 -0.705  0.684 -0.699  0.813 -0.678  0.932 -0.618  1.051 -0.559  1.136 -0.463  1.202 -0.347  1.182 -0.226  1.132 -0.102  1.079 0.020  1.011 0.134  0.942 0.248  0.874 0.362  0.805 0.477  0.742 0.594  0.679 0.711  0.616 0.829  0.555 0.947  0.495 1.066
3#apb#apb10#app1040/N  -1.355 -1.118  -1.178 -1.089  -1.040 -0.971  -0.921 -0.832  -0.804 -0.692  -0.691 -0.548  -0.663 -0.378  -0.678 -0.196  -0.692 -0.013  -0.706 0.169  -0.720 0.351  -0.734 0.533  -0.749 0.716  -0.763 0.898  -0.759 0.914  -0.738 0.733  -0.756 0.551  -0.746 0.369  -0.726 0.187  -0.697 0.007  -0.627 -0.160  -0.537 -0.319  -0.424 -0.463  -0.293 -0.590  -0.156 -0.711  -0.019 -0.831  0.128 -0.940  0.231 -0.844  0.320 -0.684  0.408 -0.524  0.497 -0.365  0.586 -0.205  0.674 -0.045  0.763 0.115  0.852 0.275  0.940 0.435  1.029 0.595  1.118 0.755  1.206 0.915  1.295 1.075  1.128 1.035  1.002 0.905  0.949 0.729  0.896 0.554  0.842 0.380  0.784 0.206  0.716 0.037  0.640 -0.129  0.592 -0.305  0.573 -0.487
3#apb#apb10#app1040/o  0.082 0.385  0.082 0.510  0.082 0.634  0.034 0.748  -0.025 0.858  -0.095 0.962  -0.135 1.080  -0.247 1.097  -0.372 1.097  -0.497 1.097  -0.594 1.036  -0.675 0.941  -0.756 0.846  -0.826 0.744  -0.877 0.630  -0.928 0.516  -0.978 0.402  -0.986 0.279  -0.986 0.154  -0.986 0.029  -0.966 -0.090  -0.894 -0.192  -0.822 -0.294  -0.751 -0.397  -0.679 -0.499  -0.576 -0.568  -0.471 -0.635  -0.365 -0.702  -0.260 -0.769  -0.149 -0.820  -0.025 -0.831  0.100 -0.841  0.224 -0.851  0.349 -0.862  0.474 -0.862  0.598 -0.862  0.723 -0.862  0.845 -0.855  0.934 -0.767  1.022 -0.679  1.097 -0.580  1.161 -0.473  1.179 -0.360  1.145 -0.240  1.110 -0.119  1.079 0.002  1.030 0.113  0.952 0.211  0.868 0.301  0.750 0.340
3#apb#apb10#app1040/r  -0.109 0.968  -0.138 0.840  -0.166 0.712  -0.194 0.584  -0.208 0.454  -0.208 0.323  -0.208 0.192  -0.208 0.061  -0.226 -0.069  -0.249 -0.198  -0.273 -0.327  -0.296 -0.456  -0.321 -0.584  -0.346 -0.713  -0.372 -0.841  -0.398 -0.970  -0.447 -1.090  -0.506 -1.208  -0.565 -1.325  -0.623 -1.442  -0.627 -1.437  -0.580 -1.315  -0.532 -1.193  -0.484 -1.071  -0.437 -0.948  -0.389 -0.826  -0.341 -0.704  -0.294 -0.582  -0.246 -0.460  -0.198 -0.338  -0.151 -0.216  -0.103 -0.093  -0.056 0.029  -0.008 0.151  0.040 0.273  0.087 0.395  0.135 0.517  0.101 0.628  0.215 0.691  0.323 0.767  0.430 0.842  0.538 0.917  0.645 0.992  0.765 1.042  0.890 1.079  1.016 1.116  1.142 1.153  1.268 1.190  1.393 1.227  1.519 1.264
