3#apa#apa15#app1541/2  -1.133 0.814  -1.133 0.936  -1.077 1.035  -0.991 1.121  -0.905 1.081  -0.819 0.995  -0.703 0.979  -0.581 0.979  -0.459 0.979  -0.337 0.979  -0.216 0.979  -0.094 0.979  0.028 0.978  0.144 0.939  0.259 0.900  0.375 0.862  0.491 0.823  0.518 0.721  0.518 0.599  0.518 0.477  0.518 0.355  0.518 0.233  0.480 0.135  0.371 0.080  0.261 0.026  0.166 -0.044  0.098 -0.145  0.031 -0.247  -0.037 -0.348  -0.105 -0.449  -0.191 -0.530  -0.300 -0.585  -0.409 -0.639  -0.473 -0.722  -0.473 -0.844  -0.473 -0.965  -0.387 -1.001  -0.265 -1.001  -0.143 -1.001  -0.021 -1.001  0.101 -1.001  0.223 -1.001  0.345 -1.001  0.467 -1.001  0.587 -0.984  0.705 -0.955  0.823 -0.925  0.941 -0.895  1.060 -0.866  1.178 -0.836
3#apa#apa15#app1541/^  -1.241 -1.000  -1.358 -1.000  -1.294 -1.000  -1.241 -0.936  -1.241 -0.819  -1.234 -0.705  -1.151 -0.622  -1.068 -0.540  -0.985 -0.457  -0.914 -0.365  -0.849 -0.268  -0.784 -0.170  -0.719 -0.073  -0.645 0.012  -0.534 0.049  -0.423 0.086  -0.312 0.123  -0.220 0.182  -0.168 0.286  -0.115 0.391  -0.063 0.495  -0.011 0.600  0.042 0.705  0.142 0.753  0.253 0.790  0.364 0.827  0.475 0.864  0.481 0.977  0.481 1.094  0.481 1.096  0.481 0.979  0.484 0.863  0.567 0.780  0.625 0.687  0.625 0.570  0.625 0.453  0.625 0.336  0.625 0.219  0.636 0.104  0.664 -0.010  0.693 -0.123  0.721 -0.237  0.749 -0.350  0.768 -0.465  0.768 -0.582  0.768 -0.699  0.801 -0.810  0.838 -0.921  0.875 -1.032  0.912 -1.143
3#apa#apa15#app1541/0  -0.224 0.818  -0.115 0.926  -0.067 1.059  -0.148 1.132  -0.278 1.077  -0.387 0.969  -0.495 0.860  -0.538 0.725  -0.538 0.571  -0.576 0.427  -0.645 0.290  -0.713 0.153  -0.782 0.016  -0.850 -0.121  -0.852 -0.274  -0.852 -0.428  -0.852 -0.581  -0.852 -0.734  -0.852 -0.888  -0.852 -1.041  -0.762 -1.157  -0.638 -1.209  -0.489 -1.172  -0.340 -1.135  -0.192 -1.098  -0.045 -1.056  0.092 -0.987  0.230 -0.918  0.352 -0.826  0.471 -0.730  0.591 -0.635  0.711 -0.539  0.830 -0.443  0.950 -0.347  1.044 -0.235  1.081 -0.086  1.118 0.063  1.156 0.211  1.180 0.356  1.071 0.465  0.963 0.573  0.846 0.661  0.692 0.661  0.539 0.661  0.386 0.661  0.232 0.661  0.079 0.661  -0.074 0.661  -0.228 0.661  -0.381 0.661
3#apa#apa15#app1541/=  0.982 -0.765  0.845 -0.765  0.708 -0.765  0.570 -0.765  0.433 -0.765  0.295 -0.765  0.161 -0.784  0.031 -0.828  -0.100 -0.871  -0.230 -0.915  -0.360 -0.958  -0.491 -1.002  -0.625 -1.019  -0.763 -1.019  -0.900 -1.019  -1.037 -1.019  -0.965 -0.932  -0.868 -0.835  -0.771 -0.738  -0.674 -0.641  -0.577 -0.544  -0.479 -0.447  -0.382 -0.349  -0.285 -0.252  -0.188 -0.155  -0.091 -0.058  0.006 0.039  0.104 0.136  0.201 0.234  0.298 0.331  0.395 0.428  0.492 0.525  0.589 0.622  0.687 0.719  0.784 0.817  0.881 0.914  0.978 1.011  0.851 1.015  0.714 1.015  0.576 1.015  0.439 1.015  0.302 1.015  0.164 1.015  0.027 1.015  -0.111 1.015  -0.248 1.015  -0.386 1.015  -0.523 1.015  -0.660 1.015  -0.798 1.015
3#apa#apa15#app1541/1  -0.313 1.691  -0.313 1.620  -0.313 1.548  -0.313 1.477  -0.313 1.405  -0.313 1.334  -0.306 1.263  -0.289 1.194  -0.272 1.125  -0.254 1.056  -0.237 0.986  -0.220 0.917  -0.202 0.848  -0.185 0.778  -0.168 0.709  -0.151 0.640  -0.133 0.571  -0.116 0.501  -0.095 0.433  -0.072 0.366  -0.049 0.298  -0.027 0.230  -0.004 0.162  0.018 0.095  0.041 0.027  0.064 -0.041  0.086 -0.109  0.089 -0.180  0.089 -0.251  0.089 -0.322  0.089 -0.394  0.089 -0.465  0.093 -0.536  0.111 -0.605  0.128 -0.675  0.145 -0.744  0.163 -0.813  0.180 -0.883  0.197 -0.952  0.214 -1.021  0.232 -1.090  0.249 -1.160  0.266 -1.229  0.284 -1.298  0.290 -1.369  0.290 -1.440  0.290 -1.512  0.290 -1.467  0.290 -1.395  0.290 -1.324
3#apa#apa15#app1541/0  0.408 0.360  0.331 0.514  0.254 0.667  0.226 0.833  0.127 0.906  0.044 0.995  -0.012 1.144  -0.134 1.266  -0.139 1.106  -0.294 1.088  -0.321 0.943  -0.381 0.786  -0.458 0.632  -0.535 0.478  -0.612 0.324  -0.685 0.169  -0.685 -0.003  -0.685 -0.175  -0.685 -0.347  -0.685 -0.520  -0.685 -0.692  -0.685 -0.864  -0.685 -1.036  -0.685 -1.208  -0.685 -1.380  -0.596 -1.463  -0.423 -1.463  -0.251 -1.463  -0.103 -1.415  0.000 -1.277  0.104 -1.140  0.207 -1.002  0.310 -0.864  0.413 -0.727  0.517 -0.589  0.620 -0.451  0.723 -0.314  0.827 -0.176  0.930 -0.038  0.955 0.126  0.955 0.298  0.955 0.470  0.860 0.573  0.696 0.628  0.533 0.682  0.368 0.724  0.196 0.724  0.023 0.724  -0.149 0.724  -0.321 0.724
3#apa#apa15#app1541/^  -1.117 -1.334  -1.117 -1.213  -1.070 -1.112  -0.985 -1.027  -0.923 -0.927  -0.884 -0.813  -0.846 -0.698  -0.808 -0.584  -0.770 -0.469  -0.718 -0.360  -0.664 -0.252  -0.610 -0.144  -0.556 -0.036  -0.502 0.072  -0.448 0.180  -0.389 0.285  -0.322 0.385  -0.255 0.486  -0.188 0.586  -0.121 0.687  -0.056 0.788  -0.002 0.896  0.052 1.004  0.106 1.112  0.113 1.231  0.163 1.302  0.284 1.302  0.289 1.186  0.289 1.065  0.293 0.946  0.378 0.861  0.464 0.775  0.465 0.655  0.465 0.534  0.465 0.413  0.465 0.293  0.465 0.172  0.465 0.051  0.465 -0.069  0.503 -0.181  0.557 -0.289  0.611 -0.397  0.654 -0.509  0.683 -0.626  0.712 -0.743  0.742 -0.860  0.771 -0.978  0.800 -1.095  0.816 -1.213  0.816 -1.334
3#apa#apa15#app1541/0  0.305 0.500  0.194 0.611  0.209 0.723  0.290 0.834  0.179 0.946  0.067 1.057  -0.057 1.139  -0.203 1.110  -0.314 0.999  -0.375 0.856  -0.425 0.706  -0.475 0.556  -0.513 0.404  -0.544 0.249  -0.574 0.094  -0.605 -0.060  -0.636 -0.215  -0.653 -0.371  -0.653 -0.529  -0.653 -0.687  -0.653 -0.844  -0.653 -1.002  -0.653 -1.160  -0.626 -1.311  -0.556 -1.452  -0.477 -1.569  -0.336 -1.499  -0.195 -1.428  -0.079 -1.323  0.020 -1.201  0.101 -1.066  0.182 -0.931  0.263 -0.796  0.344 -0.660  0.425 -0.525  0.491 -0.383  0.541 -0.233  0.590 -0.083  0.640 0.066  0.690 0.216  0.740 0.366  0.785 0.516  0.785 0.674  0.785 0.832  0.775 0.979  0.617 0.979  0.459 0.979  0.301 0.979  0.144 0.979  -0.014 0.979
3#apa#apa15#app1541/=  0.962 -0.718  0.810 -0.718  0.657 -0.718  0.504 -0.718  0.352 -0.718  0.199 -0.718  0.046 -0.718  -0.104 -0.736  -0.252 -0.773  -0.400 -0.810  -0.548 -0.847  -0.696 -0.884  -0.844 -0.921  -0.992 -0.958  -1.144 -0.967  -1.257 -0.953  -1.138 -0.858  -1.019 -0.762  -0.900 -0.667  -0.781 -0.572  -0.661 -0.476  -0.542 -0.381  -0.423 -0.286  -0.304 -0.190  -0.185 -0.095  -0.066 0.000  0.054 0.096  0.173 0.191  0.292 0.286  0.411 0.382  0.530 0.477  0.650 0.572  0.769 0.668  0.888 0.763  1.007 0.858  1.126 0.954  1.166 1.021  1.014 1.021  0.866 0.989  0.721 0.941  0.577 0.893  0.432 0.845  0.287 0.796  0.138 0.773  -0.014 0.773  -0.167 0.773  -0.320 0.773  -0.472 0.773  -0.625 0.773  -0.777 0.773
3#apa#apa15#app1541/x  -1.319 1.175  -1.312 1.001  -1.214 0.854  -1.116 0.707  -1.018 0.560  -0.911 0.420  -0.801 0.282  -0.691 0.145  -0.580 0.007  -0.470 -0.131  -0.360 -0.269  -0.238 -0.396  -0.113 -0.521  0.016 -0.641  0.163 -0.739  0.310 -0.837  0.457 -0.935  0.585 -1.055  0.737 -1.113  0.806 -1.005  0.806 -0.828  0.806 -0.652  0.806 -0.475  0.806 -0.299  0.806 -0.122  0.806 0.054  0.806 0.231  0.806 0.407  0.806 0.584  0.806 0.760  0.806 0.937  0.806 1.113  0.692 1.175  0.515 1.175  0.416 1.050  0.337 0.892  0.250 0.739  0.159 0.587  0.068 0.436  -0.023 0.285  -0.114 0.133  -0.207 -0.017  -0.305 -0.164  -0.403 -0.310  -0.500 -0.457  -0.566 -0.621  -0.632 -0.785  -0.698 -0.949  -0.763 -1.113  -0.829 -1.277
3#apa#apa15#app1541/^  -1.004 -1.307  -1.088 -1.223  -1.171 -1.140  -1.122 -1.043  -1.056 -0.945  -0.991 -0.846  -0.925 -0.748  -0.860 -0.650  -0.801 -0.548  -0.748 -0.442  -0.695 -0.336  -0.640 -0.232  -0.574 -0.134  -0.509 -0.036  -0.443 0.063  -0.378 0.161  -0.312 0.259  -0.270 0.369  -0.233 0.481  -0.195 0.593  -0.158 0.705  -0.125 0.818  -0.125 0.936  -0.051 0.981  0.051 0.996  0.051 1.114  0.127 1.157  0.227 1.139  0.227 1.021  0.305 0.981  0.403 0.960  0.403 0.842  0.403 0.724  0.410 0.607  0.448 0.495  0.485 0.383  0.522 0.271  0.560 0.159  0.579 0.044  0.579 -0.074  0.632 -0.180  0.684 -0.286  0.737 -0.391  0.790 -0.497  0.843 -0.602  0.896 -0.708  0.948 -0.814  1.001 -0.919  1.054 -1.025  1.107 -1.131
