3#apb#apb10#app1039/A  -0.059 0.471  0.173 0.551  0.379 0.687  0.528 0.885  0.636 1.107  0.644 1.047  0.587 0.806  0.526 0.566  0.461 0.326  0.390 0.088  0.317 -0.149  0.243 -0.386  0.172 -0.624  0.119 -0.866  0.137 -0.772  0.188 -0.530  0.239 -0.287  0.291 -0.044  0.342 0.199  0.393 0.442  0.444 0.685  0.496 0.927  0.547 1.170  0.598 1.413  0.624 1.573  0.517 1.349  0.413 1.124  0.311 0.898  0.208 0.672  0.102 0.448  -0.005 0.224  -0.116 0.002  -0.231 -0.218  -0.348 -0.437  -0.471 -0.653  -0.596 -0.867  -0.727 -1.078  -0.866 -1.283  -1.009 -1.486  -1.165 -1.679  -1.136 -1.568  -1.007 -1.356  -0.878 -1.143  -0.749 -0.931  -0.620 -0.719  -0.491 -0.507  -0.362 -0.295  -0.234 -0.083  -0.092 0.106  0.140 0.195
3#apb#apb10#app1039/p  -0.039 0.841  -0.040 1.026  -0.020 0.980  -0.020 0.790  -0.020 0.601  -0.029 0.412  -0.045 0.223  -0.069 0.035  -0.117 -0.148  -0.164 -0.332  -0.215 -0.515  -0.269 -0.696  -0.322 -0.878  -0.382 -1.058  -0.444 -1.237  -0.496 -1.419  -0.537 -1.604  -0.596 -1.784  -0.588 -1.676  -0.560 -1.488  -0.533 -1.301  -0.505 -1.113  -0.477 -0.925  -0.450 -0.738  -0.422 -0.550  -0.395 -0.363  -0.367 -0.175  -0.340 0.012  -0.312 0.200  -0.284 0.387  -0.257 0.575  -0.229 0.763  -0.222 0.951  -0.163 1.121  0.016 1.164  0.205 1.161  0.390 1.120  0.572 1.068  0.741 0.984  0.907 0.893  1.061 0.782  1.173 0.631  1.157 0.455  1.041 0.312  0.893 0.195  0.722 0.115  0.542 0.058  0.357 0.027  0.170 0.058  -0.020 0.061
3#apb#apb10#app1039/p  -0.300 0.855  -0.265 0.912  -0.213 0.734  -0.201 0.549  -0.201 0.363  -0.228 0.179  -0.267 -0.003  -0.306 -0.185  -0.341 -0.368  -0.377 -0.552  -0.418 -0.733  -0.469 -0.912  -0.521 -1.091  -0.592 -1.264  -0.661 -1.437  -0.715 -1.615  -0.624 -1.682  -0.582 -1.503  -0.545 -1.321  -0.508 -1.138  -0.471 -0.955  -0.434 -0.772  -0.397 -0.590  -0.361 -0.407  -0.324 -0.224  -0.287 -0.042  -0.250 0.141  -0.213 0.324  -0.176 0.507  -0.144 0.689  -0.133 0.869  -0.050 1.034  0.066 1.180  0.247 1.202  0.431 1.199  0.609 1.143  0.781 1.073  0.945 0.985  1.086 0.865  1.195 0.722  1.216 0.540  1.171 0.361  1.064 0.208  0.920 0.092  0.768 -0.016  0.582 -0.016  0.395 -0.016  0.209 -0.016  0.030 0.032  -0.142 0.103
3#apb#apb10#app1039/r  -0.258 0.691  -0.258 0.700  -0.258 0.568  -0.258 0.437  -0.252 0.306  -0.244 0.175  -0.235 0.044  -0.227 -0.086  -0.236 -0.216  -0.262 -0.345  -0.288 -0.473  -0.308 -0.603  -0.327 -0.733  -0.345 -0.863  -0.364 -0.993  -0.402 -1.118  -0.439 -1.244  -0.485 -1.366  -0.539 -1.413  -0.539 -1.282  -0.539 -1.150  -0.539 -1.019  -0.539 -0.888  -0.539 -0.757  -0.539 -0.626  -0.539 -0.495  -0.539 -0.363  -0.539 -0.232  -0.539 -0.101  -0.539 0.030  -0.496 0.146  -0.412 0.247  -0.309 0.312  -0.179 0.328  -0.054 0.359  0.057 0.429  0.168 0.500  0.278 0.570  0.400 0.618  0.524 0.659  0.649 0.701  0.773 0.742  0.897 0.784  1.017 0.838  1.134 0.896  1.251 0.955  1.369 1.014  1.490 1.063  1.614 1.105  1.739 1.146
3#apb#apb10#app1039/o  0.015 0.383  0.063 0.527  0.138 0.651  0.258 0.743  0.365 0.850  0.445 0.945  0.358 1.029  0.209 1.046  0.058 1.046  -0.093 1.040  -0.244 1.026  -0.395 1.013  -0.527 0.952  -0.648 0.861  -0.768 0.769  -0.845 0.639  -0.923 0.509  -1.000 0.379  -1.021 0.229  -1.042 0.080  -1.064 -0.070  -1.056 -0.216  -1.000 -0.357  -0.943 -0.497  -0.854 -0.614  -0.742 -0.716  -0.630 -0.818  -0.518 -0.920  -0.376 -0.943  -0.224 -0.943  -0.073 -0.943  0.078 -0.943  0.229 -0.943  0.381 -0.943  0.532 -0.943  0.683 -0.943  0.824 -0.896  0.963 -0.834  1.088 -0.758  1.147 -0.625  1.147 -0.473  1.102 -0.337  1.011 -0.216  0.920 -0.095  0.800 -0.004  0.677 0.084  0.559 0.179  0.444 0.277  0.319 0.356  0.171 0.383
3#apb#apb10#app1039/v  -1.185 0.223  -1.120 0.413  -1.067 0.610  -0.909 0.729  -0.722 0.811  -0.527 0.877  -0.344 0.968  -0.282 0.790  -0.303 0.586  -0.351 0.387  -0.405 0.188  -0.465 -0.008  -0.525 -0.204  -0.561 -0.407  -0.592 -0.610  -0.692 -0.785  -0.762 -0.968  -0.762 -1.173  -0.713 -1.253  -0.574 -1.101  -0.435 -0.950  -0.296 -0.799  -0.157 -0.648  -0.018 -0.496  0.121 -0.345  0.260 -0.194  0.399 -0.042  0.538 0.109  0.677 0.260  0.816 0.411  0.955 0.563  1.095 0.714  1.234 0.865  1.373 1.017  1.424 1.101  1.262 0.977  1.124 0.825  0.986 0.672  0.862 0.509  0.740 0.343  0.619 0.177  0.486 0.021  0.351 -0.134  0.217 -0.290  0.066 -0.428  -0.091 -0.561  -0.247 -0.695  -0.373 -0.857  -0.500 -1.018  -0.632 -1.176
3#apb#apb10#app1039/e  -0.697 -0.163  -0.574 -0.206  -0.434 -0.206  -0.293 -0.206  -0.159 -0.176  -0.031 -0.118  0.096 -0.060  0.224 -0.002  0.347 0.067  0.468 0.137  0.589 0.208  0.711 0.279  0.824 0.361  0.932 0.451  1.025 0.550  1.059 0.686  1.094 0.823  1.062 0.952  0.974 1.041  0.834 1.052  0.694 1.063  0.554 1.073  0.418 1.061  0.290 1.003  0.162 0.945  0.035 0.887  -0.083 0.811  -0.194 0.725  -0.305 0.639  -0.417 0.554  -0.528 0.468  -0.597 0.352  -0.641 0.219  -0.686 0.086  -0.730 -0.048  -0.751 -0.186  -0.765 -0.326  -0.779 -0.466  -0.738 -0.595  -0.676 -0.721  -0.613 -0.847  -0.550 -0.972  -0.487 -1.098  -0.424 -1.224  -0.337 -1.330  -0.230 -1.421  -0.123 -1.513  0.009 -1.536  0.149 -1.536  0.289 -1.536
3#apb#apb10#app1039/f  0.765 0.912  0.809 0.917  0.884 1.021  0.932 1.143  0.942 1.273  0.882 1.381  0.756 1.410  0.629 1.380  0.508 1.332  0.395 1.265  0.299 1.176  0.233 1.063  0.175 0.946  0.133 0.821  0.093 0.696  0.066 0.568  0.038 0.439  0.021 0.309  0.006 0.179  -0.019 0.050  -0.050 -0.077  -0.082 -0.205  -0.116 -0.332  -0.151 -0.458  -0.184 -0.585  -0.218 -0.712  -0.264 -0.835  -0.308 -0.959  -0.348 -1.084  -0.402 -1.203  -0.463 -1.319  -0.526 -1.434  -0.616 -1.526  -0.588 -1.404  -0.557 -1.276  -0.526 -1.149  -0.495 -1.021  -0.464 -0.894  -0.433 -0.766  -0.402 -0.638  -0.371 -0.511  -0.339 -0.383  -0.308 -0.256  -0.277 -0.128  -0.246 -0.001  -0.215 0.127  -0.095 0.166  0.035 0.182  0.166 0.184  0.293 0.216
3#apb#apb10#app1039/i  -0.077 0.133  -0.118 0.117  -0.182 0.031  -0.226 -0.066  -0.265 -0.166  -0.305 -0.265  -0.345 -0.364  -0.376 -0.467  -0.406 -0.569  -0.437 -0.671  -0.469 -0.774  -0.502 -0.875  -0.536 -0.977  -0.562 -1.080  -0.550 -1.180  -0.502 -1.275  -0.410 -1.327  -0.334 -1.327  -0.301 -1.226  -0.268 -1.124  -0.235 -1.022  -0.202 -0.921  -0.169 -0.819  -0.136 -0.717  -0.103 -0.616  -0.070 -0.514  -0.037 -0.412  -0.004 -0.310  0.029 -0.209  0.063 -0.107  0.096 -0.005  0.129 0.096  0.162 0.198  0.195 0.300  0.228 0.401  0.261 0.503  0.294 0.605  0.327 0.707  0.360 0.808  0.393 0.910  0.426 1.012  0.460 1.113  0.493 1.215  0.526 1.317  0.559 1.418  0.592 1.520  0.625 1.622  0.658 1.724  0.681 1.818  0.574 1.818
3#apb#apb10#app1039/n  -0.608 0.501  -0.530 0.631  -0.493 0.544  -0.488 0.393  -0.503 0.241  -0.552 0.105  -0.654 -0.008  -0.756 -0.121  -0.850 -0.241  -0.937 -0.366  -1.024 -0.490  -1.102 -0.621  -1.181 -0.751  -1.238 -0.891  -1.275 -1.028  -1.172 -0.916  -1.069 -0.803  -0.966 -0.691  -0.864 -0.579  -0.761 -0.467  -0.658 -0.355  -0.576 -0.234  -0.476 -0.138  -0.360 -0.039  -0.233 0.039  -0.088 0.084  0.058 0.128  0.191 0.197  0.314 0.286  0.438 0.376  0.567 0.456  0.699 0.531  0.831 0.607  0.961 0.686  1.086 0.773  1.210 0.861  1.307 0.956  1.279 0.854  1.246 0.705  1.178 0.570  1.106 0.436  1.033 0.302  0.965 0.166  0.896 0.030  0.828 -0.106  0.763 -0.243  0.699 -0.381  0.635 -0.519  0.583 -0.662  0.541 -0.808
3#apb#apb10#app1039/a  0.945 -0.007  1.035 0.083  1.119 0.180  1.190 0.287  1.240 0.400  1.240 0.528  1.191 0.645  1.110 0.740  1.010 0.820  0.890 0.851  0.762 0.863  0.634 0.875  0.508 0.863  0.384 0.832  0.259 0.801  0.135 0.770  0.007 0.758  -0.121 0.746  -0.249 0.734  -0.362 0.680  -0.473 0.614  -0.583 0.548  -0.680 0.467  -0.760 0.367  -0.840 0.267  -0.920 0.166  -0.996 0.063  -1.071 -0.041  -1.126 -0.152  -1.126 -0.280  -1.126 -0.409  -1.076 -0.521  -1.001 -0.625  -0.917 -0.715  -0.791 -0.740  -0.665 -0.765  -0.539 -0.778  -0.413 -0.757  -0.286 -0.736  -0.159 -0.715  -0.036 -0.682  0.087 -0.645  0.210 -0.608  0.309 -0.532  0.353 -0.554  0.353 -0.683  0.339 -0.810  0.321 -0.937  0.332 -1.064  0.353 -1.190
