2#apb#apb02#app0274/3  -0.619 0.881  -0.737 0.971  -0.876 1.022  -0.859 1.042  -0.708 1.060  -0.558 1.083  -0.406 1.093  -0.254 1.103  -0.102 1.113  0.050 1.121  0.202 1.109  0.353 1.090  0.498 1.044  0.544 0.902  0.445 0.786  0.344 0.672  0.242 0.559  0.134 0.451  0.023 0.349  -0.111 0.276  -0.245 0.203  -0.379 0.130  -0.527 0.103  -0.649 0.099  -0.501 0.070  -0.353 0.037  -0.201 0.027  -0.050 0.012  0.097 -0.029  0.244 -0.070  0.384 -0.128  0.522 -0.192  0.653 -0.269  0.778 -0.357  0.849 -0.490  0.864 -0.631  0.818 -0.776  0.750 -0.912  0.667 -1.037  0.554 -1.140  0.429 -1.222  0.285 -1.270  0.141 -1.321  -0.003 -1.362  -0.155 -1.349  -0.299 -1.307  -0.438 -1.244  -0.546 -1.136  -0.676 -1.083  -0.619 -1.083
2#apb#apb02#app0274/  0.432 1.345  0.432 1.416  0.420 1.485  0.388 1.483  0.364 1.417  0.346 1.348  0.329 1.279  0.312 1.210  0.297 1.141  0.283 1.071  0.268 1.002  0.254 0.932  0.240 0.863  0.221 0.794  0.203 0.726  0.184 0.657  0.165 0.589  0.146 0.520  0.127 0.452  0.106 0.384  0.084 0.316  0.062 0.249  0.039 0.182  0.017 0.114  -0.006 0.047  -0.028 -0.021  -0.050 -0.088  -0.069 -0.157  -0.088 -0.225  -0.107 -0.293  -0.126 -0.362  -0.145 -0.430  -0.164 -0.499  -0.183 -0.567  -0.203 -0.635  -0.223 -0.703  -0.243 -0.772  -0.263 -0.840  -0.277 -0.909  -0.284 -0.980  -0.291 -1.050  -0.298 -1.121  -0.305 -1.192  -0.311 -1.263  -0.316 -1.333  -0.323 -1.404  -0.330 -1.475  -0.343 -1.544  -0.351 -1.608  -0.393 -1.551
2#apb#apb02#app0274/7  -1.020 0.353  -1.116 0.408  -1.199 0.476  -1.141 0.476  -1.031 0.489  -0.921 0.505  -0.812 0.528  -0.704 0.551  -0.595 0.573  -0.486 0.593  -0.376 0.613  -0.267 0.633  -0.158 0.652  -0.048 0.672  0.058 0.701  0.162 0.740  0.266 0.779  0.373 0.807  0.483 0.816  0.594 0.824  0.703 0.848  0.812 0.866  0.830 0.850  0.778 0.752  0.727 0.653  0.669 0.558  0.612 0.463  0.555 0.368  0.495 0.274  0.435 0.181  0.375 0.088  0.330 -0.014  0.286 -0.116  0.242 -0.218  0.197 -0.320  0.156 -0.423  0.121 -0.528  0.086 -0.634  0.051 -0.739  0.016 -0.844  -0.009 -0.952  -0.030 -1.061  -0.050 -1.171  -0.074 -1.279  -0.099 -1.387  -0.113 -1.496  -0.092 -1.605  -0.061 -1.710  -0.018 -1.813  0.005 -1.780
2#apb#apb02#app0274/6  -0.271 0.855  -0.177 0.977  -0.109 1.113  -0.046 1.254  0.013 1.395  0.050 1.544  0.119 1.678  0.135 1.735  0.080 1.592  0.012 1.454  -0.049 1.313  -0.110 1.172  -0.167 1.029  -0.224 0.886  -0.271 0.739  -0.316 0.592  -0.360 0.445  -0.405 0.298  -0.450 0.150  -0.484 0.001  -0.514 -0.150  -0.540 -0.302  -0.558 -0.455  -0.559 -0.607  -0.537 -0.759  -0.455 -0.886  -0.337 -0.977  -0.197 -1.042  -0.048 -1.077  0.103 -1.091  0.253 -1.059  0.395 -1.002  0.533 -0.935  0.673 -0.871  0.747 -0.736  0.784 -0.588  0.793 -0.435  0.783 -0.282  0.714 -0.150  0.568 -0.132  0.422 -0.179  0.296 -0.268  0.173 -0.360  0.069 -0.473  -0.030 -0.590  -0.116 -0.718  -0.169 -0.859  -0.184 -1.012  -0.093 -1.110  0.060 -1.118
2#apb#apb02#app0274/  0.342 0.999  0.342 1.074  0.344 1.148  0.352 1.223  0.364 1.296  0.380 1.370  0.382 1.385  0.360 1.314  0.338 1.242  0.318 1.170  0.299 1.098  0.280 1.026  0.261 0.953  0.242 0.881  0.221 0.809  0.201 0.737  0.180 0.665  0.160 0.593  0.139 0.522  0.119 0.450  0.098 0.378  0.077 0.306  0.055 0.234  0.034 0.163  0.013 0.091  -0.009 0.019  -0.030 -0.052  -0.051 -0.124  -0.074 -0.195  -0.097 -0.266  -0.120 -0.337  -0.143 -0.408  -0.166 -0.480  -0.189 -0.551  -0.212 -0.622  -0.231 -0.694  -0.246 -0.767  -0.261 -0.841  -0.277 -0.914  -0.292 -0.987  -0.307 -1.060  -0.320 -1.134  -0.334 -1.207  -0.347 -1.281  -0.360 -1.354  -0.368 -1.429  -0.373 -1.503  -0.377 -1.578  -0.365 -1.652  -0.350 -1.712
2#apb#apb02#app0274/4  0.427 0.819  0.469 1.046  0.448 1.194  0.480 0.966  0.490 0.736  0.489 0.504  0.466 0.275  0.446 0.045  0.436 -0.186  0.424 -0.417  0.398 -0.647  0.367 -0.875  0.331 -1.104  0.324 -1.334  0.298 -1.563  0.251 -1.789  0.135 -1.862  0.111 -1.632  0.096 -1.402  0.082 -1.171  0.067 -0.940  0.053 -0.710  0.038 -0.479  0.024 -0.249  0.009 -0.018  -0.005 0.212  -0.020 0.443  -0.034 0.674  -0.049 0.904  -0.063 1.135  -0.071 1.365  -0.093 1.563  -0.229 1.376  -0.367 1.191  -0.474 0.987  -0.580 0.782  -0.708 0.589  -0.824 0.391  -0.928 0.184  -1.047 -0.013  -1.129 -0.225  -0.958 -0.257  -0.740 -0.179  -0.517 -0.120  -0.292 -0.071  -0.061 -0.060  0.168 -0.038  0.394 0.007  0.625 0.008  0.842 -0.053
2#apb#apb02#app0274/1  0.122 0.608  0.105 0.691  0.088 0.774  0.072 0.857  0.055 0.940  0.039 1.023  0.018 1.105  -0.002 1.187  -0.006 1.271  -0.018 1.353  -0.048 1.395  -0.048 1.310  -0.048 1.225  -0.048 1.141  -0.048 1.056  -0.048 0.972  -0.048 0.887  -0.048 0.802  -0.048 0.718  -0.048 0.633  -0.048 0.549  -0.048 0.464  -0.048 0.379  -0.048 0.295  -0.049 0.210  -0.053 0.126  -0.058 0.041  -0.063 -0.043  -0.068 -0.128  -0.072 -0.212  -0.077 -0.297  -0.082 -0.381  -0.086 -0.466  -0.088 -0.550  -0.075 -0.634  -0.062 -0.717  -0.049 -0.801  -0.036 -0.884  -0.024 -0.968  -0.011 -1.052  0.005 -1.135  0.024 -1.217  0.042 -1.300  0.060 -1.382  0.079 -1.465  0.116 -1.541  0.154 -1.616  0.192 -1.692  0.230 -1.768  0.249 -1.763
2#apb#apb02#app0274/  0.376 1.402  0.387 1.472  0.364 1.536  0.346 1.478  0.329 1.410  0.312 1.341  0.295 1.273  0.272 1.206  0.248 1.140  0.224 1.074  0.200 1.008  0.176 0.941  0.158 0.874  0.142 0.805  0.126 0.736  0.111 0.668  0.095 0.599  0.079 0.530  0.064 0.462  0.047 0.393  0.031 0.325  0.014 0.256  -0.003 0.188  -0.019 0.120  -0.036 0.051  -0.052 -0.017  -0.069 -0.086  -0.081 -0.155  -0.093 -0.224  -0.104 -0.294  -0.116 -0.363  -0.128 -0.433  -0.140 -0.502  -0.152 -0.571  -0.161 -0.641  -0.170 -0.711  -0.180 -0.781  -0.189 -0.851  -0.198 -0.920  -0.207 -0.990  -0.210 -1.061  -0.214 -1.131  -0.217 -1.201  -0.221 -1.272  -0.225 -1.342  -0.230 -1.412  -0.234 -1.482  -0.234 -1.553  -0.236 -1.623  -0.276 -1.673
2#apb#apb02#app0274/1  0.123 1.051  0.145 1.128  0.167 1.205  0.189 1.281  0.191 1.361  0.191 1.441  0.186 1.473  0.169 1.395  0.152 1.317  0.134 1.239  0.117 1.161  0.101 1.083  0.084 1.005  0.068 0.927  0.051 0.849  0.035 0.771  0.018 0.692  0.002 0.614  -0.014 0.536  -0.028 0.457  -0.042 0.379  -0.056 0.300  -0.070 0.222  -0.084 0.143  -0.098 0.064  -0.112 -0.014  -0.123 -0.093  -0.132 -0.173  -0.141 -0.252  -0.151 -0.331  -0.160 -0.411  -0.169 -0.490  -0.179 -0.569  -0.182 -0.648  -0.168 -0.727  -0.153 -0.805  -0.139 -0.884  -0.125 -0.963  -0.108 -1.041  -0.089 -1.118  -0.069 -1.196  -0.050 -1.273  -0.021 -1.347  0.008 -1.422  0.020 -1.499  0.080 -1.519  0.093 -1.449  0.103 -1.369  0.113 -1.290  0.123 -1.211
2#apb#apb02#app0274/1  0.136 1.367  0.097 1.426  0.080 1.492  0.051 1.535  0.054 1.467  0.059 1.396  0.063 1.325  0.067 1.254  0.072 1.183  0.076 1.112  0.079 1.041  0.075 0.970  0.071 0.899  0.068 0.828  0.064 0.757  0.060 0.687  0.056 0.616  0.053 0.545  0.047 0.474  0.040 0.403  0.033 0.333  0.025 0.262  0.018 0.191  0.011 0.120  0.004 0.050  -0.003 -0.021  -0.008 -0.092  -0.012 -0.163  -0.016 -0.234  -0.020 -0.305  -0.025 -0.375  -0.029 -0.446  -0.033 -0.517  -0.043 -0.588  -0.053 -0.658  -0.063 -0.728  -0.073 -0.799  -0.083 -0.869  -0.089 -0.940  -0.089 -1.011  -0.089 -1.082  -0.089 -1.153  -0.089 -1.224  -0.089 -1.295  -0.089 -1.366  -0.089 -1.437  -0.089 -1.508  -0.089 -1.579  -0.072 -1.645  -0.033 -1.704
2#apb#apb02#app0274/1  0.013 0.383  0.005 0.473  -0.003 0.564  -0.011 0.654  -0.020 0.744  -0.029 0.834  -0.038 0.925  -0.047 1.015  -0.056 1.105  -0.062 1.195  -0.062 1.286  -0.074 1.375  -0.102 1.371  -0.120 1.282  -0.132 1.193  -0.144 1.103  -0.156 1.013  -0.163 0.923  -0.163 0.832  -0.163 0.741  -0.163 0.651  -0.163 0.560  -0.163 0.469  -0.156 0.379  -0.148 0.289  -0.139 0.198  -0.131 0.108  -0.123 0.018  -0.115 -0.073  -0.095 -0.161  -0.072 -0.249  -0.049 -0.336  -0.026 -0.424  -0.003 -0.512  0.019 -0.600  0.040 -0.688  0.061 -0.776  0.082 -0.864  0.102 -0.953  0.127 -1.040  0.158 -1.125  0.188 -1.210  0.219 -1.296  0.245 -1.382  0.263 -1.471  0.281 -1.560  0.304 -1.648  0.333 -1.734  0.341 -1.823  0.316 -1.758
