3#apb#apb12#app1222/A  -0.995 0.794  -0.974 0.767  -0.871 0.535  -0.794 0.292  -0.717 0.050  -0.639 -0.193  -0.562 -0.436  -0.485 -0.678  -0.408 -0.921  -0.442 -0.862  -0.523 -0.621  -0.585 -0.374  -0.634 -0.125  -0.669 0.127  -0.688 0.381  -0.679 0.635  -0.660 0.889  -0.620 1.140  -0.550 1.384  -0.421 1.599  -0.197 1.558  -0.013 1.383  0.142 1.184  0.256 0.956  0.349 0.719  0.437 0.480  0.517 0.238  0.580 -0.008  0.634 -0.257  0.680 -0.507  0.740 -0.755  0.804 -1.001  0.869 -1.246  1.017 -1.422  1.150 -1.209  1.211 -0.963  1.045 -0.824  0.811 -0.722  0.578 -0.621  0.344 -0.520  0.111 -0.418  -0.123 -0.317  -0.356 -0.215  -0.559 -0.118  -0.315 -0.054  -0.063 -0.018  0.189 0.019  0.441 0.055  0.693 0.091  0.945 0.128
3#apb#apb12#app1222/l  -0.678 1.522  -0.614 1.496  -0.560 1.458  -0.527 1.397  -0.493 1.336  -0.460 1.275  -0.430 1.213  -0.402 1.149  -0.375 1.085  -0.348 1.021  -0.320 0.957  -0.296 0.892  -0.272 0.826  -0.248 0.761  -0.224 0.696  -0.200 0.631  -0.175 0.565  -0.154 0.499  -0.134 0.433  -0.114 0.366  -0.094 0.299  -0.074 0.233  -0.054 0.166  -0.033 0.100  -0.010 0.034  0.013 -0.032  0.036 -0.097  0.059 -0.163  0.082 -0.229  0.105 -0.294  0.128 -0.360  0.151 -0.425  0.174 -0.491  0.197 -0.557  0.220 -0.622  0.243 -0.688  0.266 -0.754  0.289 -0.819  0.312 -0.885  0.335 -0.951  0.358 -1.016  0.381 -1.082  0.404 -1.148  0.427 -1.213  0.450 -1.279  0.473 -1.345  0.496 -1.410  0.519 -1.476  0.554 -1.529  0.621 -1.546
3#apb#apb12#app1222/l  -0.497 1.558  -0.532 1.539  -0.496 1.479  -0.461 1.419  -0.425 1.360  -0.397 1.297  -0.380 1.229  -0.363 1.162  -0.346 1.094  -0.329 1.027  -0.312 0.959  -0.296 0.892  -0.279 0.824  -0.262 0.757  -0.245 0.689  -0.228 0.622  -0.211 0.554  -0.194 0.487  -0.177 0.419  -0.155 0.353  -0.129 0.289  -0.104 0.224  -0.078 0.159  -0.052 0.095  -0.026 0.030  -0.000 -0.034  0.026 -0.099  0.051 -0.164  0.077 -0.228  0.103 -0.293  0.129 -0.357  0.155 -0.422  0.181 -0.487  0.206 -0.552  0.226 -0.618  0.246 -0.685  0.267 -0.751  0.287 -0.818  0.307 -0.884  0.327 -0.951  0.348 -1.018  0.368 -1.084  0.388 -1.151  0.408 -1.217  0.429 -1.284  0.449 -1.350  0.469 -1.417  0.489 -1.484  0.510 -1.550  0.530 -1.617
3#apb#apb12#app1222/e  -1.184 1.010  -1.093 0.825  -1.034 0.615  -0.969 0.406  -0.879 0.208  -0.781 0.013  -0.682 -0.181  -0.583 -0.376  -0.484 -0.571  -0.385 -0.765  -0.258 -0.923  -0.042 -0.950  0.175 -0.959  0.391 -0.991  0.608 -1.008  0.826 -1.008  1.042 -0.984  1.250 -0.919  1.183 -0.841  0.978 -0.766  0.773 -0.690  0.568 -0.614  0.364 -0.539  0.159 -0.463  -0.046 -0.387  -0.251 -0.312  -0.455 -0.236  -0.661 -0.302  -0.641 -0.280  -0.430 -0.226  -0.218 -0.173  -0.007 -0.119  0.205 -0.066  0.417 -0.012  0.628 0.041  0.835 0.109  1.030 0.202  1.015 0.365  0.819 0.460  0.622 0.555  0.426 0.650  0.230 0.745  0.033 0.841  -0.163 0.936  -0.360 1.031  -0.556 1.126  -0.753 1.221  -0.746 1.351  -0.565 1.455  -0.350 1.495
3#apb#apb12#app1222/n  -1.236 0.422  -1.225 0.279  -1.229 0.138  -1.247 -0.003  -1.253 -0.146  -1.253 -0.288  -1.253 -0.431  -1.248 -0.573  -1.205 -0.707  -1.113 -0.653  -1.045 -0.527  -0.978 -0.402  -0.910 -0.276  -0.842 -0.151  -0.775 -0.025  -0.707 0.100  -0.592 0.110  -0.455 0.070  -0.321 0.023  -0.188 -0.028  -0.052 -0.070  0.086 -0.108  0.225 -0.140  0.366 -0.145  0.496 -0.194  0.618 -0.266  0.719 -0.359  0.783 -0.486  0.862 -0.601  0.996 -0.644  1.139 -0.644  1.046 -0.616  0.907 -0.583  0.768 -0.550  0.801 -0.493  0.773 -0.354  0.744 -0.214  0.715 -0.075  0.686 0.065  0.657 0.204  0.628 0.344  0.595 0.482  0.562 0.621  0.547 0.763  0.531 0.904  0.529 1.047  0.529 1.189  0.512 1.329  0.596 1.353  0.712 1.304
3#apb#apb12#app1222/B  -0.805 0.735  -0.716 0.617  -0.653 0.408  -0.572 0.207  -0.460 0.020  -0.348 -0.167  -0.235 -0.354  -0.123 -0.542  -0.011 -0.729  0.058 -0.735  -0.074 -0.563  -0.209 -0.391  -0.344 -0.220  -0.480 -0.048  -0.615 0.123  -0.750 0.294  -0.885 0.466  -1.021 0.637  -1.156 0.809  -1.288 0.982  -1.230 1.143  -1.038 1.061  -0.845 0.957  -0.653 0.854  -0.461 0.751  -0.268 0.648  -0.076 0.544  0.117 0.441  0.309 0.338  0.292 0.234  0.156 0.172  0.367 0.199  0.584 0.193  0.799 0.154  1.014 0.114  1.227 0.066  1.434 -0.003  1.600 -0.139  1.619 -0.339  1.517 -0.530  1.345 -0.653  1.147 -0.745  0.944 -0.826  0.731 -0.871  0.515 -0.899  0.297 -0.899  0.078 -0.899  -0.140 -0.895  -0.357 -0.875  -0.335 -0.846
3#apb#apb12#app1222/r  -0.686 0.423  -0.694 0.219  -0.656 0.001  -0.599 -0.215  -0.545 -0.431  -0.474 -0.641  -0.390 -0.847  -0.306 -1.053  -0.221 -1.259  -0.193 -1.178  -0.225 -0.961  -0.297 -0.750  -0.369 -0.539  -0.441 -0.329  -0.514 -0.118  -0.586 0.092  -0.658 0.303  -0.850 0.393  -1.016 0.518  -1.128 0.704  -0.985 0.826  -0.784 0.921  -0.583 1.017  -0.382 1.112  -0.181 1.208  0.025 1.271  0.244 1.234  0.463 1.194  0.656 1.105  0.792 0.934  0.861 0.724  0.782 0.516  0.677 0.321  0.543 0.145  0.375 -0.001  0.202 -0.140  0.013 -0.251  -0.203 -0.302  -0.394 -0.238  -0.233 -0.160  -0.029 -0.244  0.184 -0.309  0.400 -0.362  0.618 -0.406  0.831 -0.472  1.035 -0.560  1.234 -0.660  1.421 -0.779  1.546 -0.960  1.721 -1.017
3#apb#apb12#app1222/i  -0.631 1.600  -0.582 1.603  -0.540 1.540  -0.506 1.473  -0.472 1.405  -0.438 1.337  -0.404 1.269  -0.371 1.202  -0.337 1.134  -0.314 1.062  -0.297 0.988  -0.280 0.915  -0.262 0.841  -0.245 0.767  -0.228 0.694  -0.210 0.620  -0.188 0.548  -0.162 0.476  -0.137 0.405  -0.112 0.333  -0.087 0.262  -0.062 0.191  -0.036 0.119  -0.014 0.047  0.005 -0.026  0.024 -0.100  0.042 -0.173  0.061 -0.246  0.080 -0.320  0.098 -0.393  0.117 -0.467  0.136 -0.540  0.155 -0.613  0.173 -0.687  0.192 -0.760  0.211 -0.833  0.230 -0.907  0.248 -0.980  0.267 -1.054  0.286 -1.127  0.305 -1.200  0.323 -1.274  0.342 -1.347  0.389 -1.300  0.431 -1.237  0.473 -1.174  0.516 -1.111  0.560 -1.050  0.604 -0.988  0.648 -0.926
3#apb#apb12#app1222/t  0.064 0.272  0.143 0.195  0.191 0.039  0.239 -0.117  0.287 -0.274  0.335 -0.430  0.383 -0.586  0.430 -0.742  0.478 -0.898  0.526 -1.054  0.574 -1.210  0.622 -1.366  0.682 -1.321  0.707 -1.159  0.630 -1.038  0.502 -0.936  0.375 -0.834  0.248 -0.732  0.120 -0.630  -0.007 -0.528  -0.135 -0.426  -0.262 -0.324  -0.390 -0.222  -0.517 -0.120  -0.645 -0.018  -0.772 0.084  -0.899 0.186  -1.027 0.287  -1.154 0.389  -1.282 0.491  -1.430 0.533  -1.409 0.540  -1.246 0.552  -1.083 0.565  -0.921 0.577  -0.758 0.590  -0.595 0.606  -0.433 0.623  -0.271 0.639  -0.108 0.644  0.055 0.644  0.219 0.644  0.381 0.659  0.543 0.679  0.705 0.699  0.866 0.724  1.027 0.750  1.189 0.767  1.344 0.810  1.479 0.775
3#apb#apb12#app1222/t  0.066 0.353  0.094 0.202  0.108 0.044  0.137 -0.112  0.166 -0.268  0.195 -0.424  0.230 -0.579  0.267 -0.734  0.304 -0.888  0.341 -1.043  0.378 -1.197  0.415 -1.352  0.483 -1.401  0.534 -1.252  0.547 -1.096  0.424 -0.994  0.302 -0.893  0.179 -0.792  0.056 -0.691  -0.066 -0.590  -0.189 -0.489  -0.311 -0.388  -0.434 -0.287  -0.556 -0.186  -0.679 -0.085  -0.802 0.016  -0.924 0.117  -1.047 0.219  -1.169 0.320  -1.292 0.421  -1.282 0.554  -1.219 0.700  -1.074 0.715  -0.915 0.709  -0.757 0.703  -0.598 0.690  -0.440 0.674  -0.282 0.658  -0.124 0.643  0.035 0.643  0.194 0.643  0.353 0.643  0.510 0.660  0.667 0.687  0.823 0.714  0.980 0.739  1.137 0.762  1.293 0.790  1.447 0.829  1.497 0.894
3#apb#apb12#app1222/o  -0.428 -0.015  -0.546 0.087  -0.594 0.224  -0.652 0.362  -0.599 0.500  -0.461 0.529  -0.306 0.521  -0.150 0.512  0.005 0.504  0.161 0.495  0.316 0.487  0.472 0.478  0.627 0.470  0.783 0.461  0.938 0.452  1.094 0.444  1.249 0.435  1.338 0.324  1.405 0.185  1.405 0.029  1.395 -0.125  1.342 -0.271  1.254 -0.397  1.150 -0.513  1.019 -0.597  0.886 -0.677  0.741 -0.728  0.589 -0.762  0.436 -0.789  0.280 -0.789  0.125 -0.789  -0.030 -0.773  -0.184 -0.751  -0.338 -0.729  -0.474 -0.653  -0.608 -0.574  -0.740 -0.492  -0.868 -0.403  -0.997 -0.315  -1.094 -0.195  -1.184 -0.068  -1.263 0.066  -1.325 0.207  -1.292 0.351  -1.182 0.459  -1.049 0.537  -0.894 0.557  -0.740 0.576  -0.584 0.576  -0.428 0.576
3#apb#apb12#app1222/n  -0.945 0.616  -0.905 0.787  -0.840 0.717  -0.855 0.524  -0.870 0.331  -0.885 0.138  -0.900 -0.055  -0.915 -0.248  -0.930 -0.441  -0.945 -0.634  -0.906 -0.812  -0.755 -0.800  -0.632 -0.652  -0.605 -0.482  -0.686 -0.307  -0.768 -0.131  -0.849 0.044  -0.931 0.220  -1.012 0.395  -1.094 0.571  -0.973 0.516  -0.821 0.396  -0.669 0.276  -0.517 0.156  -0.365 0.036  -0.213 -0.084  -0.061 -0.204  0.091 -0.324  0.279 -0.368  0.472 -0.374  0.666 -0.374  0.859 -0.390  0.998 -0.301  1.008 -0.111  0.992 0.082  0.976 0.274  0.959 0.467  0.943 0.660  0.927 0.853  0.940 0.842  0.945 0.648  0.951 0.455  0.956 0.261  0.961 0.068  0.966 -0.126  0.982 -0.317  1.046 -0.500  1.155 -0.655  1.299 -0.784  1.473 -0.861
