3#apb#apb14#app1442/G  1.162 0.216  1.292 0.326  1.417 0.442  1.553 0.531  1.495 0.660  1.333 0.708  1.164 0.733  0.995 0.753  0.826 0.772  0.656 0.775  0.485 0.775  0.316 0.755  0.147 0.735  -0.023 0.718  -0.193 0.702  -0.363 0.689  -0.530 0.657  -0.694 0.611  -0.851 0.546  -0.989 0.448  -1.083 0.308  -1.137 0.147  -1.175 -0.019  -1.186 -0.189  -1.193 -0.359  -1.177 -0.529  -1.131 -0.692  -1.013 -0.808  -0.852 -0.858  -0.682 -0.851  -0.522 -0.794  -0.362 -0.735  -0.217 -0.645  -0.095 -0.529  -0.105 -0.391  -0.266 -0.336  -0.436 -0.333  -0.505 -0.276  -0.352 -0.203  -0.191 -0.146  -0.025 -0.109  0.144 -0.095  0.315 -0.105  0.480 -0.132  0.613 -0.235  0.654 -0.400  0.651 -0.566  0.603 -0.730  0.550 -0.891  0.493 -1.052
3#apb#apb14#app1442/a  0.651 0.949  0.555 1.044  0.455 1.133  0.338 1.200  0.212 1.231  0.077 1.231  -0.047 1.190  -0.165 1.126  -0.283 1.061  -0.375 0.962  -0.467 0.864  -0.559 0.765  -0.651 0.667  -0.721 0.553  -0.781 0.432  -0.841 0.312  -0.901 0.191  -0.942 0.065  -0.961 -0.069  -0.980 -0.202  -0.974 -0.335  -0.945 -0.466  -0.894 -0.589  -0.827 -0.706  -0.717 -0.781  -0.593 -0.776  -0.467 -0.729  -0.344 -0.675  -0.230 -0.607  -0.140 -0.507  -0.051 -0.406  0.020 -0.292  0.085 -0.174  0.151 -0.057  0.229 0.053  0.306 0.164  0.410 0.190  0.484 0.081  0.550 -0.036  0.614 -0.155  0.678 -0.273  0.742 -0.392  0.802 -0.513  0.862 -0.633  0.919 -0.755  0.970 -0.880  1.021 -1.004  1.129 -1.085  1.237 -1.166  1.358 -1.200
3#apb#apb14#app1442/y  -0.942 1.479  -1.048 1.410  -1.061 1.244  -1.064 1.074  -1.080 0.905  -1.079 0.737  -1.046 0.571  -0.965 0.421  -0.837 0.318  -0.675 0.278  -0.516 0.336  -0.381 0.437  -0.279 0.573  -0.198 0.721  -0.128 0.876  -0.064 1.033  -0.000 1.026  0.035 0.860  0.065 0.692  0.088 0.524  0.115 0.357  0.147 0.190  0.180 0.023  0.221 -0.141  0.266 -0.305  0.312 -0.468  0.368 -0.629  0.412 -0.791  0.412 -0.961  0.376 -1.124  0.265 -1.242  0.106 -1.186  -0.049 -1.116  -0.192 -1.026  -0.309 -0.905  -0.357 -0.749  -0.314 -0.590  -0.221 -0.452  -0.097 -0.336  0.055 -0.266  0.217 -0.217  0.387 -0.217  0.556 -0.225  0.724 -0.250  0.886 -0.296  1.045 -0.357  1.194 -0.438  1.343 -0.518  1.498 -0.589  1.632 -0.693
3#apb#apb14#app1442/l  -0.070 1.514  -0.027 1.569  0.000 1.572  0.012 1.502  0.025 1.434  0.040 1.365  0.055 1.296  0.069 1.228  0.083 1.159  0.083 1.089  0.083 1.019  0.083 0.949  0.083 0.879  0.083 0.809  0.083 0.739  0.083 0.668  0.083 0.598  0.078 0.528  0.073 0.459  0.068 0.389  0.063 0.319  0.059 0.249  0.054 0.179  0.049 0.109  0.044 0.039  0.039 -0.031  0.034 -0.101  0.029 -0.171  0.023 -0.241  0.018 -0.311  0.012 -0.381  0.007 -0.450  0.002 -0.520  -0.004 -0.590  -0.013 -0.660  -0.024 -0.729  -0.034 -0.798  -0.044 -0.868  -0.055 -0.937  -0.065 -1.006  -0.076 -1.076  -0.086 -1.145  -0.097 -1.214  -0.108 -1.283  -0.120 -1.353  -0.133 -1.421  -0.147 -1.490  -0.157 -1.559  -0.157 -1.629  -0.179 -1.694
3#apb#apb14#app1442/e  -0.590 0.204  -0.663 0.372  -0.727 0.540  -0.661 0.710  -0.562 0.859  -0.433 0.988  -0.255 1.027  -0.076 1.044  0.105 1.014  0.285 0.984  0.452 0.918  0.610 0.826  0.766 0.732  0.910 0.619  0.910 0.444  0.809 0.307  0.668 0.190  0.493 0.142  0.315 0.098  0.137 0.059  -0.045 0.041  -0.227 0.023  -0.408 0.005  -0.591 -0.002  -0.774 -0.007  -0.956 -0.012  -1.139 -0.017  -1.077 0.090  -0.953 0.224  -0.829 0.358  -0.705 0.492  -0.659 0.348  -0.619 0.170  -0.587 -0.009  -0.574 -0.192  -0.529 -0.367  -0.460 -0.536  -0.355 -0.685  -0.215 -0.799  -0.060 -0.893  0.117 -0.939  0.294 -0.986  0.473 -1.019  0.653 -1.052  0.834 -1.068  1.017 -1.068  1.200 -1.068  1.383 -1.068  1.563 -1.056  1.732 -0.987
3#apb#apb14#app1442/H  -0.247 1.200  -0.320 1.188  -0.364 0.907  -0.414 0.627  -0.486 0.350  -0.554 0.073  -0.621 -0.205  -0.691 -0.482  -0.778 -0.754  -0.871 -1.024  -0.802 -1.063  -0.536 -0.958  -0.270 -0.854  -0.004 -0.750  0.262 -0.646  0.528 -0.542  0.795 -0.438  1.061 -0.334  1.327 -0.230  1.376 -0.098  1.105 -0.024  0.820 -0.015  0.534 -0.022  0.249 -0.037  -0.035 -0.072  -0.319 -0.101  -0.604 -0.123  -0.888 -0.150  -1.172 -0.180  -1.452 -0.233  -1.414 -0.193  -1.179 -0.031  -0.944 0.132  -0.709 0.294  -0.474 0.457  -0.239 0.619  -0.004 0.781  0.232 0.944  0.467 1.106  0.702 1.269  0.884 1.210  0.926 0.935  0.882 0.652  0.828 0.372  0.764 0.093  0.681 -0.180  0.594 -0.452  0.536 -0.732  0.459 -1.007  0.379 -1.281
3#apb#apb14#app1442/a  0.866 1.030  0.795 1.160  0.651 1.205  0.507 1.237  0.365 1.187  0.223 1.137  0.093 1.064  -0.029 0.975  -0.151 0.887  -0.272 0.798  -0.394 0.708  -0.489 0.591  -0.584 0.475  -0.679 0.358  -0.774 0.241  -0.866 0.122  -0.922 -0.018  -0.978 -0.158  -1.034 -0.298  -1.074 -0.440  -1.074 -0.591  -1.074 -0.742  -1.021 -0.879  -0.935 -0.999  -0.815 -1.090  -0.668 -1.103  -0.541 -1.043  -0.430 -0.941  -0.320 -0.838  -0.213 -0.732  -0.107 -0.625  -0.008 -0.512  0.068 -0.383  0.145 -0.253  0.222 -0.123  0.296 0.008  0.368 0.140  0.441 0.272  0.531 0.390  0.650 0.471  0.753 0.381  0.821 0.247  0.852 0.099  0.881 -0.048  0.911 -0.196  0.941 -0.344  0.969 -0.492  0.996 -0.640  1.028 -0.787  1.080 -0.911
3#apb#apb14#app1442/l  0.324 1.408  0.363 1.466  0.411 1.515  0.420 1.459  0.410 1.390  0.399 1.320  0.388 1.251  0.377 1.181  0.361 1.113  0.340 1.045  0.320 0.978  0.300 0.911  0.280 0.843  0.259 0.776  0.239 0.708  0.220 0.640  0.202 0.572  0.184 0.504  0.167 0.436  0.149 0.368  0.131 0.300  0.113 0.232  0.095 0.164  0.077 0.096  0.060 0.028  0.038 -0.039  0.014 -0.106  -0.010 -0.172  -0.034 -0.238  -0.058 -0.304  -0.082 -0.370  -0.106 -0.437  -0.129 -0.503  -0.153 -0.569  -0.181 -0.634  -0.208 -0.699  -0.235 -0.764  -0.263 -0.829  -0.290 -0.893  -0.318 -0.958  -0.345 -1.023  -0.371 -1.089  -0.397 -1.154  -0.423 -1.219  -0.449 -1.285  -0.472 -1.351  -0.492 -1.419  -0.513 -1.486  -0.542 -1.550  -0.570 -1.612
3#apb#apb14#app1442/a  0.036 1.122  0.002 1.252  -0.116 1.219  -0.228 1.144  -0.319 1.041  -0.410 0.938  -0.502 0.834  -0.571 0.715  -0.640 0.596  -0.709 0.477  -0.778 0.357  -0.837 0.233  -0.884 0.104  -0.932 -0.026  -0.979 -0.156  -1.009 -0.290  -1.038 -0.425  -1.045 -0.562  -0.995 -0.676  -0.870 -0.685  -0.761 -0.600  -0.664 -0.504  -0.574 -0.399  -0.485 -0.294  -0.398 -0.187  -0.311 -0.080  -0.225 0.027  -0.149 0.143  -0.076 0.259  -0.002 0.376  0.083 0.483  0.187 0.550  0.294 0.474  0.369 0.358  0.443 0.242  0.477 0.109  0.505 -0.026  0.534 -0.161  0.587 -0.288  0.641 -0.415  0.712 -0.532  0.791 -0.645  0.901 -0.726  1.023 -0.787  1.154 -0.831  1.291 -0.819  1.427 -0.801  1.563 -0.776  1.686 -0.716  1.804 -0.645
3#apb#apb14#app1442/H  -0.605 1.102  -0.552 1.034  -0.580 0.753  -0.638 0.476  -0.727 0.207  -0.816 -0.063  -0.903 -0.333  -0.992 -0.602  -1.064 -0.876  -1.055 -1.042  -0.792 -0.936  -0.529 -0.830  -0.266 -0.724  -0.003 -0.618  0.260 -0.511  0.523 -0.405  0.786 -0.299  1.049 -0.193  1.311 -0.087  1.574 0.019  1.686 0.096  1.403 0.079  1.123 0.040  0.843 -0.008  0.564 -0.058  0.285 -0.110  0.007 -0.162  -0.273 -0.206  -0.555 -0.235  -0.838 -0.248  -1.121 -0.256  -1.373 -0.248  -1.148 -0.075  -0.924 0.098  -0.699 0.272  -0.475 0.445  -0.250 0.618  -0.026 0.791  0.199 0.964  0.423 1.137  0.648 1.311  0.742 1.059  0.747 0.776  0.704 0.496  0.635 0.223  0.531 -0.041  0.431 -0.306  0.337 -0.574  0.247 -0.843  0.149 -1.109
3#apb#apb14#app1442/e  -0.457 0.437  -0.320 0.589  -0.183 0.739  -0.044 0.889  0.135 0.980  0.326 1.043  0.529 1.023  0.732 1.000  0.927 0.940  1.052 0.798  1.019 0.611  0.887 0.465  0.722 0.344  0.535 0.270  0.339 0.213  0.143 0.156  -0.053 0.098  -0.249 0.041  -0.445 -0.015  -0.641 -0.071  -0.838 -0.124  -1.037 -0.171  -1.054 -0.112  -0.915 0.037  -0.776 0.187  -0.637 0.336  -0.499 0.486  -0.360 0.635  -0.418 0.665  -0.550 0.510  -0.650 0.332  -0.742 0.151  -0.824 -0.036  -0.863 -0.233  -0.876 -0.437  -0.859 -0.640  -0.762 -0.816  -0.602 -0.934  -0.412 -0.995  -0.209 -1.007  -0.005 -1.005  0.199 -0.996  0.400 -0.971  0.599 -0.923  0.797 -0.876  0.993 -0.817  1.187 -0.755  1.385 -0.707  1.587 -0.680  1.789 -0.654
