1d#tos#f3#f3073065/!  0.556 1.551  0.483 1.551  0.458 1.501  0.409 1.447  0.376 1.381  0.346 1.314  0.317 1.247  0.289 1.180  0.260 1.112  0.231 1.045  0.224 0.973  0.224 0.900  0.224 0.826  0.197 0.764  0.145 0.712  0.093 0.660  0.041 0.609  0.034 0.538  0.034 0.465  0.034 0.392  0.034 0.318  0.034 0.245  0.034 0.172  0.034 0.098  0.034 0.025  0.034 -0.048  0.025 -0.116  -0.041 -0.149  -0.071 -0.209  -0.085 -0.281  -0.100 -0.352  -0.114 -0.424  -0.129 -0.496  -0.143 -0.568  -0.157 -0.640  -0.172 -0.712  -0.186 -0.784  -0.200 -0.856  -0.215 -0.928  -0.229 -1.000  -0.244 -1.071  -0.258 -1.143  -0.272 -1.215  -0.287 -1.287  -0.299 -1.359  -0.299 -1.433  -0.316 -1.488  -0.389 -1.488  -0.463 -1.488  -0.536 -1.488
1d#tos#f3#f3073065/$  0.569 0.541  0.569 0.721  0.380 0.807  0.134 0.807  -0.109 0.781  -0.306 0.637  -0.441 0.497  -0.392 0.312  -0.182 0.184  0.058 0.141  0.284 0.054  0.524 0.008  0.724 -0.092  0.870 -0.260  0.935 -0.480  0.759 -0.601  0.584 -0.775  0.387 -0.905  0.162 -0.993  -0.061 -1.088  -0.293 -1.124  -0.423 -1.015  -0.406 -0.769  -0.389 -0.523  -0.372 -0.277  -0.355 -0.031  -0.338 0.215  -0.321 0.461  -0.304 0.707  -0.287 0.953  -0.270 1.199  -0.253 1.445  -0.236 1.691  -0.303 1.726  -0.200 1.513  -0.185 1.269  -0.131 1.031  -0.131 0.785  -0.130 0.538  -0.103 0.293  -0.080 0.048  -0.058 -0.198  -0.035 -0.444  -0.031 -0.690  -0.031 -0.937  -0.031 -1.183  -0.031 -1.430  0.044 -1.650  0.102 -1.876  0.136 -2.023
1d#tos#f3#f3073065/&  1.318 -0.720  1.218 -0.833  1.025 -0.854  0.811 -0.854  0.598 -0.854  0.387 -0.841  0.195 -0.749  0.000 -0.668  -0.154 -0.521  -0.333 -0.409  -0.484 -0.258  -0.547 -0.061  -0.625 0.120  -0.625 0.334  -0.625 0.547  -0.607 0.757  -0.564 0.963  -0.513 1.139  -0.392 1.289  -0.266 1.460  -0.088 1.525  0.126 1.525  0.330 1.483  0.414 1.334  0.481 1.162  0.481 0.948  0.411 0.751  0.255 0.637  0.120 0.490  -0.019 0.387  -0.165 0.319  -0.337 0.252  -0.529 0.185  -0.625 0.041  -0.722 -0.145  -0.764 -0.323  -0.793 -0.524  -0.780 -0.736  -0.701 -0.929  -0.574 -1.089  -0.361 -1.089  -0.148 -1.073  0.056 -1.017  0.252 -0.933  0.437 -0.827  0.559 -0.653  0.656 -0.465  0.749 -0.276  0.749 -0.063  0.715 0.118
1d#tos#f3#f3073065/'  0.315 0.857  0.315 0.936  0.315 1.014  0.315 1.092  0.315 1.170  0.315 1.248  0.315 1.326  0.279 1.368  0.230 1.339  0.230 1.261  0.230 1.182  0.230 1.104  0.229 1.026  0.200 0.954  0.171 0.881  0.142 0.809  0.113 0.736  0.084 0.663  0.057 0.590  0.042 0.514  0.027 0.437  0.011 0.360  -0.004 0.284  -0.019 0.207  -0.025 0.130  -0.025 0.052  -0.025 -0.027  -0.025 -0.105  -0.025 -0.183  -0.025 -0.261  -0.027 -0.339  -0.056 -0.411  -0.085 -0.484  -0.114 -0.556  -0.143 -0.629  -0.172 -0.702  -0.199 -0.775  -0.218 -0.851  -0.237 -0.926  -0.256 -1.002  -0.275 -1.078  -0.281 -1.155  -0.281 -1.234  -0.281 -1.312  -0.281 -1.390  -0.281 -1.468  -0.281 -1.546  -0.281 -1.624  -0.281 -1.702  -0.281 -1.781
1d#tos#f3#f3073065/)  -0.687 1.200  -0.645 1.241  -0.565 1.242  -0.483 1.242  -0.402 1.242  -0.320 1.242  -0.243 1.217  -0.172 1.180  -0.114 1.123  -0.054 1.069  0.019 1.033  0.092 0.996  0.165 0.960  0.219 0.900  0.268 0.835  0.313 0.768  0.350 0.695  0.385 0.622  0.385 0.540  0.385 0.458  0.385 0.377  0.385 0.295  0.385 0.214  0.385 0.132  0.385 0.051  0.385 -0.031  0.385 -0.112  0.385 -0.194  0.385 -0.275  0.385 -0.357  0.371 -0.435  0.335 -0.508  0.298 -0.581  0.252 -0.648  0.207 -0.716  0.162 -0.784  0.107 -0.843  0.042 -0.892  -0.023 -0.941  -0.086 -0.993  -0.149 -1.045  -0.211 -1.097  -0.274 -1.150  -0.332 -1.207  -0.389 -1.265  -0.460 -1.304  -0.533 -1.341  -0.610 -1.368  -0.689 -1.387  -0.769 -1.397
1d#tos#f3#f3073065/.  0.768 1.526  0.768 1.446  0.768 1.366  0.768 1.286  0.768 1.206  0.768 1.126  0.760 1.048  0.712 0.984  0.664 0.920  0.616 0.856  0.568 0.792  0.520 0.728  0.472 0.664  0.424 0.600  0.356 0.560  0.284 0.524  0.213 0.488  0.141 0.452  0.069 0.417  -0.002 0.381  -0.074 0.345  -0.145 0.309  -0.217 0.273  -0.288 0.237  -0.345 0.180  -0.401 0.123  -0.458 0.067  -0.514 0.010  -0.519 -0.068  -0.519 -0.148  -0.519 -0.228  -0.519 -0.308  -0.519 -0.388  -0.519 -0.468  -0.519 -0.548  -0.519 -0.628  -0.513 -0.707  -0.478 -0.779  -0.442 -0.850  -0.406 -0.922  -0.380 -0.998  -0.354 -1.073  -0.329 -1.149  -0.304 -1.225  -0.267 -1.293  -0.201 -1.337  -0.134 -1.382  -0.067 -1.426  -0.001 -1.471  0.066 -1.515
1d#tos#f3#f3073065/:  -0.099 0.929  -0.197 0.929  -0.296 0.929  -0.395 0.929  -0.494 0.929  -0.541 1.014  -0.565 1.090  -0.467 1.090  -0.368 1.090  -0.269 1.090  -0.170 1.087  -0.076 1.055  0.018 1.024  0.114 1.009  0.213 1.009  0.232 0.929  0.331 0.929  0.382 0.882  0.382 0.783  0.377 0.684  0.370 0.585  0.363 0.487  0.357 0.388  0.350 0.289  0.344 0.190  0.337 0.092  0.330 -0.007  0.324 -0.106  0.317 -0.204  0.311 -0.303  0.304 -0.402  0.302 -0.501  0.302 -0.600  0.302 -0.699  0.302 -0.798  0.302 -0.897  0.302 -0.995  0.282 -1.079  0.186 -1.103  0.090 -1.127  -0.006 -1.151  -0.102 -1.175  -0.198 -1.199  -0.294 -1.223  -0.391 -1.234  -0.490 -1.234  -0.586 -1.241  -0.656 -1.311  -0.726 -1.381  -0.740 -1.475
1d#tos#f3#f3073065/>  -0.132 1.179  -0.166 1.111  -0.258 1.088  -0.350 1.065  -0.443 1.045  -0.536 1.027  -0.629 1.008  -0.708 0.963  -0.775 0.896  -0.740 0.829  -0.673 0.762  -0.579 0.760  -0.484 0.760  -0.389 0.760  -0.294 0.760  -0.199 0.760  -0.104 0.760  -0.044 0.704  0.011 0.640  0.106 0.640  0.191 0.599  0.276 0.556  0.358 0.510  0.425 0.443  0.467 0.365  0.467 0.270  0.467 0.176  0.467 0.081  0.467 -0.014  0.467 -0.109  0.467 -0.204  0.454 -0.297  0.424 -0.387  0.394 -0.477  0.364 -0.567  0.347 -0.659  0.347 -0.754  0.347 -0.848  0.286 -0.918  0.219 -0.985  0.152 -1.052  0.093 -1.125  0.051 -1.210  0.009 -1.295  -0.024 -1.383  -0.047 -1.475  -0.070 -1.567  -0.120 -1.648  -0.172 -1.727  -0.192 -1.815
1d#tos#f3#f3073065/?  -0.621 1.224  -0.539 1.224  -0.457 1.224  -0.374 1.224  -0.292 1.224  -0.209 1.224  -0.127 1.224  -0.045 1.224  0.038 1.224  0.117 1.204  0.191 1.175  0.191 1.092  0.191 1.010  0.191 0.928  0.191 0.845  0.184 0.766  0.125 0.708  0.067 0.649  0.040 0.574  0.020 0.494  0.010 0.413  0.001 0.331  -0.019 0.251  -0.043 0.174  -0.089 0.105  -0.125 0.034  -0.125 -0.049  -0.125 -0.131  -0.125 -0.214  -0.076 -0.277  -0.051 -0.355  -0.026 -0.434  -0.001 -0.512  0.024 -0.591  0.049 -0.669  0.075 -0.747  0.100 -0.826  0.125 -0.904  0.150 -0.983  0.175 -1.061  0.200 -1.140  0.225 -1.218  0.250 -1.297  0.275 -1.375  0.221 -1.415  0.144 -1.444  0.067 -1.473  -0.010 -1.502  -0.080 -1.536  -0.080 -1.618
1d#tos#f3#f3073065/^  -0.708 -0.853  -0.800 -0.853  -0.887 -0.833  -0.970 -0.792  -0.988 -0.711  -0.988 -0.619  -0.988 -0.528  -0.988 -0.436  -0.988 -0.344  -0.988 -0.252  -0.967 -0.164  -0.938 -0.077  -0.918 0.012  -0.918 0.104  -0.917 0.195  -0.876 0.277  -0.848 0.362  -0.848 0.454  -0.779 0.496  -0.692 0.525  -0.603 0.543  -0.511 0.543  -0.419 0.543  -0.327 0.543  -0.236 0.543  -0.148 0.519  -0.061 0.490  0.027 0.463  0.116 0.441  0.205 0.419  0.291 0.388  0.367 0.337  0.443 0.286  0.523 0.241  0.605 0.200  0.687 0.159  0.767 0.114  0.832 0.049  0.896 -0.016  0.961 -0.081  1.051 -0.085  1.143 -0.085  1.217 -0.127  1.282 -0.192  1.361 -0.225  1.452 -0.225  1.495 -0.305  1.524 -0.390  1.524 -0.482  1.524 -0.574
1d#tos#f3#f3073065/`  0.626 1.172  0.626 1.062  0.584 0.977  0.485 0.928  0.387 0.879  0.288 0.829  0.208 0.754  0.130 0.676  0.030 0.651  -0.081 0.651  -0.191 0.651  -0.301 0.651  -0.412 0.651  -0.522 0.651  -0.633 0.651  -0.743 0.651  -0.853 0.651  -0.949 0.627  -0.998 0.529  -1.048 0.430  -1.097 0.331  -1.054 0.247  -0.976 0.169  -0.898 0.091  -0.820 0.013  -0.733 -0.044  -0.623 -0.044  -0.513 -0.044  -0.402 -0.044  -0.292 -0.044  -0.209 -0.094  -0.147 -0.186  -0.086 -0.278  -0.025 -0.370  0.036 -0.462  0.098 -0.553  0.197 -0.595  0.302 -0.630  0.406 -0.665  0.511 -0.700  0.616 -0.735  0.696 -0.809  0.775 -0.887  0.853 -0.965  0.931 -1.043  1.009 -1.121  1.087 -1.199  1.165 -1.277  1.243 -1.355  1.321 -1.433
