1d#apb#apb32#app3206/.  -0.641 0.383  -0.799 0.351  -0.957 0.320  -1.116 0.288  -1.190 0.145  -1.262 0.001  -1.289 -0.146  -1.229 -0.296  -1.169 -0.446  -1.094 -0.578  -0.936 -0.610  -0.778 -0.641  -0.619 -0.672  -0.460 -0.699  -0.300 -0.725  -0.141 -0.752  0.007 -0.720  0.146 -0.637  0.285 -0.553  0.422 -0.469  0.552 -0.372  0.681 -0.275  0.808 -0.176  0.923 -0.062  1.037 0.053  1.151 0.167  1.223 0.309  1.283 0.459  1.343 0.609  1.314 0.750  1.224 0.884  1.176 1.031  1.039 1.018  0.882 0.979  0.738 0.915  0.608 0.818  0.479 0.721  0.351 0.622  0.225 0.521  0.099 0.420  -0.027 0.319  -0.128 0.195  -0.218 0.061  -0.308 -0.074  -0.397 -0.208  -0.480 -0.347  -0.552 -0.492  -0.624 -0.636  -0.641 -0.794  -0.641 -0.956
1d#apb#apb32#app3206/,  -0.292 1.202  -0.245 1.262  -0.197 1.321  -0.136 1.352  -0.059 1.352  0.014 1.344  0.071 1.294  0.128 1.243  0.185 1.193  0.242 1.142  0.279 1.081  0.289 1.005  0.299 0.930  0.310 0.854  0.320 0.779  0.330 0.703  0.341 0.628  0.351 0.553  0.361 0.477  0.349 0.403  0.329 0.330  0.309 0.256  0.289 0.183  0.268 0.109  0.248 0.036  0.228 -0.037  0.208 -0.111  0.187 -0.184  0.167 -0.258  0.147 -0.331  0.127 -0.405  0.090 -0.471  0.053 -0.538  0.015 -0.604  -0.022 -0.670  -0.060 -0.737  -0.097 -0.803  -0.135 -0.869  -0.172 -0.935  -0.210 -1.002  -0.247 -1.068  -0.295 -1.126  -0.351 -1.178  -0.407 -1.230  -0.462 -1.282  -0.518 -1.334  -0.573 -1.386  -0.629 -1.439  -0.684 -1.491  -0.740 -1.543
1d#apb#apb32#app3206/;  0.260 1.130  0.180 1.177  0.093 1.205  0.021 1.153  -0.039 1.081  -0.087 1.002  -0.132 0.921  -0.170 0.837  -0.162 0.749  -0.078 0.713  -0.004 0.756  0.033 0.842  0.049 0.931  0.034 1.019  -0.018 1.096  -0.098 1.098  -0.139 1.018  -0.159 0.928  -0.135 0.839  -0.112 0.749  -0.088 0.659  -0.065 0.570  -0.041 0.480  -0.017 0.390  0.006 0.301  0.030 0.211  0.054 0.121  0.077 0.032  0.101 -0.058  0.124 -0.148  0.145 -0.238  0.166 -0.329  0.182 -0.419  0.172 -0.511  0.163 -0.604  0.153 -0.696  0.143 -0.788  0.134 -0.880  0.121 -0.972  0.092 -1.060  0.063 -1.148  0.033 -1.236  0.004 -1.324  -0.025 -1.412  -0.060 -1.498  -0.107 -1.577  -0.154 -1.657  -0.201 -1.737  -0.248 -1.817  -0.296 -1.897
1d#apb#apb32#app3206/:  0.345 1.544  0.365 1.564  0.333 1.500  0.312 1.429  0.292 1.358  0.261 1.291  0.224 1.227  0.188 1.163  0.149 1.100  0.108 1.039  0.094 0.966  0.082 0.894  0.045 0.839  0.053 0.843  0.071 0.807  0.063 0.733  0.055 0.660  0.047 0.586  0.040 0.513  0.032 0.439  0.024 0.366  0.016 0.292  0.009 0.219  0.001 0.145  -0.007 0.072  -0.015 -0.001  -0.022 -0.075  -0.030 -0.148  -0.038 -0.222  -0.045 -0.295  -0.053 -0.369  -0.061 -0.442  -0.069 -0.516  -0.076 -0.589  -0.084 -0.663  -0.092 -0.736  -0.100 -0.810  -0.107 -0.883  -0.115 -0.957  -0.123 -1.030  -0.131 -1.104  -0.138 -1.177  -0.146 -1.250  -0.154 -1.324  -0.161 -1.397  -0.213 -1.422  -0.278 -1.445  -0.297 -1.515  -0.311 -1.588  -0.344 -1.631
1d#apb#apb32#app3206/$  0.901 0.225  1.059 0.053  0.891 0.358  0.538 0.493  0.161 0.498  -0.193 0.369  -0.204 0.088  0.165 0.020  0.509 -0.137  0.735 -0.429  0.712 -0.792  0.454 -1.060  0.106 -1.207  -0.270 -1.206  -0.615 -1.065  -0.812 -0.761  -0.702 -0.401  -0.550 -0.053  -0.398 0.294  -0.246 0.642  -0.094 0.990  0.058 1.338  0.068 1.492  -0.090 1.147  -0.231 0.794  -0.362 0.438  -0.492 0.082  -0.607 -0.280  -0.712 -0.644  -0.791 -1.016  -0.817 -1.394  -0.723 -1.564  -0.592 -1.208  -0.462 -0.851  -0.332 -0.495  -0.202 -0.138  -0.072 0.218  0.059 0.575  0.189 0.931  0.319 1.288  0.449 1.644  0.471 1.594  0.441 1.216  0.421 0.836  0.395 0.458  0.364 0.080  0.327 -0.298  0.288 -0.676  0.260 -1.054  0.223 -1.432
1d#apb#apb32#app3206/#  0.134 0.944  0.020 0.583  -0.107 0.212  -0.250 -0.153  -0.371 -0.526  -0.493 -0.899  -0.597 -1.276  -0.592 -1.448  -0.412 -1.100  -0.231 -0.751  -0.051 -0.403  0.130 -0.055  0.310 0.293  0.491 0.641  0.671 0.990  0.796 0.925  0.767 0.535  0.683 0.152  0.590 -0.228  0.505 -0.611  0.437 -0.998  0.387 -1.387  0.369 -1.502  0.112 -1.205  -0.144 -0.909  -0.400 -0.612  -0.657 -0.315  -0.913 -0.018  -1.170 0.279  -1.421 0.575  -1.052 0.671  -0.659 0.671  -0.267 0.672  0.125 0.685  0.516 0.714  0.906 0.751  1.297 0.774  1.682 0.852  1.405 0.765  1.030 0.650  0.655 0.535  0.280 0.419  -0.095 0.304  -0.470 0.189  -0.844 0.073  -1.219 -0.042  -1.055 -0.161  -0.666 -0.125  -0.277 -0.080  0.115 -0.050
1d#apb#apb32#app3206/&  0.799 0.672  0.573 0.721  0.342 0.721  0.114 0.706  -0.101 0.621  -0.304 0.521  -0.397 0.317  -0.296 0.136  -0.086 0.039  0.119 -0.066  0.299 -0.209  0.395 -0.418  0.387 -0.641  0.229 -0.798  0.014 -0.884  -0.216 -0.894  -0.447 -0.891  -0.669 -0.847  -0.827 -0.686  -0.841 -0.467  -0.670 -0.350  -0.450 -0.282  -0.290 -0.138  -0.179 0.064  -0.068 0.267  0.043 0.470  0.154 0.672  0.265 0.875  0.376 1.078  0.486 1.280  0.519 1.508  0.549 1.738  0.505 1.621  0.441 1.399  0.385 1.174  0.321 0.952  0.264 0.729  0.211 0.504  0.159 0.279  0.106 0.054  0.053 -0.171  0.001 -0.396  -0.052 -0.621  -0.105 -0.846  -0.158 -1.071  -0.210 -1.296  -0.263 -1.521  -0.357 -1.694  -0.510 -1.862  -0.611 -2.067
1d#apb#apb32#app3206/!  0.267 1.551  0.267 1.624  0.234 1.589  0.223 1.517  0.214 1.443  0.205 1.370  0.194 1.297  0.172 1.227  0.150 1.156  0.127 1.086  0.105 1.016  0.086 0.945  0.071 0.872  0.057 0.800  0.042 0.728  0.028 0.655  0.015 0.583  0.003 0.510  -0.008 0.437  -0.020 0.364  -0.031 0.291  -0.041 0.218  -0.051 0.145  -0.061 0.072  -0.071 -0.001  -0.082 -0.074  -0.093 -0.147  -0.105 -0.220  -0.123 -0.292  -0.138 -0.364  -0.087 -0.387  -0.033 -0.405  -0.033 -0.479  -0.033 -0.553  -0.033 -0.627  -0.033 -0.701  -0.033 -0.774  -0.033 -0.848  -0.033 -0.922  -0.033 -0.996  -0.033 -1.070  -0.033 -1.143  -0.033 -1.217  -0.062 -1.279  -0.114 -1.331  -0.143 -1.398  -0.169 -1.467  -0.190 -1.538  -0.213 -1.608  -0.262 -1.654
1d#apb#apb32#app3206/?  0.197 0.995  0.137 1.055  0.020 1.025  -0.088 0.974  -0.189 0.909  -0.297 0.854  -0.405 0.800  -0.502 0.728  -0.599 0.656  -0.693 0.583  -0.629 0.577  -0.522 0.631  -0.412 0.681  -0.313 0.750  -0.204 0.800  -0.092 0.843  0.021 0.887  0.135 0.924  0.255 0.942  0.372 0.929  0.481 0.881  0.565 0.798  0.603 0.683  0.621 0.565  0.621 0.445  0.594 0.329  0.554 0.215  0.502 0.107  0.433 0.007  0.361 -0.089  0.283 -0.181  0.201 -0.270  0.112 -0.351  0.017 -0.425  -0.085 -0.490  -0.182 -0.561  -0.278 -0.635  -0.290 -0.729  -0.197 -0.806  -0.132 -0.907  -0.062 -1.006  -0.043 -1.122  -0.041 -1.242  -0.038 -1.363  -0.035 -1.484  -0.032 -1.605  -0.056 -1.700  -0.146 -1.778  -0.221 -1.869  -0.303 -1.957
1d#apb#apb32#app3206/  0.927 1.209  0.917 1.278  0.907 1.285  0.885 1.218  0.862 1.152  0.831 1.090  0.790 1.033  0.748 0.977  0.707 0.920  0.665 0.864  0.624 0.807  0.583 0.750  0.539 0.695  0.494 0.642  0.448 0.589  0.402 0.536  0.357 0.482  0.311 0.429  0.265 0.376  0.220 0.323  0.174 0.269  0.129 0.216  0.085 0.161  0.045 0.103  0.006 0.046  -0.034 -0.012  -0.074 -0.070  -0.114 -0.127  -0.154 -0.185  -0.194 -0.243  -0.234 -0.300  -0.274 -0.358  -0.314 -0.415  -0.359 -0.469  -0.404 -0.523  -0.448 -0.577  -0.493 -0.631  -0.538 -0.685  -0.582 -0.739  -0.627 -0.793  -0.672 -0.847  -0.704 -0.910  -0.734 -0.973  -0.764 -1.036  -0.795 -1.099  -0.825 -1.163  -0.854 -1.226  -0.882 -1.291  -0.910 -1.355  -0.937 -1.420
1d#apb#apb32#app3206/'  0.648 1.434  0.579 1.420  0.509 1.406  0.439 1.392  0.369 1.379  0.320 1.338  0.291 1.273  0.261 1.209  0.232 1.144  0.202 1.079  0.173 1.014  0.144 0.949  0.114 0.885  0.085 0.820  0.055 0.755  0.026 0.690  0.010 0.621  -0.004 0.551  -0.018 0.481  -0.032 0.411  -0.046 0.342  -0.060 0.272  -0.074 0.202  -0.088 0.132  -0.102 0.062  -0.115 -0.007  -0.129 -0.077  -0.143 -0.147  -0.157 -0.217  -0.168 -0.287  -0.175 -0.358  -0.182 -0.429  -0.189 -0.499  -0.197 -0.570  -0.204 -0.641  -0.211 -0.712  -0.218 -0.783  -0.225 -0.854  -0.218 -0.924  -0.203 -0.993  -0.187 -1.063  -0.172 -1.132  -0.156 -1.202  -0.141 -1.271  -0.125 -1.341  -0.110 -1.410  -0.102 -1.480  -0.102 -1.552  -0.102 -1.623  -0.102 -1.694
