1c#apb#apb38#app3826/d  0.162 0.128  0.051 0.117  -0.051 0.066  -0.142 -0.002  -0.229 -0.075  -0.316 -0.150  -0.400 -0.226  -0.485 -0.303  -0.565 -0.384  -0.646 -0.464  -0.721 -0.550  -0.789 -0.641  -0.837 -0.745  -0.867 -0.852  -0.862 -0.966  -0.823 -1.067  -0.727 -1.118  -0.613 -1.118  -0.502 -1.095  -0.392 -1.067  -0.286 -1.025  -0.180 -0.981  -0.086 -0.918  0.006 -0.851  0.088 -0.772  0.164 -0.687  0.231 -0.596  0.291 -0.499  0.349 -0.401  0.397 -0.297  0.445 -0.194  0.473 -0.084  0.499 0.027  0.506 0.141  0.506 0.255  0.505 0.369  0.498 0.483  0.492 0.597  0.485 0.710  0.479 0.824  0.473 0.938  0.465 1.052  0.452 1.165  0.440 1.279  0.418 1.390  0.387 1.500  0.355 1.609  0.323 1.719  0.307 1.830  0.271 1.933
1c#apb#apb38#app3826/i  0.012 -0.132  -0.019 -0.225  -0.051 -0.319  -0.082 -0.412  -0.075 -0.511  -0.068 -0.609  -0.060 -0.707  -0.059 -0.805  -0.059 -0.904  -0.059 -1.003  -0.066 -1.101  -0.076 -1.199  -0.075 -1.296  -0.051 -1.392  -0.034 -1.418  -0.031 -1.320  -0.028 -1.221  -0.025 -1.123  -0.022 -1.024  -0.019 -0.926  -0.015 -0.827  -0.012 -0.729  -0.009 -0.630  -0.006 -0.532  -0.003 -0.433  0.000 -0.335  0.003 -0.236  0.007 -0.138  0.010 -0.039  0.013 0.059  0.016 0.157  0.019 0.256  0.022 0.354  0.026 0.453  0.029 0.551  0.032 0.650  0.035 0.748  0.038 0.847  0.041 0.945  0.044 1.044  0.048 1.142  0.051 1.241  0.054 1.339  0.057 1.438  0.041 1.532  -0.003 1.620  -0.007 1.697  0.055 1.774  0.139 1.825  0.224 1.874
1c#apb#apb38#app3826/t  0.122 -0.020  0.122 -0.153  0.122 -0.287  0.122 -0.420  0.122 -0.553  0.117 -0.686  0.107 -0.819  0.125 -0.951  0.164 -1.077  0.241 -1.164  0.141 -1.076  0.040 -0.988  -0.060 -0.900  -0.160 -0.812  -0.260 -0.724  -0.360 -0.636  -0.461 -0.548  -0.561 -0.460  -0.661 -0.372  -0.761 -0.284  -0.861 -0.196  -0.961 -0.108  -1.062 -0.021  -1.162 0.067  -1.262 0.155  -1.283 0.218  -1.155 0.256  -1.028 0.296  -0.901 0.336  -0.774 0.377  -0.644 0.407  -0.513 0.431  -0.382 0.456  -0.251 0.480  -0.119 0.500  0.014 0.514  0.146 0.527  0.279 0.541  0.411 0.555  0.544 0.568  0.677 0.580  0.810 0.592  0.942 0.604  1.074 0.622  1.205 0.649  1.335 0.676  1.466 0.703  1.598 0.715  1.731 0.715  1.865 0.715
1c#apb#apb38#app3826/o  0.580 1.272  0.485 1.197  0.386 1.127  0.293 1.050  0.200 0.972  0.107 0.895  0.005 0.830  -0.099 0.768  -0.204 0.707  -0.308 0.645  -0.403 0.571  -0.495 0.491  -0.586 0.412  -0.678 0.333  -0.765 0.249  -0.851 0.163  -0.936 0.078  -1.003 -0.023  -1.065 -0.127  -1.096 -0.238  -1.086 -0.359  -1.076 -0.479  -1.009 -0.579  -0.940 -0.679  -0.871 -0.779  -0.766 -0.827  -0.649 -0.858  -0.532 -0.889  -0.413 -0.890  -0.294 -0.868  -0.175 -0.846  -0.056 -0.825  0.063 -0.802  0.173 -0.751  0.282 -0.699  0.392 -0.648  0.497 -0.590  0.583 -0.504  0.668 -0.418  0.754 -0.333  0.837 -0.245  0.906 -0.145  0.974 -0.045  1.043 0.054  1.108 0.156  1.155 0.268  1.203 0.379  1.245 0.491  1.221 0.610  1.197 0.729
1c#apb#apb38#app3826/r  -0.516 -0.084  -0.556 -0.178  -0.563 -0.276  -0.552 -0.378  -0.552 -0.480  -0.552 -0.583  -0.537 -0.684  -0.523 -0.785  -0.508 -0.886  -0.494 -0.988  -0.479 -1.089  -0.434 -1.181  -0.388 -1.272  -0.333 -1.299  -0.278 -1.212  -0.256 -1.116  -0.250 -1.014  -0.244 -0.911  -0.249 -0.810  -0.267 -0.709  -0.285 -0.609  -0.304 -0.508  -0.319 -0.407  -0.331 -0.305  -0.343 -0.204  -0.346 -0.102  -0.334 -0.001  -0.321 0.101  -0.295 0.198  -0.254 0.292  -0.213 0.386  -0.160 0.471  -0.085 0.541  -0.010 0.610  0.067 0.677  0.153 0.733  0.239 0.788  0.325 0.844  0.414 0.894  0.505 0.940  0.597 0.985  0.688 1.031  0.788 1.050  0.889 1.068  0.990 1.086  1.092 1.088  1.194 1.088  1.296 1.083  1.397 1.067  1.498 1.052
1c#apb#apb38#app3826/p  -0.233 0.455  -0.355 0.477  -0.437 0.559  -0.437 0.683  -0.391 0.794  -0.322 0.897  -0.222 0.963  -0.106 1.009  0.011 1.048  0.133 1.070  0.257 1.079  0.380 1.084  0.504 1.070  0.623 1.039  0.738 0.994  0.799 0.886  0.852 0.775  0.864 0.651  0.860 0.530  0.821 0.412  0.756 0.309  0.674 0.215  0.589 0.125  0.498 0.042  0.384 -0.008  0.269 -0.031  0.149 0.003  0.030 0.038  -0.089 0.073  -0.208 0.108  -0.325 0.143  -0.315 0.172  -0.292 0.051  -0.272 -0.072  -0.245 -0.193  -0.254 -0.313  -0.289 -0.432  -0.301 -0.555  -0.301 -0.679  -0.301 -0.803  -0.315 -0.926  -0.332 -1.049  -0.354 -1.171  -0.393 -1.289  -0.432 -1.407  -0.472 -1.525  -0.504 -1.644  -0.534 -1.765  -0.564 -1.885  -0.595 -2.006
1c#apb#apb38#app3826/e  -0.807 -0.182  -0.695 -0.283  -0.538 -0.323  -0.381 -0.357  -0.220 -0.339  -0.061 -0.312  0.095 -0.273  0.247 -0.224  0.375 -0.125  0.503 -0.027  0.628 0.075  0.737 0.195  0.846 0.315  0.953 0.435  1.060 0.557  1.111 0.699  1.108 0.860  1.064 1.016  0.938 1.089  0.782 1.131  0.625 1.126  0.466 1.094  0.308 1.063  0.158 1.003  0.010 0.938  -0.138 0.873  -0.276 0.790  -0.409 0.698  -0.542 0.606  -0.660 0.497  -0.774 0.383  -0.880 0.263  -0.953 0.118  -1.014 -0.029  -1.014 -0.191  -1.024 -0.352  -1.039 -0.510  -0.925 -0.625  -0.811 -0.739  -0.674 -0.820  -0.527 -0.888  -0.379 -0.952  -0.220 -0.984  -0.062 -1.015  0.097 -1.037  0.259 -1.037  0.421 -1.037  0.582 -1.042  0.743 -1.055  0.904 -1.067
1c#apb#apb38#app3826/r  -0.495 -0.941  -0.442 -1.015  -0.390 -1.089  -0.354 -1.171  -0.329 -1.258  -0.289 -1.338  -0.231 -1.406  -0.145 -1.418  -0.105 -1.355  -0.085 -1.266  -0.067 -1.178  -0.061 -1.087  -0.054 -0.997  -0.048 -0.906  -0.050 -0.817  -0.073 -0.729  -0.096 -0.642  -0.120 -0.554  -0.143 -0.466  -0.164 -0.378  -0.185 -0.290  -0.205 -0.202  -0.226 -0.113  -0.249 -0.026  -0.281 0.059  -0.314 0.144  -0.346 0.228  -0.372 0.314  -0.382 0.404  -0.392 0.494  -0.367 0.579  -0.331 0.663  -0.274 0.730  -0.206 0.790  -0.138 0.850  -0.064 0.901  0.013 0.950  0.089 0.999  0.167 1.043  0.258 1.051  0.348 1.059  0.438 1.067  0.529 1.061  0.619 1.055  0.710 1.049  0.800 1.043  0.890 1.036  0.981 1.030  1.071 1.024  1.162 1.017
1c#apb#apb38#app3826/a  0.374 1.117  0.250 1.166  0.125 1.211  0.016 1.160  -0.086 1.075  -0.186 0.987  -0.286 0.899  -0.385 0.810  -0.488 0.725  -0.593 0.643  -0.698 0.562  -0.786 0.465  -0.855 0.351  -0.923 0.237  -0.980 0.118  -1.019 -0.010  -1.057 -0.137  -1.059 -0.267  -1.037 -0.398  -1.015 -0.529  -0.973 -0.652  -0.895 -0.760  -0.814 -0.864  -0.695 -0.923  -0.576 -0.983  -0.457 -0.956  -0.338 -0.897  -0.219 -0.837  -0.123 -0.747  -0.035 -0.647  0.054 -0.548  0.152 -0.459  0.257 -0.377  0.362 -0.295  0.445 -0.194  0.509 -0.078  0.574 0.038  0.646 0.150  0.628 0.277  0.653 0.404  0.736 0.336  0.836 0.253  0.919 0.150  1.020 0.064  1.121 -0.023  1.205 -0.125  1.283 -0.234  1.370 -0.332  1.471 -0.419  1.573 -0.506
1c#apb#apb38#app3826/t  0.008 0.366  0.008 0.217  0.080 0.087  0.141 -0.048  0.170 -0.194  0.214 -0.336  0.270 -0.475  0.282 -0.621  0.285 -0.770  0.318 -0.915  0.343 -1.062  0.413 -1.170  0.324 -1.100  0.203 -1.014  0.081 -0.928  -0.041 -0.842  -0.163 -0.756  -0.284 -0.670  -0.406 -0.584  -0.528 -0.498  -0.650 -0.412  -0.771 -0.326  -0.893 -0.240  -1.015 -0.154  -1.137 -0.068  -1.258 0.018  -1.380 0.104  -1.355 0.164  -1.215 0.215  -1.074 0.262  -0.930 0.300  -0.783 0.324  -0.635 0.347  -0.489 0.374  -0.348 0.421  -0.206 0.469  -0.065 0.516  0.077 0.563  0.223 0.590  0.370 0.617  0.516 0.644  0.663 0.668  0.811 0.684  0.960 0.701  1.108 0.718  1.255 0.739  1.403 0.761  1.552 0.764  1.701 0.764  1.848 0.789
1c#apb#apb38#app3826/i  -0.732 -0.701  -0.685 -0.766  -0.638 -0.832  -0.592 -0.898  -0.552 -0.968  -0.512 -1.039  -0.475 -1.110  -0.443 -1.184  -0.410 -1.258  -0.378 -1.306  -0.352 -1.230  -0.326 -1.153  -0.300 -1.077  -0.274 -1.000  -0.248 -0.924  -0.222 -0.847  -0.196 -0.771  -0.170 -0.694  -0.144 -0.618  -0.118 -0.542  -0.092 -0.465  -0.066 -0.389  -0.040 -0.312  -0.014 -0.236  0.012 -0.159  0.038 -0.083  0.064 -0.006  0.090 0.070  0.116 0.147  0.142 0.223  0.168 0.300  0.194 0.376  0.220 0.453  0.246 0.529  0.272 0.605  0.298 0.682  0.324 0.758  0.350 0.835  0.376 0.911  0.402 0.988  0.428 1.064  0.454 1.141  0.480 1.217  0.502 1.292  0.430 1.328  0.398 1.389  0.430 1.462  0.469 1.532  0.514 1.600  0.559 1.667
