2#apa#apa15#app1556/P  0.002 0.673  -0.085 0.849  -0.157 0.904  -0.196 0.712  -0.234 0.520  -0.272 0.328  -0.291 0.134  -0.291 -0.062  -0.291 -0.258  -0.291 -0.454  -0.291 -0.650  -0.291 -0.846  -0.291 -1.042  -0.291 -1.238  -0.291 -1.434  -0.291 -1.630  -0.440 -1.671  -0.502 -1.485  -0.564 -1.299  -0.585 -1.106  -0.585 -0.910  -0.585 -0.714  -0.585 -0.518  -0.585 -0.322  -0.585 -0.126  -0.585 0.069  -0.528 0.256  -0.466 0.442  -0.390 0.622  -0.303 0.798  -0.270 0.978  -0.094 1.065  0.090 1.114  0.286 1.114  0.482 1.114  0.678 1.114  0.874 1.114  1.050 1.030  1.176 0.912  1.176 0.716  1.173 0.520  1.086 0.345  0.973 0.191  0.816 0.073  0.660 -0.045  0.503 -0.162  0.357 -0.293  0.219 -0.431  0.051 -0.501  -0.145 -0.501
2#apa#apa15#app1556/e  -0.749 -1.019  -0.610 -0.949  -0.470 -0.880  -0.330 -0.810  -0.176 -0.801  -0.042 -0.748  0.068 -0.638  0.178 -0.527  0.289 -0.417  0.399 -0.306  0.509 -0.196  0.585 -0.064  0.635 0.084  0.684 0.232  0.733 0.380  0.775 0.529  0.775 0.685  0.775 0.841  0.775 0.997  0.775 1.153  0.641 1.226  0.501 1.296  0.361 1.366  0.215 1.335  0.067 1.286  -0.081 1.236  -0.229 1.187  -0.361 1.111  -0.472 1.001  -0.549 0.872  -0.587 0.720  -0.624 0.569  -0.662 0.417  -0.700 0.266  -0.738 0.115  -0.723 -0.037  -0.685 -0.188  -0.647 -0.340  -0.609 -0.491  -0.571 -0.642  -0.533 -0.794  -0.427 -0.906  -0.316 -1.017  -0.161 -1.019  -0.005 -1.019  0.151 -1.019  0.307 -1.019  0.463 -1.019  0.619 -1.019  0.775 -1.019
2#apa#apa15#app1556/r  -0.566 -0.494  -0.566 -0.592  -0.566 -0.690  -0.566 -0.787  -0.547 -0.865  -0.449 -0.865  -0.352 -0.865  -0.254 -0.865  -0.196 -0.904  -0.196 -1.002  -0.196 -1.099  -0.196 -1.197  -0.196 -1.178  -0.196 -1.080  -0.196 -0.982  -0.196 -0.885  -0.251 -0.810  -0.320 -0.741  -0.389 -0.672  -0.458 -0.603  -0.526 -0.534  -0.548 -0.458  -0.504 -0.370  -0.461 -0.283  -0.417 -0.196  -0.373 -0.109  -0.330 -0.021  -0.286 0.066  -0.242 0.153  -0.199 0.240  -0.132 0.311  -0.063 0.380  0.006 0.449  0.075 0.518  0.144 0.587  0.213 0.656  0.282 0.725  0.351 0.794  0.420 0.863  0.489 0.932  0.558 1.001  0.627 1.070  0.696 1.139  0.765 1.208  0.834 1.277  0.903 1.346  0.995 1.359  1.092 1.359  1.190 1.359  1.287 1.359
2#apa#apa15#app1556/h  -0.852 1.474  -0.972 1.474  -0.960 1.393  -0.907 1.286  -0.854 1.180  -0.830 1.063  -0.806 0.946  -0.783 0.829  -0.759 0.712  -0.736 0.595  -0.713 0.478  -0.670 0.367  -0.617 0.261  -0.564 0.154  -0.531 0.040  -0.502 -0.076  -0.473 -0.192  -0.444 -0.308  -0.415 -0.423  -0.369 -0.533  -0.315 -0.639  -0.262 -0.746  -0.259 -0.641  -0.259 -0.522  -0.259 -0.403  -0.259 -0.283  -0.259 -0.164  -0.178 -0.078  -0.093 0.006  -0.009 0.091  0.085 0.161  0.192 0.215  0.299 0.268  0.414 0.286  0.518 0.251  0.603 0.167  0.687 0.083  0.772 -0.002  0.814 -0.112  0.852 -0.225  0.890 -0.338  0.927 -0.452  0.965 -0.565  1.003 -0.678  1.040 -0.791  1.079 -0.904  1.132 -1.011  1.185 -1.117  1.226 -1.227  1.226 -1.347
2#apa#apa15#app1556/a  -0.165 -0.897  -0.022 -0.754  0.121 -0.611  0.265 -0.468  0.380 -0.305  0.470 -0.124  0.561 0.057  0.630 0.247  0.694 0.439  0.758 0.631  0.822 0.823  0.828 1.024  0.705 1.150  0.524 1.241  0.343 1.331  0.142 1.337  -0.060 1.337  -0.234 1.268  -0.377 1.125  -0.491 0.959  -0.595 0.785  -0.699 0.612  -0.803 0.438  -0.907 0.265  -1.012 0.091  -1.116 -0.082  -1.158 -0.273  -1.158 -0.476  -1.158 -0.678  -1.158 -0.880  -0.973 -0.897  -0.770 -0.897  -0.595 -0.831  -0.452 -0.688  -0.309 -0.545  -0.166 -0.402  -0.023 -0.259  0.120 -0.116  0.263 0.027  0.332 0.201  0.374 0.302  0.517 0.159  0.580 -0.018  0.580 -0.220  0.587 -0.421  0.651 -0.613  0.715 -0.805  0.779 -0.997  0.828 -1.192  0.828 -1.394
2#apa#apa15#app1556/p  -0.423 -0.044  -0.385 -0.196  -0.347 -0.348  -0.309 -0.500  -0.276 -0.653  -0.276 -0.809  -0.276 -0.966  -0.276 -1.123  -0.276 -1.280  -0.243 -1.428  -0.173 -1.569  -0.149 -1.598  -0.198 -1.450  -0.248 -1.301  -0.286 -1.149  -0.308 -0.994  -0.330 -0.839  -0.352 -0.684  -0.374 -0.529  -0.397 -0.374  -0.419 -0.219  -0.423 -0.062  -0.423 0.094  -0.423 0.251  -0.423 0.408  -0.423 0.564  -0.423 0.721  -0.423 0.878  -0.385 1.019  -0.274 1.130  -0.163 1.241  -0.021 1.274  0.136 1.274  0.293 1.274  0.449 1.274  0.606 1.274  0.755 1.262  0.825 1.121  0.895 0.981  0.846 0.833  0.796 0.684  0.749 0.535  0.749 0.378  0.749 0.222  0.718 0.082  0.587 -0.005  0.457 -0.092  0.327 -0.179  0.173 -0.191  0.017 -0.191
2#apa#apa15#app1556/s  -0.652 -0.260  -0.609 -0.128  -0.565 0.003  -0.521 0.134  -0.477 0.265  -0.433 0.397  -0.390 0.528  -0.337 0.656  -0.275 0.779  -0.213 0.903  -0.151 1.027  -0.089 1.151  -0.211 1.161  -0.349 1.161  -0.453 1.076  -0.551 0.979  -0.649 0.881  -0.746 0.783  -0.844 0.685  -0.936 0.585  -0.936 0.446  -0.936 0.309  -0.797 0.309  -0.659 0.309  -0.527 0.267  -0.396 0.223  -0.265 0.179  -0.133 0.136  -0.002 0.092  0.129 0.048  0.257 -0.004  0.381 -0.066  0.505 -0.128  0.628 -0.190  0.752 -0.252  0.889 -0.260  1.027 -0.260  1.053 -0.373  1.053 -0.511  1.053 -0.650  1.053 -0.788  0.983 -0.898  0.885 -0.995  0.787 -1.093  0.690 -1.191  0.592 -1.289  0.494 -1.387  0.396 -1.485  0.298 -1.583  0.200 -1.681
2#apa#apa15#app1556/t  -0.867 1.552  -0.867 1.378  -0.820 1.212  -0.765 1.047  -0.710 0.882  -0.655 0.717  -0.600 0.552  -0.545 0.387  -0.490 0.222  -0.430 0.059  -0.366 -0.102  -0.301 -0.264  -0.236 -0.425  -0.172 -0.587  -0.107 -0.748  -0.065 -0.914  -0.065 -1.088  -0.060 -1.259  0.063 -1.382  0.135 -1.381  0.160 -1.215  0.257 -1.070  0.353 -0.926  0.450 -0.781  0.546 -0.636  0.643 -0.492  0.739 -0.347  0.836 -0.202  0.932 -0.058  1.028 0.087  1.125 0.232  1.221 0.376  1.318 0.521  1.239 0.452  1.107 0.350  0.933 0.350  0.760 0.350  0.586 0.350  0.412 0.350  0.238 0.350  0.064 0.350  -0.107 0.336  -0.272 0.281  -0.437 0.226  -0.602 0.171  -0.773 0.149  -0.946 0.149  -1.120 0.149  -1.294 0.149  -1.468 0.149
2#apa#apa15#app1556/h  -0.463 1.985  -0.463 1.851  -0.463 1.718  -0.463 1.584  -0.463 1.451  -0.463 1.317  -0.463 1.184  -0.463 1.050  -0.463 0.917  -0.463 0.783  -0.463 0.649  -0.463 0.516  -0.463 0.382  -0.463 0.249  -0.463 0.115  -0.463 -0.018  -0.440 -0.149  -0.413 -0.280  -0.387 -0.411  -0.361 -0.542  -0.335 -0.673  -0.309 -0.804  -0.282 -0.935  -0.262 -1.066  -0.262 -1.200  -0.262 -1.148  -0.251 -1.017  -0.191 -0.897  -0.131 -0.778  -0.071 -0.658  -0.060 -0.528  -0.060 -0.394  -0.060 -0.261  -0.013 -0.138  0.047 -0.019  0.107 0.101  0.197 0.171  0.331 0.171  0.464 0.171  0.582 0.133  0.677 0.039  0.762 -0.062  0.822 -0.182  0.881 -0.301  0.941 -0.421  1.001 -0.540  1.060 -0.659  1.120 -0.779  1.218 -0.837  1.351 -0.837
2#apa#apa15#app1556/e  -0.445 -0.872  -0.611 -0.872  -0.686 -0.872  -0.520 -0.872  -0.381 -0.808  -0.263 -0.690  -0.146 -0.573  -0.028 -0.455  0.089 -0.338  0.178 -0.200  0.252 -0.051  0.327 0.097  0.401 0.246  0.510 0.370  0.627 0.487  0.703 0.622  0.703 0.788  0.777 0.924  0.894 1.041  0.959 1.136  0.792 1.136  0.626 1.136  0.460 1.136  0.294 1.136  0.128 1.136  -0.038 1.136  -0.199 1.116  -0.348 1.041  -0.496 0.967  -0.645 0.893  -0.732 0.780  -0.732 0.614  -0.732 0.448  -0.732 0.282  -0.732 0.116  -0.732 -0.050  -0.732 -0.216  -0.672 -0.358  -0.554 -0.475  -0.437 -0.593  -0.320 -0.710  -0.202 -0.827  -0.085 -0.945  0.033 -1.062  0.159 -1.159  0.325 -1.159  0.491 -1.159  0.657 -1.159  0.823 -1.159  0.990 -1.159
2#apa#apa15#app1556/g  0.189 0.197  0.182 0.352  0.133 0.501  0.083 0.650  0.055 0.802  -0.008 0.932  -0.119 1.043  -0.236 1.139  -0.392 1.139  -0.530 1.093  -0.641 0.982  -0.751 0.871  -0.822 0.732  -0.888 0.590  -0.888 0.434  -0.833 0.331  -0.679 0.350  -0.527 0.388  -0.375 0.426  -0.223 0.464  -0.082 0.532  0.056 0.604  0.126 0.744  0.205 0.870  0.307 0.836  0.237 0.696  0.212 0.556  0.282 0.415  0.324 0.269  0.371 0.126  0.458 -0.004  0.544 -0.134  0.624 -0.269  0.694 -0.409  0.764 -0.549  0.834 -0.689  0.862 -0.839  0.862 -0.996  0.764 -1.112  0.654 -1.223  0.522 -1.284  0.366 -1.284  0.209 -1.284  0.052 -1.284  -0.104 -1.284  -0.261 -1.284  -0.418 -1.284  -0.574 -1.284  -0.731 -1.284  -0.888 -1.284
