2#apb#apb31#app3164/O  -0.280 0.682  -0.394 0.618  -0.462 0.501  -0.521 0.378  -0.575 0.252  -0.640 0.132  -0.694 0.007  -0.731 -0.125  -0.765 -0.257  -0.788 -0.392  -0.810 -0.527  -0.832 -0.662  -0.854 -0.797  -0.861 -0.933  -0.849 -1.069  -0.830 -1.204  -0.768 -1.313  -0.633 -1.297  -0.517 -1.225  -0.404 -1.149  -0.299 -1.060  -0.194 -0.972  -0.103 -0.871  -0.014 -0.767  0.074 -0.662  0.159 -0.555  0.240 -0.445  0.321 -0.334  0.401 -0.224  0.481 -0.113  0.561 -0.002  0.641 0.109  0.721 0.221  0.792 0.338  0.863 0.455  0.934 0.572  0.994 0.694  1.053 0.818  1.071 0.949  1.030 1.068  0.916 1.130  0.782 1.105  0.647 1.080  0.519 1.032  0.391 0.984  0.270 0.922  0.155 0.847  0.042 0.771  -0.066 0.687  -0.174 0.603
2#apb#apb31#app3164/n  -0.420 0.599  -0.510 0.488  -0.544 0.333  -0.551 0.176  -0.551 0.017  -0.566 -0.140  -0.593 -0.296  -0.620 -0.452  -0.678 -0.599  -0.743 -0.743  -0.806 -0.888  -0.863 -1.036  -0.950 -1.165  -1.021 -1.110  -0.987 -0.964  -0.926 -0.818  -0.862 -0.673  -0.796 -0.529  -0.717 -0.391  -0.639 -0.254  -0.555 -0.119  -0.463 0.009  -0.370 0.138  -0.278 0.266  -0.179 0.391  -0.079 0.513  0.021 0.636  0.121 0.759  0.234 0.869  0.355 0.971  0.477 1.073  0.612 1.153  0.754 1.223  0.906 1.196  1.006 1.097  1.051 0.947  1.051 0.788  1.043 0.631  1.012 0.475  0.981 0.320  0.929 0.170  0.874 0.022  0.816 -0.126  0.754 -0.272  0.693 -0.418  0.633 -0.564  0.572 -0.711  0.499 -0.851  0.437 -0.993  0.437 -1.152
2#apb#apb31#app3164/e  -1.446 -0.231  -1.326 -0.314  -1.175 -0.334  -1.022 -0.334  -0.869 -0.334  -0.717 -0.327  -0.564 -0.319  -0.412 -0.310  -0.274 -0.253  -0.141 -0.178  -0.008 -0.103  0.125 -0.028  0.252 0.055  0.366 0.157  0.480 0.259  0.594 0.361  0.707 0.463  0.819 0.567  0.931 0.671  1.043 0.774  1.111 0.909  1.170 1.050  1.122 1.170  0.982 1.227  0.847 1.211  0.722 1.124  0.596 1.037  0.478 0.941  0.361 0.842  0.244 0.744  0.128 0.646  0.026 0.533  -0.069 0.413  -0.163 0.293  -0.258 0.173  -0.331 0.041  -0.391 -0.100  -0.451 -0.240  -0.512 -0.380  -0.548 -0.528  -0.578 -0.678  -0.594 -0.827  -0.559 -0.976  -0.525 -1.125  -0.390 -1.195  -0.254 -1.263  -0.111 -1.309  0.041 -1.317  0.194 -1.325  0.346 -1.332
2#apb#apb31#app3164/D  -0.122 0.707  -0.172 0.890  -0.178 0.725  -0.191 0.535  -0.210 0.345  -0.216 0.155  -0.209 -0.035  -0.211 -0.226  -0.222 -0.416  -0.234 -0.606  -0.269 -0.794  -0.303 -0.981  -0.325 -1.171  -0.401 -1.323  -0.459 -1.141  -0.492 -0.954  -0.506 -0.764  -0.519 -0.574  -0.531 -0.384  -0.541 -0.193  -0.546 -0.003  -0.552 0.188  -0.543 0.378  -0.527 0.568  -0.509 0.758  -0.460 0.942  -0.405 1.124  -0.295 1.279  -0.156 1.404  0.010 1.479  0.196 1.437  0.346 1.325  0.483 1.193  0.591 1.036  0.693 0.876  0.747 0.693  0.802 0.511  0.838 0.324  0.870 0.136  0.868 -0.053  0.853 -0.243  0.797 -0.426  0.718 -0.598  0.618 -0.760  0.494 -0.903  0.359 -1.038  0.221 -1.169  0.080 -1.297  -0.075 -1.408  -0.206 -1.547
2#apb#apb31#app3164/u  -0.549 0.528  -0.599 0.665  -0.670 0.593  -0.750 0.447  -0.827 0.300  -0.902 0.151  -0.962 -0.004  -1.018 -0.160  -1.068 -0.319  -1.116 -0.478  -1.116 -0.645  -1.116 -0.811  -1.086 -0.975  -0.985 -1.085  -0.823 -1.107  -0.662 -1.092  -0.530 -0.991  -0.398 -0.889  -0.293 -0.760  -0.188 -0.631  -0.081 -0.503  0.029 -0.378  0.139 -0.254  0.239 -0.122  0.319 0.024  0.399 0.170  0.479 0.317  0.559 0.462  0.639 0.608  0.718 0.755  0.776 0.910  0.835 1.066  0.896 1.221  0.935 1.379  0.864 1.275  0.767 1.143  0.737 0.982  0.693 0.828  0.626 0.678  0.590 0.517  0.568 0.352  0.562 0.186  0.562 0.020  0.522 -0.141  0.477 -0.302  0.436 -0.463  0.397 -0.625  0.361 -0.787  0.334 -0.951  0.279 -1.107
2#apb#apb31#app3164/v  -0.310 1.047  -0.254 1.160  -0.234 1.148  -0.222 1.022  -0.225 0.898  -0.250 0.774  -0.275 0.650  -0.311 0.530  -0.356 0.413  -0.402 0.295  -0.448 0.178  -0.488 0.058  -0.528 -0.061  -0.568 -0.181  -0.608 -0.300  -0.630 -0.424  -0.643 -0.549  -0.655 -0.675  -0.668 -0.800  -0.685 -0.925  -0.702 -1.050  -0.713 -1.174  -0.678 -1.295  -0.575 -1.305  -0.464 -1.248  -0.356 -1.184  -0.271 -1.095  -0.202 -0.989  -0.133 -0.884  -0.065 -0.778  0.004 -0.673  0.076 -0.569  0.148 -0.466  0.220 -0.362  0.292 -0.259  0.364 -0.155  0.430 -0.048  0.493 0.062  0.556 0.171  0.619 0.280  0.682 0.389  0.745 0.498  0.809 0.607  0.873 0.715  0.937 0.824  1.001 0.932  1.066 1.041  1.134 1.147  1.202 1.253  1.270 1.359
2#apb#apb31#app3164/a  0.447 1.505  0.319 1.343  0.207 1.169  0.088 1.000  -0.038 0.836  -0.178 0.683  -0.319 0.532  -0.433 0.363  -0.513 0.173  -0.594 -0.018  -0.685 -0.203  -0.784 -0.385  -0.881 -0.567  -0.924 -0.770  -0.963 -0.972  -0.950 -1.179  -0.890 -1.362  -0.726 -1.443  -0.537 -1.360  -0.370 -1.245  -0.227 -1.095  -0.085 -0.945  0.041 -0.782  0.164 -0.615  0.287 -0.449  0.366 -0.258  0.439 -0.065  0.512 0.129  0.585 0.322  0.658 0.516  0.727 0.711  0.778 0.911  0.771 1.108  0.693 1.298  0.524 1.340  0.367 1.206  0.250 1.036  0.133 0.865  0.015 0.695  -0.090 0.519  -0.145 0.320  -0.181 0.118  -0.168 -0.088  -0.102 -0.281  -0.010 -0.466  0.141 -0.603  0.304 -0.730  0.474 -0.848  0.654 -0.947  0.847 -1.022
2#apb#apb31#app3164/l  0.512 1.615  0.490 1.549  0.472 1.482  0.456 1.414  0.439 1.347  0.426 1.279  0.416 1.210  0.407 1.141  0.397 1.072  0.388 1.003  0.378 0.935  0.358 0.868  0.335 0.803  0.312 0.737  0.289 0.672  0.266 0.606  0.243 0.541  0.219 0.475  0.195 0.410  0.170 0.345  0.145 0.281  0.120 0.216  0.095 0.151  0.070 0.086  0.045 0.021  0.020 -0.043  -0.005 -0.108  -0.032 -0.173  -0.060 -0.236  -0.088 -0.300  -0.116 -0.363  -0.144 -0.427  -0.172 -0.490  -0.200 -0.554  -0.228 -0.617  -0.256 -0.681  -0.285 -0.744  -0.313 -0.808  -0.341 -0.871  -0.369 -0.935  -0.397 -0.998  -0.426 -1.062  -0.454 -1.125  -0.482 -1.189  -0.505 -1.254  -0.523 -1.321  -0.540 -1.389  -0.557 -1.456  -0.575 -1.523  -0.592 -1.591
2#apb#apb31#app3164/P  -0.404 0.002  -0.422 -0.141  -0.438 -0.284  -0.453 -0.428  -0.480 -0.569  -0.508 -0.711  -0.541 -0.851  -0.576 -0.991  -0.610 -1.131  -0.643 -1.271  -0.715 -1.394  -0.780 -1.486  -0.748 -1.345  -0.710 -1.206  -0.673 -1.067  -0.637 -0.927  -0.601 -0.788  -0.552 -0.653  -0.501 -0.518  -0.450 -0.382  -0.404 -0.246  -0.357 -0.110  -0.311 0.027  -0.254 0.159  -0.193 0.290  -0.131 0.420  -0.065 0.547  0.015 0.667  0.095 0.787  0.179 0.904  0.278 1.009  0.377 1.113  0.500 1.190  0.622 1.265  0.763 1.289  0.889 1.249  0.998 1.155  1.044 1.019  1.069 0.880  1.047 0.738  0.994 0.606  0.925 0.479  0.833 0.370  0.731 0.268  0.615 0.184  0.492 0.108  0.367 0.037  0.239 -0.030  0.108 -0.090  -0.025 -0.145
2#apb#apb31#app3164/l  0.512 1.614  0.498 1.546  0.485 1.478  0.471 1.410  0.457 1.342  0.444 1.274  0.431 1.205  0.417 1.137  0.404 1.069  0.391 1.001  0.378 0.933  0.365 0.864  0.351 0.796  0.327 0.731  0.302 0.666  0.277 0.602  0.252 0.537  0.227 0.472  0.202 0.407  0.177 0.342  0.152 0.278  0.125 0.213  0.099 0.149  0.072 0.085  0.046 0.021  0.020 -0.044  -0.007 -0.108  -0.033 -0.172  -0.059 -0.237  -0.086 -0.301  -0.112 -0.365  -0.140 -0.429  -0.167 -0.493  -0.194 -0.557  -0.221 -0.621  -0.248 -0.685  -0.276 -0.749  -0.303 -0.813  -0.330 -0.876  -0.357 -0.940  -0.386 -1.004  -0.419 -1.065  -0.452 -1.126  -0.485 -1.187  -0.518 -1.248  -0.552 -1.309  -0.585 -1.370  -0.618 -1.431  -0.651 -1.492  -0.684 -1.553
2#apb#apb31#app3164/a  0.035 0.932  -0.083 0.798  -0.202 0.665  -0.322 0.534  -0.440 0.400  -0.550 0.259  -0.660 0.119  -0.743 -0.038  -0.822 -0.198  -0.902 -0.357  -0.960 -0.526  -1.013 -0.696  -1.061 -0.867  -1.075 -1.045  -1.066 -1.220  -0.970 -1.329  -0.792 -1.329  -0.662 -1.216  -0.540 -1.086  -0.418 -0.956  -0.309 -0.815  -0.202 -0.672  -0.095 -0.530  0.006 -0.383  0.102 -0.233  0.198 -0.082  0.294 0.068  0.388 0.219  0.483 0.370  0.577 0.522  0.671 0.673  0.744 0.836  0.817 0.999  0.887 1.162  0.901 1.340  0.892 1.420  0.828 1.254  0.752 1.092  0.675 0.931  0.605 0.768  0.553 0.597  0.501 0.426  0.449 0.256  0.408 0.082  0.366 -0.091  0.326 -0.265  0.316 -0.443  0.305 -0.621  0.363 -0.783  0.448 -0.940
