2#app#app13#app1369/w  -1.103 0.999  -0.978 0.957  -0.978 0.790  -0.978 0.623  -0.978 0.456  -0.978 0.289  -0.978 0.122  -0.978 -0.044  -0.978 -0.211  -0.978 -0.378  -0.949 -0.533  -0.853 -0.660  -0.853 -0.827  -0.853 -0.994  -0.706 -0.982  -0.588 -0.864  -0.477 -0.743  -0.477 -0.576  -0.411 -0.437  -0.352 -0.294  -0.352 -0.128  -0.234 -0.010  -0.204 0.145  -0.102 0.270  -0.102 0.436  0.004 0.498  0.149 0.476  0.149 0.309  0.149 0.142  0.215 -0.009  0.274 -0.162  0.274 -0.329  0.274 -0.496  0.274 -0.663  0.350 -0.754  0.517 -0.754  0.548 -0.605  0.650 -0.480  0.696 -0.332  0.799 -0.204  0.874 -0.055  0.949 0.095  1.023 0.244  1.140 0.363  1.219 0.509  1.276 0.663  1.276 0.830  1.363 0.961  1.451 1.100  1.526 1.249
2#app#app13#app1369/a  0.315 1.190  0.166 1.190  0.016 1.190  -0.128 1.179  -0.234 1.073  -0.340 0.967  -0.445 0.862  -0.552 0.758  -0.701 0.758  -0.765 0.673  -0.773 0.525  -0.840 0.392  -0.907 0.258  -0.974 0.125  -0.981 -0.023  -0.981 -0.172  -0.981 -0.322  -0.981 -0.471  -0.981 -0.620  -0.964 -0.753  -0.814 -0.753  -0.765 -0.853  -0.732 -0.969  -0.582 -0.969  -0.433 -0.969  -0.284 -0.969  -0.134 -0.969  0.015 -0.969  0.099 -0.903  0.099 -0.754  0.204 -0.648  0.309 -0.543  0.315 -0.396  0.390 -0.321  0.531 -0.313  0.531 -0.163  0.595 -0.041  0.701 0.065  0.747 0.195  0.747 0.344  0.747 0.494  0.847 0.542  0.963 0.508  0.963 0.359  1.079 0.327  1.178 0.276  1.178 0.127  1.178 -0.022  1.178 -0.172  1.178 -0.321
2#app#app13#app1369/r  -0.630 0.476  -0.630 0.358  -0.630 0.239  -0.630 0.121  -0.630 0.003  -0.630 -0.115  -0.630 -0.233  -0.630 -0.352  -0.630 -0.470  -0.630 -0.588  -0.630 -0.706  -0.630 -0.824  -0.566 -0.879  -0.448 -0.879  -0.405 -0.953  -0.405 -1.072  -0.344 -1.165  -0.261 -1.248  -0.177 -1.328  -0.094 -1.245  -0.010 -1.161  0.047 -1.067  0.047 -0.948  0.047 -0.830  0.047 -0.712  0.047 -0.594  0.047 -0.476  0.047 -0.357  0.047 -0.239  0.104 -0.145  0.187 -0.061  0.271 0.023  0.273 0.140  0.273 0.258  0.273 0.376  0.273 0.495  0.273 0.613  0.273 0.731  0.273 0.849  0.301 0.956  0.385 1.039  0.468 1.123  0.498 1.229  0.498 1.347  0.585 1.379  0.703 1.379  0.821 1.379  0.939 1.379  1.057 1.379  1.176 1.379
2#app#app13#app1369/t  -0.405 1.883  -0.294 1.771  -0.183 1.660  -0.072 1.549  -0.071 1.392  -0.071 1.235  -0.071 1.077  -0.071 0.920  -0.071 0.763  -0.071 0.606  -0.002 0.477  0.110 0.366  0.221 0.255  0.263 0.115  0.263 -0.042  0.263 -0.200  0.263 -0.357  0.263 -0.514  0.263 -0.671  0.263 -0.829  0.263 -0.986  0.263 -1.143  0.263 -1.300  0.263 -1.457  0.263 -1.615  0.263 -1.772  0.229 -1.656  0.191 -1.503  0.153 -1.351  0.115 -1.198  0.076 -1.046  0.038 -0.893  0.000 -0.741  -0.038 -0.588  -0.076 -0.436  -0.114 -0.283  -0.152 -0.131  -0.190 0.022  -0.229 0.175  -0.267 0.327  -0.305 0.480  -0.343 0.632  -0.381 0.785  -0.405 0.823  -0.405 0.665  -0.366 0.547  -0.209 0.547  -0.052 0.547  0.105 0.547  0.263 0.547
2#app#app13#app1369/y  -0.777 1.611  -0.777 1.487  -0.764 1.368  -0.677 1.281  -0.589 1.193  -0.548 1.087  -0.548 0.963  -0.489 0.864  -0.401 0.776  -0.311 0.694  -0.188 0.694  -0.090 0.668  -0.090 0.544  -0.058 0.433  0.029 0.346  0.117 0.258  0.139 0.144  0.139 0.020  0.250 0.006  0.370 0.011  0.409 0.128  0.448 0.246  0.488 0.363  0.527 0.481  0.566 0.598  0.587 0.674  0.532 0.563  0.477 0.452  0.421 0.341  0.365 0.232  0.277 0.144  0.189 0.057  0.139 -0.046  0.139 -0.170  0.139 -0.294  0.139 -0.418  0.139 -0.542  0.139 -0.665  0.063 -0.758  -0.025 -0.845  -0.090 -0.942  -0.090 -1.066  -0.090 -1.189  -0.090 -1.313  -0.090 -1.437  -0.090 -1.561  -0.090 -1.685  -0.090 -1.808  -0.090 -1.932  -0.090 -2.056
2#app#app13#app1369/h  -0.599 1.557  -0.599 1.390  -0.599 1.224  -0.599 1.058  -0.599 0.892  -0.599 0.726  -0.599 0.559  -0.599 0.393  -0.599 0.227  -0.599 0.061  -0.599 -0.106  -0.599 -0.272  -0.599 -0.438  -0.599 -0.604  -0.599 -0.770  -0.599 -0.937  -0.599 -1.103  -0.599 -1.269  -0.599 -1.435  -0.491 -1.342  -0.422 -1.204  -0.422 -1.038  -0.388 -0.885  -0.271 -0.768  -0.204 -0.619  -0.151 -0.461  -0.099 -0.304  -0.068 -0.143  -0.068 0.024  -0.034 0.176  0.083 0.293  0.201 0.411  0.286 0.542  0.286 0.708  0.303 0.867  0.421 0.985  0.570 1.026  0.708 0.958  0.816 0.836  0.816 0.670  0.816 0.504  0.816 0.338  0.920 0.215  0.993 0.078  0.993 -0.088  0.993 -0.254  0.993 -0.420  0.993 -0.586  0.993 -0.753  0.993 -0.919
2#app#app13#app1369/u  -0.961 0.783  -0.961 0.673  -0.961 0.563  -0.961 0.452  -0.961 0.342  -0.961 0.232  -0.961 0.121  -0.961 0.011  -0.961 -0.100  -0.961 -0.210  -0.886 -0.290  -0.808 -0.368  -0.730 -0.446  -0.711 -0.548  -0.711 -0.658  -0.673 -0.753  -0.595 -0.831  -0.517 -0.909  -0.429 -0.965  -0.319 -0.965  -0.209 -0.965  -0.098 -0.965  0.012 -0.965  0.098 -0.905  0.176 -0.827  0.254 -0.749  0.332 -0.671  0.410 -0.593  0.488 -0.515  0.538 -0.425  0.538 -0.315  0.538 -0.204  0.538 -0.094  0.538 0.016  0.538 0.127  0.538 0.237  0.601 0.284  0.711 0.284  0.787 0.318  0.787 0.429  0.787 0.539  0.787 0.650  0.787 0.760  0.787 0.870  0.787 0.981  0.787 1.091  0.787 1.201  0.787 1.312  0.787 1.422  0.787 1.532
2#app#app13#app1369/m  -1.410 0.160  -1.407 0.012  -1.301 -0.094  -1.266 -0.228  -1.266 -0.377  -1.266 -0.527  -1.153 -0.564  -1.121 -0.680  -1.000 -0.708  -0.976 -0.582  -0.846 -0.564  -0.832 -0.429  -0.832 -0.279  -0.730 -0.172  -0.687 -0.041  -0.687 0.108  -0.618 0.229  -0.542 0.347  -0.495 0.449  -0.346 0.449  -0.253 0.392  -0.210 0.261  -0.108 0.154  -0.108 0.005  -0.108 -0.144  -0.108 -0.294  -0.092 -0.436  0.014 -0.541  0.154 -0.564  0.181 -0.441  0.294 -0.362  0.428 -0.295  0.470 -0.172  0.545 -0.054  0.615 0.066  0.654 0.199  0.759 0.305  0.763 0.452  0.868 0.558  0.904 0.692  1.007 0.738  1.157 0.738  1.306 0.738  1.338 0.621  1.338 0.472  1.338 0.322  1.338 0.173  1.338 0.024  1.478 0.015  1.482 -0.130
2#app#app13#app1369/a  0.168 1.185  0.021 1.185  -0.126 1.185  -0.273 1.185  -0.384 1.150  -0.384 1.003  -0.437 0.909  -0.584 0.909  -0.660 0.838  -0.660 0.691  -0.723 0.570  -0.827 0.467  -0.931 0.363  -0.936 0.218  -0.936 0.071  -0.936 -0.076  -0.936 -0.223  -0.936 -0.369  -0.936 -0.516  -0.936 -0.663  -0.892 -0.792  -0.788 -0.896  -0.684 -1.000  -0.547 -1.024  -0.400 -1.024  -0.292 -0.931  -0.188 -0.827  -0.084 -0.723  0.020 -0.620  0.124 -0.516  0.168 -0.387  0.168 -0.240  0.270 -0.195  0.417 -0.195  0.444 -0.076  0.444 0.071  0.581 0.081  0.720 0.089  0.720 0.236  0.746 0.357  0.893 0.357  0.996 0.313  0.996 0.166  1.040 0.037  1.144 -0.066  1.247 -0.170  1.272 -0.307  1.272 -0.454  1.272 -0.601  1.272 -0.747
2#app#app13#app1369/n  -1.030 0.796  -1.030 0.638  -1.030 0.481  -1.030 0.323  -1.030 0.166  -1.030 0.008  -1.030 -0.149  -1.020 -0.297  -0.863 -0.297  -0.756 -0.349  -0.756 -0.506  -0.756 -0.664  -0.756 -0.821  -0.756 -0.979  -0.737 -1.117  -0.580 -1.117  -0.483 -1.057  -0.483 -0.899  -0.483 -0.742  -0.483 -0.584  -0.381 -0.469  -0.270 -0.357  -0.210 -0.225  -0.210 -0.067  -0.129 0.057  -0.017 0.168  0.063 0.292  0.063 0.450  0.123 0.582  0.235 0.694  0.337 0.809  0.337 0.966  0.392 1.069  0.549 1.069  0.610 0.972  0.610 0.814  0.749 0.796  0.883 0.773  0.883 0.615  0.883 0.458  0.883 0.300  0.883 0.143  0.883 -0.015  1.031 -0.024  1.156 -0.056  1.156 -0.214  1.156 -0.371  1.156 -0.529  1.156 -0.686  1.156 -0.844
2#app#app13#app1369/o  -0.277 1.063  -0.277 0.918  -0.331 0.826  -0.477 0.826  -0.514 0.718  -0.514 0.573  -0.514 0.427  -0.514 0.282  -0.514 0.136  -0.602 0.027  -0.705 -0.076  -0.752 -0.202  -0.752 -0.347  -0.752 -0.493  -0.752 -0.638  -0.752 -0.784  -0.684 -0.901  -0.581 -1.004  -0.514 -1.122  -0.514 -1.267  -0.409 -1.307  -0.263 -1.307  -0.118 -1.307  0.008 -1.259  0.110 -1.156  0.213 -1.054  0.316 -0.951  0.419 -0.848  0.434 -0.708  0.434 -0.563  0.434 -0.417  0.521 -0.359  0.666 -0.359  0.671 -0.218  0.671 -0.073  0.671 0.073  0.671 0.218  0.671 0.364  0.671 0.509  0.671 0.655  0.671 0.800  0.671 0.946  0.643 1.063  0.497 1.063  0.434 1.145  0.434 1.290  0.298 1.300  0.165 1.269  0.062 1.166  -0.040 1.063
2#app#app13#app1369/i  -0.188 0.452  -0.188 0.332  -0.185 0.214  -0.101 0.129  -0.016 0.045  0.048 -0.048  0.048 -0.167  0.048 -0.287  0.048 -0.406  0.048 -0.525  0.048 -0.645  0.022 -0.753  -0.063 -0.838  -0.147 -0.922  -0.188 -1.025  -0.188 -1.144  -0.188 -1.264  -0.188 -1.383  -0.119 -1.434  0.001 -1.434  0.048 -1.362  0.048 -1.242  0.048 -1.123  0.048 -1.003  0.048 -0.884  0.048 -0.765  0.048 -0.645  0.048 -0.526  0.048 -0.406  0.048 -0.287  0.048 -0.167  0.048 -0.048  0.048 0.071  0.048 0.191  0.048 0.310  0.048 0.430  0.048 0.549  0.048 0.669  0.048 0.788  0.048 0.908  0.048 1.027  0.048 1.146  0.048 1.266  0.048 1.385  0.048 1.505  0.048 1.624  0.048 1.744  0.048 1.863  0.048 1.982  0.048 2.102
