2#apb#apb18#app1815/P  -0.215 0.619  -0.248 0.441  -0.286 0.263  -0.324 0.086  -0.342 -0.095  -0.359 -0.275  -0.377 -0.456  -0.395 -0.636  -0.410 -0.817  -0.418 -0.998  -0.432 -1.179  -0.449 -1.360  -0.449 -1.541  -0.462 -1.429  -0.478 -1.248  -0.494 -1.068  -0.510 -0.887  -0.526 -0.706  -0.542 -0.526  -0.558 -0.345  -0.574 -0.164  -0.590 0.017  -0.606 0.197  -0.622 0.378  -0.677 0.547  -0.724 0.687  -0.582 0.800  -0.428 0.896  -0.263 0.971  -0.095 1.039  0.081 1.083  0.257 1.127  0.438 1.130  0.619 1.130  0.798 1.106  0.976 1.072  1.127 0.971  1.204 0.820  1.225 0.643  1.172 0.470  1.112 0.299  1.004 0.154  0.896 0.008  0.780 -0.131  0.658 -0.265  0.533 -0.396  0.385 -0.501  0.232 -0.597  0.063 -0.664  -0.118 -0.665
2#apb#apb18#app1815/r  -0.213 -1.176  -0.239 -1.252  -0.264 -1.327  -0.331 -1.302  -0.393 -1.254  -0.441 -1.190  -0.489 -1.126  -0.535 -1.061  -0.568 -0.988  -0.602 -0.915  -0.635 -0.843  -0.669 -0.770  -0.689 -0.695  -0.689 -0.615  -0.689 -0.535  -0.688 -0.455  -0.680 -0.375  -0.672 -0.296  -0.664 -0.216  -0.630 -0.145  -0.589 -0.077  -0.548 -0.008  -0.507 0.061  -0.442 0.107  -0.375 0.151  -0.309 0.195  -0.242 0.240  -0.176 0.284  -0.109 0.328  -0.038 0.364  0.034 0.400  0.105 0.436  0.177 0.472  0.248 0.507  0.320 0.543  0.390 0.582  0.456 0.626  0.523 0.670  0.589 0.715  0.656 0.759  0.722 0.803  0.793 0.839  0.870 0.859  0.947 0.880  1.025 0.901  1.102 0.921  1.178 0.945  1.251 0.977  1.324 1.010  1.397 1.042
2#apb#apb18#app1815/o  0.217 0.281  0.089 0.358  -0.011 0.468  -0.111 0.578  -0.225 0.676  -0.321 0.788  -0.400 0.915  -0.438 1.057  -0.447 1.206  -0.455 1.090  -0.505 0.949  -0.555 0.809  -0.607 0.668  -0.659 0.528  -0.712 0.388  -0.762 0.247  -0.804 0.104  -0.846 -0.040  -0.888 -0.183  -0.890 -0.332  -0.890 -0.482  -0.861 -0.626  -0.808 -0.765  -0.754 -0.905  -0.625 -0.978  -0.493 -1.049  -0.358 -1.104  -0.208 -1.104  -0.059 -1.104  0.090 -1.091  0.236 -1.062  0.383 -1.032  0.526 -0.989  0.666 -0.938  0.782 -0.855  0.868 -0.733  0.941 -0.605  0.958 -0.457  0.976 -0.308  0.992 -0.160  0.969 -0.012  0.946 0.136  0.922 0.283  0.869 0.419  0.782 0.540  0.694 0.661  0.595 0.773  0.496 0.885  0.398 0.998  0.300 1.111
2#apb#apb18#app1815/f  1.163 1.347  1.039 1.382  0.914 1.417  0.790 1.450  0.663 1.473  0.536 1.496  0.407 1.495  0.285 1.467  0.183 1.391  0.122 1.277  0.076 1.157  0.044 1.032  0.013 0.907  -0.013 0.780  -0.037 0.654  -0.061 0.527  -0.085 0.400  -0.106 0.272  -0.125 0.145  -0.145 0.017  -0.164 -0.110  -0.186 -0.238  -0.210 -0.364  -0.234 -0.491  -0.258 -0.618  -0.280 -0.745  -0.297 -0.873  -0.314 -1.001  -0.331 -1.129  -0.355 -1.256  -0.380 -1.383  -0.341 -1.336  -0.277 -1.224  -0.212 -1.112  -0.147 -1.001  -0.083 -0.889  -0.018 -0.777  0.046 -0.665  0.111 -0.554  0.176 -0.442  0.240 -0.330  0.258 -0.257  0.136 -0.300  0.014 -0.343  -0.112 -0.371  -0.238 -0.398  -0.364 -0.425  -0.490 -0.454  -0.615 -0.484  -0.741 -0.514
2#apb#apb18#app1815/.  1.163 1.347  1.039 1.382  0.914 1.417  0.790 1.450  0.663 1.473  0.536 1.496  0.407 1.495  0.285 1.467  0.183 1.391  0.122 1.277  0.076 1.157  0.044 1.032  0.013 0.907  -0.013 0.780  -0.037 0.654  -0.061 0.527  -0.085 0.400  -0.106 0.272  -0.125 0.145  -0.145 0.017  -0.164 -0.110  -0.186 -0.238  -0.210 -0.364  -0.234 -0.491  -0.258 -0.618  -0.280 -0.745  -0.297 -0.873  -0.314 -1.001  -0.331 -1.129  -0.355 -1.256  -0.380 -1.383  -0.341 -1.336  -0.277 -1.224  -0.212 -1.112  -0.147 -1.001  -0.083 -0.889  -0.018 -0.777  0.046 -0.665  0.111 -0.554  0.176 -0.442  0.240 -0.330  0.258 -0.257  0.136 -0.300  0.014 -0.343  -0.112 -0.371  -0.238 -0.398  -0.364 -0.425  -0.490 -0.454  -0.615 -0.484  -0.741 -0.514
2#apb#apb18#app1815/D  -0.152 0.753  -0.138 0.565  -0.125 0.376  -0.124 0.188  -0.124 -0.001  -0.121 -0.190  -0.110 -0.378  -0.100 -0.567  -0.082 -0.755  -0.061 -0.942  -0.040 -1.130  -0.014 -1.317  -0.093 -1.154  -0.174 -0.984  -0.256 -0.813  -0.337 -0.643  -0.419 -0.473  -0.500 -0.302  -0.581 -0.132  -0.663 0.038  -0.744 0.209  -0.826 0.379  -0.907 0.549  -0.989 0.720  -1.050 0.877  -0.951 1.008  -0.783 1.089  -0.595 1.112  -0.409 1.144  -0.223 1.166  -0.034 1.159  0.153 1.145  0.334 1.089  0.514 1.032  0.668 0.929  0.811 0.805  0.902 0.649  0.954 0.467  0.993 0.285  0.978 0.097  0.964 -0.092  0.924 -0.273  0.836 -0.440  0.748 -0.606  0.647 -0.765  0.526 -0.910  0.405 -1.055  0.272 -1.187  0.123 -1.302  -0.027 -1.418
2#apb#apb18#app1815/r  -0.641 -1.450  -0.701 -1.439  -0.701 -1.368  -0.701 -1.297  -0.696 -1.226  -0.687 -1.155  -0.678 -1.085  -0.669 -1.014  -0.660 -0.944  -0.652 -0.873  -0.643 -0.802  -0.614 -0.738  -0.579 -0.676  -0.544 -0.614  -0.509 -0.552  -0.474 -0.490  -0.439 -0.428  -0.404 -0.366  -0.369 -0.304  -0.334 -0.242  -0.299 -0.180  -0.264 -0.118  -0.225 -0.059  -0.182 -0.002  -0.139 0.055  -0.097 0.112  -0.054 0.169  -0.011 0.226  0.032 0.283  0.074 0.340  0.117 0.397  0.160 0.454  0.202 0.511  0.260 0.552  0.319 0.592  0.379 0.631  0.438 0.671  0.497 0.710  0.556 0.750  0.616 0.789  0.674 0.830  0.730 0.874  0.785 0.919  0.841 0.963  0.896 1.008  0.952 1.052  1.014 1.087  1.078 1.118  1.141 1.150  1.205 1.182
2#apb#apb18#app1815/.  -1.044 1.361  -0.992 1.309  -0.941 1.257  -0.889 1.205  -0.837 1.154  -0.785 1.102  -0.734 1.050  -0.682 0.998  -0.630 0.947  -0.578 0.895  -0.527 0.843  -0.475 0.791  -0.423 0.740  -0.371 0.688  -0.320 0.636  -0.268 0.584  -0.216 0.533  -0.164 0.481  -0.113 0.429  -0.061 0.377  -0.009 0.326  0.043 0.274  0.094 0.222  0.146 0.170  0.198 0.119  0.250 0.067  0.301 0.015  0.353 -0.037  0.405 -0.088  0.441 -0.147  0.441 -0.220  0.441 -0.293  0.441 -0.366  0.441 -0.439  0.441 -0.513  0.441 -0.586  0.441 -0.659  0.441 -0.732  0.441 -0.805  0.441 -0.879  0.441 -0.952  0.441 -1.025  0.441 -1.098  0.441 -1.171  0.441 -1.245  0.441 -1.318  0.441 -1.391  0.441 -1.464  0.441 -1.537  0.441 -1.610
2#apb#apb18#app1815/S  1.012 1.038  0.903 1.038  0.795 1.038  0.687 1.035  0.579 1.026  0.471 1.017  0.363 1.007  0.258 0.981  0.152 0.956  0.047 0.930  -0.058 0.905  -0.163 0.877  -0.267 0.849  -0.372 0.821  -0.474 0.787  -0.568 0.732  -0.661 0.677  -0.746 0.611  -0.819 0.532  -0.796 0.456  -0.695 0.420  -0.591 0.390  -0.488 0.354  -0.386 0.318  -0.285 0.279  -0.185 0.237  -0.087 0.193  -0.008 0.119  0.070 0.044  0.149 -0.030  0.205 -0.121  0.250 -0.220  0.295 -0.318  0.339 -0.417  0.356 -0.524  0.373 -0.631  0.391 -0.738  0.382 -0.843  0.352 -0.947  0.321 -1.051  0.287 -1.153  0.210 -1.229  0.133 -1.306  0.057 -1.382  -0.039 -1.427  -0.142 -1.463  -0.244 -1.499  -0.349 -1.482  -0.454 -1.456  -0.559 -1.430
2#apb#apb18#app1815/i  -0.081 0.454  -0.081 0.341  -0.081 0.227  -0.092 0.116  -0.143 0.015  -0.194 -0.087  -0.245 -0.188  -0.290 -0.292  -0.332 -0.398  -0.374 -0.503  -0.416 -0.608  -0.448 -0.716  -0.465 -0.828  -0.482 -0.941  -0.499 -1.053  -0.506 -1.165  -0.498 -1.278  -0.490 -1.392  -0.463 -1.378  -0.422 -1.272  -0.380 -1.167  -0.339 -1.061  -0.297 -0.956  -0.256 -0.850  -0.215 -0.744  -0.173 -0.639  -0.132 -0.533  -0.090 -0.427  -0.049 -0.322  -0.008 -0.216  0.034 -0.110  0.075 -0.005  0.117 0.101  0.158 0.206  0.199 0.312  0.241 0.418  0.282 0.523  0.324 0.629  0.365 0.735  0.406 0.840  0.448 0.946  0.489 1.051  0.531 1.157  0.572 1.263  0.613 1.368  0.655 1.474  0.696 1.580  0.738 1.685  0.779 1.791  0.820 1.897
2#apb#apb18#app1815/r  -0.839 -1.354  -0.824 -1.278  -0.809 -1.202  -0.794 -1.127  -0.779 -1.051  -0.773 -0.975  -0.773 -0.898  -0.773 -0.821  -0.773 -0.744  -0.773 -0.667  -0.773 -0.590  -0.773 -0.513  -0.773 -0.436  -0.773 -0.359  -0.773 -0.282  -0.773 -0.205  -0.769 -0.130  -0.714 -0.075  -0.660 -0.021  -0.605 0.034  -0.551 0.088  -0.482 0.120  -0.410 0.148  -0.338 0.176  -0.266 0.204  -0.195 0.232  -0.123 0.260  -0.051 0.288  0.021 0.316  0.094 0.339  0.168 0.359  0.243 0.380  0.317 0.400  0.391 0.420  0.466 0.440  0.540 0.461  0.614 0.481  0.689 0.501  0.763 0.522  0.839 0.535  0.915 0.547  0.991 0.559  1.067 0.572  1.143 0.584  1.219 0.596  1.295 0.608  1.371 0.620  1.447 0.632  1.523 0.645  1.599 0.657
