2#app#app31#app3161/0  0.905 0.126  0.905 0.302  0.762 0.335  0.695 0.445  0.619 0.545  0.443 0.545  0.266 0.545  0.090 0.545  -0.087 0.545  -0.229 0.461  -0.353 0.336  -0.354 0.160  -0.496 0.126  -0.641 0.049  -0.766 -0.076  -0.891 -0.201  -1.015 -0.326  -1.140 -0.450  -1.194 -0.605  -1.194 -0.781  -1.161 -0.924  -0.984 -0.924  -0.984 -1.101  -0.841 -1.134  -0.664 -1.134  -0.488 -1.134  -0.324 -1.104  -0.199 -0.979  -0.045 -0.924  0.112 -0.878  0.237 -0.753  0.384 -0.660  0.542 -0.581  0.699 -0.500  0.824 -0.376  0.905 -0.233  0.905 -0.056  0.905 0.120  0.905 0.297  0.905 0.473  0.831 0.619  0.707 0.744  0.582 0.869  0.450 0.983  0.292 1.062  0.134 1.141  -0.035 1.175  -0.211 1.175  -0.354 1.142  -0.354 0.965
2#app#app31#app3161/1  0.543 1.512  0.543 1.435  0.543 1.357  0.543 1.280  0.508 1.238  0.430 1.238  0.353 1.238  0.276 1.238  0.269 1.167  0.269 1.090  0.269 1.012  0.249 0.943  0.194 0.888  0.139 0.834  0.084 0.779  0.030 0.724  -0.006 0.661  -0.006 0.584  -0.006 0.506  -0.006 0.429  -0.006 0.351  -0.006 0.274  -0.006 0.197  -0.006 0.119  -0.006 0.042  -0.006 -0.036  -0.006 -0.113  -0.045 -0.174  -0.100 -0.229  -0.155 -0.284  -0.210 -0.338  -0.264 -0.393  -0.280 -0.464  -0.280 -0.542  -0.280 -0.619  -0.280 -0.696  -0.280 -0.774  -0.280 -0.851  -0.280 -0.929  -0.280 -1.006  -0.280 -1.084  -0.280 -1.161  -0.280 -1.239  -0.280 -1.316  -0.280 -1.393  -0.280 -1.471  -0.238 -1.506  -0.160 -1.506  -0.083 -1.506  -0.006 -1.506
2#app#app31#app3161/  0.968 1.352  0.897 1.352  0.859 1.297  0.827 1.233  0.789 1.173  0.738 1.122  0.724 1.057  0.724 0.985  0.710 0.917  0.678 0.853  0.646 0.788  0.597 0.736  0.546 0.686  0.495 0.635  0.457 0.575  0.425 0.511  0.393 0.447  0.361 0.383  0.329 0.319  0.297 0.254  0.265 0.190  0.232 0.127  0.181 0.076  0.131 0.025  0.080 -0.025  0.045 -0.087  0.013 -0.151  -0.029 -0.206  -0.093 -0.238  -0.157 -0.270  -0.211 -0.316  -0.262 -0.367  -0.312 -0.418  -0.363 -0.468  -0.414 -0.519  -0.465 -0.570  -0.515 -0.620  -0.566 -0.671  -0.617 -0.722  -0.665 -0.774  -0.697 -0.838  -0.730 -0.902  -0.784 -0.930  -0.839 -0.957  -0.871 -1.022  -0.903 -1.086  -0.951 -1.138  -0.988 -1.194  -0.988 -1.266  -0.988 -1.338
2#app#app31#app3161/2  -0.444 0.578  -0.444 0.723  -0.444 0.867  -0.386 0.954  -0.241 0.954  -0.096 0.954  0.048 0.954  0.193 0.954  0.338 0.954  0.482 0.954  0.627 0.954  0.772 0.954  0.903 0.922  1.006 0.820  0.991 0.766  0.872 0.741  0.872 0.596  0.745 0.578  0.601 0.578  0.496 0.538  0.496 0.393  0.369 0.327  0.240 0.262  0.109 0.202  -0.035 0.202  -0.147 0.123  -0.249 0.021  -0.391 0.014  -0.509 -0.051  -0.611 -0.153  -0.714 -0.256  -0.816 -0.358  -0.959 -0.362  -1.008 -0.458  -1.008 -0.602  -1.001 -0.744  -0.899 -0.847  -0.787 -0.925  -0.642 -0.925  -0.537 -1.021  -0.430 -1.113  -0.286 -1.113  -0.141 -1.113  0.004 -1.113  0.148 -1.113  0.293 -1.113  0.438 -1.113  0.582 -1.113  0.727 -1.113  0.872 -1.113
2#app#app31#app3161/3  -0.505 0.786  -0.505 0.928  -0.505 1.071  -0.505 1.213  -0.473 1.324  -0.331 1.324  -0.189 1.324  -0.075 1.254  0.025 1.153  0.164 1.145  0.307 1.145  0.392 1.088  0.412 0.965  0.555 0.965  0.572 0.840  0.572 0.697  0.535 0.570  0.434 0.469  0.309 0.427  0.167 0.427  0.027 0.421  -0.074 0.320  -0.186 0.248  -0.325 0.245  -0.325 0.102  -0.249 -0.008  -0.148 -0.109  -0.047 -0.210  0.062 -0.291  0.204 -0.291  0.307 -0.385  0.415 -0.470  0.557 -0.470  0.572 -0.598  0.572 -0.740  0.518 -0.829  0.392 -0.846  0.392 -0.988  0.270 -1.008  0.127 -1.008  -0.015 -1.008  -0.146 -1.020  -0.146 -1.162  -0.263 -1.188  -0.405 -1.188  -0.535 -1.218  -0.636 -1.319  -0.758 -1.367  -0.827 -1.367  -0.684 -1.367
2#app#app31#app3161/  0.893 1.435  0.892 1.363  0.841 1.312  0.822 1.247  0.822 1.175  0.787 1.117  0.742 1.062  0.710 0.997  0.677 0.933  0.645 0.868  0.613 0.803  0.589 0.735  0.566 0.666  0.543 0.598  0.497 0.544  0.446 0.493  0.396 0.440  0.374 0.372  0.351 0.303  0.328 0.234  0.277 0.183  0.226 0.132  0.177 0.079  0.137 0.019  0.097 -0.042  0.057 -0.102  0.009 -0.156  -0.042 -0.207  -0.093 -0.258  -0.144 -0.309  -0.195 -0.360  -0.248 -0.409  -0.313 -0.441  -0.378 -0.473  -0.429 -0.524  -0.480 -0.575  -0.528 -0.629  -0.560 -0.693  -0.593 -0.758  -0.658 -0.790  -0.722 -0.823  -0.767 -0.878  -0.807 -0.938  -0.847 -0.998  -0.897 -1.041  -0.962 -1.057  -1.013 -1.108  -1.017 -1.179  -0.948 -1.182  -0.875 -1.182
2#app#app31#app3161/4  -0.389 1.164  -0.389 0.971  -0.549 0.939  -0.614 0.811  -0.681 0.646  -0.817 0.510  -0.953 0.374  -1.064 0.228  -1.067 0.038  -1.260 0.038  -1.290 -0.125  -1.198 -0.280  -1.060 -0.413  -0.868 -0.413  -0.675 -0.413  -0.482 -0.413  -0.290 -0.413  -0.097 -0.413  0.095 -0.413  0.288 -0.413  0.481 -0.413  0.673 -0.413  0.866 -0.413  0.963 -0.317  0.963 -0.125  0.963 0.068  0.963 0.261  0.963 0.453  0.963 0.646  0.963 0.838  0.963 1.031  0.963 1.104  0.936 0.939  0.743 0.939  0.605 0.806  0.469 0.670  0.333 0.534  0.287 0.360  0.220 0.196  0.084 0.059  0.062 -0.124  0.062 -0.317  -0.006 -0.481  -0.143 -0.617  -0.163 -0.801  -0.163 -0.994  -0.163 -1.186  -0.163 -1.379  -0.163 -1.572  -0.163 -1.764
2#app#app31#app3161/5  0.664 1.296  0.778 1.296  0.828 1.296  0.714 1.296  0.601 1.296  0.487 1.296  0.374 1.296  0.264 1.286  0.184 1.206  0.104 1.126  0.023 1.046  -0.057 0.965  -0.146 0.906  -0.259 0.906  -0.312 0.845  -0.312 0.731  -0.377 0.645  -0.458 0.565  -0.507 0.472  -0.507 0.358  -0.507 0.245  -0.507 0.131  -0.432 0.049  -0.351 -0.031  -0.271 -0.111  -0.191 -0.192  -0.111 -0.272  -0.030 -0.352  0.050 -0.433  0.151 -0.461  0.265 -0.461  0.274 -0.566  0.297 -0.656  0.410 -0.656  0.469 -0.711  0.469 -0.825  0.469 -0.938  0.464 -1.047  0.351 -1.047  0.237 -1.047  0.124 -1.047  0.010 -1.047  -0.103 -1.047  -0.217 -1.047  -0.330 -1.047  -0.444 -1.047  -0.557 -1.047  -0.671 -1.047  -0.702 -1.129  -0.702 -1.242
2#app#app31#app3161/`  -0.371 0.337  -0.236 0.337  -0.101 0.337  0.034 0.337  0.169 0.337  0.180 0.461  0.180 0.596  0.180 0.731  0.180 0.866  0.067 0.888  -0.067 0.888  -0.202 0.888  -0.337 0.888  -0.371 0.990  -0.371 1.124  -0.371 1.259  -0.371 1.394  -0.371 1.349  -0.371 1.214  -0.371 1.079  -0.371 0.945  -0.371 0.810  -0.371 0.675  -0.371 0.540  -0.371 0.405  -0.371 0.270  -0.371 0.135  -0.371 0.000  -0.371 -0.135  -0.315 -0.214  -0.180 -0.214  -0.045 -0.214  0.090 -0.214  0.180 -0.259  0.180 -0.394  0.180 -0.528  0.180 -0.663  0.180 -0.798  0.180 -0.933  0.180 -1.068  0.180 -1.203  0.202 -1.316  0.337 -1.316  0.472 -1.316  0.607 -1.316  0.731 -1.327  0.731 -1.462  0.731 -1.597  0.731 -1.732  0.731 -1.867
2#app#app31#app3161/i  -0.041 -0.181  0.035 -0.257  0.083 -0.321  -0.024 -0.321  -0.041 -0.412  -0.041 -0.520  -0.041 -0.628  -0.041 -0.735  -0.141 -0.743  -0.181 -0.810  -0.181 -0.918  -0.181 -1.025  -0.181 -1.133  -0.128 -1.219  -0.052 -1.295  -0.041 -1.398  -0.037 -1.388  -0.031 -1.280  -0.025 -1.173  -0.018 -1.065  -0.012 -0.958  -0.006 -0.850  0.001 -0.743  0.007 -0.635  0.013 -0.528  0.020 -0.420  0.026 -0.313  0.032 -0.205  0.039 -0.098  0.045 0.010  0.051 0.117  0.058 0.225  0.064 0.332  0.070 0.440  0.076 0.547  0.083 0.655  0.089 0.762  0.095 0.870  0.100 0.977  0.100 1.085  0.052 1.181  0.004 1.278  -0.041 1.375  -0.041 1.482  -0.041 1.590  -0.041 1.698  -0.024 1.789  0.083 1.789  0.164 1.724  0.241 1.648
2#app#app31#app3161/s  0.156 1.792  0.156 1.657  0.156 1.522  0.060 1.483  -0.075 1.483  -0.153 1.426  -0.153 1.291  -0.153 1.156  -0.153 1.021  -0.153 0.886  -0.153 0.751  -0.153 0.616  -0.078 0.556  0.057 0.556  0.156 0.520  0.156 0.385  0.156 0.250  0.289 0.247  0.424 0.247  0.465 0.153  0.465 0.018  0.504 -0.100  0.599 -0.196  0.695 -0.291  0.774 -0.394  0.774 -0.529  0.774 -0.664  0.774 -0.799  0.774 -0.934  0.694 -0.989  0.559 -0.989  0.424 -0.989  0.289 -0.989  0.156 -0.986  0.156 -0.851  0.156 -0.716  0.057 -0.680  -0.078 -0.680  -0.213 -0.680  -0.348 -0.680  -0.483 -0.680  -0.618 -0.680  -0.753 -0.680  -0.771 -0.563  -0.771 -0.428  -0.849 -0.371  -0.984 -0.371  -1.119 -0.371  -1.254 -0.371  -1.389 -0.371
