1a#apb#apb40#app4051/4  -0.205 0.812  -0.341 0.890  -0.480 0.767  -0.593 0.620  -0.691 0.463  -0.769 0.294  -0.842 0.123  -0.909 -0.051  -0.975 -0.225  -0.984 -0.401  -0.845 -0.495  -0.662 -0.464  -0.490 -0.396  -0.320 -0.320  -0.148 -0.249  0.027 -0.187  0.203 -0.125  0.382 -0.076  0.564 -0.041  0.747 -0.033  0.931 -0.064  1.088 -0.163  1.060 0.008  1.023 0.190  0.986 0.373  0.949 0.555  0.912 0.737  0.876 0.920  0.839 1.102  0.802 1.285  0.725 1.255  0.623 1.099  0.537 0.936  0.467 0.763  0.398 0.590  0.327 0.419  0.230 0.260  0.133 0.101  0.036 -0.058  -0.061 -0.216  -0.161 -0.373  -0.261 -0.530  -0.361 -0.687  -0.458 -0.846  -0.545 -1.010  -0.632 -1.174  -0.716 -1.340  -0.785 -1.513  -0.840 -1.690  -0.790 -1.832
1a#apb#apb40#app4051/8  1.045 1.028  1.038 1.176  0.967 1.295  0.845 1.380  0.701 1.356  0.556 1.323  0.425 1.255  0.294 1.186  0.202 1.071  0.114 0.951  0.044 0.823  0.002 0.681  -0.041 0.539  -0.064 0.394  -0.069 0.245  -0.073 0.097  -0.069 -0.051  -0.050 -0.198  -0.031 -0.345  -0.013 -0.492  0.004 -0.640  0.019 -0.787  0.004 -0.934  -0.025 -1.077  -0.101 -1.205  -0.207 -1.304  -0.330 -1.386  -0.476 -1.408  -0.609 -1.369  -0.724 -1.279  -0.785 -1.144  -0.841 -1.008  -0.841 -0.859  -0.841 -0.711  -0.825 -0.567  -0.756 -0.435  -0.688 -0.303  -0.601 -0.186  -0.490 -0.088  -0.379 0.010  -0.259 0.096  -0.127 0.163  0.006 0.229  0.143 0.282  0.286 0.322  0.429 0.361  0.577 0.379  0.724 0.397  0.871 0.381  1.017 0.359
1a#apb#apb40#app4051/1  0.780 1.494  0.765 1.426  0.750 1.358  0.734 1.290  0.719 1.222  0.703 1.154  0.679 1.090  0.649 1.027  0.618 0.964  0.588 0.901  0.558 0.839  0.528 0.776  0.498 0.713  0.462 0.654  0.418 0.600  0.375 0.545  0.331 0.491  0.288 0.437  0.244 0.382  0.201 0.328  0.157 0.273  0.114 0.219  0.072 0.164  0.035 0.104  -0.001 0.045  -0.038 -0.014  -0.074 -0.073  -0.111 -0.133  -0.148 -0.192  -0.184 -0.251  -0.221 -0.310  -0.257 -0.370  -0.292 -0.430  -0.326 -0.491  -0.360 -0.552  -0.393 -0.613  -0.427 -0.673  -0.461 -0.734  -0.495 -0.795  -0.528 -0.856  -0.559 -0.919  -0.590 -0.981  -0.621 -1.043  -0.653 -1.105  -0.684 -1.168  -0.713 -1.231  -0.742 -1.294  -0.771 -1.357  -0.797 -1.422  -0.819 -1.488
1a#apb#apb40#app4051/0  0.137 1.175  0.079 1.058  0.021 0.941  -0.038 0.824  -0.102 0.711  -0.172 0.601  -0.242 0.490  -0.312 0.380  -0.382 0.270  -0.451 0.159  -0.522 0.050  -0.593 -0.060  -0.664 -0.170  -0.735 -0.279  -0.805 -0.389  -0.867 -0.503  -0.900 -0.629  -0.933 -0.755  -0.966 -0.882  -0.935 -0.993  -0.848 -1.090  -0.742 -1.148  -0.612 -1.156  -0.481 -1.163  -0.363 -1.116  -0.248 -1.054  -0.133 -0.992  -0.019 -0.930  0.085 -0.853  0.180 -0.763  0.274 -0.673  0.369 -0.582  0.463 -0.492  0.532 -0.383  0.594 -0.268  0.657 -0.153  0.719 -0.038  0.757 0.084  0.774 0.214  0.791 0.343  0.809 0.473  0.826 0.602  0.799 0.728  0.762 0.853  0.725 0.978  0.687 1.104  0.631 1.218  0.548 1.319  0.465 1.420  0.382 1.521
1a#apb#apb40#app4051/5  -0.183 0.905  -0.151 1.063  -0.173 0.867  -0.250 0.682  -0.344 0.506  -0.442 0.332  -0.537 0.156  -0.623 -0.023  -0.574 -0.169  -0.378 -0.133  -0.191 -0.065  -0.007 0.013  0.179 0.086  0.367 0.153  0.556 0.209  0.747 0.152  0.905 0.050  1.006 -0.121  1.006 -0.321  0.973 -0.513  0.886 -0.694  0.785 -0.864  0.653 -1.014  0.507 -1.150  0.350 -1.272  0.173 -1.364  -0.014 -1.429  -0.213 -1.454  -0.399 -1.389  -0.565 -1.282  -0.677 -1.136  -0.661 -0.937  -0.645 -0.738  -0.628 -0.538  -0.612 -0.339  -0.596 -0.140  -0.579 0.059  -0.563 0.259  -0.547 0.458  -0.530 0.657  -0.514 0.856  -0.514 0.969  -0.315 0.984  -0.116 1.006  0.082 1.029  0.279 1.063  0.476 1.100  0.673 1.134  0.871 1.156  1.070 1.178
1a#apb#apb40#app4051/7  -0.894 0.691  -0.833 0.752  -0.757 0.805  -0.675 0.845  -0.587 0.874  -0.498 0.902  -0.410 0.930  -0.321 0.955  -0.229 0.962  -0.137 0.969  -0.044 0.976  0.048 0.983  0.141 0.990  0.229 0.964  0.318 0.937  0.407 0.911  0.495 0.884  0.555 0.813  0.614 0.741  0.670 0.669  0.663 0.577  0.656 0.485  0.648 0.392  0.641 0.300  0.620 0.212  0.567 0.137  0.513 0.061  0.460 -0.015  0.406 -0.090  0.353 -0.166  0.299 -0.241  0.245 -0.317  0.192 -0.392  0.138 -0.468  0.084 -0.544  0.031 -0.619  -0.023 -0.695  -0.076 -0.771  -0.129 -0.847  -0.181 -0.923  -0.234 -0.999  -0.287 -1.075  -0.340 -1.151  -0.387 -1.231  -0.428 -1.314  -0.470 -1.397  -0.511 -1.479  -0.521 -1.569  -0.514 -1.661  -0.508 -1.753
1a#apb#apb40#app4051/1  0.930 1.416  0.884 1.364  0.837 1.312  0.791 1.259  0.745 1.207  0.699 1.155  0.653 1.103  0.622 1.041  0.592 0.978  0.563 0.915  0.533 0.852  0.504 0.789  0.474 0.726  0.444 0.663  0.415 0.600  0.385 0.537  0.355 0.475  0.317 0.417  0.277 0.360  0.237 0.303  0.196 0.247  0.156 0.190  0.115 0.134  0.075 0.077  0.034 0.020  -0.006 -0.036  -0.047 -0.093  -0.087 -0.150  -0.128 -0.206  -0.169 -0.262  -0.210 -0.318  -0.251 -0.374  -0.292 -0.430  -0.333 -0.487  -0.374 -0.543  -0.416 -0.599  -0.457 -0.655  -0.498 -0.711  -0.537 -0.768  -0.569 -0.830  -0.602 -0.891  -0.634 -0.953  -0.666 -1.015  -0.698 -1.077  -0.730 -1.138  -0.763 -1.199  -0.799 -1.259  -0.835 -1.319  -0.868 -1.379  -0.868 -1.449
1a#apb#apb40#app4051/2  -0.157 1.443  -0.052 1.422  0.055 1.413  0.163 1.413  0.269 1.404  0.373 1.376  0.474 1.342  0.552 1.269  0.631 1.196  0.684 1.108  0.705 1.003  0.726 0.897  0.715 0.794  0.681 0.692  0.647 0.590  0.613 0.487  0.558 0.397  0.488 0.315  0.418 0.233  0.349 0.152  0.279 0.070  0.199 -0.002  0.113 -0.066  0.027 -0.131  -0.059 -0.195  -0.145 -0.260  -0.230 -0.326  -0.314 -0.394  -0.398 -0.461  -0.482 -0.528  -0.568 -0.592  -0.662 -0.644  -0.756 -0.696  -0.850 -0.748  -0.937 -0.812  -0.988 -0.878  -0.917 -0.946  -0.809 -0.946  -0.701 -0.946  -0.594 -0.940  -0.487 -0.928  -0.380 -0.916  -0.273 -0.904  -0.166 -0.891  -0.061 -0.873  0.044 -0.848  0.149 -0.823  0.253 -0.799  0.358 -0.774  0.463 -0.749
1a#apb#apb40#app4051/6  0.640 1.870  0.547 1.898  0.460 1.811  0.378 1.720  0.326 1.608  0.274 1.496  0.223 1.384  0.171 1.272  0.120 1.160  0.068 1.048  0.015 0.937  -0.038 0.826  -0.091 0.714  -0.144 0.603  -0.197 0.492  -0.250 0.381  -0.303 0.269  -0.353 0.156  -0.392 0.040  -0.432 -0.077  -0.472 -0.194  -0.511 -0.311  -0.551 -0.427  -0.590 -0.544  -0.591 -0.666  -0.583 -0.789  -0.576 -0.912  -0.527 -1.012  -0.424 -1.079  -0.321 -1.146  -0.201 -1.150  -0.078 -1.140  0.040 -1.118  0.140 -1.046  0.241 -0.974  0.330 -0.892  0.399 -0.790  0.469 -0.688  0.521 -0.578  0.554 -0.459  0.559 -0.341  0.525 -0.222  0.419 -0.181  0.303 -0.181  0.200 -0.249  0.098 -0.317  0.011 -0.402  -0.062 -0.501  -0.135 -0.601  -0.208 -0.701
1a#apb#apb40#app4051/3  -0.386 1.298  -0.450 1.351  -0.358 1.362  -0.256 1.346  -0.155 1.327  -0.054 1.307  0.045 1.280  0.142 1.246  0.239 1.212  0.315 1.147  0.384 1.071  0.408 0.977  0.408 0.874  0.363 0.783  0.315 0.692  0.267 0.601  0.200 0.526  0.120 0.461  0.041 0.395  -0.038 0.329  -0.113 0.259  -0.188 0.189  -0.256 0.113  -0.229 0.037  -0.136 -0.001  -0.035 -0.021  0.064 -0.046  0.159 -0.085  0.254 -0.124  0.337 -0.180  0.398 -0.262  0.455 -0.346  0.443 -0.448  0.431 -0.550  0.394 -0.640  0.321 -0.712  0.248 -0.785  0.176 -0.858  0.099 -0.926  0.017 -0.989  -0.064 -1.051  -0.145 -1.114  -0.227 -1.177  -0.310 -1.238  -0.392 -1.299  -0.475 -1.360  -0.558 -1.421  -0.647 -1.471  -0.739 -1.517  -0.831 -1.563
1a#apb#apb40#app4051/1  0.602 1.587  0.577 1.523  0.551 1.458  0.525 1.394  0.499 1.330  0.472 1.266  0.444 1.202  0.417 1.138  0.390 1.075  0.362 1.011  0.335 0.947  0.308 0.884  0.281 0.819  0.256 0.755  0.230 0.690  0.205 0.626  0.179 0.561  0.154 0.497  0.129 0.432  0.103 0.368  0.078 0.303  0.052 0.239  0.027 0.174  0.002 0.110  -0.023 0.045  -0.042 -0.022  -0.062 -0.088  -0.082 -0.155  -0.102 -0.221  -0.121 -0.288  -0.141 -0.354  -0.161 -0.421  -0.181 -0.487  -0.200 -0.554  -0.220 -0.620  -0.240 -0.687  -0.260 -0.753  -0.279 -0.819  -0.301 -0.885  -0.323 -0.951  -0.345 -1.017  -0.367 -1.083  -0.389 -1.148  -0.411 -1.214  -0.433 -1.280  -0.455 -1.346  -0.477 -1.412  -0.499 -1.477  -0.521 -1.543  -0.543 -1.609
