3#app#app18#app1836/O  0.111 0.671  0.111 0.840  -0.044 0.854  -0.212 0.854  -0.256 0.729  -0.367 0.671  -0.439 0.575  -0.521 0.488  -0.622 0.420  -0.660 0.267  -0.779 0.148  -0.805 -0.010  -0.805 -0.179  -0.878 -0.318  -0.989 -0.441  -0.989 -0.609  -0.989 -0.778  -0.836 -0.795  -0.805 -0.932  -0.682 -0.978  -0.622 -1.087  -0.528 -1.161  -0.359 -1.161  -0.190 -1.161  -0.036 -1.125  0.083 -1.006  0.240 -0.978  0.375 -0.897  0.502 -0.795  0.668 -0.787  0.787 -0.668  0.906 -0.549  1.026 -0.429  1.027 -0.261  1.027 -0.092  1.027 0.076  1.027 0.245  1.027 0.414  0.932 0.488  0.787 0.545  0.667 0.664  0.589 0.813  0.514 0.964  0.390 1.038  0.222 1.038  0.053 1.038  -0.072 0.994  -0.101 0.854  -0.256 0.840  -0.256 0.671
3#app#app18#app1836/N  -0.749 -1.244  -0.597 -1.244  -0.666 -1.244  -0.749 -1.175  -0.749 -1.023  -0.749 -0.871  -0.749 -0.718  -0.749 -0.566  -0.749 -0.414  -0.749 -0.262  -0.749 -0.109  -0.749 0.043  -0.807 0.171  -0.915 0.279  -0.943 0.420  -0.943 0.572  -0.943 0.665  -0.943 0.513  -0.803 0.501  -0.749 0.402  -0.692 0.307  -0.540 0.307  -0.387 0.307  -0.361 0.181  -0.277 0.113  -0.137 0.083  -0.029 -0.025  0.100 -0.081  0.243 -0.103  0.351 -0.211  0.476 -0.275  0.623 -0.289  0.730 -0.397  0.838 -0.505  0.946 -0.612  0.996 -0.582  0.996 -0.429  0.996 -0.277  0.996 -0.125  0.996 0.028  0.996 0.180  0.996 0.332  0.996 0.484  0.900 0.597  0.802 0.709  0.802 0.861  0.802 1.013  0.802 1.166  0.844 1.276  0.996 1.276
3#app#app18#app1836/T  0.499 0.367  0.320 0.367  0.310 0.199  0.467 0.178  0.499 0.031  0.499 -0.147  0.499 -0.326  0.499 -0.504  0.499 -0.682  0.499 -0.861  0.499 -1.039  0.572 -1.144  0.687 -1.207  0.740 -1.333  0.845 -1.304  0.712 -1.185  0.580 -1.066  0.447 -0.946  0.315 -0.827  0.182 -0.708  0.049 -0.588  -0.083 -0.469  -0.216 -0.350  -0.348 -0.231  -0.481 -0.111  -0.613 0.008  -0.746 0.127  -0.879 0.247  -1.011 0.366  -1.189 0.367  -1.367 0.367  -1.546 0.367  -1.433 0.367  -1.294 0.462  -1.154 0.556  -0.976 0.556  -0.798 0.556  -0.619 0.556  -0.441 0.556  -0.263 0.556  -0.084 0.556  0.094 0.556  0.121 0.707  0.262 0.745  0.440 0.745  0.619 0.745  0.765 0.822  0.897 0.933  1.065 0.944  1.065 1.122
3#app#app18#app1836/H  -0.998 0.607  -0.998 0.353  -0.998 0.098  -0.998 -0.157  -0.998 -0.411  -0.831 -0.596  -0.825 -0.849  -0.825 -1.103  -0.825 -1.358  -0.678 -1.466  -0.564 -1.255  -0.465 -1.020  -0.366 -0.786  -0.267 -0.551  -0.169 -0.316  -0.070 -0.082  0.029 0.153  0.128 0.387  0.226 0.622  0.325 0.856  0.424 1.091  0.523 1.326  0.622 1.560  0.720 1.795  0.729 1.585  0.729 1.330  0.729 1.075  0.729 0.821  0.729 0.566  0.729 0.312  0.729 0.057  0.729 -0.197  0.729 -0.452  0.729 -0.706  0.890 -0.770  0.653 -0.675  0.417 -0.581  0.180 -0.486  -0.056 -0.392  -0.292 -0.297  -0.529 -0.202  -0.765 -0.108  -0.808 0.089  -0.554 0.089  -0.299 0.089  -0.071 0.026  0.138 -0.084  0.393 -0.084  0.557 0.007  0.729 0.089
3#app#app18#app1836/E  -0.329 0.534  -0.506 0.402  -0.443 0.119  -0.329 -0.143  -0.329 -0.452  -0.329 -0.761  -0.329 -1.070  -0.329 -1.379  -0.153 -1.196  -0.318 -1.053  -0.329 -0.755  -0.506 -0.622  -0.506 -0.313  -0.623 -0.053  -0.682 0.232  -0.682 0.541  -0.682 0.850  -0.682 1.159  -0.646 1.027  -0.584 0.965  -0.512 1.063  -0.203 1.063  0.023 1.146  0.239 1.240  0.548 1.240  0.729 1.368  0.989 1.416  0.938 1.254  0.732 1.023  0.527 0.792  0.322 0.562  0.117 0.331  -0.089 0.100  -0.294 -0.131  -0.273 -0.291  -0.014 -0.171  0.295 -0.171  0.537 -0.010  0.840 0.005  0.733 -0.167  0.515 -0.385  0.296 -0.604  0.078 -0.822  -0.141 -1.041  -0.287 -1.229  0.022 -1.229  0.331 -1.229  0.464 -1.053  0.773 -1.053  1.082 -1.053
3#app#app18#app1836/V  -1.043 0.421  -1.168 0.421  -1.238 0.477  -1.238 0.602  -1.238 0.505  -1.196 0.421  -1.071 0.421  -1.043 0.324  -1.023 0.206  -0.934 0.117  -0.846 0.029  -0.757 -0.060  -0.668 -0.149  -0.579 -0.238  -0.490 -0.326  -0.402 -0.415  -0.313 -0.504  -0.209 -0.556  -0.083 -0.556  -0.065 -0.664  -0.027 -0.751  0.098 -0.751  0.130 -0.845  0.154 -0.947  0.279 -0.947  0.382 -1.003  0.470 -1.092  0.521 -1.088  0.521 -0.962  0.521 -0.837  0.521 -0.711  0.521 -0.586  0.521 -0.460  0.521 -0.335  0.521 -0.209  0.521 -0.083  0.521 0.042  0.521 0.168  0.569 0.274  0.657 0.362  0.716 0.464  0.716 0.589  0.716 0.715  0.716 0.840  0.716 0.966  0.716 1.091  0.716 1.217  0.716 1.343  0.716 1.468  0.716 1.594
3#app#app18#app1836/E  -0.534 0.726  -0.633 0.908  -0.704 0.714  -0.534 0.503  -0.534 0.222  -0.365 0.010  -0.352 -0.266  -0.352 -0.547  -0.352 -0.829  -0.352 -1.110  -0.238 -1.278  -0.228 -1.073  -0.306 -0.802  -0.383 -0.531  -0.460 -0.261  -0.538 0.010  -0.615 0.281  -0.692 0.551  -0.770 0.822  -0.847 1.092  -0.804 1.272  -0.704 1.090  -0.423 1.090  -0.142 1.090  0.140 1.090  0.408 1.122  0.627 1.272  0.909 1.272  0.781 1.046  0.632 0.807  0.483 0.568  0.334 0.330  0.185 0.091  0.036 -0.148  0.250 -0.185  0.532 -0.185  0.631 -0.003  0.912 -0.003  0.732 -0.194  0.533 -0.393  0.334 -0.592  0.135 -0.791  -0.064 -0.990  -0.170 -1.228  -0.120 -1.095  0.162 -1.095  0.443 -1.095  0.724 -1.095  1.006 -1.095  1.287 -1.095
3#app#app18#app1836/L  -0.285 1.384  -0.390 1.384  -0.496 1.384  -0.601 1.384  -0.662 1.340  -0.662 1.234  -0.595 1.196  -0.489 1.196  -0.473 1.106  -0.473 1.000  -0.473 0.895  -0.473 0.789  -0.473 0.683  -0.473 0.578  -0.473 0.472  -0.473 0.366  -0.473 0.261  -0.473 0.155  -0.473 0.050  -0.473 -0.056  -0.438 -0.126  -0.332 -0.126  -0.285 -0.184  -0.285 -0.290  -0.285 -0.395  -0.285 -0.501  -0.285 -0.607  -0.285 -0.712  -0.285 -0.818  -0.285 -0.839  -0.285 -0.733  -0.220 -0.692  -0.114 -0.692  -0.008 -0.692  0.097 -0.692  0.203 -0.692  0.308 -0.692  0.414 -0.692  0.520 -0.692  0.625 -0.692  0.710 -0.642  0.785 -0.567  0.864 -0.504  0.970 -0.504  1.075 -0.504  1.181 -0.504  1.287 -0.504  1.392 -0.504  1.498 -0.504  1.603 -0.504
3#app#app18#app1836/V  -0.990 0.357  -1.121 0.357  -1.166 0.442  -1.166 0.494  -1.166 0.364  -1.042 0.357  -0.934 0.302  -0.842 0.210  -0.814 0.091  -0.769 0.005  -0.638 0.005  -0.638 -0.125  -0.578 -0.231  -0.486 -0.323  -0.394 -0.415  -0.301 -0.508  -0.285 -0.631  -0.223 -0.700  -0.097 -0.711  -0.005 -0.804  0.067 -0.904  0.067 -1.035  0.181 -1.052  0.243 -1.120  0.265 -1.228  0.396 -1.228  0.419 -1.121  0.419 -0.991  0.419 -0.860  0.419 -0.729  0.419 -0.599  0.419 -0.468  0.419 -0.338  0.419 -0.207  0.419 -0.077  0.419 0.054  0.419 0.184  0.419 0.315  0.459 0.436  0.517 0.553  0.576 0.670  0.596 0.795  0.596 0.926  0.596 1.056  0.596 1.187  0.596 1.318  0.619 1.438  0.712 1.531  0.772 1.545  0.772 1.414
3#app#app18#app1836/E  -0.615 0.695  -0.531 0.500  -0.419 0.332  -0.419 0.053  -0.419 -0.226  -0.419 -0.506  -0.419 -0.785  -0.419 -1.064  -0.336 -1.261  -0.261 -1.098  -0.324 -0.826  -0.387 -0.554  -0.449 -0.282  -0.512 -0.010  -0.575 0.262  -0.638 0.534  -0.701 0.807  -0.763 1.079  -0.740 1.282  -0.460 1.282  -0.181 1.282  0.098 1.282  0.377 1.282  0.559 1.380  0.740 1.478  0.911 1.420  0.756 1.187  0.601 0.955  0.447 0.722  0.292 0.490  0.137 0.258  -0.018 0.025  -0.173 -0.207  -0.224 -0.471  -0.147 -0.283  0.132 -0.283  0.216 -0.087  0.495 -0.087  0.742 -0.103  0.563 -0.317  0.384 -0.532  0.205 -0.746  0.026 -0.961  -0.152 -1.175  -0.055 -1.261  0.168 -1.204  0.308 -1.065  0.587 -1.065  0.866 -1.065  1.146 -1.065
3#app#app18#app1836/T  0.412 0.545  0.241 0.562  0.241 0.750  0.192 0.888  0.070 0.822  0.070 0.635  0.070 0.447  0.070 0.259  0.070 0.071  0.070 -0.116  0.186 -0.256  0.241 -0.421  0.241 -0.609  0.140 -0.755  0.070 -0.913  0.070 -1.101  0.070 -1.289  0.070 -1.476  0.223 -1.510  0.127 -1.384  0.002 -1.245  -0.124 -1.105  -0.249 -0.965  -0.375 -0.826  -0.501 -0.686  -0.626 -0.547  -0.752 -0.407  -0.877 -0.268  -1.003 -0.128  -1.129 0.011  -1.254 0.151  -1.301 0.321  -1.166 0.374  -1.023 0.481  -0.862 0.545  -0.674 0.545  -0.486 0.545  -0.299 0.545  -0.111 0.545  0.077 0.545  0.265 0.545  0.452 0.545  0.640 0.545  0.828 0.545  1.016 0.545  1.203 0.545  1.269 0.667  1.408 0.717  1.440 0.872  1.269 0.888
