3#app#app06#app0698/V  -0.543 0.558  -0.616 0.660  -0.628 0.788  -0.688 0.801  -0.616 0.699  -0.616 0.567  -0.543 0.464  -0.543 0.332  -0.543 0.200  -0.486 0.081  -0.471 -0.048  -0.433 -0.171  -0.398 -0.296  -0.398 -0.428  -0.385 -0.557  -0.326 -0.676  -0.325 -0.808  -0.305 -0.936  -0.253 -1.056  -0.253 -1.188  -0.208 -1.302  -0.114 -1.396  -0.015 -1.475  0.045 -1.402  0.110 -1.335  0.110 -1.203  0.146 -1.076  0.190 -0.951  0.250 -0.833  0.255 -0.702  0.271 -0.573  0.328 -0.454  0.328 -0.322  0.328 -0.189  0.328 -0.057  0.372 0.065  0.401 0.191  0.401 0.323  0.420 0.451  0.473 0.571  0.473 0.703  0.473 0.835  0.473 0.968  0.473 1.100  0.473 1.233  0.473 1.365  0.473 1.497  0.473 1.630  0.546 1.706  0.618 1.647
3#app#app06#app0698/E  1.118 1.560  1.020 1.635  0.847 1.635  0.685 1.597  0.541 1.501  0.453 1.355  0.308 1.267  0.182 1.149  0.059 1.027  -0.051 0.894  -0.148 0.750  -0.267 0.625  -0.390 0.503  -0.493 0.366  -0.591 0.226  -0.609 0.060  -0.609 -0.114  -0.588 -0.282  -0.534 -0.443  -0.428 -0.572  -0.285 -0.666  -0.149 -0.767  0.013 -0.815  0.169 -0.869  0.317 -0.951  0.484 -0.993  0.626 -1.068  0.799 -1.068  0.889 -1.141  0.732 -1.069  0.574 -0.997  0.416 -0.924  0.259 -0.852  0.101 -0.780  -0.056 -0.708  -0.214 -0.635  -0.372 -0.563  -0.529 -0.491  -0.687 -0.419  -0.844 -0.346  -0.909 -0.215  -0.820 -0.078  -0.674 -0.010  -0.530 0.086  -0.380 0.173  -0.217 0.217  -0.060 0.284  0.114 0.284  0.287 0.284  0.443 0.359
3#app#app06#app0698/X  -0.555 1.117  -0.555 1.154  -0.453 1.090  -0.388 0.950  -0.300 0.810  -0.212 0.670  -0.093 0.552  0.025 0.434  0.143 0.316  0.261 0.198  0.379 0.080  0.497 -0.039  0.615 -0.157  0.734 -0.275  0.779 -0.423  0.897 -0.541  0.934 -0.639  0.775 -0.690  0.615 -0.740  0.456 -0.790  0.297 -0.841  0.137 -0.891  -0.022 -0.941  -0.181 -0.991  -0.341 -1.042  -0.500 -1.092  -0.659 -1.142  -0.819 -1.193  -0.965 -1.226  -0.930 -1.067  -0.863 -0.916  -0.863 -0.749  -0.760 -0.624  -0.685 -0.475  -0.611 -0.325  -0.536 -0.176  -0.461 -0.026  -0.348 0.095  -0.236 0.218  -0.162 0.368  -0.053 0.493  0.065 0.611  0.183 0.729  0.302 0.847  0.420 0.965  0.538 1.083  0.656 1.201  0.801 1.283  0.959 1.322  1.083 1.424
3#app#app06#app0698/I  0.237 1.479  0.312 1.479  0.387 1.479  0.435 1.451  0.435 1.376  0.435 1.300  0.435 1.225  0.435 1.149  0.428 1.077  0.375 1.023  0.322 0.970  0.268 0.917  0.237 0.855  0.237 0.779  0.237 0.704  0.195 0.646  0.142 0.592  0.088 0.539  0.039 0.484  0.039 0.409  0.039 0.334  0.039 0.258  0.039 0.183  0.039 0.107  -0.005 0.050  -0.058 -0.003  -0.111 -0.057  -0.159 -0.112  -0.159 -0.187  -0.159 -0.263  -0.159 -0.338  -0.159 -0.414  -0.159 -0.489  -0.159 -0.564  -0.159 -0.640  -0.159 -0.715  -0.159 -0.790  -0.159 -0.866  -0.191 -0.928  -0.244 -0.981  -0.298 -1.035  -0.351 -1.088  -0.357 -1.161  -0.357 -1.236  -0.357 -1.311  -0.357 -1.387  -0.357 -1.462  -0.357 -1.538  -0.357 -1.613  -0.357 -1.688
3#app#app06#app0698/N  -1.028 -0.454  -1.028 -0.576  -1.028 -0.698  -1.102 -0.789  -1.115 -0.906  -1.115 -0.924  -1.115 -0.802  -1.090 -0.691  -1.028 -0.595  -1.028 -0.473  -1.016 -0.356  -0.930 -0.270  -0.848 -0.181  -0.793 -0.072  -0.767 0.044  -0.680 0.079  -0.634 0.154  -0.512 0.154  -0.424 0.072  -0.338 -0.014  -0.230 -0.071  -0.159 -0.148  -0.104 -0.248  0.004 -0.280  0.093 -0.358  0.205 -0.383  0.297 -0.454  0.419 -0.454  0.541 -0.454  0.652 -0.427  0.749 -0.367  0.798 -0.294  0.885 -0.259  0.885 -0.138  0.972 -0.103  0.972 0.019  0.972 0.141  0.895 0.231  0.885 0.349  0.885 0.471  0.821 0.566  0.798 0.679  0.798 0.800  0.747 0.901  0.711 1.008  0.697 1.124  0.624 1.216  0.624 1.338  0.562 1.434  0.624 1.459
3#app#app06#app0698/G  0.424 1.417  0.325 1.417  0.226 1.417  0.151 1.357  0.081 1.286  0.011 1.216  -0.070 1.158  -0.153 1.103  -0.232 1.044  -0.303 0.974  -0.373 0.903  -0.427 0.826  -0.427 0.727  -0.427 0.627  -0.427 0.528  -0.380 0.448  -0.310 0.378  -0.221 0.353  -0.122 0.353  -0.022 0.353  0.077 0.353  0.166 0.378  0.247 0.424  0.346 0.424  0.424 0.402  0.424 0.303  0.419 0.206  0.351 0.134  0.306 0.045  0.262 -0.044  0.217 -0.133  0.212 -0.231  0.212 -0.330  0.179 -0.422  0.135 -0.511  0.090 -0.600  0.053 -0.692  0.021 -0.786  -0.001 -0.882  -0.001 -0.981  -0.028 -1.076  -0.060 -1.171  -0.099 -1.262  -0.143 -1.351  -0.143 -1.450  -0.143 -1.550  -0.204 -1.624  -0.214 -1.719  -0.214 -1.819  -0.214 -1.918
3#app#app06#app0698/D  0.075 0.945  0.150 0.844  0.075 0.680  0.042 0.491  -0.023 0.307  -0.110 0.133  -0.189 -0.043  -0.215 -0.227  -0.277 -0.396  -0.277 -0.591  -0.365 -0.749  -0.365 -0.944  -0.382 -1.029  -0.438 -0.842  -0.494 -0.656  -0.550 -0.469  -0.606 -0.282  -0.662 -0.096  -0.718 0.091  -0.774 0.277  -0.829 0.464  -0.885 0.651  -0.779 0.796  -0.641 0.934  -0.477 1.009  -0.310 1.105  -0.126 1.153  0.055 1.210  0.250 1.210  0.414 1.135  0.585 1.043  0.741 0.945  0.890 0.836  1.028 0.698  1.045 0.510  1.045 0.315  1.031 0.124  0.944 -0.051  0.857 -0.225  0.770 -0.399  0.683 -0.573  0.591 -0.744  0.453 -0.882  0.315 -1.019  0.177 -1.157  0.014 -1.233  -0.170 -1.259  -0.328 -1.347  -0.523 -1.347  -0.718 -1.347
3#app#app06#app0698/A  0.162 1.636  0.162 1.554  0.089 1.289  0.053 1.014  -0.074 0.761  -0.200 0.508  -0.302 0.245  -0.342 -0.032  -0.448 -0.290  -0.592 -0.530  -0.648 -0.791  -0.774 -1.044  -0.846 -1.310  -0.947 -1.551  -0.865 -1.362  -0.770 -1.095  -0.675 -0.829  -0.580 -0.562  -0.484 -0.296  -0.389 -0.029  -0.294 0.237  -0.199 0.504  -0.104 0.770  -0.009 1.037  0.115 1.286  0.263 1.420  0.364 1.179  0.364 0.896  0.465 0.655  0.571 0.415  0.666 0.154  0.767 -0.087  0.807 -0.361  0.934 -0.614  0.971 -0.887  1.070 -1.130  0.870 -1.082  0.620 -0.950  0.370 -0.817  0.120 -0.685  -0.130 -0.552  -0.380 -0.420  -0.630 -0.288  -0.479 -0.179  -0.339 0.025  -0.139 0.225  0.061 0.425  0.320 0.483  0.585 0.527  0.868 0.527
3#app#app06#app0698/F  -0.150 0.403  -0.150 0.172  -0.165 -0.057  -0.238 -0.277  -0.308 -0.483  -0.358 -0.693  -0.358 -0.925  -0.358 -1.156  -0.358 -1.387  -0.358 -1.618  -0.366 -1.716  -0.391 -1.486  -0.417 -1.256  -0.442 -1.026  -0.468 -0.797  -0.493 -0.567  -0.519 -0.337  -0.544 -0.107  -0.544 0.113  -0.410 0.299  -0.277 0.484  -0.076 0.596  0.094 0.751  0.257 0.914  0.462 1.021  0.641 1.163  0.835 1.284  0.999 1.446  1.206 1.548  1.217 1.453  1.057 1.285  0.898 1.118  0.738 0.950  0.579 0.783  0.419 0.616  0.260 0.448  0.100 0.281  -0.059 0.113  -0.219 -0.054  -0.378 -0.222  -0.538 -0.389  -0.697 -0.557  -0.670 -0.623  -0.532 -0.517  -0.325 -0.413  -0.125 -0.301  0.072 -0.215  0.279 -0.113  0.499 -0.040  0.682 0.091
3#app#app06#app0698/T  0.098 0.450  0.098 0.314  0.098 0.178  0.098 0.042  0.098 -0.094  0.045 -0.208  -0.003 -0.325  -0.003 -0.461  -0.030 -0.585  -0.103 -0.691  -0.103 -0.827  -0.103 -0.963  -0.077 -1.088  -0.003 -1.194  -0.003 -1.330  -0.003 -1.465  -0.073 -1.348  -0.143 -1.231  -0.213 -1.115  -0.283 -0.998  -0.353 -0.881  -0.423 -0.764  -0.493 -0.648  -0.563 -0.531  -0.633 -0.414  -0.703 -0.298  -0.773 -0.181  -0.843 -0.064  -0.905 0.052  -0.809 0.148  -0.687 0.209  -0.607 0.295  -0.525 0.350  -0.402 0.402  -0.285 0.470  -0.185 0.561  -0.063 0.622  0.059 0.683  0.180 0.743  0.280 0.834  0.377 0.930  0.492 1.000  0.615 1.055  0.749 1.070  0.878 1.114  1.007 1.157  1.103 1.253  1.238 1.257  1.374 1.257  1.510 1.257
3#app#app06#app0698/J  0.390 0.978  0.390 0.833  0.390 0.687  0.390 0.541  0.390 0.396  0.325 0.265  0.325 0.120  0.310 -0.022  0.261 -0.156  0.238 -0.296  0.196 -0.432  0.196 -0.578  0.187 -0.721  0.131 -0.854  0.075 -0.982  0.002 -1.106  -0.020 -1.242  -0.123 -1.345  -0.202 -1.415  -0.348 -1.415  -0.428 -1.350  -0.538 -1.263  -0.645 -1.199  -0.671 -1.065  -0.710 -0.935  -0.690 -0.794  -0.645 -0.659  -0.533 -0.583  -0.459 -0.461  -0.350 -0.380  -0.328 -0.263  -0.337 -0.118  -0.345 0.027  -0.354 0.173  -0.363 0.318  -0.371 0.463  -0.380 0.609  -0.386 0.754  -0.297 0.849  -0.180 0.920  -0.050 0.985  0.080 1.052  0.201 1.132  0.333 1.176  0.465 1.237  0.610 1.237  0.756 1.237  0.901 1.237  1.047 1.237  1.166 1.172
3#app#app06#app0698/I  -0.264 1.489  -0.193 1.489  -0.121 1.489  -0.050 1.489  -0.004 1.465  -0.004 1.393  -0.004 1.322  -0.004 1.251  -0.004 1.180  -0.004 1.109  -0.004 1.038  -0.004 0.966  -0.004 0.895  -0.004 0.824  -0.004 0.753  -0.004 0.682  -0.004 0.611  -0.004 0.539  -0.004 0.468  -0.004 0.397  -0.004 0.326  -0.004 0.255  -0.004 0.184  -0.004 0.112  -0.004 0.041  -0.004 -0.030  -0.004 -0.101  -0.004 -0.172  -0.004 -0.243  -0.004 -0.315  -0.004 -0.386  -0.004 -0.457  -0.004 -0.528  -0.004 -0.599  -0.004 -0.671  -0.004 -0.742  -0.004 -0.813  -0.004 -0.884  -0.004 -0.955  -0.004 -1.026  -0.004 -1.098  -0.004 -1.169  -0.004 -1.240  -0.004 -1.311  0.005 -1.379  0.055 -1.429  0.105 -1.479  0.155 -1.530  0.206 -1.580  0.256 -1.630
3#app#app06#app0698/M  -1.035 0.090  -1.035 -0.065  -1.035 -0.220  -1.035 -0.376  -1.035 -0.531  -1.112 -0.654  -1.222 -0.764  -1.301 -0.801  -1.237 -0.710  -1.168 -0.624  -1.092 -0.500  -1.035 -0.368  -0.992 -0.223  -0.922 -0.085  -0.824 0.034  -0.715 0.144  -0.605 0.253  -0.493 0.357  -0.368 0.387  -0.316 0.490  -0.160 0.490  -0.101 0.394  -0.101 0.239  -0.200 0.124  -0.235 -0.017  -0.235 -0.172  -0.218 -0.310  -0.074 -0.282  0.036 -0.173  0.146 -0.063  0.255 0.047  0.365 0.157  0.475 0.266  0.585 0.376  0.694 0.486  0.714 0.623  0.832 0.661  0.891 0.757  1.047 0.757  1.099 0.654  1.099 0.498  1.108 0.347  1.218 0.237  1.232 0.088  1.232 -0.067  1.232 -0.222  1.300 -0.310  1.365 -0.400  1.477 -0.443  1.499 -0.577
