1b#tos#t2#t2049062/B  -0.327 1.330  -0.372 1.104  -0.372 0.833  -0.372 0.563  -0.418 0.297  -0.418 0.026  -0.418 -0.245  -0.418 -0.516  -0.411 -0.786  -0.372 -1.050  -0.372 -1.321  -0.390 -1.215  -0.415 -0.946  -0.440 -0.676  -0.465 -0.406  -0.490 -0.136  -0.515 0.134  -0.540 0.403  -0.565 0.673  -0.590 0.943  -0.757 1.057  -0.673 1.193  -0.403 1.193  -0.132 1.193  0.139 1.193  0.409 1.189  0.659 1.119  0.812 0.930  0.903 0.715  0.856 0.464  0.695 0.282  0.435 0.244  0.189 0.153  -0.064 0.066  -0.333 0.054  -0.232 0.054  0.039 0.054  0.303 0.012  0.554 -0.022  0.769 -0.129  0.959 -0.286  1.085 -0.458  1.068 -0.726  0.885 -0.889  0.658 -1.036  0.462 -1.201  0.220 -1.312  -0.032 -1.358  -0.284 -1.403  -0.509 -1.358
1b#tos#t2#t2049062/D  -0.246 1.391  -0.372 1.309  -0.372 1.101  -0.372 0.893  -0.372 0.685  -0.372 0.477  -0.372 0.269  -0.372 0.061  -0.372 -0.147  -0.372 -0.355  -0.372 -0.563  -0.372 -0.771  -0.372 -0.979  -0.372 -1.187  -0.334 -1.244  -0.350 -1.036  -0.365 -0.829  -0.381 -0.621  -0.396 -0.414  -0.411 -0.206  -0.427 0.001  -0.442 0.208  -0.457 0.416  -0.473 0.623  -0.488 0.831  -0.499 1.038  -0.391 1.139  -0.183 1.139  0.025 1.139  0.233 1.139  0.412 1.069  0.575 0.949  0.713 0.810  0.863 0.685  1.014 0.584  1.056 0.394  1.056 0.186  1.056 -0.022  1.056 -0.230  0.930 -0.347  0.917 -0.546  0.720 -0.612  0.602 -0.735  0.442 -0.861  0.262 -0.950  0.086 -1.022  -0.068 -1.130  -0.225 -1.224  -0.417 -1.256  -0.625 -1.256
1b#tos#t2#t2049062/E  -1.035 0.930  -0.870 0.847  -0.628 0.886  -0.386 0.926  -0.139 0.930  0.105 0.956  0.350 0.971  0.598 0.971  0.812 0.971  0.565 0.979  0.318 0.986  0.071 0.993  -0.176 1.000  -0.423 1.007  -0.621 0.963  -0.703 0.798  -0.703 0.551  -0.703 0.304  -0.703 0.057  -0.703 -0.190  -0.703 -0.438  -0.703 -0.685  -0.703 -0.932  -0.665 -1.141  -0.459 -1.182  -0.229 -1.141  0.008 -1.108  0.240 -1.058  0.487 -1.058  0.729 -1.022  0.975 -1.016  1.188 -0.934  1.408 -0.907  1.200 -0.788  0.979 -0.678  0.758 -0.567  0.537 -0.456  0.316 -0.346  0.094 -0.235  -0.127 -0.125  -0.348 -0.014  -0.569 0.096  -0.745 0.059  -0.538 0.019  -0.290 0.019  -0.060 -0.023  0.187 -0.023  0.434 -0.023  0.664 -0.064  0.911 -0.064
1b#tos#t2#t2049062/F  -0.761 0.950  -0.872 0.813  -0.635 0.813  -0.398 0.813  -0.161 0.813  0.076 0.813  0.313 0.813  0.550 0.813  0.787 0.813  0.754 0.841  0.522 0.889  0.290 0.937  0.058 0.985  -0.174 1.033  -0.406 1.081  -0.578 1.023  -0.578 0.786  -0.532 0.556  -0.532 0.319  -0.532 0.082  -0.532 -0.154  -0.532 -0.391  -0.527 -0.628  -0.486 -0.861  -0.445 -1.093  -0.440 -1.329  -0.394 -1.555  -0.353 -1.728  -0.395 -1.495  -0.438 -1.262  -0.480 -1.029  -0.522 -0.796  -0.565 -0.563  -0.607 -0.330  -0.572 -0.246  -0.351 -0.286  -0.114 -0.286  0.123 -0.286  0.360 -0.286  0.597 -0.286  0.796 -0.248  1.025 -0.240  1.078 -0.009  1.131 0.222  1.062 0.355  0.979 0.201  0.887 0.002  0.842 -0.224  0.842 -0.461  0.842 -0.698
1b#tos#t2#t2049062/I  -1.029 0.876  -1.192 0.875  -1.230 0.754  -1.066 0.754  -0.902 0.754  -0.737 0.754  -0.583 0.794  -0.419 0.795  -0.254 0.795  -0.090 0.795  0.074 0.795  0.238 0.795  0.402 0.795  0.567 0.795  0.731 0.795  0.895 0.795  0.915 0.775  0.764 0.840  0.613 0.905  0.462 0.969  0.307 0.992  0.191 0.899  0.191 0.735  0.191 0.571  0.191 0.407  0.191 0.242  0.191 0.078  0.191 -0.086  0.191 -0.250  0.191 -0.414  0.191 -0.578  0.191 -0.743  0.191 -0.907  0.191 -1.071  0.086 -1.065  -0.061 -0.992  -0.207 -0.918  -0.354 -0.845  -0.465 -0.835  -0.620 -0.874  -0.662 -0.996  -0.500 -0.996  -0.341 -1.036  -0.181 -1.062  -0.019 -1.077  0.145 -1.077  0.309 -1.077  0.473 -1.077  0.638 -1.077  0.802 -1.077
1b#tos#t2#t2049062/J  -0.867 0.711  -0.954 0.711  -0.825 0.711  -0.697 0.711  -0.569 0.711  -0.440 0.711  -0.315 0.733  -0.190 0.764  -0.064 0.783  0.061 0.798  0.176 0.855  0.304 0.855  0.432 0.855  0.561 0.855  0.689 0.855  0.817 0.855  0.870 0.819  0.742 0.819  0.614 0.819  0.485 0.819  0.357 0.819  0.229 0.819  0.137 0.761  0.137 0.632  0.157 0.512  0.173 0.391  0.197 0.268  0.209 0.142  0.209 0.014  0.209 -0.114  0.209 -0.243  0.281 -0.327  0.281 -0.455  0.308 -0.572  0.316 -0.697  0.316 -0.825  0.294 -0.948  0.281 -1.074  0.170 -1.121  0.091 -1.189  -0.006 -1.241  -0.115 -1.261  -0.243 -1.261  -0.359 -1.291  -0.485 -1.297  -0.613 -1.297  -0.742 -1.297  -0.859 -1.270  -0.960 -1.204  -1.010 -1.118
1b#tos#t2#t2049062/P  -0.882 0.964  -0.889 0.875  -0.718 0.875  -0.548 0.875  -0.377 0.875  -0.207 0.875  -0.037 0.875  0.134 0.875  0.304 0.875  0.475 0.875  0.645 0.875  0.797 0.831  0.856 0.688  0.992 0.586  1.024 0.433  1.024 0.262  0.935 0.147  0.863 0.006  0.757 -0.103  0.683 -0.247  0.520 -0.277  0.448 -0.409  0.282 -0.426  0.159 -0.395  0.099 -0.235  0.038 -0.076  -0.022 0.083  -0.082 0.242  -0.143 0.402  -0.203 0.561  -0.264 0.720  -0.358 0.831  -0.394 0.697  -0.394 0.527  -0.394 0.356  -0.394 0.186  -0.375 0.019  -0.350 -0.148  -0.350 -0.318  -0.350 -0.489  -0.350 -0.659  -0.350 -0.829  -0.350 -1.000  -0.350 -1.170  -0.350 -1.340  -0.350 -1.511  -0.336 -1.678  -0.306 -1.841  -0.299 -2.005  -0.261 -2.138
1b#tos#t2#t2049062/Q  0.351 -0.023  0.341 -0.267  0.261 -0.486  0.163 -0.667  0.024 -0.827  -0.222 -0.827  -0.457 -0.772  -0.664 -0.661  -0.855 -0.535  -0.984 -0.382  -1.079 -0.158  -1.168 0.061  -1.168 0.307  -1.086 0.536  -1.035 0.777  -0.911 0.988  -0.767 1.135  -0.616 1.317  -0.389 1.381  -0.172 1.451  0.074 1.451  0.311 1.401  0.485 1.253  0.660 1.183  0.740 0.972  0.797 0.750  0.797 0.504  0.797 0.258  0.694 0.045  0.574 -0.159  0.462 -0.359  0.387 -0.575  0.216 -0.739  0.083 -0.877  -0.042 -1.051  -0.157 -0.869  -0.235 -0.635  -0.312 -0.402  -0.390 -0.169  -0.499 0.021  -0.437 -0.085  -0.202 -0.113  -0.016 -0.220  0.213 -0.291  0.377 -0.425  0.596 -0.492  0.814 -0.590  1.057 -0.604  1.209 -0.703  1.378 -0.827
1b#tos#t2#t2049062/R  -0.561 1.545  -0.644 1.375  -0.646 1.122  -0.686 0.879  -0.686 0.625  -0.686 0.372  -0.686 0.119  -0.686 -0.134  -0.686 -0.388  -0.686 -0.641  -0.686 -0.894  -0.644 -1.138  -0.588 -1.220  -0.544 -0.970  -0.500 -0.721  -0.455 -0.472  -0.411 -0.222  -0.367 0.027  -0.323 0.276  -0.278 0.526  -0.234 0.775  -0.190 1.025  -0.146 1.274  0.087 1.252  0.305 1.195  0.483 1.048  0.589 0.855  0.673 0.625  0.694 0.377  0.611 0.176  0.443 0.058  0.260 -0.053  0.020 -0.130  -0.210 -0.212  -0.436 -0.296  -0.614 -0.321  -0.392 -0.199  -0.170 -0.077  0.052 0.045  0.192 0.029  0.312 -0.128  0.404 -0.340  0.527 -0.518  0.611 -0.744  0.778 -0.855  0.911 -1.007  1.123 -1.049  1.370 -1.025  1.613 -0.966  1.782 -0.881
1b#tos#t2#t2049062/T  -1.260 0.532  -1.368 0.447  -1.341 0.413  -1.208 0.439  -1.072 0.453  -0.933 0.453  -0.812 0.513  -0.679 0.532  -0.540 0.532  -0.401 0.532  -0.262 0.532  -0.123 0.532  0.016 0.532  0.155 0.532  0.294 0.532  0.432 0.532  0.562 0.493  0.701 0.493  0.824 0.453  0.962 0.453  1.062 0.413  1.071 0.390  0.938 0.431  0.805 0.472  0.672 0.513  0.539 0.554  0.406 0.595  0.274 0.635  0.141 0.676  0.046 0.636  -0.027 0.550  -0.027 0.411  -0.027 0.272  -0.027 0.133  -0.027 -0.006  -0.027 -0.145  -0.027 -0.284  -0.027 -0.422  -0.027 -0.561  -0.027 -0.700  -0.027 -0.839  -0.027 -0.978  -0.019 -1.115  0.013 -1.247  0.013 -1.386  0.052 -1.515  0.052 -1.654  0.079 -1.787  0.105 -1.920  0.132 -2.053
1b#tos#t2#t2049062/V  -1.413 1.081  -1.486 0.973  -1.395 0.863  -1.338 0.705  -1.237 0.568  -1.151 0.420  -1.041 0.291  -0.964 0.138  -0.871 -0.004  -0.794 -0.157  -0.714 -0.308  -0.623 -0.454  -0.534 -0.600  -0.406 -0.704  -0.318 -0.851  -0.191 -0.956  -0.134 -1.104  -0.042 -1.152  0.024 -0.993  0.089 -0.835  0.155 -0.677  0.221 -0.518  0.286 -0.360  0.352 -0.202  0.418 -0.044  0.484 0.115  0.549 0.273  0.615 0.431  0.681 0.590  0.746 0.748  0.812 0.906  0.878 1.065  0.935 1.217  0.896 1.084  0.805 1.003  0.805 0.832  0.764 0.678  0.760 0.508  0.639 0.402  0.579 0.249  0.491 0.132  0.488 -0.038  0.398 -0.154  0.336 -0.310  0.259 -0.464  0.217 -0.625  0.091 -0.734  0.036 -0.877  -0.055 -1.011  -0.100 -1.137
