3#app#app37#app3781/B  -0.319 1.287  -0.525 1.163  -0.465 0.918  -0.422 0.666  -0.422 0.397  -0.422 0.127  -0.422 -0.143  -0.386 -0.398  -0.240 -0.621  -0.216 -0.885  -0.216 -1.155  -0.216 -1.425  -0.113 -1.592  -0.113 -1.333  -0.173 -1.071  -0.246 -0.811  -0.318 -0.551  -0.390 -0.292  -0.462 -0.032  -0.534 0.228  -0.607 0.488  -0.701 0.494  -0.553 0.716  -0.379 0.918  -0.188 1.109  0.003 1.300  0.224 1.418  0.462 1.493  0.505 1.266  0.375 1.104  0.279 0.855  0.093 0.662  0.043 0.413  -0.148 0.222  -0.216 -0.019  -0.185 -0.052  -0.046 0.118  0.166 0.257  0.393 0.360  0.663 0.360  0.898 0.276  0.917 0.014  0.917 -0.255  0.917 -0.525  0.861 -0.782  0.698 -0.992  0.568 -1.185  0.432 -1.361  0.241 -1.552  -0.010 -1.597
3#app#app37#app3781/r  -0.360 1.214  -0.360 1.069  -0.360 0.924  -0.360 0.779  -0.360 0.635  -0.360 0.490  -0.360 0.345  -0.360 0.200  -0.360 0.055  -0.298 -0.075  -0.234 -0.205  -0.214 -0.345  -0.214 -0.490  -0.214 -0.635  -0.214 -0.780  -0.214 -0.925  -0.214 -1.069  -0.214 -1.214  -0.214 -1.359  -0.214 -1.504  -0.214 -1.649  -0.214 -1.607  -0.214 -1.462  -0.214 -1.317  -0.214 -1.172  -0.214 -1.027  -0.214 -0.882  -0.214 -0.738  -0.214 -0.593  -0.214 -0.448  -0.176 -0.312  -0.111 -0.182  -0.069 -0.048  -0.034 0.083  0.068 0.185  0.077 0.327  0.170 0.433  0.223 0.556  0.272 0.680  0.377 0.777  0.514 0.785  0.514 0.929  0.520 1.068  0.660 1.073  0.660 1.218  0.663 1.360  0.806 1.357  0.807 1.214  0.951 1.213  0.951 1.068
3#app#app37#app3781/o  0.038 1.325  -0.071 1.216  -0.180 1.107  -0.225 0.972  -0.275 0.830  -0.344 0.692  -0.356 0.541  -0.370 0.393  -0.479 0.284  -0.487 0.134  -0.487 -0.020  -0.527 -0.158  -0.618 -0.274  -0.618 -0.428  -0.618 -0.582  -0.618 -0.736  -0.618 -0.890  -0.618 -1.044  -0.618 -1.198  -0.565 -1.298  -0.433 -1.352  -0.324 -1.398  -0.212 -1.298  -0.068 -1.273  0.042 -1.167  0.169 -1.140  0.204 -1.001  0.318 -0.905  0.460 -0.876  0.566 -0.765  0.635 -0.628  0.693 -0.487  0.693 -0.333  0.693 -0.180  0.693 -0.026  0.775 0.095  0.766 0.203  0.693 0.328  0.693 0.481  0.650 0.625  0.581 0.763  0.483 0.879  0.351 0.931  0.300 1.035  0.174 1.063  0.064 1.168  -0.079 1.194  -0.231 1.188  -0.340 1.079  -0.356 0.931
3#app#app37#app3781/k  -0.361 2.226  -0.361 2.006  -0.361 1.785  -0.361 1.565  -0.361 1.344  -0.361 1.124  -0.361 0.903  -0.361 0.682  -0.361 0.462  -0.361 0.241  -0.361 0.021  -0.361 -0.200  -0.288 -0.403  -0.243 -0.613  -0.243 -0.834  -0.243 -1.054  -0.243 -1.275  -0.243 -1.144  -0.361 -1.041  -0.294 -0.838  -0.191 -0.643  -0.087 -0.448  0.016 -0.253  0.119 -0.058  0.222 0.137  0.325 0.332  0.429 0.527  0.532 0.722  0.635 0.917  0.627 1.044  0.584 0.866  0.466 0.764  0.363 0.586  0.172 0.514  0.100 0.323  -0.038 0.154  -0.144 -0.038  -0.300 -0.194  -0.361 -0.389  -0.479 -0.492  -0.377 -0.610  -0.275 -0.729  -0.125 -0.799  0.048 -0.847  0.257 -0.874  0.440 -0.965  0.661 -0.965  0.829 -1.091  0.985 -1.247  1.057 -1.201
3#app#app37#app3781/e  -0.097 0.092  0.000 0.189  0.056 0.304  0.087 0.428  0.184 0.526  0.208 0.654  0.297 0.702  0.361 0.776  0.361 0.914  0.361 1.051  0.361 1.189  0.361 1.327  0.361 1.464  0.361 1.327  0.238 1.312  0.132 1.236  0.035 1.138  -0.063 1.041  -0.160 0.944  -0.249 0.843  -0.249 0.706  -0.344 0.607  -0.441 0.510  -0.539 0.413  -0.554 0.282  -0.554 0.144  -0.554 0.006  -0.554 -0.131  -0.554 -0.269  -0.554 -0.406  -0.554 -0.544  -0.562 -0.678  -0.659 -0.776  -0.657 -0.873  -0.560 -0.970  -0.462 -1.067  -0.350 -1.128  -0.223 -1.154  -0.126 -1.251  -0.000 -1.280  0.137 -1.280  0.275 -1.280  0.397 -1.244  0.495 -1.146  0.592 -1.049  0.666 -0.942  0.679 -0.810  0.776 -0.713  0.873 -0.615  0.971 -0.518
3#app#app37#app3781/n  -0.591 1.451  -0.638 1.259  -0.686 1.068  -0.734 0.876  -0.739 0.679  -0.739 0.482  -0.739 0.285  -0.739 0.087  -0.739 -0.110  -0.739 -0.308  -0.757 -0.498  -0.887 -0.641  -0.887 -0.838  -0.887 -1.036  -0.731 -1.065  -0.591 -0.926  -0.591 -0.728  -0.522 -0.559  -0.442 -0.395  -0.383 -0.212  -0.294 -0.035  -0.260 0.148  -0.145 0.298  -0.145 0.495  -0.051 0.654  0.088 0.793  0.152 0.965  0.152 1.146  0.152 0.948  0.152 0.751  0.149 0.554  0.061 0.377  0.003 0.194  0.003 -0.004  0.003 -0.201  0.003 -0.399  0.003 -0.596  0.120 -0.745  0.305 -0.776  0.502 -0.776  0.700 -0.776  0.896 -0.774  1.036 -0.635  1.070 -0.452  1.210 -0.312  1.350 -0.172  1.490 -0.034  1.636 0.017  1.636 0.214  1.785 0.263
3#app#app37#app3781/M  -0.366 1.245  -0.430 0.990  -0.474 0.733  -0.474 0.470  -0.502 0.213  -0.583 -0.031  -0.583 -0.294  -0.583 -0.557  -0.583 -0.820  -0.583 -1.083  -0.648 -1.319  -0.692 -1.564  -0.692 -1.332  -0.658 -1.077  -0.583 -0.831  -0.583 -0.568  -0.583 -0.305  -0.583 -0.042  -0.583 0.221  -0.583 0.484  -0.583 0.747  -0.583 1.010  -0.583 1.001  -0.474 0.783  -0.441 0.527  -0.366 0.282  -0.267 0.060  -0.235 -0.189  -0.149 -0.417  -0.016 -0.625  0.170 -0.609  0.279 -0.391  0.465 -0.205  0.503 0.042  0.606 0.262  0.639 0.512  0.721 0.741  0.721 1.004  0.721 1.267  0.845 1.230  0.938 1.005  0.938 0.742  0.938 0.479  0.938 0.216  0.938 -0.047  0.938 -0.310  0.938 -0.573  0.938 -0.836  0.938 -1.099  0.938 -1.145
3#app#app37#app3781/o  -0.629 0.486  -0.681 0.382  -0.733 0.277  -0.782 0.171  -0.782 0.054  -0.782 -0.063  -0.782 -0.180  -0.782 -0.297  -0.782 -0.414  -0.782 -0.531  -0.740 -0.631  -0.657 -0.713  -0.629 -0.819  -0.600 -0.924  -0.517 -1.007  -0.434 -1.090  -0.352 -1.172  -0.247 -1.202  -0.141 -1.175  -0.058 -1.092  0.041 -1.049  0.139 -1.030  0.139 -0.913  0.209 -0.825  0.292 -0.742  0.345 -0.637  0.397 -0.533  0.451 -0.429  0.534 -0.347  0.600 -0.257  0.600 -0.139  0.600 -0.022  0.600 0.095  0.600 0.212  0.600 0.329  0.600 0.446  0.600 0.563  0.600 0.680  0.600 0.797  0.600 0.914  0.600 1.031  0.551 1.101  0.446 1.112  0.446 1.229  0.381 1.319  0.298 1.402  0.183 1.408  0.066 1.408  -0.051 1.408  -0.168 1.408
3#app#app37#app3781/o  0.146 1.154  -0.004 1.153  -0.006 1.004  -0.154 1.001  -0.157 0.851  -0.264 0.744  -0.304 0.609  -0.304 0.457  -0.348 0.316  -0.415 0.181  -0.455 0.039  -0.484 -0.106  -0.551 -0.241  -0.605 -0.380  -0.605 -0.532  -0.605 -0.683  -0.605 -0.834  -0.605 -0.986  -0.605 -1.137  -0.577 -1.277  -0.470 -1.384  -0.326 -1.400  -0.174 -1.400  -0.023 -1.400  0.090 -1.307  0.218 -1.250  0.297 -1.177  0.349 -1.048  0.447 -0.937  0.447 -0.785  0.458 -0.638  0.565 -0.531  0.597 -0.393  0.597 -0.242  0.597 -0.091  0.597 0.061  0.597 0.212  0.597 0.364  0.518 0.482  0.447 0.604  0.447 0.756  0.394 0.854  0.297 0.908  0.258 1.043  0.151 1.150  0.146 1.300  -0.000 1.305  -0.152 1.305  -0.154 1.156  -0.304 1.154
3#app#app37#app3781/n  -0.657 0.706  -0.657 0.531  -0.657 0.357  -0.657 0.182  -0.657 0.007  -0.657 -0.168  -0.657 -0.342  -0.657 -0.517  -0.657 -0.692  -0.657 -0.866  -0.657 -1.041  -0.657 -1.216  -0.657 -1.390  -0.657 -1.297  -0.657 -1.123  -0.503 -1.102  -0.493 -0.938  -0.493 -0.763  -0.493 -0.588  -0.471 -0.423  -0.347 -0.299  -0.328 -0.132  -0.328 0.043  -0.328 0.217  -0.314 0.377  -0.164 0.402  -0.139 0.567  -0.015 0.690  0.108 0.814  0.165 0.965  0.270 1.035  0.411 1.116  0.494 1.257  0.561 1.364  0.658 1.286  0.746 1.199  0.822 1.101  0.822 0.926  0.822 0.751  0.822 0.577  0.822 0.402  0.822 0.227  0.822 0.052  0.822 -0.122  0.822 -0.297  0.803 -0.464  0.680 -0.587  0.658 -0.753  0.658 -0.928  0.658 -1.102
3#app#app37#app3781/s  -0.010 1.340  -0.114 1.236  -0.218 1.132  -0.322 1.028  -0.448 0.975  -0.584 0.948  -0.688 0.844  -0.740 0.718  -0.767 0.582  -0.872 0.478  -0.922 0.352  -0.922 0.205  -0.917 0.063  -0.770 0.063  -0.657 0.146  -0.551 0.245  -0.403 0.245  -0.291 0.329  -0.184 0.428  -0.037 0.428  -0.010 0.548  0.075 0.610  0.222 0.610  0.369 0.610  0.517 0.610  0.664 0.610  0.720 0.519  0.776 0.428  0.902 0.407  0.902 0.259  0.902 0.112  0.902 -0.035  0.840 -0.120  0.720 -0.147  0.720 -0.295  0.658 -0.427  0.592 -0.559  0.538 -0.693  0.538 -0.841  0.440 -0.947  0.336 -1.052  0.232 -1.156  0.109 -1.215  -0.010 -1.243  -0.010 -1.391  -0.151 -1.397  -0.298 -1.397  -0.445 -1.397  -0.592 -1.397  -0.740 -1.397
