1c#tos#f3#f3010058/a  0.497 0.169  0.581 0.278  0.750 0.332  0.768 0.505  0.768 0.696  0.768 0.888  0.768 1.079  0.646 1.157  0.493 1.251  0.302 1.251  0.116 1.214  -0.043 1.168  -0.097 1.013  -0.275 0.942  -0.442 0.850  -0.584 0.739  -0.598 0.549  -0.657 0.372  -0.810 0.257  -0.888 0.092  -0.948 -0.090  -1.018 -0.268  -1.071 -0.450  -1.071 -0.642  -1.071 -0.833  -1.069 -1.024  -0.984 -1.196  -0.822 -1.272  -0.633 -1.291  -0.476 -1.256  -0.313 -1.182  -0.228 -1.011  -0.131 -0.853  0.055 -0.807  0.071 -0.624  0.131 -0.443  0.232 -0.317  0.335 -0.229  0.335 -0.037  0.335 0.154  0.335 0.346  0.335 0.451  0.400 0.299  0.463 0.140  0.552 -0.024  0.594 -0.198  0.690 -0.363  0.804 -0.516  0.960 -0.626  1.147 -0.642
1c#tos#f3#f3010058/b  -0.083 1.856  -0.083 1.660  -0.083 1.464  -0.083 1.268  -0.083 1.073  -0.085 0.877  -0.152 0.694  -0.274 0.541  -0.379 0.380  -0.417 0.188  -0.428 -0.007  -0.428 -0.202  -0.446 -0.396  -0.485 -0.587  -0.485 -0.783  -0.485 -0.979  -0.485 -1.174  -0.647 -1.242  -0.657 -1.056  -0.657 -0.860  -0.657 -0.664  -0.714 -0.492  -0.706 -0.298  -0.657 -0.110  -0.600 0.062  -0.477 0.135  -0.370 0.224  -0.276 0.370  -0.156 0.493  0.000 0.589  0.144 0.708  0.334 0.756  0.460 0.850  0.643 0.881  0.837 0.877  0.946 0.714  1.006 0.533  1.006 0.337  1.006 0.141  0.999 -0.053  0.911 -0.228  0.817 -0.399  0.720 -0.554  0.662 -0.726  0.524 -0.864  0.403 -1.015  0.312 -1.187  0.129 -1.242  -0.066 -1.252  -0.255 -1.299
1c#tos#f3#f3010058/c  0.146 0.858  0.146 0.733  0.146 0.608  0.146 0.482  0.146 0.357  0.208 0.293  0.333 0.293  0.429 0.350  0.508 0.427  0.578 0.509  0.654 0.601  0.664 0.724  0.664 0.849  0.664 0.975  0.664 1.100  0.580 1.141  0.454 1.141  0.330 1.138  0.216 1.087  0.094 1.057  -0.006 0.988  -0.060 0.880  -0.093 0.760  -0.182 0.672  -0.264 0.578  -0.339 0.477  -0.398 0.368  -0.445 0.252  -0.466 0.130  -0.466 0.005  -0.518 -0.102  -0.596 -0.200  -0.654 -0.305  -0.654 -0.430  -0.654 -0.555  -0.654 -0.681  -0.654 -0.806  -0.654 -0.931  -0.585 -1.036  -0.503 -1.130  -0.414 -1.218  -0.326 -1.307  -0.207 -1.347  -0.085 -1.375  0.038 -1.399  0.163 -1.402  0.288 -1.402  0.414 -1.402  0.539 -1.402  0.664 -1.402
1c#tos#f3#f3010058/d  0.123 0.043  0.080 0.152  0.080 0.389  -0.025 0.571  -0.153 0.765  -0.319 0.853  -0.475 0.772  -0.639 0.611  -0.688 0.382  -0.773 0.165  -0.773 -0.073  -0.773 -0.310  -0.773 -0.548  -0.773 -0.785  -0.773 -1.022  -0.773 -1.260  -0.609 -1.366  -0.389 -1.313  -0.374 -1.079  -0.255 -0.874  -0.176 -0.663  -0.054 -0.476  -0.039 -0.244  0.080 -0.047  0.080 0.191  0.080 0.428  0.130 0.654  0.220 0.872  0.251 1.106  0.307 1.335  0.336 1.569  0.336 1.778  0.329 1.542  0.294 1.308  0.294 1.070  0.294 0.833  0.293 0.596  0.170 0.392  0.093 0.168  0.048 -0.065  0.038 -0.302  0.038 -0.539  0.073 -0.762  0.121 -0.980  0.329 -1.067  0.567 -1.067  0.802 -1.054  1.028 -0.980  1.248 -0.900  1.446 -0.768
1c#tos#f3#f3010058/e  -0.342 0.280  -0.469 0.334  -0.649 0.334  -0.828 0.337  -0.892 0.348  -0.831 0.203  -0.720 0.071  -0.550 0.028  -0.372 0.012  -0.192 0.012  -0.011 0.012  0.169 0.012  0.344 0.034  0.506 0.115  0.656 0.213  0.816 0.297  0.959 0.402  1.102 0.511  1.159 0.661  1.136 0.827  1.019 0.923  0.839 0.923  0.666 0.955  0.504 1.031  0.323 1.031  0.143 1.031  -0.007 0.950  -0.163 0.870  -0.327 0.831  -0.396 0.679  -0.521 0.562  -0.632 0.429  -0.683 0.257  -0.718 0.081  -0.718 -0.100  -0.718 -0.280  -0.718 -0.460  -0.676 -0.636  -0.664 -0.814  -0.596 -0.967  -0.469 -1.094  -0.304 -1.162  -0.125 -1.169  0.025 -1.269  0.203 -1.274  0.384 -1.274  0.564 -1.274  0.744 -1.274  0.925 -1.274  1.105 -1.274
1c#tos#f3#f3010058/g  0.263 0.587  0.230 0.372  0.370 0.467  0.478 0.649  0.552 0.848  0.607 1.051  0.582 1.261  0.409 1.389  0.189 1.389  -0.031 1.389  -0.214 1.314  -0.357 1.148  -0.505 0.992  -0.540 0.790  -0.578 0.576  -0.578 0.356  -0.501 0.213  -0.328 0.167  -0.108 0.167  0.074 0.265  0.192 0.440  0.348 0.575  0.416 0.752  0.454 0.775  0.378 0.587  0.378 0.367  0.378 0.147  0.324 -0.055  0.189 -0.229  0.110 -0.421  0.110 -0.641  0.055 -0.851  -0.005 -1.062  -0.056 -1.261  -0.119 -1.454  -0.212 -1.646  -0.367 -1.801  -0.571 -1.786  -0.692 -1.631  -0.692 -1.411  -0.692 -1.191  -0.619 -0.996  -0.456 -0.850  -0.302 -0.696  -0.180 -0.513  -0.015 -0.369  0.130 -0.211  0.321 -0.107  0.499 0.020  0.683 0.128
1c#tos#f3#f3010058/l  0.145 1.506  0.145 1.577  0.075 1.578  0.074 1.509  0.074 1.438  0.074 1.368  0.074 1.297  0.074 1.227  0.074 1.156  0.074 1.085  0.074 1.015  0.074 0.944  0.074 0.874  0.074 0.803  0.074 0.732  0.074 0.662  0.056 0.594  0.033 0.527  0.011 0.460  0.002 0.391  0.002 0.320  0.002 0.250  0.002 0.179  0.002 0.109  0.002 0.038  0.002 -0.033  0.002 -0.103  0.002 -0.174  -0.014 -0.241  -0.045 -0.304  -0.069 -0.369  -0.069 -0.439  -0.069 -0.510  -0.069 -0.580  -0.069 -0.651  -0.069 -0.722  -0.069 -0.792  -0.069 -0.863  -0.069 -0.933  -0.069 -1.004  -0.069 -1.075  -0.069 -1.145  -0.069 -1.216  -0.069 -1.286  -0.069 -1.357  -0.069 -1.428  -0.069 -1.498  -0.069 -1.569  -0.069 -1.639  -0.069 -1.710
1c#tos#f3#f3010058/m  -1.161 -0.190  -1.316 -0.285  -1.292 -0.121  -1.163 0.090  -1.066 0.245  -0.886 0.393  -0.748 0.571  -0.602 0.738  -0.400 0.727  -0.400 0.477  -0.403 0.228  -0.509 0.003  -0.542 -0.237  -0.592 -0.479  -0.673 -0.713  -0.733 -0.942  -0.821 -1.138  -0.766 -1.017  -0.685 -0.823  -0.611 -0.585  -0.542 -0.358  -0.481 -0.123  -0.327 0.073  -0.257 0.294  -0.210 0.533  -0.045 0.618  0.076 0.424  0.069 0.176  0.028 -0.064  -0.049 -0.238  -0.144 -0.410  -0.128 -0.523  -0.030 -0.321  0.117 -0.176  0.219 0.000  0.412 0.154  0.518 0.378  0.646 0.559  0.837 0.714  0.958 0.905  1.183 0.999  1.265 0.831  1.265 0.581  1.265 0.331  1.265 0.081  1.265 -0.169  1.282 -0.415  1.391 -0.610  1.639 -0.618  1.883 -0.571
1c#tos#f3#f3010058/o  0.358 0.633  0.210 0.633  0.159 0.731  0.067 0.823  0.015 0.922  -0.128 0.927  -0.277 0.927  -0.426 0.927  -0.519 0.811  -0.612 0.694  -0.728 0.602  -0.818 0.499  -0.818 0.350  -0.835 0.206  -0.902 0.073  -0.916 -0.073  -0.916 -0.222  -0.916 -0.370  -0.916 -0.519  -0.892 -0.664  -0.867 -0.808  -0.855 -0.953  -0.773 -1.077  -0.627 -1.083  -0.490 -1.132  -0.341 -1.132  -0.193 -1.132  -0.046 -1.119  0.087 -1.060  0.192 -0.955  0.330 -0.906  0.448 -0.832  0.538 -0.713  0.640 -0.605  0.757 -0.514  0.857 -0.412  0.893 -0.268  0.995 -0.180  0.995 -0.032  0.995 0.117  0.995 0.266  0.995 0.414  0.955 0.557  0.849 0.649  0.726 0.719  0.636 0.829  0.499 0.878  0.350 0.878  0.202 0.873  0.064 0.829
1c#tos#f3#f3010058/p  0.088 0.676  -0.016 0.720  0.000 0.534  0.000 0.332  0.000 0.129  0.000 -0.073  -0.087 -0.249  -0.087 -0.451  -0.118 -0.651  -0.162 -0.849  -0.221 -1.042  -0.263 -1.238  -0.263 -1.440  -0.350 -1.606  -0.354 -1.751  -0.377 -1.550  -0.401 -1.349  -0.425 -1.148  -0.448 -0.947  -0.472 -0.746  -0.496 -0.545  -0.519 -0.344  -0.534 -0.144  -0.667 0.001  -0.701 0.182  -0.745 0.374  -0.745 0.577  -0.659 0.733  -0.535 0.886  -0.374 1.009  -0.186 1.079  -0.032 1.162  0.120 1.246  0.322 1.246  0.525 1.246  0.727 1.246  0.877 1.157  0.877 0.955  1.044 0.856  1.053 0.658  1.013 0.481  0.916 0.317  0.825 0.144  0.663 0.023  0.612 -0.157  0.422 -0.209  0.290 -0.350  0.098 -0.376  -0.104 -0.376  -0.131 -0.376
1c#tos#f3#f3010058/s  0.972 0.872  1.120 0.872  1.189 0.953  1.102 1.040  0.960 1.046  0.811 1.046  0.663 1.046  0.515 1.046  0.366 1.046  0.218 1.046  0.078 1.010  -0.068 1.002  -0.160 0.899  -0.304 0.872  -0.414 0.834  -0.471 0.743  -0.588 0.711  -0.671 0.614  -0.660 0.479  -0.516 0.443  -0.386 0.396  -0.263 0.354  -0.159 0.255  -0.036 0.172  0.084 0.093  0.192 0.053  0.233 -0.078  0.316 -0.199  0.443 -0.271  0.495 -0.387  0.505 -0.533  0.539 -0.674  0.534 -0.817  0.418 -0.895  0.316 -0.947  0.168 -0.947  0.020 -0.947  -0.129 -0.947  -0.277 -0.947  -0.382 -0.904  -0.527 -0.891  -0.652 -0.829  -0.718 -0.701  -0.718 -0.648  -0.658 -0.760  -0.631 -0.891  -0.631 -1.040  -0.631 -1.188  -0.760 -1.207  -0.848 -1.294
