3#apb#apb27#app2727/.  0.937 -1.217  0.937 -1.068  0.937 -0.920  0.937 -0.772  0.937 -0.624  0.937 -0.476  0.937 -0.328  0.937 -0.180  0.937 -0.031  0.937 0.117  0.902 0.258  0.847 0.396  0.792 0.533  0.737 0.671  0.682 0.808  0.622 0.939  0.477 0.939  0.625 0.939  0.486 0.939  0.338 0.939  0.190 0.939  0.042 0.939  -0.107 0.939  -0.232 0.871  -0.350 0.782  -0.469 0.693  -0.587 0.604  -0.706 0.515  -0.794 0.401  -0.861 0.269  -0.927 0.136  -0.993 0.004  -1.059 -0.129  -1.108 -0.269  -1.155 -0.409  -1.201 -0.550  -1.151 -0.534  -1.064 -0.472  -1.045 -0.601  -0.897 -0.601  -0.750 -0.597  -0.617 -0.531  -0.485 -0.465  -0.352 -0.495  -0.220 -0.561  -0.081 -0.601  0.067 -0.601  0.211 -0.579  0.343 -0.513  0.476 -0.447
3#apb#apb27#app2727/,  -0.270 1.360  -0.242 1.388  -0.258 1.443  -0.184 1.442  -0.118 1.409  -0.051 1.376  -0.008 1.324  0.012 1.253  0.032 1.181  0.053 1.110  0.076 1.040  0.103 0.971  0.131 0.903  0.158 0.834  0.186 0.765  0.213 0.697  0.233 0.626  0.233 0.552  0.233 0.478  0.233 0.404  0.233 0.330  0.233 0.256  0.233 0.182  0.233 0.108  0.228 0.035  0.213 -0.038  0.199 -0.110  0.184 -0.183  0.170 -0.255  0.155 -0.328  0.141 -0.401  0.126 -0.473  0.112 -0.546  0.089 -0.616  0.062 -0.685  0.036 -0.754  0.009 -0.823  -0.018 -0.892  -0.044 -0.961  -0.071 -1.030  -0.097 -1.099  -0.145 -1.155  -0.197 -1.207  -0.249 -1.259  -0.302 -1.312  -0.354 -1.364  -0.406 -1.416  -0.459 -1.469  -0.511 -1.521  -0.563 -1.573
3#apb#apb27#app2727/;  0.155 1.090  0.176 1.164  0.197 1.237  0.222 1.310  0.255 1.379  0.294 1.428  0.274 1.359  0.314 1.296  0.350 1.229  0.370 1.157  0.343 1.085  0.317 1.013  0.290 0.941  0.264 0.869  0.238 0.797  0.211 0.725  0.185 0.653  0.158 0.581  0.132 0.509  0.105 0.437  0.079 0.365  0.053 0.293  0.026 0.221  -0.000 0.149  -0.027 0.077  -0.053 0.005  -0.084 -0.065  -0.104 -0.137  -0.104 -0.214  -0.104 -0.290  -0.094 -0.366  -0.081 -0.442  -0.068 -0.517  -0.064 -0.594  -0.064 -0.670  -0.064 -0.747  -0.067 -0.824  -0.079 -0.899  -0.091 -0.975  -0.102 -1.051  -0.140 -1.117  -0.181 -1.182  -0.222 -1.246  -0.272 -1.303  -0.332 -1.352  -0.391 -1.400  -0.450 -1.449  -0.519 -1.482  -0.590 -1.510  -0.661 -1.539
3#apb#apb27#app2727/:  -0.025 1.180  -0.093 1.214  -0.018 1.189  0.054 1.202  0.068 1.260  0.090 1.283  0.168 1.283  0.217 1.313  0.286 1.314  0.286 1.235  0.286 1.157  0.286 1.078  0.271 1.001  0.256 0.924  0.241 0.847  0.225 0.770  0.210 0.693  0.194 0.616  0.179 0.539  0.164 0.462  0.148 0.384  0.133 0.307  0.117 0.230  0.102 0.153  0.086 0.076  0.071 -0.001  0.056 -0.078  0.040 -0.155  0.025 -0.232  0.009 -0.309  -0.006 -0.386  -0.021 -0.463  -0.037 -0.540  -0.052 -0.617  -0.068 -0.694  -0.083 -0.771  -0.114 -0.836  -0.163 -0.885  -0.176 -0.961  -0.205 -1.034  -0.232 -1.107  -0.232 -1.186  -0.290 -1.207  -0.302 -1.274  -0.338 -1.317  -0.363 -1.392  -0.388 -1.466  -0.405 -1.542  -0.357 -1.601  -0.302 -1.656
3#apb#apb27#app2727/$  1.144 0.215  1.098 0.341  0.964 0.528  0.716 0.570  0.463 0.603  0.206 0.603  -0.050 0.612  -0.307 0.626  -0.555 0.612  -0.422 0.440  -0.226 0.278  -0.057 0.085  0.109 -0.111  0.228 -0.338  0.323 -0.577  0.403 -0.820  0.392 -1.069  0.185 -1.211  -0.060 -1.260  -0.314 -1.227  -0.564 -1.168  -0.787 -1.050  -0.847 -1.002  -0.701 -0.873  -0.574 -0.650  -0.446 -0.427  -0.319 -0.204  -0.191 0.020  -0.064 0.243  0.064 0.466  0.191 0.689  0.319 0.912  0.446 1.135  0.574 1.358  0.701 1.582  0.705 1.589  0.609 1.351  0.508 1.115  0.390 0.887  0.272 0.659  0.142 0.437  -0.000 0.223  -0.143 0.009  -0.276 -0.210  -0.403 -0.434  -0.530 -0.657  -0.658 -0.880  -0.778 -1.107  -0.874 -1.345  -1.003 -1.567
3#apb#apb27#app2727/#  -0.921 0.135  -0.792 0.504  -0.441 0.717  -0.039 0.818  0.371 0.774  0.785 0.726  1.182 0.602  1.089 0.436  0.713 0.256  0.338 0.076  -0.038 -0.104  -0.413 -0.284  -0.789 -0.464  -1.164 -0.644  -1.155 -0.550  -0.743 -0.497  -0.328 -0.466  0.087 -0.475  0.501 -0.520  0.916 -0.529  0.985 -0.371  0.807 0.006  0.629 0.383  0.452 0.759  0.274 1.136  0.024 1.270  -0.210 0.925  -0.392 0.556  -0.500 0.154  -0.627 -0.243  -0.757 -0.638  -0.884 -1.034  -1.004 -1.433  -1.057 -1.630  -0.825 -1.285  -0.592 -0.940  -0.360 -0.594  -0.127 -0.249  0.106 0.096  0.338 0.442  0.571 0.787  0.804 1.133  0.960 1.367  0.739 1.014  0.576 0.633  0.443 0.239  0.291 -0.149  0.160 -0.544  0.066 -0.949  -0.049 -1.349
3#apb#apb27#app2727/&  0.625 1.558  0.633 1.527  0.558 1.328  0.492 1.125  0.435 0.920  0.383 0.713  0.326 0.508  0.264 0.304  0.203 0.100  0.144 -0.105  0.088 -0.311  0.064 -0.523  0.048 -0.735  0.048 -0.948  0.094 -1.150  0.239 -1.117  0.281 -0.908  0.312 -0.698  0.285 -0.487  0.229 -0.283  0.150 -0.085  0.060 0.109  -0.068 0.278  -0.197 0.448  -0.318 0.623  -0.514 0.704  -0.716 0.772  -0.920 0.800  -1.118 0.729  -1.282 0.594  -1.397 0.416  -1.427 0.205  -1.387 0.001  -1.310 -0.197  -1.145 -0.333  -0.981 -0.468  -0.778 -0.526  -0.570 -0.574  -0.361 -0.609  -0.148 -0.616  0.065 -0.623  0.276 -0.611  0.483 -0.558  0.689 -0.504  0.891 -0.436  1.089 -0.359  1.252 -0.227  1.379 -0.063  1.371 0.137  1.182 0.156
3#apb#apb27#app2727/!  0.587 1.143  0.639 1.230  0.661 1.326  0.674 1.424  0.685 1.516  0.645 1.515  0.584 1.435  0.541 1.343  0.499 1.251  0.456 1.159  0.412 1.067  0.369 0.976  0.326 0.884  0.277 0.795  0.226 0.708  0.174 0.620  0.123 0.533  0.071 0.446  0.021 0.358  -0.030 0.270  -0.080 0.182  -0.130 0.094  -0.180 0.006  -0.230 -0.083  -0.280 -0.171  -0.329 -0.260  -0.365 -0.354  -0.402 -0.449  -0.429 -0.546  -0.440 -0.610  -0.344 -0.578  -0.254 -0.531  -0.172 -0.474  -0.094 -0.412  0.001 -0.398  0.050 -0.453  0.004 -0.544  -0.041 -0.634  -0.086 -0.725  -0.132 -0.816  -0.177 -0.906  -0.222 -0.997  -0.268 -1.088  -0.313 -1.178  -0.358 -1.269  -0.404 -1.360  -0.449 -1.412  -0.516 -1.356  -0.618 -1.356  -0.682 -1.319
3#apb#apb27#app2727/?  -0.062 0.347  -0.167 0.422  -0.285 0.476  -0.411 0.499  -0.468 0.611  -0.452 0.731  -0.378 0.835  -0.270 0.907  -0.167 0.984  -0.059 1.054  0.062 1.099  0.184 1.143  0.311 1.158  0.438 1.175  0.562 1.170  0.674 1.107  0.743 1.001  0.798 0.884  0.854 0.767  0.884 0.646  0.854 0.524  0.787 0.414  0.701 0.317  0.605 0.230  0.505 0.149  0.391 0.087  0.275 0.031  0.153 -0.013  0.031 -0.054  -0.093 -0.092  -0.220 -0.117  -0.346 -0.141  -0.438 -0.189  -0.361 -0.286  -0.318 -0.405  -0.292 -0.523  -0.299 -0.652  -0.366 -0.740  -0.332 -0.734  -0.235 -0.762  -0.251 -0.891  -0.267 -1.019  -0.284 -1.148  -0.300 -1.276  -0.316 -1.404  -0.333 -1.533  -0.349 -1.661  -0.467 -1.629  -0.574 -1.701  -0.653 -1.798
3#apb#apb27#app2727/  0.967 0.854  0.991 0.908  1.039 0.944  1.025 1.015  1.043 1.015  1.030 1.000  0.985 0.942  0.944 0.882  0.904 0.821  0.857 0.766  0.799 0.722  0.741 0.677  0.684 0.633  0.628 0.586  0.576 0.535  0.525 0.483  0.473 0.431  0.422 0.380  0.370 0.328  0.318 0.277  0.266 0.226  0.212 0.177  0.157 0.129  0.103 0.080  0.049 0.031  -0.005 -0.018  -0.059 -0.066  -0.116 -0.113  -0.173 -0.158  -0.229 -0.204  -0.286 -0.249  -0.343 -0.295  -0.400 -0.341  -0.457 -0.386  -0.513 -0.433  -0.569 -0.479  -0.626 -0.525  -0.682 -0.572  -0.738 -0.618  -0.790 -0.670  -0.841 -0.722  -0.893 -0.773  -0.943 -0.826  -0.988 -0.883  -1.033 -0.941  -1.072 -1.002  -1.095 -1.069  -1.095 -1.142  -1.065 -1.203  -1.095 -1.155
3#apb#apb27#app2727/'  0.459 0.729  0.539 0.729  0.587 0.761  0.587 0.842  0.587 0.922  0.603 0.986  0.683 0.986  0.716 1.034  0.716 1.114  0.709 1.165  0.673 1.094  0.637 1.022  0.601 0.950  0.560 0.881  0.516 0.815  0.471 0.748  0.427 0.681  0.382 0.614  0.338 0.547  0.294 0.480  0.251 0.412  0.208 0.344  0.165 0.277  0.122 0.209  0.079 0.141  0.036 0.074  -0.007 0.006  -0.050 -0.062  -0.094 -0.130  -0.137 -0.197  -0.182 -0.264  -0.226 -0.330  -0.271 -0.397  -0.315 -0.464  -0.360 -0.531  -0.403 -0.598  -0.446 -0.666  -0.488 -0.734  -0.531 -0.803  -0.573 -0.871  -0.616 -0.939  -0.658 -1.007  -0.701 -1.075  -0.742 -1.144  -0.783 -1.213  -0.825 -1.281  -0.866 -1.350  -0.891 -1.424  -0.891 -1.504  -0.891 -1.584
