2#app#app07#app0787/w  -0.717 0.844  -0.841 0.824  -0.841 0.679  -0.841 0.535  -0.899 0.415  -1.001 0.313  -1.089 0.205  -1.117 0.072  -1.213 -0.032  -1.213 -0.176  -1.213 -0.321  -1.213 -0.465  -1.149 -0.583  -1.030 -0.643  -0.909 -0.587  -0.793 -0.519  -0.717 -0.450  -0.628 -0.395  -0.516 -0.318  -0.414 -0.216  -0.312 -0.114  -0.210 -0.012  -0.108 0.090  -0.094 0.220  0.008 0.118  0.026 -0.019  0.026 -0.163  0.026 -0.307  0.082 -0.395  0.150 -0.472  0.219 -0.588  0.340 -0.643  0.484 -0.643  0.597 -0.568  0.721 -0.519  0.838 -0.451  0.894 -0.330  0.979 -0.271  1.018 -0.166  1.107 -0.058  1.209 0.044  1.265 0.164  1.265 0.309  1.192 0.422  1.142 0.546  1.142 0.690  1.142 0.834  1.046 0.939  1.018 1.071  1.142 1.092
2#app#app07#app0787/a  0.325 0.841  0.119 0.841  -0.086 0.841  -0.291 0.841  -0.406 0.750  -0.443 0.560  -0.588 0.415  -0.768 0.354  -0.929 0.282  -1.021 0.098  -1.113 -0.086  -1.244 -0.241  -1.381 -0.390  -1.381 -0.595  -1.381 -0.800  -1.239 -0.864  -1.034 -0.864  -0.847 -0.818  -0.702 -0.673  -0.519 -0.621  -0.313 -0.621  -0.163 -0.566  -0.146 -0.377  0.059 -0.377  0.081 -0.194  0.226 -0.134  0.325 -0.027  0.325 0.179  0.325 0.384  0.325 0.590  0.325 0.795  0.325 1.000  0.325 0.963  0.242 0.841  0.081 0.796  0.081 0.591  0.081 0.386  0.255 0.354  0.325 0.218  0.325 0.013  0.384 -0.134  0.583 -0.148  0.728 -0.293  0.899 -0.377  1.090 -0.411  1.235 -0.557  1.414 -0.621  1.619 -0.621  1.786 -0.659  1.786 -0.864
2#app#app07#app0787/n  -0.762 0.027  -0.762 -0.140  -0.762 -0.307  -0.796 -0.439  -0.963 -0.439  -0.995 -0.574  -0.995 -0.741  -0.997 -0.905  -1.164 -0.905  -1.125 -0.905  -0.995 -0.869  -0.995 -0.702  -0.898 -0.575  -0.780 -0.457  -0.662 -0.339  -0.544 -0.222  -0.529 -0.061  -0.450 0.027  -0.296 0.039  -0.296 0.206  -0.215 0.340  -0.098 0.458  -0.063 0.610  -0.012 0.726  0.155 0.726  0.170 0.877  0.256 0.959  0.403 0.978  0.403 1.144  0.523 1.192  0.583 1.192  0.416 1.192  0.403 1.038  0.403 0.871  0.403 0.704  0.403 0.537  0.403 0.371  0.403 0.204  0.403 0.037  0.560 0.027  0.636 -0.063  0.636 -0.230  0.636 -0.397  0.724 -0.527  0.842 -0.645  0.998 -0.672  1.146 -0.716  1.264 -0.834  1.401 -0.905  1.568 -0.905
2#app#app07#app0787/t  1.025 1.540  0.836 1.540  0.771 1.386  0.637 1.253  0.504 1.119  0.371 0.986  0.237 0.853  0.110 0.715  0.026 0.547  -0.104 0.411  -0.238 0.277  -0.300 0.115  -0.382 -0.040  -0.424 -0.211  -0.483 -0.375  -0.483 -0.564  -0.425 -0.729  -0.355 -0.872  -0.269 -0.979  -0.100 -1.063  -0.014 -1.174  0.133 -1.274  0.321 -1.274  0.510 -1.274  0.598 -1.375  0.678 -1.332  0.540 -1.202  0.403 -1.073  0.266 -0.944  0.129 -0.815  -0.009 -0.686  -0.146 -0.556  -0.283 -0.427  -0.421 -0.298  -0.558 -0.169  -0.695 -0.039  -0.833 0.090  -0.970 0.219  -0.985 0.401  -0.872 0.535  -0.683 0.535  -0.515 0.619  -0.330 0.635  -0.146 0.653  0.023 0.736  0.212 0.736  0.401 0.736  0.589 0.736  0.778 0.736  0.924 0.635
2#app#app07#app0787/e  -0.473 -0.494  -0.295 -0.494  -0.250 -0.362  -0.162 -0.272  0.010 -0.253  0.169 -0.173  0.328 -0.094  0.416 0.029  0.450 0.173  0.628 0.173  0.639 0.339  0.761 0.395  0.861 0.472  0.861 0.650  0.861 0.827  0.861 1.005  0.741 1.062  0.563 1.062  0.386 1.062  0.208 1.062  0.031 1.062  -0.147 1.062  -0.250 0.988  -0.279 0.840  -0.457 0.840  -0.635 0.840  -0.695 0.723  -0.746 0.566  -0.872 0.441  -0.968 0.294  -1.047 0.135  -1.127 -0.024  -1.140 -0.198  -1.036 -0.272  -0.917 -0.331  -0.908 -0.504  -0.782 -0.630  -0.640 -0.717  -0.466 -0.724  -0.340 -0.849  -0.200 -0.939  -0.022 -0.939  0.155 -0.939  0.333 -0.939  0.510 -0.939  0.688 -0.939  0.865 -0.939  1.043 -0.939  1.180 -1.036  1.306 -1.161
2#app#app07#app0787/d  0.037 -0.105  -0.145 -0.105  -0.320 -0.139  -0.488 -0.201  -0.668 -0.216  -0.831 -0.298  -0.974 -0.394  -1.143 -0.454  -1.287 -0.561  -1.313 -0.734  -1.273 -0.876  -1.187 -0.973  -1.004 -0.973  -0.824 -0.966  -0.678 -0.876  -0.509 -0.844  -0.362 -0.739  -0.210 -0.642  -0.061 -0.540  0.102 -0.458  0.258 -0.366  0.365 -0.221  0.461 -0.067  0.590 0.062  0.717 0.193  0.799 0.357  0.837 0.530  0.905 0.697  0.905 0.880  0.902 1.062  0.844 1.235  0.809 1.412  0.748 1.535  0.580 1.499  0.451 1.370  0.324 1.239  0.242 1.076  0.203 0.902  0.122 0.739  0.040 0.575  0.037 0.393  0.037 0.210  0.037 0.028  0.037 -0.155  0.098 -0.324  0.139 -0.496  0.230 -0.641  0.329 -0.783  0.473 -0.876  0.616 -0.973
2#app#app07#app0787/p  0.223 0.615  0.210 0.777  0.143 0.670  0.089 0.508  0.011 0.352  -0.053 0.190  -0.111 0.027  -0.187 -0.131  -0.242 -0.296  -0.312 -0.455  -0.341 -0.623  -0.360 -0.793  -0.433 -0.950  -0.488 -1.116  -0.502 -1.288  -0.546 -1.444  -0.583 -1.603  -0.583 -1.777  -0.549 -1.658  -0.509 -1.489  -0.469 -1.319  -0.429 -1.149  -0.389 -0.979  -0.349 -0.810  -0.309 -0.640  -0.269 -0.470  -0.229 -0.301  -0.189 -0.131  -0.149 0.039  -0.109 0.209  -0.070 0.378  -0.030 0.548  0.010 0.718  0.050 0.887  0.117 1.047  0.225 1.181  0.367 1.260  0.525 1.330  0.696 1.341  0.790 1.260  0.868 1.164  0.868 0.990  0.868 0.815  0.788 0.675  0.706 0.534  0.583 0.411  0.424 0.374  0.250 0.374  0.075 0.374  -0.099 0.374
2#app#app07#app0787/i  -0.104 -0.218  -0.133 -0.138  -0.242 -0.138  -0.346 -0.143  -0.379 -0.218  -0.426 -0.280  -0.507 -0.308  -0.507 -0.417  -0.507 -0.526  -0.507 -0.635  -0.507 -0.744  -0.507 -0.853  -0.437 -0.933  -0.417 -1.033  -0.340 -1.110  -0.265 -1.188  -0.243 -1.288  -0.158 -1.345  -0.094 -1.291  -0.075 -1.183  -0.056 -1.076  -0.037 -0.969  -0.018 -0.862  0.002 -0.755  0.021 -0.648  0.040 -0.540  0.059 -0.433  0.079 -0.326  0.098 -0.219  0.117 -0.112  0.136 -0.005  0.156 0.103  0.175 0.210  0.194 0.317  0.213 0.424  0.233 0.531  0.252 0.638  0.271 0.746  0.290 0.853  0.309 0.960  0.329 1.067  0.348 1.174  0.367 1.281  0.386 1.389  0.406 1.496  0.425 1.603  0.444 1.710  0.459 1.818  0.459 1.822  0.540 1.794
2#app#app07#app0787/n  -0.573 0.182  -0.573 0.036  -0.654 -0.077  -0.752 -0.182  -0.752 -0.328  -0.752 -0.474  -0.841 -0.531  -0.930 -0.588  -0.930 -0.734  -0.930 -0.880  -1.068 -0.887  -1.108 -0.993  -1.108 -0.991  -1.066 -0.887  -0.930 -0.877  -0.930 -0.731  -0.842 -0.621  -0.739 -0.518  -0.636 -0.415  -0.533 -0.312  -0.430 -0.209  -0.326 -0.105  -0.223 -0.002  -0.120 0.101  -0.039 0.213  -0.039 0.359  0.106 0.360  0.139 0.473  0.196 0.595  0.299 0.698  0.403 0.802  0.506 0.905  0.609 1.008  0.712 1.111  0.815 1.214  0.852 1.156  0.852 1.010  0.852 0.864  0.852 0.718  0.852 0.572  0.852 0.427  0.852 0.281  0.852 0.135  0.852 -0.011  0.852 -0.157  0.980 -0.174  1.030 -0.271  1.094 -0.352  1.208 -0.385  1.208 -0.531
2#app#app07#app0787/k  0.098 1.862  0.098 1.669  0.086 1.481  -0.042 1.337  -0.128 1.165  -0.214 0.992  -0.272 0.812  -0.280 0.622  -0.417 0.485  -0.554 0.349  -0.690 0.212  -0.804 0.059  -0.888 -0.115  -0.942 -0.286  -1.078 -0.422  -1.134 -0.593  -1.258 -0.735  -1.178 -0.848  -1.108 -0.725  -0.914 -0.725  -0.739 -0.650  -0.582 -0.542  -0.445 -0.405  -0.285 -0.300  -0.120 -0.203  0.028 -0.082  0.201 0.004  0.378 0.048  0.514 0.185  0.676 0.261  0.869 0.261  1.033 0.333  1.205 0.384  1.398 0.384  1.325 0.331  1.147 0.256  0.968 0.182  0.790 0.108  0.611 0.033  0.433 -0.041  0.255 -0.115  0.076 -0.190  -0.025 -0.315  -0.025 -0.509  -0.025 -0.702  0.095 -0.845  0.232 -0.982  0.378 -1.095  0.541 -1.168  0.714 -1.218
2#app#app07#app0787/y  0.205 1.299  0.201 1.164  0.104 1.067  0.008 0.970  -0.058 0.861  -0.124 0.751  -0.124 0.615  -0.052 0.511  0.085 0.511  0.221 0.511  0.352 0.527  0.448 0.623  0.564 0.674  0.533 0.730  0.553 0.859  0.605 0.971  0.676 1.036  0.730 1.085  0.668 0.974  0.664 0.839  0.660 0.704  0.583 0.595  0.540 0.466  0.533 0.330  0.495 0.199  0.445 0.072  0.402 -0.054  0.402 -0.191  0.319 -0.293  0.270 -0.410  0.227 -0.532  0.145 -0.641  0.065 -0.752  0.004 -0.874  -0.057 -0.997  -0.178 -1.059  -0.277 -1.152  -0.388 -1.229  -0.517 -1.261  -0.654 -1.261  -0.790 -1.261  -0.903 -1.204  -1.019 -1.153  -1.042 -1.026  -1.042 -0.890  -1.042 -0.753  -1.004 -0.632  -0.908 -0.536  -0.811 -0.439  -0.714 -0.342
