1b#tos#f2#f2067064/B  -0.334 0.964  -0.418 0.780  -0.460 0.522  -0.485 0.265  -0.502 0.004  -0.537 -0.250  -0.637 -0.486  -0.671 -0.746  -0.713 -1.004  -0.754 -1.223  -0.718 -0.957  -0.681 -0.691  -0.644 -0.426  -0.608 -0.160  -0.571 0.105  -0.535 0.371  -0.498 0.636  -0.461 0.902  -0.425 1.167  -0.453 1.133  -0.196 1.186  0.032 1.301  0.300 1.301  0.568 1.301  0.804 1.244  0.888 1.060  0.972 0.852  0.931 0.614  0.804 0.417  0.604 0.290  0.395 0.177  0.262 0.007  0.010 -0.047  -0.240 -0.089  -0.496 -0.089  -0.235 -0.060  0.030 -0.047  0.298 -0.047  0.549 -0.005  0.757 -0.089  0.888 -0.258  0.930 -0.516  0.908 -0.763  0.804 -0.976  0.635 -1.100  0.486 -1.268  0.239 -1.330  -0.026 -1.352  -0.294 -1.352  -0.502 -1.268
1b#tos#f2#f2067064/C  -0.759 -0.064  -0.759 -0.272  -0.759 -0.481  -0.717 -0.679  -0.674 -0.845  -0.602 -1.023  -0.459 -1.120  -0.294 -1.164  -0.145 -1.247  0.064 -1.247  0.272 -1.247  0.459 -1.188  0.647 -1.140  0.801 -1.039  0.956 -0.951  1.100 -0.888  1.004 -0.716  0.865 -0.561  0.727 -0.405  0.588 -0.250  0.449 -0.095  0.311 0.061  0.172 0.216  0.033 0.372  -0.105 0.527  -0.244 0.682  -0.358 0.622  -0.463 0.476  -0.510 0.312  -0.614 0.142  -0.753 0.031  -0.843 -0.091  -0.906 -0.180  -0.776 -0.028  -0.675 0.154  -0.574 0.336  -0.473 0.518  -0.421 0.713  -0.336 0.837  -0.252 0.961  -0.167 1.084  -0.036 1.161  0.130 1.204  0.338 1.204  0.542 1.164  0.678 1.090  0.789 0.992  0.847 0.842  0.931 0.694  0.974 0.528
1b#tos#f2#f2067064/D  -0.092 1.140  -0.218 1.030  -0.226 0.830  -0.261 0.636  -0.345 0.469  -0.388 0.285  -0.430 0.093  -0.430 -0.109  -0.514 -0.258  -0.557 -0.443  -0.641 -0.609  -0.683 -0.794  -0.683 -0.996  -0.663 -1.005  -0.621 -0.808  -0.579 -0.611  -0.536 -0.413  -0.494 -0.216  -0.452 -0.019  -0.409 0.179  -0.367 0.376  -0.325 0.573  -0.282 0.771  -0.240 0.968  -0.198 1.165  -0.078 1.267  0.089 1.352  0.273 1.309  0.390 1.225  0.543 1.151  0.636 1.005  0.749 0.849  0.837 0.677  0.881 0.493  0.881 0.291  0.965 0.149  0.965 -0.053  0.965 -0.255  0.907 -0.440  0.811 -0.593  0.735 -0.758  0.627 -0.870  0.500 -0.945  0.413 -1.076  0.247 -1.133  0.054 -1.143  -0.148 -1.143  -0.340 -1.182  -0.541 -1.185  -0.726 -1.227
1b#tos#f2#f2067064/E  -0.198 1.370  -0.276 1.119  -0.276 0.820  -0.276 0.522  -0.276 0.223  -0.323 -0.036  -0.391 -0.311  -0.404 -0.597  -0.507 -0.793  -0.539 -1.060  -0.603 -1.001  -0.561 -0.706  -0.519 -0.410  -0.477 -0.114  -0.434 0.182  -0.392 0.478  -0.350 0.773  -0.308 1.069  -0.341 1.261  -0.292 1.139  0.006 1.139  0.305 1.139  0.604 1.139  0.903 1.139  1.110 1.111  0.861 0.947  0.611 0.783  0.361 0.619  0.111 0.455  -0.138 0.291  -0.338 0.150  -0.152 0.136  0.147 0.136  0.436 0.186  0.723 0.208  0.506 0.003  0.288 -0.202  0.071 -0.407  -0.147 -0.612  -0.364 -0.817  -0.582 -1.021  -0.783 -1.160  -0.593 -1.215  -0.294 -1.215  0.005 -1.215  0.265 -1.175  0.526 -1.138  0.824 -1.138  1.085 -1.099  1.383 -1.099
1b#tos#f2#f2067064/F  -0.240 1.078  -0.344 0.941  -0.344 0.700  -0.344 0.460  -0.344 0.219  -0.363 -0.019  -0.414 -0.249  -0.448 -0.475  -0.448 -0.716  -0.545 -0.921  -0.552 -1.160  -0.587 -1.366  -0.656 -1.584  -0.679 -1.803  -0.655 -1.577  -0.617 -1.340  -0.579 -1.102  -0.541 -0.864  -0.502 -0.627  -0.464 -0.389  -0.426 -0.151  -0.388 0.086  -0.350 0.324  -0.312 0.562  -0.274 0.799  -0.269 1.008  -0.283 0.904  -0.042 0.904  0.182 0.974  0.423 0.974  0.664 0.974  0.899 1.008  1.140 1.008  1.356 0.985  1.233 0.859  1.038 0.718  0.844 0.576  0.649 0.435  0.454 0.294  0.259 0.152  0.064 0.011  -0.131 -0.130  -0.325 -0.272  -0.239 -0.345  0.002 -0.345  0.228 -0.310  0.469 -0.310  0.710 -0.310  0.942 -0.276  1.148 -0.310
1b#tos#f2#f2067064/H  -0.765 1.150  -0.846 1.052  -0.782 0.813  -0.765 0.561  -0.765 0.302  -0.757 0.046  -0.725 -0.204  -0.725 -0.463  -0.725 -0.721  -0.765 -0.962  -0.866 -1.182  -0.966 -1.386  -0.876 -1.309  -0.747 -1.086  -0.618 -0.862  -0.488 -0.639  -0.359 -0.415  -0.230 -0.192  -0.100 0.031  0.029 0.255  0.158 0.478  0.288 0.702  0.417 0.925  0.546 1.148  0.676 1.372  0.800 1.592  0.723 1.411  0.723 1.153  0.723 0.895  0.723 0.636  0.723 0.378  0.723 0.120  0.683 -0.129  0.683 -0.387  0.683 -0.645  0.683 -0.903  0.723 -1.121  0.692 -1.214  0.555 -0.995  0.418 -0.776  0.281 -0.557  0.144 -0.338  0.008 -0.119  -0.129 0.100  -0.266 0.319  -0.402 0.265  -0.153 0.225  0.105 0.225  0.354 0.265  0.562 0.184
1b#tos#f2#f2067064/J  -1.008 0.761  -1.024 0.671  -0.890 0.671  -0.756 0.671  -0.636 0.693  -0.526 0.731  -0.392 0.731  -0.258 0.731  -0.124 0.731  -0.003 0.761  0.131 0.761  0.265 0.761  0.369 0.792  0.503 0.792  0.637 0.792  0.771 0.792  0.905 0.792  0.973 0.786  0.841 0.763  0.709 0.740  0.578 0.718  0.446 0.695  0.314 0.672  0.182 0.649  0.049 0.641  0.044 0.512  0.074 0.390  0.074 0.257  0.074 0.123  0.134 0.026  0.134 -0.108  0.146 -0.230  0.164 -0.346  0.224 -0.419  0.224 -0.553  0.224 -0.687  0.254 -0.809  0.254 -0.943  0.252 -1.076  0.187 -1.180  0.088 -1.254  -0.025 -1.291  -0.146 -1.335  -0.249 -1.372  -0.382 -1.372  -0.516 -1.372  -0.650 -1.372  -0.777 -1.342  -0.887 -1.296  -0.978 -1.252
1b#tos#f2#f2067064/Q  0.185 -0.763  0.042 -0.905  -0.171 -0.905  -0.384 -0.903  -0.589 -0.869  -0.714 -0.742  -0.834 -0.600  -0.917 -0.434  -0.947 -0.228  -0.982 -0.023  -0.982 0.190  -0.982 0.403  -0.982 0.616  -0.947 0.821  -0.876 0.984  -0.779 1.160  -0.593 1.264  -0.404 1.358  -0.191 1.358  0.022 1.358  0.216 1.292  0.385 1.166  0.580 1.097  0.697 0.952  0.857 0.841  0.963 0.664  0.998 0.459  0.963 0.260  0.892 0.070  0.792 -0.109  0.649 -0.264  0.533 -0.430  0.397 -0.587  0.254 -0.657  0.120 -0.786  -0.055 -0.869  -0.233 -0.905  -0.346 -0.804  -0.416 -0.662  -0.416 -0.449  -0.343 -0.267  -0.182 -0.175  0.005 -0.092  0.218 -0.091  0.376 -0.176  0.526 -0.327  0.699 -0.374  0.821 -0.516  0.971 -0.643  1.104 -0.763
1b#tos#f2#f2067064/U  -0.770 1.148  -0.872 1.127  -0.928 1.012  -0.940 0.852  -0.974 0.715  -0.974 0.543  -1.008 0.380  -1.008 0.209  -1.008 0.037  -1.008 -0.134  -1.008 -0.306  -0.989 -0.469  -0.940 -0.600  -0.872 -0.724  -0.812 -0.850  -0.720 -0.960  -0.548 -0.960  -0.377 -0.960  -0.205 -0.960  -0.074 -0.911  0.057 -0.813  0.142 -0.666  0.270 -0.567  0.359 -0.430  0.420 -0.298  0.420 -0.126  0.544 -0.017  0.573 0.146  0.598 0.313  0.624 0.478  0.624 0.649  0.624 0.821  0.624 0.992  0.631 1.162  0.658 1.242  0.615 1.083  0.556 0.933  0.556 0.762  0.556 0.591  0.556 0.419  0.556 0.248  0.544 0.078  0.522 -0.091  0.522 -0.262  0.522 -0.433  0.556 -0.597  0.590 -0.760  0.690 -0.890  0.692 -1.061  0.828 -1.096
1b#tos#f2#f2067064/V  -1.310 0.474  -1.266 0.444  -1.069 0.444  -0.873 0.444  -0.677 0.444  -0.481 0.444  -0.309 0.505  -0.113 0.505  0.083 0.505  0.276 0.535  0.472 0.535  0.668 0.535  0.834 0.565  1.031 0.565  1.220 0.595  1.416 0.595  1.587 0.656  1.556 0.664  1.366 0.617  1.175 0.574  0.983 0.532  0.792 0.489  0.600 0.446  0.409 0.403  0.217 0.360  0.025 0.317  -0.166 0.275  -0.358 0.232  -0.549 0.189  -0.741 0.146  -0.734 -0.001  -0.734 -0.197  -0.704 -0.381  -0.695 -0.575  -0.643 -0.759  -0.643 -0.955  -0.643 -1.152  -0.583 -1.336  -0.529 -1.497  -0.431 -1.497  -0.357 -1.331  -0.277 -1.154  -0.189 -0.982  -0.158 -0.791  -0.098 -0.620  -0.037 -0.466  0.040 -0.311  0.115 -0.143  0.236 -0.025  0.266 0.141
1b#tos#f2#f2067064/W  -1.018 1.117  -1.126 1.002  -1.126 0.810  -1.126 0.618  -1.090 0.431  -1.054 0.244  -1.054 0.052  -1.018 -0.135  -0.983 -0.323  -0.910 -0.492  -0.838 -0.654  -0.752 -0.821  -0.693 -1.000  -0.660 -0.909  -0.534 -0.801  -0.487 -0.624  -0.369 -0.494  -0.327 -0.319  -0.267 -0.152  -0.207 0.016  -0.159 0.196  -0.152 0.387  -0.018 0.489  -0.008 0.678  0.076 0.828  0.100 0.660  0.100 0.467  0.100 0.275  0.100 0.082  0.123 -0.106  0.136 -0.297  0.172 -0.474  0.235 -0.641  0.297 -0.791  0.352 -0.945  0.471 -1.047  0.543 -0.919  0.634 -0.750  0.702 -0.575  0.717 -0.385  0.814 -0.224  0.879 -0.044  0.895 0.145  1.024 0.281  1.068 0.457  1.110 0.642  1.216 0.791  1.316 0.949  1.362 1.113  1.434 1.189
