3#app#app34#app3485/B  -0.754 1.175  -0.754 0.931  -0.749 0.690  -0.658 0.485  -0.658 0.241  -0.561 0.038  -0.490 -0.194  -0.465 -0.433  -0.465 -0.676  -0.465 -0.920  -0.400 -0.816  -0.459 -0.580  -0.518 -0.344  -0.577 -0.108  -0.636 0.128  -0.695 0.364  -0.754 0.600  -0.813 0.836  -0.850 1.075  -0.610 1.079  -0.406 1.175  -0.163 1.175  0.080 1.175  0.323 1.175  0.546 1.124  0.688 0.940  0.784 0.736  0.709 0.524  0.592 0.329  0.405 0.219  0.273 0.087  0.153 -0.075  -0.059 -0.149  -0.273 -0.150  -0.106 -0.075  0.138 -0.075  0.381 -0.075  0.621 -0.089  0.845 -0.171  0.976 -0.339  1.131 -0.518  1.168 -0.746  1.072 -0.950  0.976 -1.097  0.800 -1.211  0.600 -1.315  0.361 -1.324  0.117 -1.324  -0.126 -1.324  -0.273 -1.228
3#app#app34#app3485/Y  -0.779 0.919  -0.779 0.749  -0.669 0.688  -0.669 0.518  -0.577 0.386  -0.535 0.233  -0.449 0.099  -0.340 0.037  -0.280 -0.073  -0.110 -0.073  0.060 -0.073  0.212 -0.055  0.291 0.037  0.342 0.167  0.433 0.300  0.433 0.470  0.543 0.530  0.543 0.701  0.543 0.871  0.433 0.931  0.433 1.101  0.433 1.271  0.351 1.359  0.315 1.439  0.276 1.273  0.237 1.107  0.198 0.942  0.159 0.776  0.120 0.610  0.081 0.445  0.042 0.279  0.003 0.113  -0.036 -0.053  -0.075 -0.218  -0.114 -0.384  -0.118 -0.253  -0.218 -0.183  -0.228 -0.343  -0.228 -0.513  -0.186 -0.666  -0.118 -0.808  -0.118 -0.978  -0.118 -1.148  -0.073 -1.311  -0.019 -1.473  -0.008 -1.641  0.053 -1.786  0.102 -1.936  0.102 -2.106  0.102 -2.276
3#app#app34#app3485/T  0.001 1.050  0.001 0.889  0.002 0.729  0.107 0.612  0.107 0.451  0.107 0.291  0.107 0.130  0.194 0.006  0.213 -0.147  0.271 -0.284  0.320 -0.425  0.320 -0.585  0.387 -0.718  0.426 -0.863  0.426 -1.023  0.502 -1.152  0.532 -1.301  0.532 -1.461  0.524 -1.597  0.424 -1.471  0.324 -1.345  0.225 -1.219  0.125 -1.093  0.026 -0.966  -0.074 -0.840  -0.173 -0.714  -0.273 -0.588  -0.373 -0.462  -0.472 -0.336  -0.572 -0.210  -0.671 -0.084  -0.771 0.043  -0.870 0.169  -0.970 0.295  -1.052 0.412  -0.956 0.478  -0.841 0.528  -0.722 0.635  -0.579 0.707  -0.455 0.807  -0.319 0.890  -0.171 0.944  -0.011 0.944  0.134 1.011  0.278 1.082  0.422 1.154  0.582 1.156  0.742 1.156  0.903 1.156  1.064 1.156
3#app#app34#app3485/H  -0.962 1.328  -0.911 1.135  -0.821 0.959  -0.821 0.746  -0.757 0.559  -0.681 0.377  -0.681 0.164  -0.681 -0.049  -0.552 -0.209  -0.540 -0.418  -0.540 -0.631  -0.450 -0.823  -0.399 -1.025  -0.399 -1.238  -0.399 -1.452  -0.434 -1.315  -0.475 -1.106  -0.517 -0.897  -0.559 -0.687  -0.601 -0.478  -0.643 -0.269  -0.659 -0.080  -0.446 -0.080  -0.233 -0.080  -0.019 -0.080  0.194 -0.080  0.408 -0.080  0.581 -0.047  0.542 0.163  0.504 0.373  0.466 0.583  0.428 0.793  0.390 1.003  0.352 1.213  0.313 1.423  0.305 1.301  0.404 1.187  0.446 1.015  0.446 0.802  0.471 0.599  0.587 0.433  0.587 0.220  0.625 0.022  0.727 -0.148  0.772 -0.355  0.839 -0.557  0.868 -0.766  0.906 -0.963  1.009 -1.134  1.009 -1.348
3#app#app34#app3485/E  0.529 1.259  0.348 1.259  0.167 1.259  -0.015 1.259  -0.196 1.259  -0.361 1.219  -0.508 1.138  -0.684 1.132  -0.750 1.016  -0.894 0.928  -1.022 0.800  -1.048 0.629  -1.048 0.448  -1.033 0.273  -0.905 0.145  -0.764 0.046  -0.613 -0.026  -0.452 -0.076  -0.271 -0.076  -0.090 -0.076  0.092 -0.076  0.273 -0.076  0.405 0.043  0.585 0.046  0.650 0.162  0.717 0.167  0.536 0.167  0.405 0.046  0.224 0.046  0.164 -0.076  -0.011 -0.103  -0.173 -0.184  -0.320 -0.229  -0.412 -0.318  -0.463 -0.461  -0.563 -0.601  -0.563 -0.782  -0.450 -0.917  -0.272 -0.925  -0.091 -0.925  0.090 -0.925  0.271 -0.925  0.453 -0.925  0.634 -0.925  0.815 -0.925  0.997 -0.925  1.178 -0.925  1.329 -0.853  1.490 -0.804  1.621 -0.682
3#app#app34#app3485/F  -0.330 1.071  -0.330 0.825  -0.486 0.736  -0.486 0.490  -0.486 0.244  -0.486 -0.001  -0.486 -0.247  -0.484 -0.492  -0.330 -0.674  -0.330 -0.919  -0.330 -1.165  -0.231 -1.370  -0.173 -1.592  -0.173 -1.837  -0.208 -1.711  -0.253 -1.470  -0.299 -1.228  -0.344 -0.987  -0.389 -0.745  -0.434 -0.504  -0.480 -0.262  -0.525 -0.021  -0.570 0.221  -0.615 0.462  -0.569 0.675  -0.358 0.759  -0.135 0.856  0.096 0.915  0.282 1.058  0.458 1.227  0.704 1.227  0.950 1.227  1.195 1.227  1.077 1.086  0.895 0.921  0.713 0.756  0.532 0.591  0.350 0.425  0.168 0.260  -0.014 0.095  -0.196 -0.070  -0.377 -0.236  -0.386 -0.334  -0.141 -0.334  0.105 -0.334  0.351 -0.334  0.554 -0.232  0.776 -0.172  0.995 -0.062  1.232 -0.022
3#app#app34#app3485/L  -0.519 1.706  -0.519 1.617  -0.519 1.529  -0.519 1.440  -0.492 1.378  -0.404 1.378  -0.355 1.338  -0.355 1.250  -0.355 1.161  -0.355 1.073  -0.355 0.984  -0.355 0.896  -0.320 0.816  -0.280 0.736  -0.240 0.657  -0.201 0.578  -0.191 0.492  -0.191 0.403  -0.191 0.315  -0.191 0.226  -0.191 0.138  -0.191 0.049  -0.191 -0.039  -0.191 -0.128  -0.191 -0.216  -0.160 -0.292  -0.097 -0.354  -0.034 -0.417  -0.028 -0.503  -0.028 -0.591  -0.028 -0.680  -0.028 -0.768  -0.028 -0.857  -0.028 -0.945  -0.028 -1.034  0.016 -1.079  0.104 -1.079  0.176 -1.039  0.239 -0.977  0.302 -0.915  0.390 -0.915  0.479 -0.915  0.567 -0.915  0.648 -0.895  0.710 -0.833  0.773 -0.770  0.854 -0.751  0.942 -0.751  1.031 -0.751  1.119 -0.751
3#app#app34#app3485/A  -0.635 1.512  -0.635 1.219  -0.635 0.925  -0.635 0.631  -0.635 0.338  -0.635 0.044  -0.635 -0.250  -0.635 -0.543  -0.635 -0.837  -0.635 -1.131  -0.635 -1.424  -0.462 -1.547  -0.462 -1.254  -0.462 -0.960  -0.462 -0.666  -0.462 -0.373  -0.462 -0.079  -0.462 0.215  -0.462 0.509  -0.462 0.802  -0.462 1.096  -0.412 1.340  -0.119 1.340  0.175 1.340  0.401 1.272  0.574 1.152  0.711 0.994  0.747 0.737  0.747 0.443  0.856 0.195  0.920 -0.073  0.920 -0.366  0.920 -0.660  0.920 -0.954  0.920 -0.910  0.747 -0.789  0.747 -0.495  0.565 -0.378  0.357 -0.171  0.117 -0.042  -0.177 -0.042  -0.462 -0.051  -0.592 -0.215  -0.557 -0.388  -0.264 -0.388  0.030 -0.388  0.314 -0.345  0.577 -0.215  0.834 -0.128  1.092 -0.042
3#app#app34#app3485/V  -0.880 1.105  -0.880 1.237  -0.880 1.192  -0.847 1.072  -0.753 0.979  -0.703 0.867  -0.703 0.734  -0.703 0.601  -0.703 0.468  -0.703 0.335  -0.689 0.209  -0.595 0.115  -0.527 0.010  -0.527 -0.123  -0.438 -0.218  -0.351 -0.315  -0.351 -0.448  -0.351 -0.581  -0.312 -0.697  -0.218 -0.791  -0.124 -0.885  -0.030 -0.979  0.002 -1.098  0.033 -1.218  0.127 -1.312  0.238 -1.363  0.354 -1.347  0.354 -1.214  0.354 -1.081  0.354 -0.949  0.354 -0.816  0.354 -0.683  0.462 -0.658  0.531 -0.594  0.531 -0.461  0.531 -0.328  0.531 -0.196  0.531 -0.063  0.531 0.070  0.531 0.203  0.531 0.335  0.531 0.468  0.531 0.601  0.531 0.734  0.531 0.867  0.531 0.999  0.531 1.132  0.531 1.265  0.613 1.363  0.707 1.457
3#app#app34#app3485/O  0.035 1.129  -0.111 1.129  -0.113 0.985  -0.255 0.981  -0.360 0.882  -0.485 0.833  -0.557 0.759  -0.629 0.685  -0.705 0.615  -0.753 0.489  -0.853 0.385  -0.853 0.239  -0.853 0.093  -0.853 -0.053  -0.853 -0.199  -0.853 -0.344  -0.853 -0.490  -0.756 -0.596  -0.705 -0.721  -0.633 -0.794  -0.557 -0.864  -0.489 -0.942  -0.362 -0.989  -0.259 -1.090  -0.113 -1.090  0.033 -1.090  0.179 -1.090  0.325 -1.090  0.471 -1.090  0.576 -0.993  0.679 -0.890  0.775 -0.783  0.783 -0.646  0.922 -0.640  0.922 -0.494  0.922 -0.348  0.922 -0.202  0.922 -0.056  0.820 0.047  0.749 0.170  0.703 0.308  0.657 0.447  0.591 0.573  0.488 0.676  0.385 0.779  0.331 0.903  0.263 0.981  0.183 1.046  0.138 1.174  0.035 1.277
3#app#app34#app3485/R  -0.689 0.773  -0.631 0.559  -0.533 0.363  -0.533 0.125  -0.533 -0.112  -0.510 -0.340  -0.377 -0.522  -0.377 -0.760  -0.377 -0.997  -0.377 -1.235  -0.377 -1.341  -0.377 -1.103  -0.533 -0.930  -0.533 -0.693  -0.655 -0.506  -0.689 -0.283  -0.689 -0.045  -0.689 0.192  -0.689 0.429  -0.689 0.667  -0.689 0.904  -0.648 1.125  -0.480 1.293  -0.285 1.395  -0.048 1.395  0.189 1.395  0.271 1.240  0.508 1.240  0.580 1.060  0.712 0.878  0.845 0.773  0.868 0.558  0.868 0.321  0.712 0.239  0.564 0.150  0.482 -0.005  0.400 -0.161  0.163 -0.161  -0.074 -0.161  -0.222 -0.251  -0.066 -0.333  0.032 -0.472  0.245 -0.496  0.351 -0.628  0.556 -0.660  0.670 -0.784  0.868 -0.823  0.989 -0.939  1.167 -1.083  1.335 -1.251
