1c#app#app31#app3113/t  0.099 0.801  0.099 0.973  0.201 1.044  0.208 1.214  0.303 1.347  0.298 1.518  0.201 1.578  0.201 1.406  0.201 1.233  0.201 1.061  0.201 0.888  0.201 0.716  0.201 0.543  0.201 0.371  0.159 0.208  0.099 0.050  0.099 -0.123  0.064 -0.287  -0.002 -0.444  -0.002 -0.616  -0.002 -0.789  -0.002 -0.961  -0.076 -1.103  -0.104 -1.264  -0.104 -1.437  -0.104 -1.609  -0.003 -1.740  -0.083 -1.590  -0.164 -1.438  -0.245 -1.285  -0.326 -1.133  -0.408 -0.981  -0.489 -0.829  -0.570 -0.676  -0.651 -0.524  -0.732 -0.372  -0.814 -0.220  -0.749 -0.114  -0.617 -0.017  -0.465 0.033  -0.326 0.131  -0.179 0.218  -0.037 0.292  0.132 0.309  0.286 0.386  0.413 0.500  0.568 0.577  0.722 0.655  0.884 0.699  1.014 0.801
1c#app#app31#app3113/h  0.039 1.978  0.011 2.043  -0.054 1.937  -0.054 1.803  -0.054 1.669  -0.054 1.535  -0.054 1.402  -0.054 1.268  -0.055 1.135  -0.097 1.008  -0.139 0.881  -0.148 0.749  -0.165 0.618  -0.207 0.491  -0.242 0.363  -0.242 0.229  -0.247 0.097  -0.307 -0.023  -0.335 -0.150  -0.342 -0.282  -0.402 -0.401  -0.429 -0.529  -0.444 -0.656  -0.522 -0.758  -0.522 -0.891  -0.522 -1.025  -0.473 -1.109  -0.365 -1.046  -0.271 -0.952  -0.200 -0.840  -0.136 -0.723  -0.044 -0.627  0.030 -0.515  0.104 -0.404  0.190 -0.303  0.263 -0.193  0.325 -0.075  0.413 0.022  0.413 0.058  0.413 -0.076  0.413 -0.210  0.413 -0.343  0.413 -0.477  0.413 -0.611  0.413 -0.744  0.413 -0.878  0.477 -0.985  0.571 -1.080  0.666 -1.174  0.788 -1.203
1c#app#app31#app3113/e  -1.250 -0.469  -1.081 -0.445  -1.034 -0.300  -0.862 -0.250  -0.719 -0.132  -0.527 -0.132  -0.355 -0.080  -0.214 0.049  -0.042 0.135  0.133 0.205  0.309 0.247  0.448 0.374  0.630 0.400  0.766 0.536  0.942 0.557  0.942 0.749  0.898 0.923  0.758 1.048  0.565 1.048  0.373 1.048  0.190 1.010  0.018 0.924  -0.137 0.813  -0.282 0.689  -0.454 0.603  -0.601 0.492  -0.687 0.320  -0.808 0.205  -0.975 0.143  -1.081 -0.005  -1.081 -0.198  -1.081 -0.390  -1.081 -0.582  -0.944 -0.638  -0.799 -0.751  -0.629 -0.806  -0.437 -0.806  -0.245 -0.806  -0.052 -0.806  0.128 -0.777  0.264 -0.641  0.455 -0.638  0.648 -0.638  0.820 -0.590  0.963 -0.469  1.142 -0.438  1.278 -0.302  1.414 -0.165  1.593 -0.132  1.785 -0.132
1c#app#app31#app3113/m  -0.827 0.590  -0.711 0.520  -0.722 0.337  -0.805 0.171  -0.842 -0.004  -0.943 -0.148  -0.943 -0.334  -1.072 -0.466  -1.174 -0.610  -1.286 -0.684  -1.243 -0.521  -1.112 -0.390  -1.058 -0.226  -0.978 -0.059  -0.867 0.087  -0.735 0.218  -0.604 0.350  -0.472 0.481  -0.363 0.622  -0.291 0.778  -0.160 0.910  0.014 0.938  0.100 0.837  0.024 0.669  -0.016 0.493  -0.132 0.355  -0.132 0.169  -0.233 0.025  -0.248 -0.155  -0.243 -0.336  -0.057 -0.336  0.086 -0.234  0.218 -0.103  0.349 0.029  0.489 0.148  0.656 0.231  0.792 0.356  0.929 0.474  1.115 0.474  1.143 0.316  1.143 0.130  1.143 -0.056  1.143 -0.241  1.143 -0.427  1.143 -0.613  1.143 -0.799  1.143 -0.985  1.282 -1.032  1.468 -1.032  1.606 -0.916
1c#app#app31#app3113/o  0.823 0.605  0.705 0.487  0.560 0.434  0.393 0.434  0.227 0.434  0.060 0.434  -0.107 0.434  -0.273 0.434  -0.440 0.434  -0.607 0.434  -0.712 0.373  -0.769 0.264  -0.882 0.210  -0.882 0.043  -0.882 -0.123  -0.882 -0.290  -0.882 -0.457  -0.882 -0.623  -0.882 -0.790  -0.863 -0.949  -0.745 -1.066  -0.627 -1.184  -0.496 -1.270  -0.330 -1.270  -0.163 -1.270  0.004 -1.270  0.170 -1.270  0.311 -1.245  0.327 -1.084  0.444 -0.967  0.482 -0.815  0.560 -0.681  0.652 -0.553  0.652 -0.386  0.652 -0.219  0.652 -0.053  0.652 0.114  0.652 0.281  0.652 0.447  0.652 0.614  0.648 0.779  0.531 0.897  0.482 1.043  0.415 1.182  0.292 1.287  0.125 1.287  -0.030 1.275  -0.037 1.116  -0.200 1.112  -0.200 0.946
1c#app#app31#app3113/c  0.992 0.497  0.874 0.497  0.824 0.565  0.807 0.665  0.689 0.665  0.571 0.665  0.457 0.681  0.352 0.733  0.247 0.786  0.140 0.833  0.023 0.833  -0.095 0.833  -0.213 0.833  -0.330 0.833  -0.448 0.833  -0.561 0.812  -0.666 0.759  -0.771 0.706  -0.872 0.647  -0.955 0.564  -1.021 0.474  -1.021 0.356  -1.021 0.238  -1.021 0.121  -1.021 0.003  -1.021 -0.115  -0.963 -0.174  -0.848 -0.180  -0.765 -0.263  -0.680 -0.342  -0.562 -0.342  -0.466 -0.394  -0.383 -0.477  -0.299 -0.560  -0.216 -0.643  -0.113 -0.677  0.005 -0.677  0.123 -0.677  0.231 -0.716  0.336 -0.769  0.442 -0.822  0.554 -0.845  0.672 -0.845  0.789 -0.845  0.907 -0.845  1.025 -0.845  1.142 -0.845  1.260 -0.845  1.378 -0.845  1.495 -0.845
1c#app#app31#app3113/k  -0.099 1.369  -0.129 1.607  -0.246 1.785  -0.307 1.595  -0.307 1.344  -0.307 1.093  -0.357 0.854  -0.411 0.616  -0.442 0.372  -0.515 0.138  -0.527 -0.110  -0.619 -0.339  -0.619 -0.590  -0.723 -0.798  -0.723 -1.049  -0.723 -1.300  -0.649 -1.132  -0.563 -0.897  -0.478 -0.661  -0.392 -0.425  -0.310 -0.191  -0.457 -0.087  -0.427 0.017  -0.280 0.121  -0.072 0.225  0.136 0.329  0.283 0.433  0.428 0.543  0.638 0.641  0.843 0.751  1.021 0.929  1.149 0.840  1.105 0.613  0.892 0.480  0.679 0.347  0.467 0.214  0.254 0.081  0.041 -0.052  -0.172 -0.185  -0.385 -0.318  -0.418 -0.399  -0.167 -0.399  0.031 -0.529  0.208 -0.706  0.317 -0.851  0.421 -0.998  0.525 -1.206  0.647 -1.335  0.794 -1.439  0.941 -1.335
1c#app#app31#app3113/j  0.402 0.365  0.402 0.503  0.402 0.641  0.477 0.625  0.496 0.495  0.552 0.381  0.552 0.243  0.552 0.105  0.482 -0.003  0.477 -0.139  0.477 -0.277  0.477 -0.415  0.434 -0.542  0.402 -0.672  0.327 -0.779  0.319 -0.913  0.222 -1.011  0.103 -1.055  0.058 -1.174  -0.061 -1.219  -0.174 -1.279  -0.312 -1.279  -0.450 -1.279  -0.560 -1.213  -0.644 -1.154  -0.719 -1.091  -0.719 -0.954  -0.686 -0.822  -0.635 -0.694  -0.584 -0.567  -0.532 -0.439  -0.481 -0.311  -0.430 -0.183  -0.379 -0.055  -0.328 0.073  -0.277 0.201  -0.226 0.328  -0.174 0.456  -0.123 0.584  -0.072 0.712  -0.021 0.840  0.030 0.968  0.081 1.095  0.132 1.223  0.178 1.352  0.178 1.490  0.131 1.608  0.103 1.734  0.040 1.786  0.103 1.711
1c#app#app31#app3113/u  -1.223 0.334  -1.223 0.201  -1.223 0.067  -1.223 -0.066  -1.223 -0.200  -1.223 -0.333  -1.223 -0.467  -1.223 -0.600  -1.223 -0.734  -1.223 -0.868  -1.122 -0.901  -0.989 -0.901  -0.855 -0.901  -0.733 -0.874  -0.638 -0.780  -0.544 -0.686  -0.449 -0.591  -0.355 -0.497  -0.261 -0.402  -0.166 -0.308  -0.043 -0.283  0.048 -0.214  0.107 -0.094  0.167 0.025  0.261 0.120  0.356 0.214  0.450 0.309  0.573 0.334  0.630 0.411  0.630 0.544  0.655 0.668  0.749 0.762  0.844 0.857  0.938 0.951  0.939 1.084  0.828 1.106  0.785 1.016  0.785 0.882  0.785 0.749  0.785 0.615  0.785 0.482  0.785 0.348  0.700 0.250  0.630 0.145  0.630 0.012  0.630 -0.122  0.630 -0.255  0.705 -0.358  0.785 -0.459  0.785 -0.592
1c#app#app31#app3113/r  -0.305 0.710  -0.165 0.710  -0.091 0.644  -0.091 0.503  -0.091 0.363  -0.091 0.223  -0.091 0.082  -0.091 -0.058  -0.091 -0.199  -0.091 -0.339  -0.091 -0.479  -0.121 -0.607  -0.220 -0.707  -0.305 -0.812  -0.305 -0.952  -0.366 -1.067  -0.465 -1.167  -0.520 -1.284  -0.520 -1.425  -0.611 -1.344  -0.711 -1.245  -0.627 -1.221  -0.520 -1.188  -0.520 -1.048  -0.520 -0.908  -0.502 -0.775  -0.403 -0.675  -0.305 -0.575  -0.260 -0.442  -0.216 -0.309  -0.171 -0.176  -0.127 -0.043  -0.091 0.092  -0.091 0.232  -0.026 0.346  0.074 0.445  0.173 0.544  0.272 0.644  0.339 0.756  0.339 0.897  0.451 0.924  0.580 0.952  0.680 1.051  0.768 1.155  0.768 1.295  0.850 1.354  0.990 1.354  1.131 1.354  1.197 1.279  1.197 1.139
1c#app#app31#app3113/y  -0.484 0.671  -0.574 0.773  -0.586 0.953  -0.688 1.102  -0.768 1.261  -0.790 1.121  -0.756 0.943  -0.688 0.779  -0.605 0.607  -0.559 0.428  -0.453 0.268  -0.337 0.116  -0.230 -0.040  -0.103 -0.144  -0.031 -0.291  0.104 -0.427  0.229 -0.567  0.329 -0.651  0.229 -0.501  0.100 -0.422  0.084 -0.284  0.214 -0.143  0.345 -0.002  0.475 0.139  0.605 0.280  0.735 0.420  0.865 0.561  0.995 0.702  1.125 0.843  1.238 0.977  1.076 0.906  0.943 0.769  0.876 0.605  0.777 0.442  0.664 0.291  0.531 0.153  0.445 -0.018  0.320 -0.162  0.213 -0.321  0.101 -0.476  -0.034 -0.612  -0.104 -0.769  -0.275 -0.855  -0.356 -0.997  -0.518 -1.096  -0.654 -1.231  -0.790 -1.367  -0.934 -1.490  -1.107 -1.571  -1.197 -1.673
