1c#apb#apb31#app3182/g  0.089 1.043  -0.060 0.956  -0.208 0.869  -0.363 0.796  -0.519 0.730  -0.641 0.609  -0.729 0.463  -0.771 0.299  -0.783 0.128  -0.759 -0.042  -0.706 -0.202  -0.623 -0.353  -0.489 -0.460  -0.331 -0.460  -0.182 -0.386  -0.061 -0.265  0.061 -0.143  0.155 0.000  0.250 0.144  0.336 0.292  0.411 0.446  0.486 0.601  0.543 0.763  0.588 0.928  0.616 1.097  0.616 1.268  0.557 1.411  0.439 1.299  0.350 1.155  0.282 0.997  0.218 0.837  0.165 0.674  0.112 0.510  0.074 0.343  0.047 0.173  0.028 0.004  0.053 -0.166  0.078 -0.336  0.107 -0.506  0.140 -0.675  0.173 -0.843  0.209 -1.011  0.245 -1.179  0.273 -1.349  0.259 -1.518  0.165 -1.660  0.023 -1.758  -0.138 -1.812  -0.307 -1.845  -0.477 -1.865
1c#apb#apb31#app3182/u  -0.371 0.842  -0.475 0.715  -0.580 0.588  -0.688 0.465  -0.798 0.342  -0.871 0.199  -0.921 0.042  -0.978 -0.112  -1.045 -0.262  -1.091 -0.416  -1.091 -0.581  -1.087 -0.745  -1.053 -0.906  -1.002 -1.059  -0.908 -1.195  -0.760 -1.225  -0.606 -1.193  -0.470 -1.100  -0.336 -1.005  -0.213 -0.896  -0.089 -0.788  0.034 -0.679  0.135 -0.549  0.236 -0.419  0.337 -0.289  0.435 -0.158  0.526 -0.021  0.617 0.116  0.708 0.253  0.796 0.392  0.885 0.530  0.918 0.686  0.924 0.851  0.923 1.014  0.891 1.175  0.797 1.304  0.666 1.285  0.557 1.171  0.489 1.021  0.436 0.867  0.411 0.705  0.386 0.542  0.372 0.378  0.361 0.214  0.350 0.050  0.372 -0.113  0.395 -0.275  0.429 -0.435  0.491 -0.587  0.553 -0.740
1c#apb#apb31#app3182/i  0.428 0.423  0.379 0.376  0.347 0.263  0.315 0.149  0.282 0.036  0.246 -0.076  0.207 -0.188  0.168 -0.299  0.130 -0.411  0.091 -0.522  0.053 -0.634  0.012 -0.745  -0.032 -0.854  -0.076 -0.964  -0.108 -1.077  -0.138 -1.191  -0.168 -1.305  -0.197 -1.420  -0.225 -1.534  -0.218 -1.430  -0.208 -1.312  -0.198 -1.194  -0.188 -1.077  -0.179 -0.959  -0.169 -0.842  -0.159 -0.724  -0.149 -0.607  -0.140 -0.489  -0.130 -0.371  -0.120 -0.254  -0.110 -0.136  -0.101 -0.019  -0.091 0.099  -0.081 0.217  -0.071 0.334  -0.062 0.452  -0.052 0.569  -0.042 0.687  -0.032 0.804  -0.023 0.922  -0.013 1.040  -0.003 1.157  0.007 1.275  0.016 1.392  0.026 1.510  0.036 1.628  0.057 1.742  0.114 1.845  0.227 1.869  0.342 1.846
1c#apb#apb31#app3182/l  0.694 1.457  0.715 1.468  0.686 1.405  0.661 1.340  0.636 1.276  0.607 1.213  0.569 1.154  0.532 1.096  0.494 1.037  0.456 0.979  0.424 0.917  0.393 0.855  0.362 0.793  0.331 0.731  0.300 0.668  0.269 0.606  0.238 0.544  0.208 0.481  0.179 0.418  0.150 0.355  0.121 0.291  0.092 0.228  0.063 0.165  0.034 0.102  0.005 0.039  -0.024 -0.025  -0.054 -0.088  -0.083 -0.151  -0.113 -0.214  -0.142 -0.277  -0.172 -0.340  -0.201 -0.403  -0.231 -0.466  -0.260 -0.529  -0.290 -0.592  -0.319 -0.655  -0.349 -0.718  -0.377 -0.781  -0.404 -0.845  -0.430 -0.910  -0.457 -0.974  -0.484 -1.038  -0.510 -1.102  -0.537 -1.167  -0.564 -1.231  -0.590 -1.295  -0.617 -1.359  -0.644 -1.424  -0.670 -1.488  -0.697 -1.552
1c#apb#apb31#app3182/a  -0.163 1.049  -0.355 0.972  -0.525 0.856  -0.642 0.689  -0.743 0.509  -0.836 0.324  -0.928 0.140  -1.010 -0.050  -1.090 -0.240  -1.130 -0.442  -1.162 -0.646  -1.114 -0.847  -0.942 -0.909  -0.788 -0.773  -0.633 -0.636  -0.500 -0.478  -0.374 -0.315  -0.247 -0.152  -0.126 0.016  -0.011 0.188  0.103 0.359  0.218 0.531  0.315 0.714  0.413 0.896  0.510 1.078  0.618 1.254  0.692 1.417  0.607 1.230  0.499 1.054  0.392 0.878  0.319 0.684  0.245 0.491  0.172 0.298  0.095 0.106  0.018 -0.086  -0.043 -0.282  -0.085 -0.484  -0.127 -0.687  -0.165 -0.890  -0.116 -1.070  0.072 -1.110  0.273 -1.090  0.455 -0.991  0.636 -0.892  0.805 -0.774  0.972 -0.652  1.138 -0.529  1.284 -0.383  1.430 -0.236  1.576 -0.090
1c#apb#apb31#app3182/r  -0.227 0.485  -0.277 0.376  -0.327 0.267  -0.371 0.155  -0.415 0.043  -0.460 -0.068  -0.516 -0.174  -0.572 -0.280  -0.627 -0.387  -0.687 -0.491  -0.747 -0.595  -0.807 -0.699  -0.848 -0.810  -0.877 -0.927  -0.902 -1.044  -0.913 -1.163  -0.859 -1.254  -0.749 -1.206  -0.673 -1.114  -0.599 -1.020  -0.530 -0.922  -0.468 -0.819  -0.406 -0.716  -0.345 -0.613  -0.281 -0.511  -0.213 -0.413  -0.145 -0.314  -0.077 -0.215  -0.008 -0.117  0.057 -0.016  0.121 0.085  0.186 0.186  0.250 0.288  0.314 0.389  0.384 0.487  0.458 0.581  0.532 0.676  0.606 0.770  0.681 0.864  0.757 0.957  0.833 1.049  0.914 1.137  1.012 1.207  1.106 1.197  1.129 1.079  1.134 0.960  1.134 0.840  1.119 0.722  1.100 0.605  1.100 0.485
1c#apb#apb31#app3182/t  0.623 1.867  0.652 1.699  0.623 1.536  0.566 1.374  0.504 1.216  0.430 1.062  0.356 0.908  0.281 0.755  0.205 0.602  0.129 0.450  0.043 0.303  -0.057 0.165  -0.157 0.026  -0.255 -0.113  -0.334 -0.264  -0.413 -0.416  -0.491 -0.567  -0.574 -0.716  -0.657 -0.866  -0.686 -1.030  -0.697 -1.201  -0.664 -1.368  -0.546 -1.487  -0.393 -1.478  -0.241 -1.403  -0.093 -1.318  0.038 -1.209  0.168 -1.098  0.302 -0.993  0.437 -0.889  0.569 -0.781  0.701 -0.672  0.647 -0.554  0.527 -0.432  0.407 -0.311  0.287 -0.189  0.167 -0.068  0.047 0.054  -0.072 0.175  -0.192 0.296  -0.312 0.418  -0.432 0.539  -0.552 0.661  -0.636 0.744  -0.467 0.733  -0.297 0.738  -0.126 0.747  0.043 0.763  0.213 0.785  0.382 0.807
1c#apb#apb31#app3182/k  0.394 1.866  0.269 1.693  0.204 1.485  0.141 1.275  0.078 1.066  0.004 0.861  -0.071 0.655  -0.137 0.447  -0.199 0.237  -0.262 0.028  -0.327 -0.181  -0.393 -0.389  -0.460 -0.597  -0.527 -0.805  -0.603 -1.010  -0.694 -1.208  -0.774 -1.411  -0.842 -1.619  -0.821 -1.446  -0.750 -1.240  -0.677 -1.034  -0.599 -0.829  -0.513 -0.629  -0.398 -0.444  -0.282 -0.258  -0.160 -0.077  -0.037 0.104  0.101 0.271  0.259 0.422  0.421 0.569  0.589 0.709  0.763 0.840  0.948 0.958  1.148 1.039  1.123 0.880  0.978 0.733  0.782 0.639  0.607 0.508  0.433 0.375  0.265 0.236  0.097 0.096  -0.084 -0.027  -0.243 -0.174  -0.363 -0.353  -0.364 -0.562  -0.218 -0.704  -0.017 -0.789  0.192 -0.792  0.404 -0.740  0.613 -0.674
1c#apb#apb31#app3182/i  0.168 -0.004  0.159 -0.109  0.149 -0.213  0.140 -0.317  0.131 -0.421  0.101 -0.521  0.067 -0.620  0.032 -0.719  -0.003 -0.818  -0.033 -0.918  -0.061 -1.018  -0.090 -1.119  -0.119 -1.220  -0.147 -1.320  -0.175 -1.421  -0.186 -1.433  -0.175 -1.329  -0.165 -1.225  -0.154 -1.120  -0.144 -1.016  -0.133 -0.912  -0.123 -0.808  -0.113 -0.704  -0.102 -0.600  -0.092 -0.496  -0.081 -0.392  -0.071 -0.287  -0.061 -0.183  -0.050 -0.079  -0.040 0.025  -0.029 0.129  -0.019 0.233  -0.008 0.337  0.002 0.442  0.012 0.546  0.023 0.650  0.033 0.754  0.044 0.858  0.054 0.962  0.064 1.066  0.075 1.170  0.085 1.275  0.096 1.379  0.106 1.483  0.116 1.587  0.127 1.691  0.129 1.796  0.139 1.756  0.154 1.653  0.168 1.549
1c#apb#apb31#app3182/n  -0.363 0.890  -0.388 0.690  -0.429 0.494  -0.487 0.302  -0.545 0.109  -0.604 -0.083  -0.659 -0.276  -0.706 -0.472  -0.753 -0.667  -0.840 -0.848  -0.928 -1.029  -0.992 -1.220  -0.978 -1.111  -0.909 -0.922  -0.843 -0.732  -0.761 -0.549  -0.666 -0.372  -0.571 -0.195  -0.489 -0.012  -0.410 0.173  -0.332 0.358  -0.247 0.540  -0.154 0.719  -0.059 0.895  0.090 0.974  0.078 0.783  0.050 0.583  0.033 0.383  0.018 0.183  -0.005 -0.017  -0.036 -0.216  -0.064 -0.415  -0.064 -0.616  -0.064 -0.817  0.006 -1.004  0.182 -0.938  0.324 -0.796  0.466 -0.654  0.575 -0.486  0.675 -0.312  0.774 -0.137  0.866 0.041  0.956 0.221  1.046 0.401  1.141 0.578  1.239 0.754  1.337 0.930  1.422 1.112  1.503 1.296  1.562 1.488
1c#apb#apb31#app3182/s  0.433 1.514  0.327 1.547  0.216 1.533  0.128 1.466  0.041 1.394  -0.039 1.316  -0.114 1.232  -0.188 1.148  -0.263 1.064  -0.333 0.977  -0.402 0.888  -0.472 0.800  -0.541 0.712  -0.604 0.620  -0.652 0.518  -0.700 0.417  -0.731 0.312  -0.731 0.199  -0.729 0.088  -0.656 0.003  -0.563 -0.053  -0.457 -0.088  -0.350 -0.119  -0.237 -0.119  -0.125 -0.119  -0.013 -0.117  0.097 -0.093  0.206 -0.068  0.316 -0.054  0.425 -0.080  0.534 -0.106  0.644 -0.131  0.748 -0.161  0.788 -0.266  0.777 -0.374  0.750 -0.483  0.685 -0.572  0.612 -0.658  0.538 -0.742  0.459 -0.822  0.380 -0.901  0.301 -0.981  0.224 -1.063  0.146 -1.144  0.069 -1.225  -0.009 -1.306  -0.099 -1.374  -0.188 -1.442  -0.277 -1.510  -0.366 -1.578
1c#apb#apb31#app3182/o  -0.182 0.714  -0.227 0.585  -0.272 0.456  -0.316 0.327  -0.361 0.199  -0.406 0.070  -0.450 -0.059  -0.495 -0.188  -0.532 -0.319  -0.563 -0.451  -0.594 -0.584  -0.624 -0.717  -0.639 -0.852  -0.645 -0.988  -0.651 -1.125  -0.635 -1.256  -0.574 -1.378  -0.460 -1.414  -0.323 -1.414  -0.226 -1.320  -0.130 -1.223  -0.033 -1.127  0.041 -1.013  0.114 -0.897  0.186 -0.782  0.258 -0.666  0.321 -0.545  0.382 -0.423  0.443 -0.302  0.504 -0.180  0.565 -0.058  0.602 0.073  0.638 0.205  0.674 0.336  0.711 0.468  0.728 0.602  0.734 0.738  0.740 0.874  0.726 1.006  0.665 1.128  0.601 1.247  0.468 1.277  0.335 1.302  0.201 1.275  0.068 1.248  -0.053 1.185  -0.171 1.119  -0.285 1.044  -0.381 0.948  -0.477 0.852
1c#apb#apb31#app3182/n  -0.172 1.210  -0.280 1.098  -0.308 0.939  -0.338 0.781  -0.370 0.623  -0.403 0.466  -0.438 0.308  -0.472 0.151  -0.511 -0.005  -0.552 -0.161  -0.594 -0.316  -0.641 -0.470  -0.691 -0.623  -0.741 -0.776  -0.816 -0.919  -0.891 -1.061  -0.974 -1.199  -1.008 -1.105  -0.942 -0.960  -0.867 -0.817  -0.798 -0.672  -0.732 -0.525  -0.665 -0.379  -0.585 -0.240  -0.492 -0.109  -0.399 0.023  -0.306 0.154  -0.199 0.274  -0.092 0.395  0.014 0.516  0.129 0.629  0.245 0.740  0.361 0.851  0.497 0.937  0.636 1.016  0.791 0.974  0.912 0.881  0.995 0.746  1.022 0.588  1.049 0.429  1.065 0.269  1.077 0.108  1.070 -0.052  1.057 -0.212  1.017 -0.368  0.976 -0.524  0.928 -0.677  0.873 -0.829  0.814 -0.979  0.751 -1.126
1c#apb#apb31#app3182/d  -0.342 -0.270  -0.475 -0.353  -0.572 -0.488  -0.653 -0.634  -0.726 -0.785  -0.776 -0.943  -0.811 -1.106  -0.817 -1.273  -0.743 -1.409  -0.609 -1.309  -0.510 -1.176  -0.416 -1.037  -0.324 -0.898  -0.252 -0.747  -0.180 -0.596  -0.108 -0.445  -0.037 -0.293  0.034 -0.142  0.105 0.010  0.175 0.162  0.230 0.320  0.282 0.479  0.334 0.638  0.381 0.798  0.418 0.961  0.454 1.125  0.490 1.288  0.502 1.455  0.508 1.622  0.512 1.759  0.422 1.620  0.347 1.470  0.281 1.317  0.232 1.157  0.183 0.997  0.136 0.836  0.090 0.675  0.045 0.514  0.012 0.351  -0.008 0.185  -0.027 0.019  -0.036 -0.148  -0.022 -0.314  -0.008 -0.481  0.048 -0.636  0.136 -0.773  0.285 -0.851  0.442 -0.899  0.605 -0.908  0.761 -0.846
1c#apb#apb31#app3182/a  -0.295 0.604  -0.380 0.405  -0.466 0.206  -0.548 0.006  -0.625 -0.197  -0.702 -0.399  -0.787 -0.597  -0.898 -0.784  -1.007 -0.970  -1.104 -1.164  -1.211 -1.325  -1.179 -1.124  -1.067 -0.938  -0.954 -0.754  -0.840 -0.570  -0.725 -0.386  -0.608 -0.204  -0.483 -0.027  -0.359 0.150  -0.234 0.327  -0.099 0.495  0.044 0.659  0.186 0.822  0.329 0.984  0.489 1.129  0.650 1.275  0.836 1.377  0.994 1.301  1.041 1.093  1.070 0.879  1.079 0.662  1.086 0.446  1.086 0.230  1.086 0.013  1.069 -0.203  1.050 -0.418  1.024 -0.633  0.918 -0.686  0.731 -0.576  0.544 -0.467  0.357 -0.358  0.170 -0.249  -0.017 -0.140  -0.204 -0.031  -0.391 0.078  -0.531 0.174  -0.326 0.107  -0.130 0.015  0.067 -0.074  0.265 -0.162
1c#apb#apb31#app3182/r  -0.481 -0.064  -0.579 -0.303  -0.670 -0.545  -0.758 -0.788  -0.877 -1.018  -0.995 -1.248  -1.111 -1.479  -1.235 -1.571  -1.137 -1.332  -1.027 -1.099  -0.906 -0.870  -0.783 -0.642  -0.640 -0.427  -0.496 -0.212  -0.349 0.000  -0.190 0.204  -0.030 0.407  0.140 0.601  0.327 0.780  0.519 0.953  0.733 1.081  0.786 0.870  0.773 0.689  0.991 0.736  1.112 0.877  1.103 0.955  1.213 1.048  1.037 0.864  0.851 0.685  0.665 0.505  0.479 0.325  0.293 0.145  0.107 -0.034  -0.079 -0.214  -0.265 -0.394  -0.451 -0.573  -0.637 -0.753  -0.630 -0.557  -0.497 -0.336  -0.354 -0.120  -0.195 0.083  -0.029 0.282  0.150 0.469  0.336 0.647  0.550 0.775  0.695 0.634  0.683 0.376  0.650 0.119  0.623 -0.138  0.585 -0.393
1c#apb#apb31#app3182/t  0.628 1.548  0.498 1.418  0.395 1.268  0.299 1.112  0.227 0.944  0.157 0.774  0.101 0.600  0.052 0.423  -0.000 0.248  -0.058 0.074  -0.116 -0.100  -0.136 -0.280  -0.136 -0.463  -0.136 -0.646  -0.136 -0.830  -0.117 -1.008  -0.035 -1.172  0.108 -1.282  0.272 -1.297  0.446 -1.239  0.601 -1.141  0.755 -1.042  0.878 -0.906  0.999 -0.769  1.122 -0.633  1.251 -0.503  1.196 -0.418  1.022 -0.362  0.848 -0.306  0.673 -0.249  0.499 -0.193  0.324 -0.137  0.150 -0.081  -0.024 -0.024  -0.199 0.032  -0.373 0.088  -0.548 0.144  -0.722 0.201  -0.896 0.257  -1.071 0.313  -1.245 0.369  -1.420 0.426  -1.375 0.424  -1.195 0.441  -1.025 0.509  -0.855 0.577  -0.682 0.638  -0.508 0.694  -0.333 0.750  -0.159 0.806
1c#apb#apb31#app3182/e  -1.187 -0.769  -1.165 -0.925  -1.140 -1.080  -1.035 -1.180  -0.887 -1.213  -0.744 -1.147  -0.602 -1.080  -0.498 -0.965  -0.399 -0.842  -0.301 -0.719  -0.206 -0.594  -0.117 -0.465  -0.027 -0.335  0.062 -0.206  0.151 -0.076  0.229 0.060  0.296 0.202  0.362 0.344  0.429 0.487  0.496 0.629  0.562 0.772  0.627 0.915  0.693 1.058  0.756 1.201  0.756 1.359  0.721 1.494  0.580 1.518  0.440 1.448  0.334 1.335  0.238 1.211  0.141 1.087  0.060 0.953  -0.013 0.814  -0.087 0.675  -0.140 0.527  -0.185 0.377  -0.230 0.226  -0.275 0.075  -0.319 -0.076  -0.333 -0.228  -0.302 -0.382  -0.262 -0.534  -0.204 -0.680  -0.071 -0.749  0.079 -0.791  0.236 -0.791  0.393 -0.785  0.550 -0.772  0.697 -0.722  0.842 -0.661
1c#apb#apb31#app3182/r  -0.719 0.104  -0.734 -0.014  -0.748 -0.133  -0.763 -0.251  -0.775 -0.370  -0.785 -0.489  -0.796 -0.608  -0.806 -0.727  -0.816 -0.846  -0.816 -0.966  -0.816 -1.085  -0.782 -1.196  -0.722 -1.299  -0.615 -1.320  -0.546 -1.222  -0.478 -1.124  -0.424 -1.018  -0.378 -0.908  -0.333 -0.797  -0.288 -0.687  -0.243 -0.576  -0.198 -0.465  -0.152 -0.355  -0.106 -0.245  -0.059 -0.135  -0.012 -0.025  0.034 0.085  0.081 0.195  0.132 0.303  0.184 0.411  0.236 0.518  0.288 0.626  0.339 0.733  0.391 0.841  0.465 0.935  0.542 1.026  0.619 1.117  0.704 1.200  0.801 1.270  0.897 1.250  0.918 1.151  0.891 1.035  0.864 0.918  0.841 0.801  0.819 0.683  0.797 0.566  0.778 0.448  0.759 0.330  0.741 0.212  0.788 0.104
