2#app#app25#app2554/A  -1.201 -1.565  -1.201 -1.359  -1.201 -1.152  -1.145 -1.002  -1.013 -0.927  -0.920 -0.815  -0.826 -0.702  -0.826 -0.496  -0.676 -0.439  -0.638 -0.271  -0.506 -0.120  -0.451 0.064  -0.347 0.227  -0.263 0.398  -0.157 0.498  -0.076 0.623  0.026 0.787  0.172 0.933  0.300 1.087  0.344 1.249  0.550 1.249  0.675 1.330  0.775 1.436  0.862 1.317  0.862 1.111  0.862 0.905  0.862 0.698  0.862 0.492  0.862 0.286  0.862 0.080  0.800 -0.064  0.675 -0.145  0.604 -0.322  0.487 -0.480  0.487 -0.686  0.487 -0.892  0.391 -1.002  0.226 -0.914  0.094 -0.755  -0.038 -0.597  -0.170 -0.438  -0.302 -0.280  -0.434 -0.121  -0.566 0.037  -0.544 0.123  -0.338 0.123  -0.132 0.123  0.075 0.123  0.281 0.123  0.487 0.123
2#app#app25#app2554/Q  0.308 1.347  0.120 1.221  -0.069 1.096  -0.215 0.948  -0.318 0.824  -0.390 0.669  -0.536 0.503  -0.572 0.292  -0.732 0.132  -0.913 0.082  -0.913 -0.144  -0.913 -0.370  -0.938 -0.572  -1.087 -0.649  -0.958 -0.746  -0.734 -0.751  -0.573 -0.911  -0.351 -0.920  -0.215 -0.830  -0.072 -0.746  0.148 -0.732  0.308 -0.572  0.468 -0.411  0.628 -0.251  0.789 -0.091  0.949 0.069  1.151 0.126  1.180 0.324  1.180 0.550  1.180 0.777  1.175 0.998  0.949 0.998  0.722 0.998  0.496 0.998  0.270 0.998  0.134 0.908  -0.009 0.824  -0.094 0.637  -0.156 0.419  -0.219 0.201  -0.281 -0.017  -0.343 -0.234  -0.333 -0.397  -0.215 -0.506  -0.101 -0.685  -0.041 -0.887  -0.041 -1.113  -0.041 -1.340  0.082 -1.444  0.134 -1.618
2#app#app25#app2554/U  -0.950 0.636  -0.950 0.453  -1.052 0.313  -1.170 0.180  -1.170 -0.002  -1.170 -0.185  -1.170 -0.367  -1.252 -0.468  -1.391 -0.511  -1.386 -0.689  -1.204 -0.689  -1.022 -0.689  -0.839 -0.689  -0.657 -0.689  -0.475 -0.689  -0.292 -0.689  -0.288 -0.511  -0.148 -0.468  0.005 -0.396  0.134 -0.267  0.154 -0.094  0.235 0.055  0.364 0.184  0.493 0.313  0.595 0.453  0.595 0.635  0.777 0.636  0.816 0.779  0.921 0.856  1.037 0.923  1.065 1.077  1.248 1.077  1.085 1.077  0.942 0.982  0.816 0.852  0.816 0.669  0.711 0.531  0.595 0.396  0.595 0.214  0.432 0.194  0.375 0.070  0.288 -0.026  0.154 -0.074  0.154 -0.257  0.154 -0.439  0.154 -0.621  0.154 -0.804  0.154 -0.986  0.192 -1.130  0.375 -1.130
2#app#app25#app2554/I  0.464 1.274  0.464 1.359  0.464 1.445  0.464 1.488  0.464 1.402  0.464 1.316  0.464 1.231  0.464 1.145  0.464 1.059  0.464 0.974  0.464 0.888  0.464 0.802  0.464 0.717  0.464 0.631  0.442 0.567  0.357 0.567  0.271 0.567  0.229 0.524  0.229 0.438  0.229 0.353  0.229 0.267  0.229 0.181  0.228 0.097  0.142 0.097  0.057 0.097  -0.006 0.074  -0.006 -0.012  -0.006 -0.097  -0.038 -0.170  -0.098 -0.231  -0.159 -0.291  -0.219 -0.352  -0.242 -0.428  -0.242 -0.514  -0.242 -0.599  -0.295 -0.663  -0.356 -0.724  -0.416 -0.784  -0.477 -0.845  -0.477 -0.930  -0.477 -1.016  -0.477 -1.101  -0.477 -1.187  -0.477 -1.273  -0.520 -1.316  -0.605 -1.316  -0.691 -1.316  -0.713 -1.380  -0.713 -1.466  -0.713 -1.551
2#app#app25#app2554/C  1.355 0.600  1.355 0.735  1.270 0.785  1.135 0.785  0.999 0.785  0.985 0.906  0.914 0.970  0.778 0.970  0.643 0.970  0.508 0.970  0.430 0.912  0.422 0.785  0.287 0.785  0.245 0.692  0.201 0.600  0.066 0.600  -0.069 0.600  -0.181 0.544  -0.277 0.448  -0.398 0.415  -0.495 0.376  -0.495 0.241  -0.619 0.230  -0.733 0.177  -0.828 0.081  -0.865 -0.039  -0.899 -0.140  -1.034 -0.140  -1.050 -0.260  -1.050 -0.395  -1.050 -0.530  -1.050 -0.665  -0.945 -0.695  -0.809 -0.695  -0.680 -0.701  -0.680 -0.837  -0.589 -0.880  -0.453 -0.880  -0.318 -0.880  -0.183 -0.880  -0.047 -0.880  0.088 -0.880  0.223 -0.880  0.245 -0.767  0.309 -0.695  0.444 -0.695  0.579 -0.695  0.715 -0.695  0.800 -0.646  0.800 -0.510
2#app#app25#app2554/K  0.101 1.851  0.101 1.606  0.053 1.410  -0.119 1.338  -0.119 1.093  -0.239 0.968  -0.340 0.825  -0.340 0.580  -0.340 0.336  -0.492 0.155  -0.665 -0.018  -0.781 -0.215  -0.855 -0.429  -1.002 -0.612  -1.045 -0.839  -1.217 -1.012  -1.208 -1.227  -1.013 -1.080  -0.817 -0.933  -0.622 -0.787  -0.426 -0.640  -0.230 -0.493  -0.035 -0.347  0.161 -0.200  0.356 -0.053  0.552 0.093  0.748 0.240  0.943 0.387  1.139 0.533  1.334 0.680  1.293 0.748  1.094 0.638  0.895 0.527  0.763 0.415  0.627 0.307  0.383 0.307  0.192 0.177  -0.015 0.086  -0.218 -0.013  -0.413 -0.134  -0.464 -0.134  -0.219 -0.134  -0.119 -0.279  0.049 -0.355  0.101 -0.547  0.317 -0.575  0.336 -0.810  0.509 -0.983  0.542 -1.213  0.763 -1.237
2#app#app25#app2554/B  0.231 1.156  0.045 0.937  -0.057 0.682  -0.140 0.420  -0.326 0.200  -0.465 0.042  -0.512 -0.208  -0.512 -0.505  -0.612 -0.701  -0.723 -0.887  -0.883 -1.024  -0.883 -1.320  -0.815 -1.285  -0.698 -1.012  -0.581 -0.739  -0.464 -0.466  -0.347 -0.193  -0.230 0.080  -0.113 0.352  0.003 0.625  0.120 0.898  0.231 1.172  0.358 1.342  0.469 1.528  0.766 1.528  0.974 1.440  1.160 1.328  1.160 1.032  1.160 0.735  0.999 0.599  0.888 0.414  0.776 0.228  0.603 0.105  0.369 0.042  0.072 0.042  -0.148 -0.144  -0.326 -0.263  -0.556 -0.329  -0.698 -0.174  -0.431 -0.144  -0.134 -0.144  0.162 -0.144  0.231 -0.372  0.385 -0.515  0.417 -0.780  0.231 -0.891  0.116 -1.072  -0.169 -1.101  -0.401 -1.258  -0.698 -1.258
2#app#app25#app2554/R  -0.012 0.663  -0.216 0.459  -0.273 0.217  -0.458 0.113  -0.577 -0.125  -0.681 -0.370  -0.681 -0.659  -0.904 -0.724  -1.018 -0.898  -1.127 -1.077  -1.118 -1.325  -0.999 -1.062  -0.879 -0.800  -0.760 -0.538  -0.641 -0.275  -0.522 -0.013  -0.403 0.249  -0.283 0.511  -0.164 0.774  -0.045 1.036  0.197 1.108  0.434 1.159  0.550 1.331  0.838 1.331  1.103 1.308  1.191 1.108  1.326 0.955  1.326 0.667  1.103 0.601  1.103 0.313  0.911 0.217  0.880 0.406  0.810 0.147  0.585 -0.006  0.434 -0.143  0.232 -0.229  -0.056 -0.229  -0.235 -0.339  -0.410 -0.452  -0.475 -0.229  -0.681 -0.147  -0.533 -0.006  -0.245 -0.006  -0.012 -0.061  0.108 -0.229  0.211 -0.414  0.211 -0.702  0.211 -0.991  0.211 -1.279  0.434 -1.344
2#app#app25#app2554/O  0.039 0.755  -0.134 0.755  -0.308 0.755  -0.396 0.670  -0.437 0.538  -0.611 0.538  -0.614 0.367  -0.703 0.231  -0.826 0.108  -0.831 -0.063  -0.917 -0.201  -1.040 -0.324  -1.049 -0.494  -1.049 -0.667  -1.049 -0.841  -1.020 -0.985  -0.847 -0.985  -0.673 -0.985  -0.614 -1.100  -0.544 -1.203  -0.370 -1.203  -0.197 -1.203  -0.069 -1.093  0.054 -0.971  0.177 -0.848  0.317 -0.768  0.474 -0.752  0.474 -0.578  0.620 -0.550  0.692 -0.449  0.750 -0.333  0.910 -0.319  0.910 -0.146  0.910 0.028  0.910 0.201  0.910 0.375  0.910 0.548  0.910 0.722  0.910 0.895  0.814 0.973  0.640 0.973  0.474 0.965  0.474 0.792  0.337 0.755  0.164 0.755  0.074 0.790  0.196 0.913  0.169 0.973  0.039 0.929  0.039 0.755
2#app#app25#app2554/W  -1.437 0.777  -1.264 0.777  -1.118 0.749  -1.118 0.576  -1.118 0.402  -1.118 0.229  -1.118 0.056  -1.118 -0.118  -1.118 -0.291  -1.118 -0.464  -1.118 -0.638  -0.966 -0.659  -0.799 -0.653  -0.779 -0.500  -0.639 -0.466  -0.592 -0.340  -0.480 -0.279  -0.480 -0.105  -0.480 0.068  -0.377 0.139  -0.320 0.255  -0.190 0.298  -0.161 0.443  -0.002 0.458  0.159 0.470  0.185 0.617  0.318 0.577  0.318 0.404  0.318 0.230  0.318 0.057  0.318 -0.116  0.209 -0.181  0.159 -0.303  0.159 -0.477  0.159 -0.650  0.323 -0.659  0.496 -0.659  0.637 -0.627  0.684 -0.500  0.839 -0.457  0.962 -0.335  1.085 -0.212  1.116 -0.052  1.259 -0.021  1.276 0.136  1.435 0.149  1.435 0.323  1.474 0.458  1.632 0.495  1.754 0.617
2#app#app25#app2554/N  -1.114 -1.270  -1.114 -1.101  -1.114 -0.931  -1.114 -0.762  -1.114 -0.592  -0.994 -0.543  -0.932 -0.435  -0.837 -0.361  -0.751 -0.278  -0.751 -0.109  -0.751 0.060  -0.719 0.216  -0.599 0.336  -0.569 0.493  -0.488 0.629  -0.387 0.757  -0.372 0.912  -0.205 0.909  -0.205 0.740  -0.205 0.571  -0.205 0.401  -0.205 0.232  -0.205 0.063  -0.205 -0.107  -0.205 -0.276  -0.205 -0.446  -0.205 -0.615  -0.205 -0.784  -0.158 -0.906  -0.023 -0.871  -0.001 -0.725  0.169 -0.725  0.338 -0.725  0.340 -0.557  0.450 -0.433  0.522 -0.294  0.522 -0.124  0.552 0.033  0.672 0.152  0.828 0.184  0.997 0.184  1.067 0.284  1.067 0.453  1.067 0.622  1.067 0.792  1.117 0.912  1.249 0.949  1.274 1.093  1.431 1.081  1.431 0.912
