1b#apb#apb09#app0909/A  -0.620 0.086  -0.617 -0.055  -0.661 -0.279  -0.661 -0.508  -0.677 -0.736  -0.708 -0.963  -0.745 -1.188  -0.726 -1.075  -0.700 -0.848  -0.683 -0.620  -0.666 -0.391  -0.643 -0.164  -0.618 0.064  -0.591 0.291  -0.558 0.518  -0.526 0.745  -0.454 0.960  -0.363 1.171  -0.255 1.372  -0.125 1.559  0.053 1.696  0.252 1.614  0.402 1.447  0.489 1.235  0.561 1.018  0.622 0.798  0.676 0.575  0.733 0.353  0.798 0.134  0.833 -0.092  0.855 -0.320  0.842 -0.548  0.831 -0.776  0.787 -1.001  0.728 -1.218  0.565 -1.197  0.391 -1.049  0.216 -0.900  0.042 -0.752  -0.132 -0.603  -0.306 -0.455  -0.480 -0.306  -0.533 -0.179  -0.321 -0.099  -0.098 -0.051  0.117 0.028  0.334 0.100  0.557 0.153  0.780 0.203  1.004 0.253
1b#apb#apb09#app0909/B  -0.764 0.381  -0.806 0.253  -0.829 0.068  -0.826 -0.117  -0.817 -0.302  -0.807 -0.487  -0.794 -0.672  -0.766 -0.856  -0.730 -1.038  -0.729 -0.929  -0.729 -0.744  -0.729 -0.558  -0.739 -0.373  -0.753 -0.188  -0.762 -0.003  -0.748 0.182  -0.734 0.367  -0.693 0.547  -0.637 0.724  -0.550 0.883  -0.430 1.025  -0.286 1.141  -0.126 1.220  0.058 1.222  0.229 1.171  0.345 1.026  0.397 0.848  0.402 0.666  0.379 0.482  0.284 0.323  0.197 0.159  0.123 0.161  0.204 0.326  0.344 0.442  0.524 0.486  0.706 0.468  0.871 0.385  0.999 0.257  1.057 0.084  1.086 -0.099  1.114 -0.283  1.125 -0.467  1.107 -0.652  1.043 -0.826  0.923 -0.966  0.791 -1.097  0.625 -1.178  0.447 -1.215  0.270 -1.187  0.138 -1.059
1b#apb#apb09#app0909/C  0.838 0.630  0.852 0.728  0.858 0.827  0.843 0.924  0.803 1.013  0.730 1.080  0.641 1.125  0.543 1.132  0.443 1.132  0.352 1.095  0.262 1.054  0.172 1.011  0.086 0.961  0.000 0.910  -0.086 0.860  -0.168 0.804  -0.240 0.736  -0.313 0.668  -0.385 0.600  -0.458 0.531  -0.509 0.447  -0.551 0.357  -0.594 0.267  -0.637 0.177  -0.675 0.086  -0.698 -0.011  -0.721 -0.108  -0.744 -0.205  -0.739 -0.303  -0.728 -0.402  -0.717 -0.501  -0.690 -0.593  -0.627 -0.671  -0.564 -0.748  -0.488 -0.811  -0.403 -0.862  -0.318 -0.913  -0.231 -0.960  -0.134 -0.984  -0.037 -1.009  0.059 -1.033  0.159 -1.034  0.258 -1.034  0.358 -1.034  0.457 -1.031  0.556 -1.024  0.656 -1.018  0.751 -0.995  0.843 -0.956  0.935 -0.918
1b#apb#apb09#app0909/D  -0.764 0.323  -0.751 0.315  -0.719 0.167  -0.692 0.018  -0.665 -0.130  -0.640 -0.279  -0.604 -0.425  -0.542 -0.562  -0.485 -0.702  -0.471 -0.802  -0.513 -0.657  -0.556 -0.512  -0.598 -0.367  -0.640 -0.222  -0.683 -0.077  -0.725 0.068  -0.768 0.213  -0.810 0.358  -0.853 0.503  -0.878 0.647  -0.822 0.787  -0.703 0.876  -0.568 0.943  -0.427 0.994  -0.276 0.994  -0.125 0.994  0.025 0.987  0.176 0.979  0.321 0.946  0.462 0.891  0.593 0.820  0.699 0.713  0.803 0.604  0.900 0.488  0.976 0.360  1.033 0.220  1.070 0.074  1.090 -0.075  1.090 -0.226  1.072 -0.375  1.038 -0.522  0.971 -0.658  0.903 -0.793  0.812 -0.913  0.708 -1.021  0.588 -1.112  0.460 -1.193  0.313 -1.227  0.164 -1.214  0.013 -1.214
1b#apb#apb09#app0909/E  -0.941 0.877  -0.791 1.021  -0.596 0.953  -0.469 0.769  -0.383 0.563  -0.349 0.340  -0.368 0.116  -0.407 -0.106  -0.473 -0.321  -0.561 -0.529  -0.629 -0.743  -0.685 -0.961  -0.688 -1.172  -0.548 -1.342  -0.341 -1.394  -0.116 -1.394  0.110 -1.394  0.336 -1.394  0.552 -1.335  0.758 -1.245  0.940 -1.115  1.068 -0.936  0.965 -0.780  0.780 -0.652  0.595 -0.523  0.409 -0.394  0.224 -0.265  0.039 -0.136  -0.147 -0.008  -0.306 0.119  -0.101 0.212  0.122 0.246  0.347 0.256  0.570 0.276  0.793 0.304  0.736 0.333  0.515 0.379  0.294 0.425  0.074 0.471  -0.147 0.517  -0.368 0.564  -0.589 0.610  -0.692 0.717  -0.548 0.880  -0.357 1.000  -0.152 1.094  0.057 1.177  0.269 1.256  0.488 1.307  0.709 1.356
1b#apb#apb09#app0909/F  -0.503 0.013  -0.585 -0.147  -0.620 -0.334  -0.629 -0.524  -0.622 -0.714  -0.599 -0.904  -0.559 -1.090  -0.493 -1.268  -0.493 -1.279  -0.588 -1.115  -0.669 -0.942  -0.739 -0.765  -0.796 -0.583  -0.833 -0.397  -0.856 -0.208  -0.841 -0.018  -0.814 0.170  -0.734 0.343  -0.627 0.498  -0.492 0.633  -0.341 0.749  -0.182 0.853  -0.007 0.929  0.168 1.004  0.345 1.075  0.530 1.112  0.720 1.125  0.907 1.164  1.096 1.187  1.287 1.189  1.356 1.031  1.226 0.892  1.096 0.752  0.966 0.613  0.836 0.473  0.706 0.333  0.576 0.194  0.446 0.054  0.316 -0.085  0.186 -0.225  0.056 -0.364  -0.075 -0.504  -0.205 -0.644  -0.335 -0.783  -0.210 -0.744  -0.039 -0.659  0.142 -0.598  0.324 -0.544  0.509 -0.496  0.694 -0.449
1b#apb#apb09#app0909/G  0.063 1.478  0.126 1.595  0.015 1.501  -0.070 1.374  -0.170 1.257  -0.272 1.143  -0.357 1.015  -0.442 0.887  -0.531 0.762  -0.621 0.638  -0.688 0.502  -0.741 0.358  -0.795 0.214  -0.850 0.071  -0.886 -0.077  -0.909 -0.229  -0.920 -0.382  -0.920 -0.535  -0.873 -0.677  -0.805 -0.815  -0.692 -0.918  -0.569 -1.004  -0.422 -1.048  -0.271 -1.072  -0.118 -1.085  0.028 -1.048  0.173 -0.996  0.310 -0.929  0.413 -0.817  0.447 -0.676  0.415 -0.526  0.331 -0.406  0.213 -0.308  0.089 -0.219  -0.046 -0.146  -0.179 -0.070  -0.232 -0.053  -0.082 -0.021  0.070 0.004  0.222 0.023  0.375 0.037  0.528 0.049  0.681 0.061  0.834 0.072  0.987 0.083  1.135 0.117  1.281 0.165  1.431 0.183  1.576 0.213  1.718 0.255
1b#apb#apb09#app0909/H  -0.832 1.065  -0.766 1.223  -0.687 1.049  -0.659 0.855  -0.638 0.660  -0.623 0.465  -0.623 0.269  -0.617 0.073  -0.607 -0.122  -0.612 -0.318  -0.628 -0.513  -0.655 -0.707  -0.661 -0.902  -0.661 -1.098  -0.705 -1.151  -0.725 -0.956  -0.744 -0.761  -0.763 -0.566  -0.782 -0.371  -0.801 -0.177  -0.821 0.018  -0.850 0.053  -0.819 -0.125  -0.664 -0.246  -0.471 -0.277  -0.277 -0.271  -0.082 -0.250  0.109 -0.206  0.295 -0.149  0.467 -0.057  0.612 0.073  0.696 0.242  0.698 0.436  0.682 0.631  0.665 0.826  0.648 1.021  0.633 1.216  0.685 1.069  0.726 0.879  0.755 0.686  0.798 0.495  0.846 0.305  0.902 0.117  0.952 -0.072  0.990 -0.264  1.038 -0.454  1.100 -0.639  1.136 -0.830  1.153 -1.025  1.185 -1.219
1b#apb#apb09#app0909/I  -0.231 1.565  -0.231 1.615  -0.236 1.545  -0.244 1.476  -0.252 1.406  -0.260 1.337  -0.254 1.267  -0.246 1.198  -0.237 1.128  -0.229 1.059  -0.221 0.990  -0.213 0.920  -0.205 0.851  -0.193 0.782  -0.179 0.713  -0.164 0.645  -0.150 0.577  -0.136 0.508  -0.121 0.440  -0.107 0.371  -0.092 0.303  -0.079 0.234  -0.066 0.165  -0.054 0.097  -0.042 0.028  -0.030 -0.041  -0.018 -0.110  -0.006 -0.179  0.006 -0.248  0.019 -0.316  0.032 -0.385  0.045 -0.454  0.058 -0.523  0.071 -0.591  0.084 -0.660  0.097 -0.729  0.119 -0.795  0.143 -0.861  0.166 -0.927  0.190 -0.992  0.213 -1.058  0.237 -1.124  0.263 -1.189  0.291 -1.253  0.320 -1.317  0.348 -1.381  0.382 -1.441  0.427 -1.495  0.471 -1.549  0.516 -1.602
1b#apb#apb09#app0909/J  0.213 1.645  0.200 1.712  0.177 1.639  0.169 1.559  0.161 1.480  0.152 1.400  0.143 1.321  0.133 1.241  0.129 1.161  0.129 1.081  0.129 1.001  0.129 0.921  0.139 0.842  0.148 0.762  0.157 0.683  0.164 0.603  0.168 0.523  0.172 0.443  0.176 0.363  0.180 0.283  0.191 0.204  0.202 0.125  0.213 0.045  0.218 -0.034  0.223 -0.114  0.228 -0.194  0.230 -0.274  0.230 -0.354  0.230 -0.434  0.230 -0.514  0.217 -0.593  0.203 -0.672  0.185 -0.750  0.162 -0.827  0.116 -0.892  0.068 -0.956  0.017 -1.018  -0.046 -1.064  -0.118 -1.100  -0.195 -1.111  -0.275 -1.111  -0.355 -1.106  -0.434 -1.097  -0.512 -1.080  -0.590 -1.059  -0.662 -1.028  -0.722 -0.976  -0.783 -0.923  -0.851 -0.882  -0.795 -0.876
1b#apb#apb09#app0909/K  -0.702 1.650  -0.750 1.574  -0.791 1.380  -0.791 1.178  -0.775 0.977  -0.740 0.777  -0.705 0.578  -0.652 0.383  -0.597 0.188  -0.534 -0.004  -0.464 -0.194  -0.393 -0.383  -0.316 -0.570  -0.248 -0.760  -0.214 -0.960  -0.176 -1.158  -0.205 -1.285  -0.147 -1.092  -0.088 -0.898  -0.029 -0.704  0.030 -0.511  0.089 -0.317  0.148 -0.124  0.207 0.070  0.266 0.264  0.325 0.457  0.384 0.651  0.443 0.844  0.502 1.038  0.560 1.231  0.486 1.139  0.343 0.996  0.200 0.853  0.089 0.684  -0.050 0.543  -0.202 0.414  -0.310 0.243  -0.409 0.067  -0.362 -0.123  -0.235 -0.275  -0.079 -0.403  0.102 -0.494  0.283 -0.585  0.457 -0.688  0.632 -0.790  0.807 -0.891  0.980 -0.994  1.104 -1.155  1.219 -1.320  1.310 -1.501
