3#app#app31#app3172/t  0.900 1.969  0.743 1.956  0.627 1.841  0.610 1.685  0.610 1.522  0.610 1.359  0.577 1.209  0.463 1.093  0.424 0.935  0.384 0.777  0.345 0.619  0.319 0.459  0.286 0.304  0.213 0.158  0.173 0.004  0.108 -0.132  0.028 -0.262  0.028 -0.425  0.028 -0.588  0.028 -0.751  0.028 -0.914  0.028 -1.077  0.035 -1.237  0.150 -1.352  0.088 -1.277  -0.020 -1.155  -0.127 -1.032  -0.235 -0.909  -0.342 -0.787  -0.449 -0.664  -0.557 -0.541  -0.664 -0.418  -0.771 -0.296  -0.844 -0.264  -0.844 -0.428  -0.932 -0.503  -0.990 -0.398  -0.867 -0.358  -0.704 -0.358  -0.686 -0.212  -0.523 -0.212  -0.374 -0.178  -0.257 -0.067  -0.094 -0.067  0.064 -0.049  0.210 0.024  0.348 0.108  0.463 0.223  0.609 0.296  0.755 0.369
3#app#app31#app3172/h  -0.035 2.064  -0.035 1.953  -0.040 1.843  -0.075 1.738  -0.110 1.633  -0.137 1.526  -0.137 1.415  -0.137 1.304  -0.137 1.193  -0.137 1.082  -0.137 0.971  -0.137 0.860  -0.137 0.749  -0.168 0.644  -0.203 0.538  -0.238 0.433  -0.239 0.322  -0.239 0.211  -0.239 0.100  -0.239 -0.011  -0.239 -0.121  -0.239 -0.232  -0.239 -0.343  -0.239 -0.454  -0.239 -0.565  -0.239 -0.676  -0.239 -0.787  -0.239 -0.898  -0.239 -1.009  -0.239 -1.120  -0.208 -1.201  -0.137 -1.161  -0.103 -1.065  -0.035 -0.982  -0.018 -0.878  0.061 -0.799  0.067 -0.691  0.117 -0.592  0.166 -0.493  0.243 -0.413  0.271 -0.314  0.351 -0.282  0.436 -0.345  0.476 -0.439  0.476 -0.550  0.508 -0.654  0.558 -0.753  0.625 -0.840  0.703 -0.918  0.782 -0.997
3#app#app31#app3172/e  -0.524 0.244  -0.524 0.062  -0.655 0.011  -0.837 0.011  -1.019 0.011  -1.201 0.011  -1.066 0.011  -0.884 0.011  -0.718 0.050  -0.590 0.179  -0.461 0.308  -0.332 0.436  -0.167 0.478  0.007 0.510  0.170 0.592  0.333 0.673  0.478 0.779  0.607 0.908  0.735 1.037  0.864 1.166  0.713 1.179  0.531 1.179  0.367 1.135  0.238 1.007  0.109 0.878  -0.019 0.749  -0.148 0.620  -0.277 0.492  -0.406 0.363  -0.524 0.230  -0.524 0.048  -0.524 -0.134  -0.524 -0.316  -0.524 -0.498  -0.524 -0.681  -0.524 -0.863  -0.438 -1.009  -0.309 -1.138  -0.135 -1.157  0.047 -1.157  0.229 -1.157  0.411 -1.156  0.540 -1.027  0.679 -0.923  0.861 -0.923  0.994 -0.806  1.128 -0.690  1.310 -0.690  1.449 -0.585  1.578 -0.456
3#app#app31#app3172/i  0.043 0.171  0.170 0.171  0.186 0.282  0.092 0.314  0.043 0.235  0.043 0.108  0.043 -0.019  0.043 -0.146  0.043 -0.273  0.043 -0.400  0.043 -0.527  0.043 -0.655  0.043 -0.782  0.043 -0.909  0.043 -1.036  0.043 -1.163  0.043 -1.290  0.043 -1.417  0.043 -1.544  0.168 -1.546  0.176 -1.438  0.164 -1.312  0.152 -1.185  0.140 -1.059  0.128 -0.932  0.116 -0.806  0.104 -0.679  0.092 -0.553  0.080 -0.426  0.068 -0.300  0.056 -0.173  0.044 -0.047  0.032 0.079  0.020 0.206  0.008 0.332  -0.004 0.459  -0.017 0.585  -0.029 0.712  -0.041 0.838  -0.053 0.965  -0.065 1.091  -0.077 1.218  -0.089 1.344  -0.108 1.467  -0.198 1.557  -0.307 1.601  -0.386 1.649  -0.418 1.744  -0.513 1.744  -0.386 1.744
3#app#app31#app3172/c  0.427 0.336  0.515 0.425  0.604 0.514  0.611 0.637  0.669 0.704  0.795 0.705  0.795 0.831  0.727 0.888  0.611 0.898  0.611 1.024  0.533 1.073  0.408 1.073  0.282 1.073  0.181 1.011  0.092 0.922  -0.019 0.888  -0.126 0.869  -0.126 0.743  -0.213 0.704  -0.330 0.684  -0.419 0.595  -0.508 0.506  -0.597 0.417  -0.686 0.328  -0.775 0.239  -0.862 0.150  -0.862 0.024  -0.862 -0.102  -0.862 -0.228  -0.862 -0.353  -0.862 -0.479  -0.862 -0.605  -0.862 -0.731  -0.774 -0.768  -0.657 -0.789  -0.568 -0.878  -0.472 -0.952  -0.347 -0.952  -0.221 -0.952  -0.095 -0.952  0.031 -0.952  0.156 -0.952  0.282 -0.952  0.408 -0.952  0.534 -0.952  0.660 -0.952  0.785 -0.952  0.911 -0.952  1.037 -0.952  1.163 -0.952
3#app#app31#app3172/o  0.735 0.651  0.572 0.651  0.409 0.651  0.259 0.618  0.144 0.503  0.012 0.429  -0.151 0.429  -0.314 0.429  -0.477 0.429  -0.593 0.383  -0.593 0.220  -0.700 0.101  -0.816 -0.014  -0.979 -0.014  -1.036 -0.119  -1.036 -0.282  -1.036 -0.445  -1.036 -0.608  -1.036 -0.771  -1.001 -0.899  -0.838 -0.899  -0.815 -1.039  -0.734 -1.120  -0.571 -1.120  -0.408 -1.120  -0.245 -1.120  -0.082 -1.120  0.078 -1.113  0.193 -0.998  0.309 -0.883  0.424 -0.767  0.513 -0.641  0.513 -0.479  0.654 -0.456  0.735 -0.374  0.735 -0.211  0.735 -0.048  0.735 0.115  0.735 0.278  0.735 0.441  0.735 0.604  0.735 0.767  0.735 0.930  0.735 1.093  0.620 1.208  0.501 1.315  0.338 1.315  0.292 1.198  0.292 1.035  0.292 0.872
3#app#app31#app3172/n  -0.550 0.162  -0.699 0.162  -0.847 0.162  -0.924 0.090  -0.924 -0.059  -0.924 -0.207  -0.924 -0.356  -0.999 -0.474  -1.104 -0.579  -1.111 -0.724  -1.010 -0.772  -0.924 -0.710  -0.900 -0.586  -0.751 -0.586  -0.737 -0.451  -0.669 -0.331  -0.564 -0.226  -0.550 -0.083  -0.486 0.039  -0.381 0.144  -0.363 0.285  -0.303 0.409  -0.198 0.514  -0.124 0.641  -0.057 0.774  0.009 0.907  0.114 1.012  0.219 1.117  0.324 1.222  0.429 1.238  0.534 1.133  0.571 1.000  0.571 0.851  0.571 0.702  0.571 0.554  0.571 0.405  0.571 0.257  0.571 0.108  0.581 -0.036  0.687 -0.141  0.758 -0.260  0.765 -0.406  0.870 -0.511  0.944 -0.628  0.949 -0.772  1.097 -0.772  1.131 -0.887  1.131 -1.036  1.169 -1.146  1.318 -1.146
3#app#app31#app3172/o  -0.129 1.186  -0.023 1.080  0.083 0.973  -0.023 0.955  -0.160 0.924  -0.266 0.818  -0.373 0.711  -0.479 0.605  -0.585 0.499  -0.591 0.351  -0.635 0.218  -0.741 0.112  -0.822 -0.005  -0.822 -0.155  -0.822 -0.306  -0.822 -0.456  -0.822 -0.606  -0.822 -0.757  -0.808 -0.893  -0.658 -0.893  -0.591 -0.977  -0.588 -1.124  -0.437 -1.124  -0.287 -1.124  -0.137 -1.124  0.014 -1.124  0.164 -1.124  0.314 -1.124  0.333 -0.992  0.384 -0.893  0.534 -0.893  0.564 -0.772  0.592 -0.633  0.699 -0.527  0.795 -0.416  0.795 -0.266  0.795 -0.116  0.795 0.035  0.795 0.185  0.795 0.336  0.795 0.486  0.693 0.594  0.587 0.701  0.564 0.841  0.538 0.981  0.431 1.087  0.322 1.186  0.172 1.186  0.021 1.186  -0.129 1.186
3#app#app31#app3172/g  0.485 0.917  0.473 1.051  0.375 1.149  0.241 1.161  0.102 1.161  -0.002 1.126  -0.055 1.039  -0.173 0.990  -0.272 0.892  -0.370 0.793  -0.468 0.695  -0.567 0.597  -0.612 0.477  -0.612 0.338  -0.612 0.199  -0.486 0.186  -0.347 0.186  -0.219 0.213  -0.124 0.312  -0.102 0.429  0.033 0.447  0.157 0.509  0.273 0.583  0.375 0.673  0.514 0.673  0.653 0.673  0.729 0.611  0.673 0.495  0.607 0.383  0.579 0.251  0.517 0.126  0.485 -0.005  0.438 -0.130  0.360 -0.245  0.283 -0.361  0.241 -0.487  0.184 -0.603  0.086 -0.701  -0.002 -0.804  -0.002 -0.943  -0.036 -1.068  -0.135 -1.166  -0.233 -1.264  -0.331 -1.362  -0.368 -1.486  -0.442 -1.595  -0.490 -1.714  -0.578 -1.765  -0.612 -1.870  -0.612 -1.765
3#app#app31#app3172/r  -0.213 0.033  -0.213 -0.080  -0.213 -0.193  -0.213 -0.305  -0.213 -0.418  -0.213 -0.530  -0.213 -0.643  -0.213 -0.756  -0.213 -0.868  -0.213 -0.981  -0.213 -1.094  -0.213 -1.206  -0.270 -1.295  -0.349 -1.375  -0.424 -1.443  -0.424 -1.331  -0.424 -1.218  -0.424 -1.106  -0.401 -1.003  -0.321 -0.923  -0.242 -0.844  -0.213 -0.743  -0.213 -0.630  -0.213 -0.518  -0.213 -0.405  -0.182 -0.298  -0.146 -0.191  -0.110 -0.084  -0.075 0.023  -0.039 0.130  -0.003 0.237  -0.001 0.349  0.003 0.460  0.082 0.539  0.162 0.619  0.211 0.711  0.211 0.824  0.211 0.937  0.211 1.049  0.261 1.141  0.340 1.221  0.420 1.301  0.423 1.412  0.432 1.515  0.545 1.515  0.645 1.494  0.695 1.394  0.745 1.293  0.796 1.192  0.846 1.091
3#app#app31#app3172/a  0.438 0.669  0.438 0.459  0.257 0.430  0.063 0.499  -0.125 0.592  -0.316 0.669  -0.526 0.669  -0.736 0.669  -0.946 0.669  -0.992 0.505  -1.127 0.430  -1.230 0.324  -1.230 0.114  -1.230 -0.096  -1.230 -0.305  -1.230 -0.515  -1.230 -0.725  -1.230 -0.935  -1.086 -1.000  -0.876 -1.000  -0.666 -1.000  -0.474 -0.958  -0.325 -0.810  -0.177 -0.661  -0.029 -0.513  0.120 -0.365  0.243 -0.198  0.337 -0.011  0.431 0.177  0.438 0.385  0.603 0.430  0.676 0.566  0.676 0.776  0.676 0.986  0.676 1.095  0.676 0.885  0.676 0.675  0.473 0.669  0.438 0.494  0.438 0.284  0.438 0.075  0.438 -0.135  0.498 -0.285  0.676 -0.317  0.680 -0.523  0.889 -0.523  0.915 -0.708  1.071 -0.761  1.243 -0.851  1.391 -1.000
3#app#app31#app3172/p  0.254 -0.141  0.192 -0.264  0.149 -0.392  0.149 -0.530  0.148 -0.668  0.086 -0.791  0.044 -0.919  0.044 -1.057  0.040 -1.194  -0.057 -1.291  -0.155 -1.389  -0.178 -1.517  -0.271 -1.605  -0.311 -1.506  -0.376 -1.434  -0.376 -1.296  -0.376 -1.158  -0.376 -1.020  -0.376 -0.882  -0.376 -0.744  -0.376 -0.605  -0.335 -0.477  -0.273 -0.354  -0.271 -0.216  -0.271 -0.078  -0.241 0.055  -0.198 0.186  -0.149 0.315  -0.087 0.438  -0.036 0.566  0.008 0.697  0.044 0.829  0.044 0.967  0.044 1.105  0.099 1.230  0.168 1.349  0.265 1.446  0.365 1.540  0.464 1.501  0.464 1.363  0.464 1.225  0.366 1.127  0.359 0.992  0.359 0.854  0.296 0.742  0.254 0.622  0.143 0.595  0.005 0.595  0.011 0.595  0.149 0.595
