1b#tos#f1#f1006061/C  0.887 0.762  0.844 0.762  0.887 0.828  0.817 0.909  0.709 0.914  0.600 0.914  0.490 0.914  0.381 0.914  0.271 0.914  0.161 0.914  0.052 0.914  -0.058 0.914  -0.168 0.914  -0.258 0.895  -0.349 0.876  -0.458 0.876  -0.545 0.838  -0.585 0.736  -0.641 0.646  -0.718 0.568  -0.754 0.467  -0.754 0.357  -0.754 0.247  -0.754 0.138  -0.754 0.028  -0.754 -0.082  -0.754 -0.191  -0.754 -0.301  -0.697 -0.393  -0.678 -0.497  -0.678 -0.607  -0.621 -0.699  -0.539 -0.769  -0.445 -0.825  -0.347 -0.874  -0.240 -0.896  -0.132 -0.914  -0.022 -0.918  0.087 -0.918  0.197 -0.918  0.307 -0.918  0.416 -0.918  0.526 -0.918  0.635 -0.915  0.743 -0.894  0.847 -0.862  0.945 -0.813  1.043 -0.764  1.137 -0.707  1.231 -0.651
1b#tos#f1#f1006061/E  -0.210 1.265  0.005 1.259  0.217 1.228  0.433 1.228  0.647 1.258  0.862 1.265  0.739 1.298  0.526 1.264  0.312 1.231  0.099 1.198  -0.114 1.164  -0.328 1.131  -0.437 1.009  -0.437 0.793  -0.437 0.577  -0.437 0.361  -0.475 0.151  -0.475 -0.065  -0.554 -0.262  -0.589 -0.474  -0.589 -0.690  -0.545 -0.772  -0.517 -0.557  -0.489 -0.343  -0.461 -0.129  -0.437 0.085  -0.226 0.090  -0.010 0.090  0.205 0.090  0.421 0.090  0.637 0.090  0.509 -0.025  0.337 -0.155  0.165 -0.286  -0.007 -0.416  -0.179 -0.546  -0.352 -0.677  -0.524 -0.807  -0.696 -0.937  -0.764 -1.047  -0.548 -1.047  -0.332 -1.047  -0.118 -1.034  0.094 -0.995  0.309 -0.971  0.525 -0.971  0.741 -0.971  0.957 -0.971  1.166 -1.009  1.382 -1.009
1b#tos#f1#f1006061/G  0.356 0.528  0.425 0.688  0.446 0.893  0.423 1.092  0.287 1.203  0.090 1.248  -0.119 1.248  -0.327 1.248  -0.535 1.248  -0.725 1.187  -0.867 1.051  -0.987 0.908  -1.102 0.735  -1.162 0.541  -1.218 0.344  -1.218 0.136  -1.218 -0.072  -1.134 -0.250  -0.979 -0.379  -0.786 -0.456  -0.579 -0.462  -0.370 -0.462  -0.162 -0.462  0.031 -0.409  0.223 -0.337  0.285 -0.307  0.084 -0.251  -0.116 -0.195  -0.317 -0.140  -0.386 -0.102  -0.178 -0.102  0.030 -0.102  0.239 -0.102  0.446 -0.091  0.650 -0.057  0.858 -0.057  1.067 -0.057  1.103 -0.105  0.898 -0.144  0.693 -0.182  0.489 -0.220  0.356 -0.311  0.427 -0.469  0.595 -0.534  0.626 -0.735  0.671 -0.933  0.671 -1.141  0.671 -1.350  0.671 -1.558  0.671 -1.767
1b#tos#f1#f1006061/I  -0.359 1.180  -0.386 1.147  -0.271 1.147  -0.172 1.090  -0.060 1.079  0.055 1.079  0.171 1.079  0.285 1.081  0.381 1.145  0.491 1.176  0.586 1.227  0.531 1.254  0.428 1.203  0.325 1.151  0.232 1.088  0.168 0.992  0.096 0.910  0.080 0.811  0.080 0.696  0.080 0.580  0.080 0.465  0.080 0.349  0.080 0.234  0.080 0.118  0.080 0.003  0.080 -0.112  0.080 -0.228  0.080 -0.343  0.080 -0.459  0.080 -0.574  0.080 -0.689  0.080 -0.805  0.080 -0.920  -0.011 -0.945  -0.127 -0.945  -0.242 -0.945  -0.357 -0.945  -0.473 -0.947  -0.586 -0.970  -0.696 -0.983  -0.615 -1.025  -0.518 -1.086  -0.421 -1.147  -0.306 -1.147  -0.192 -1.167  -0.078 -1.181  0.037 -1.181  0.153 -1.181  0.268 -1.181  0.383 -1.181
1b#tos#f1#f1006061/J  -0.416 1.024  -0.511 1.017  -0.432 0.993  -0.336 1.024  -0.240 1.041  -0.143 1.056  -0.055 1.106  0.044 1.120  0.108 1.183  0.198 1.215  0.302 1.215  0.291 1.201  0.220 1.154  0.136 1.096  0.093 1.030  0.093 0.927  0.093 0.824  0.137 0.754  0.172 0.659  0.220 0.576  0.238 0.475  0.252 0.373  0.273 0.273  0.284 0.171  0.284 0.068  0.305 -0.034  0.316 -0.136  0.316 -0.239  0.322 -0.342  0.342 -0.443  0.347 -0.546  0.347 -0.649  0.347 -0.752  0.347 -0.855  0.347 -0.958  0.301 -1.033  0.284 -1.126  0.192 -1.137  0.089 -1.137  -0.013 -1.148  -0.114 -1.169  -0.217 -1.169  -0.320 -1.169  -0.423 -1.169  -0.527 -1.169  -0.630 -1.169  -0.719 -1.121  -0.792 -1.048  -0.865 -0.975  -0.893 -0.883
1b#tos#f1#f1006061/K  -0.388 1.799  -0.468 1.811  -0.468 1.607  -0.468 1.404  -0.468 1.201  -0.468 0.997  -0.468 0.794  -0.472 0.591  -0.528 0.396  -0.547 0.195  -0.547 -0.008  -0.547 -0.212  -0.564 -0.413  -0.587 -0.613  -0.587 -0.817  -0.587 -1.020  -0.566 -1.145  -0.462 -0.970  -0.359 -0.794  -0.256 -0.619  -0.153 -0.444  -0.050 -0.269  0.053 -0.093  0.156 0.082  0.259 0.257  0.362 0.433  0.465 0.608  0.569 0.783  0.593 0.726  0.406 0.709  0.312 0.592  0.124 0.558  -0.032 0.458  -0.186 0.332  -0.357 0.249  -0.513 0.119  -0.547 -0.069  -0.408 -0.198  -0.269 -0.306  -0.087 -0.375  0.085 -0.484  0.252 -0.598  0.430 -0.696  0.624 -0.734  0.809 -0.818  1.001 -0.883  1.196 -0.941  1.385 -1.016  1.571 -1.062  1.757 -1.102
1b#tos#f1#f1006061/L  -0.387 1.687  -0.353 1.631  -0.334 1.546  -0.284 1.494  -0.255 1.416  -0.249 1.329  -0.249 1.239  -0.249 1.149  -0.249 1.059  -0.265 0.971  -0.286 0.884  -0.308 0.797  -0.330 0.709  -0.352 0.622  -0.353 0.532  -0.376 0.446  -0.387 0.358  -0.388 0.268  -0.410 0.181  -0.422 0.093  -0.422 0.003  -0.442 -0.085  -0.466 -0.171  -0.491 -0.257  -0.491 -0.347  -0.491 -0.437  -0.491 -0.527  -0.491 -0.617  -0.434 -0.667  -0.367 -0.711  -0.284 -0.726  -0.194 -0.726  -0.104 -0.726  -0.014 -0.726  0.068 -0.760  0.158 -0.760  0.248 -0.760  0.338 -0.760  0.428 -0.760  0.517 -0.760  0.607 -0.760  0.697 -0.760  0.787 -0.760  0.872 -0.731  0.961 -0.726  1.051 -0.726  1.141 -0.726  1.209 -0.695  1.246 -0.623  1.336 -0.623
1b#tos#f1#f1006061/M  -0.653 0.891  -0.769 0.809  -0.740 0.616  -0.740 0.417  -0.750 0.220  -0.769 0.023  -0.798 -0.169  -0.821 -0.364  -0.827 -0.562  -0.827 -0.760  -0.827 -0.959  -0.818 -1.016  -0.791 -0.819  -0.765 -0.623  -0.738 -0.426  -0.712 -0.229  -0.686 -0.033  -0.659 0.164  -0.633 0.360  -0.606 0.557  -0.580 0.754  -0.653 0.861  -0.562 0.701  -0.501 0.533  -0.423 0.353  -0.395 0.160  -0.319 -0.023  -0.274 -0.215  -0.191 -0.376  -0.041 -0.475  0.143 -0.430  0.240 -0.276  0.309 -0.120  0.417 0.041  0.511 0.212  0.569 0.375  0.656 0.508  0.769 0.626  0.912 0.717  1.092 0.699  1.151 0.558  1.196 0.393  1.209 0.198  1.259 0.015  1.302 -0.175  1.325 -0.369  1.370 -0.558  1.428 -0.740  1.479 -0.929  1.529 -1.115
1b#tos#f1#f1006061/N  -0.762 -0.850  -0.914 -0.850  -0.917 -0.886  -0.886 -0.739  -0.847 -0.595  -0.824 -0.445  -0.812 -0.295  -0.772 -0.149  -0.732 -0.004  -0.732 0.147  -0.719 0.297  -0.671 0.441  -0.608 0.579  -0.608 0.730  -0.608 0.882  -0.577 1.027  -0.560 1.176  -0.516 1.135  -0.501 0.986  -0.453 0.842  -0.423 0.694  -0.402 0.544  -0.393 0.394  -0.345 0.258  -0.276 0.124  -0.269 -0.026  -0.250 -0.176  -0.190 -0.314  -0.110 -0.442  -0.084 -0.587  0.036 -0.664  0.098 -0.801  0.215 -0.888  0.341 -0.967  0.490 -0.974  0.622 -0.914  0.714 -0.795  0.779 -0.659  0.850 -0.534  0.892 -0.388  0.969 -0.260  1.026 -0.131  1.070 0.010  1.107 0.154  1.152 0.298  1.208 0.439  1.261 0.575  1.272 0.726  1.292 0.875  1.365 0.999
1b#tos#f1#f1006061/O  0.645 0.442  0.645 0.592  0.575 0.698  0.556 0.836  0.500 0.929  0.372 0.980  0.238 1.017  0.089 1.017  -0.042 1.062  -0.192 1.062  -0.337 1.052  -0.461 1.006  -0.517 0.872  -0.565 0.752  -0.636 0.644  -0.692 0.511  -0.770 0.414  -0.771 0.266  -0.814 0.159  -0.814 0.010  -0.859 -0.121  -0.859 -0.270  -0.859 -0.420  -0.859 -0.569  -0.859 -0.718  -0.806 -0.844  -0.726 -0.944  -0.672 -1.071  -0.544 -1.116  -0.442 -1.194  -0.293 -1.194  -0.144 -1.194  -0.001 -1.163  0.132 -1.096  0.234 -0.998  0.355 -0.918  0.475 -0.833  0.601 -0.787  0.618 -0.645  0.711 -0.530  0.741 -0.390  0.777 -0.255  0.822 -0.116  0.822 0.033  0.822 0.182  0.822 0.332  0.822 0.481  0.811 0.619  0.706 0.664  0.645 0.752
1b#tos#f1#f1006061/R  -0.202 0.945  -0.427 0.945  -0.373 1.062  -0.176 1.139  0.047 1.147  0.272 1.146  0.465 1.046  0.636 0.915  0.639 0.690  0.629 0.475  0.517 0.307  0.303 0.251  0.079 0.239  -0.147 0.239  -0.373 0.239  -0.437 0.334  -0.437 0.559  -0.437 0.785  -0.437 1.011  -0.579 0.963  -0.538 0.799  -0.538 0.573  -0.538 0.347  -0.633 0.148  -0.661 -0.074  -0.692 -0.297  -0.706 -0.521  -0.706 -0.747  -0.706 -0.972  -0.706 -1.198  -0.657 -1.201  -0.564 -0.996  -0.470 -0.790  -0.376 -0.585  -0.282 -0.379  -0.189 -0.174  -0.095 0.031  -0.001 0.237  -0.033 0.050  0.028 -0.158  0.163 -0.306  0.312 -0.436  0.476 -0.574  0.618 -0.749  0.815 -0.857  1.017 -0.958  1.214 -1.066  1.412 -1.172  1.623 -1.206  1.849 -1.206
