2#app#app34#app3478/O  0.129 0.992  -0.017 0.992  -0.164 0.992  -0.272 0.900  -0.406 0.869  -0.510 0.766  -0.614 0.662  -0.717 0.558  -0.800 0.446  -0.833 0.307  -0.898 0.176  -0.903 0.031  -0.903 -0.116  -0.903 -0.263  -0.903 -0.409  -0.831 -0.526  -0.800 -0.660  -0.734 -0.791  -0.635 -0.867  -0.519 -0.941  -0.385 -0.972  -0.280 -1.073  -0.134 -1.073  0.013 -1.073  0.159 -1.073  0.306 -1.073  0.449 -1.064  0.556 -0.970  0.703 -0.970  0.820 -0.899  0.852 -0.765  0.954 -0.661  0.956 -0.515  0.956 -0.368  0.956 -0.222  0.907 -0.095  0.852 0.029  0.773 0.142  0.742 0.276  0.641 0.382  0.575 0.513  0.491 0.631  0.406 0.748  0.341 0.879  0.200 0.889  0.129 0.965  0.015 1.003  -0.094 1.095  -0.240 1.095  -0.387 1.095
2#app#app34#app3478/N  -0.789 0.904  -0.789 0.718  -0.746 0.550  -0.685 0.390  -0.685 0.205  -0.685 0.019  -0.675 -0.165  -0.616 -0.341  -0.581 -0.520  -0.581 -0.706  -0.581 -0.891  -0.575 -1.074  -0.525 -1.172  -0.581 -1.042  -0.584 -0.858  -0.685 -0.714  -0.685 -0.528  -0.685 -0.343  -0.767 -0.177  -0.789 0.004  -0.789 0.189  -0.789 0.375  -0.789 0.560  -0.739 0.696  -0.658 0.800  -0.477 0.795  -0.416 0.635  -0.270 0.571  -0.196 0.415  -0.039 0.321  0.109 0.213  0.167 0.052  0.298 -0.079  0.430 -0.211  0.561 -0.341  0.722 -0.399  0.853 -0.531  1.031 -0.549  1.113 -0.653  1.287 -0.641  1.287 -0.455  1.287 -0.270  1.287 -0.084  1.287 0.101  1.252 0.281  1.194 0.457  1.183 0.641  1.091 0.788  1.033 0.950  0.975 1.111
2#app#app34#app3478/T  0.314 0.844  0.281 0.696  0.200 0.569  0.200 0.408  0.200 0.247  0.200 0.085  0.200 -0.076  0.200 -0.237  0.200 -0.398  0.219 -0.551  0.314 -0.673  0.314 -0.834  0.368 -0.983  0.429 -1.129  0.429 -1.291  0.544 -1.337  0.544 -1.498  0.484 -1.487  0.384 -1.360  0.284 -1.234  0.184 -1.107  0.084 -0.981  -0.016 -0.854  -0.116 -0.728  -0.215 -0.601  -0.315 -0.475  -0.415 -0.348  -0.515 -0.222  -0.615 -0.095  -0.715 0.031  -0.815 0.158  -0.915 0.284  -1.014 0.411  -1.114 0.537  -1.113 0.615  -0.952 0.615  -0.795 0.633  -0.651 0.705  -0.495 0.729  -0.379 0.838  -0.220 0.844  -0.064 0.871  0.089 0.922  0.244 0.958  0.406 0.958  0.526 1.056  0.681 1.073  0.842 1.073  0.969 1.155  1.117 1.188
2#app#app34#app3478/H  -1.094 1.211  -1.039 1.015  -0.954 0.832  -0.954 0.613  -0.872 0.428  -0.813 0.234  -0.813 0.015  -0.706 -0.159  -0.673 -0.364  -0.595 -0.551  -0.533 -0.744  -0.533 -0.962  -0.533 -1.181  -0.448 -1.315  -0.394 -1.433  -0.414 -1.215  -0.434 -0.998  -0.454 -0.780  -0.474 -0.562  -0.493 -0.344  -0.513 -0.126  -0.529 0.088  -0.311 0.088  -0.092 0.088  0.127 0.088  0.346 0.088  0.564 0.088  0.783 0.088  1.002 0.088  0.918 0.275  0.820 0.471  0.722 0.667  0.624 0.862  0.526 1.058  0.429 1.254  0.331 1.449  0.310 1.321  0.310 1.102  0.310 0.883  0.310 0.664  0.401 0.467  0.450 0.260  0.450 0.041  0.450 -0.177  0.590 -0.338  0.590 -0.557  0.705 -0.728  0.859 -0.883  0.871 -1.097  0.871 -1.315
2#app#app34#app3478/E  0.715 1.355  0.579 1.355  0.442 1.355  0.305 1.355  0.171 1.344  0.049 1.283  -0.080 1.250  -0.207 1.208  -0.329 1.147  -0.392 1.026  -0.473 0.935  -0.590 0.888  -0.647 0.775  -0.709 0.664  -0.752 0.545  -0.752 0.408  -0.752 0.271  -0.705 0.154  -0.592 0.097  -0.455 0.097  -0.319 0.097  -0.182 0.097  -0.045 0.097  0.092 0.097  0.217 0.123  0.278 0.183  0.181 0.087  0.084 -0.008  -0.018 -0.043  -0.065 -0.160  -0.123 -0.273  -0.162 -0.400  -0.223 -0.523  -0.317 -0.621  -0.333 -0.751  -0.333 -0.888  -0.260 -0.952  -0.228 -1.056  -0.100 -1.079  0.002 -1.161  0.139 -1.161  0.276 -1.161  0.409 -1.153  0.506 -1.056  0.643 -1.056  0.779 -1.056  0.888 -0.989  1.009 -0.952  1.143 -0.943  1.239 -0.847
2#app#app34#app3478/V  -1.043 0.741  -1.043 0.876  -1.043 1.011  -0.990 1.017  -0.895 0.922  -0.879 0.794  -0.821 0.683  -0.725 0.588  -0.714 0.458  -0.651 0.349  -0.556 0.254  -0.461 0.159  -0.385 0.055  -0.385 -0.080  -0.385 -0.214  -0.312 -0.319  -0.221 -0.416  -0.221 -0.550  -0.171 -0.674  -0.111 -0.794  -0.048 -0.912  0.048 -1.008  0.157 -1.068  0.273 -1.087  0.273 -1.222  0.273 -1.357  0.367 -1.397  0.437 -1.332  0.437 -1.197  0.437 -1.063  0.437 -0.928  0.437 -0.793  0.437 -0.659  0.437 -0.524  0.437 -0.389  0.437 -0.254  0.437 -0.120  0.437 0.015  0.437 0.150  0.437 0.285  0.437 0.419  0.437 0.554  0.437 0.689  0.437 0.824  0.437 0.958  0.453 1.086  0.548 1.182  0.602 1.294  0.602 1.429  0.602 1.564
2#app#app34#app3478/E  0.712 1.008  0.696 1.151  0.569 1.182  0.522 1.294  0.363 1.294  0.205 1.294  0.074 1.227  -0.053 1.151  -0.211 1.151  -0.346 1.093  -0.469 1.008  -0.574 0.954  -0.644 0.865  -0.716 0.779  -0.788 0.651  -0.859 0.522  -0.859 0.363  -0.796 0.231  -0.684 0.119  -0.571 0.008  -0.413 0.008  -0.254 0.008  -0.096 0.008  0.063 0.008  0.221 0.008  0.380 0.008  0.539 0.008  0.660 0.099  0.652 0.091  0.528 0.008  0.386 -0.032  0.274 -0.144  0.162 -0.256  0.050 -0.368  -0.087 -0.420  -0.145 -0.521  -0.227 -0.645  -0.339 -0.757  -0.431 -0.878  -0.431 -1.037  -0.370 -1.134  -0.234 -1.188  -0.112 -1.277  0.046 -1.277  0.205 -1.277  0.363 -1.277  0.522 -1.277  0.680 -1.277  0.839 -1.277  0.998 -1.277
2#app#app34#app3478/L  -0.381 1.885  -0.381 1.789  -0.381 1.693  -0.381 1.597  -0.381 1.501  -0.381 1.406  -0.381 1.310  -0.381 1.214  -0.381 1.118  -0.381 1.022  -0.381 0.926  -0.381 0.831  -0.381 0.735  -0.348 0.653  -0.281 0.585  -0.213 0.517  -0.210 0.422  -0.210 0.327  -0.210 0.231  -0.210 0.135  -0.210 0.039  -0.210 -0.057  -0.210 -0.153  -0.210 -0.248  -0.210 -0.344  -0.210 -0.440  -0.210 -0.536  -0.210 -0.632  -0.167 -0.685  -0.071 -0.685  -0.039 -0.748  -0.039 -0.844  -0.039 -0.940  -0.030 -1.027  0.065 -1.027  0.133 -0.999  0.133 -0.903  0.182 -0.856  0.277 -0.856  0.373 -0.856  0.469 -0.856  0.475 -0.766  0.489 -0.685  0.585 -0.685  0.681 -0.685  0.777 -0.685  0.873 -0.685  0.969 -0.685  1.064 -0.685  1.160 -0.685
2#app#app34#app3478/V  -1.106 1.269  -1.017 1.180  -0.949 1.082  -0.949 0.955  -0.949 0.828  -0.881 0.730  -0.792 0.640  -0.791 0.514  -0.791 0.388  -0.763 0.268  -0.706 0.155  -0.649 0.041  -0.569 -0.055  -0.480 -0.144  -0.476 -0.269  -0.412 -0.369  -0.323 -0.459  -0.319 -0.584  -0.255 -0.684  -0.166 -0.773  -0.161 -0.898  -0.072 -0.935  -0.004 -0.994  0.024 -1.093  0.150 -1.093  0.154 -1.216  0.154 -1.158  0.215 -1.093  0.311 -1.063  0.311 -0.936  0.400 -0.847  0.469 -0.748  0.469 -0.622  0.469 -0.495  0.511 -0.379  0.568 -0.266  0.624 -0.152  0.626 -0.026  0.626 0.100  0.626 0.227  0.626 0.353  0.626 0.480  0.626 0.606  0.626 0.733  0.626 0.859  0.649 0.977  0.738 1.066  0.784 1.174  0.784 1.300  0.784 1.427
2#app#app34#app3478/E  0.554 1.422  0.413 1.422  0.272 1.422  0.131 1.422  -0.010 1.422  -0.113 1.331  -0.225 1.248  -0.351 1.185  -0.480 1.134  -0.598 1.111  -0.612 0.976  -0.711 0.876  -0.742 0.748  -0.742 0.607  -0.742 0.466  -0.742 0.325  -0.681 0.209  -0.574 0.126  -0.439 0.112  -0.340 0.012  -0.211 -0.018  -0.070 -0.018  0.071 -0.018  0.212 -0.018  0.353 -0.018  0.494 -0.018  0.635 -0.018  0.621 -0.018  0.480 -0.018  0.360 -0.068  0.258 -0.162  0.118 -0.166  0.019 -0.266  -0.081 -0.365  -0.166 -0.471  -0.178 -0.607  -0.278 -0.706  -0.310 -0.834  -0.310 -0.975  -0.246 -1.090  -0.138 -1.170  0.003 -1.170  0.144 -1.170  0.285 -1.170  0.425 -1.170  0.566 -1.170  0.707 -1.170  0.848 -1.170  0.989 -1.170  1.130 -1.170
2#app#app34#app3478/T  0.063 0.667  0.072 0.516  0.181 0.407  0.205 0.263  0.205 0.108  0.205 -0.046  0.205 -0.200  0.205 -0.355  0.222 -0.505  0.291 -0.643  0.348 -0.785  0.348 -0.939  0.348 -1.093  0.348 -1.248  0.348 -1.402  0.348 -1.557  0.294 -1.524  0.212 -1.393  0.130 -1.262  0.049 -1.131  -0.033 -1.000  -0.115 -0.869  -0.197 -0.738  -0.279 -0.607  -0.361 -0.477  -0.443 -0.346  -0.524 -0.215  -0.606 -0.084  -0.688 0.047  -0.770 0.178  -0.852 0.309  -0.934 0.440  -1.015 0.571  -1.034 0.667  -0.896 0.705  -0.784 0.809  -0.630 0.809  -0.476 0.809  -0.321 0.809  -0.173 0.834  -0.034 0.903  0.109 0.952  0.263 0.952  0.417 0.952  0.572 0.952  0.726 0.952  0.881 0.952  1.035 0.952  1.190 0.952  1.344 0.952
