2#apb#apb29#app2985/.  1.224 1.129  1.154 1.129  1.084 1.129  1.033 1.084  0.984 1.035  0.934 0.985  0.885 0.936  0.836 0.887  0.786 0.837  0.737 0.788  0.688 0.739  0.638 0.689  0.589 0.640  0.540 0.591  0.490 0.541  0.441 0.492  0.392 0.443  0.342 0.393  0.293 0.344  0.244 0.295  0.194 0.245  0.145 0.196  0.096 0.147  0.046 0.097  -0.003 0.048  -0.052 -0.001  -0.102 -0.051  -0.151 -0.100  -0.200 -0.149  -0.250 -0.199  -0.299 -0.248  -0.340 -0.304  -0.380 -0.361  -0.420 -0.418  -0.460 -0.475  -0.500 -0.533  -0.540 -0.590  -0.580 -0.647  -0.620 -0.704  -0.661 -0.761  -0.701 -0.818  -0.741 -0.876  -0.781 -0.933  -0.822 -0.988  -0.882 -1.024  -0.942 -1.060  -1.002 -1.096  -1.062 -1.131  -1.121 -1.167  -1.181 -1.203
2#apb#apb29#app2985/,  -0.630 1.151  -0.584 1.198  -0.506 1.206  -0.430 1.228  -0.354 1.241  -0.278 1.219  -0.202 1.198  -0.122 1.198  -0.043 1.198  0.023 1.157  0.089 1.113  0.143 1.056  0.194 0.995  0.236 0.929  0.268 0.856  0.301 0.784  0.316 0.708  0.316 0.629  0.316 0.550  0.316 0.471  0.316 0.391  0.316 0.312  0.316 0.233  0.316 0.154  0.312 0.075  0.304 -0.004  0.296 -0.083  0.288 -0.161  0.279 -0.240  0.271 -0.319  0.248 -0.394  0.219 -0.468  0.191 -0.542  0.162 -0.616  0.134 -0.690  0.106 -0.764  0.077 -0.838  0.049 -0.911  0.013 -0.982  -0.032 -1.046  -0.078 -1.111  -0.123 -1.176  -0.182 -1.228  -0.244 -1.277  -0.307 -1.326  -0.373 -1.367  -0.448 -1.394  -0.522 -1.422  -0.599 -1.438  -0.677 -1.451
2#apb#apb29#app2985/;  0.254 1.322  0.153 1.292  0.056 1.251  -0.038 1.202  -0.126 1.143  -0.215 1.086  -0.307 1.033  -0.385 0.962  -0.350 0.954  -0.248 0.979  -0.149 1.017  -0.053 1.061  0.028 1.088  -0.001 0.986  -0.031 0.884  -0.061 0.783  -0.090 0.681  -0.120 0.579  -0.149 0.478  -0.179 0.376  -0.208 0.274  -0.238 0.173  -0.257 0.088  -0.193 0.171  -0.097 0.205  0.005 0.229  0.111 0.227  0.204 0.182  0.253 0.088  0.305 -0.004  0.331 -0.106  0.350 -0.210  0.361 -0.316  0.365 -0.421  0.365 -0.527  0.351 -0.632  0.327 -0.735  0.299 -0.837  0.262 -0.936  0.225 -1.035  0.182 -1.132  0.127 -1.222  0.071 -1.312  0.006 -1.395  -0.065 -1.474  -0.136 -1.553  -0.206 -1.632  -0.278 -1.709  -0.358 -1.778  -0.450 -1.828
2#apb#apb29#app2985/:  0.075 1.589  0.073 1.574  0.060 1.498  0.048 1.423  0.018 1.352  -0.017 1.284  -0.059 1.220  -0.046 1.162  0.008 1.107  0.081 1.090  0.157 1.077  0.193 1.035  0.182 0.959  0.172 0.883  0.162 0.807  0.151 0.731  0.141 0.655  0.131 0.579  0.120 0.503  0.110 0.427  0.100 0.351  0.089 0.275  0.079 0.198  0.069 0.122  0.058 0.046  0.048 -0.030  0.038 -0.106  0.027 -0.182  0.017 -0.258  0.007 -0.334  -0.004 -0.410  -0.014 -0.486  -0.024 -0.562  -0.035 -0.638  -0.045 -0.714  -0.055 -0.790  -0.066 -0.866  -0.076 -0.942  -0.086 -1.018  -0.097 -1.094  -0.107 -1.170  -0.117 -1.246  -0.128 -1.323  -0.138 -1.399  -0.138 -1.327  -0.167 -1.279  -0.214 -1.339  -0.260 -1.401  -0.260 -1.477  -0.260 -1.554
2#apb#apb29#app2985/$  0.647 0.167  0.543 0.365  0.359 0.496  0.140 0.555  -0.064 0.488  -0.124 0.331  0.026 0.188  0.208 0.052  0.384 -0.087  0.577 -0.209  0.736 -0.371  0.832 -0.577  0.769 -0.786  0.568 -0.872  0.345 -0.923  0.117 -0.929  -0.111 -0.913  -0.337 -0.881  -0.478 -0.786  -0.294 -0.814  -0.260 -0.587  -0.226 -0.361  -0.193 -0.134  -0.159 0.092  -0.125 0.319  -0.092 0.545  -0.058 0.772  -0.024 0.998  0.009 1.224  0.043 1.451  0.077 1.677  0.220 1.831  0.287 1.729  0.255 1.502  0.204 1.279  0.136 1.061  0.058 0.845  -0.020 0.630  -0.099 0.415  -0.176 0.200  -0.248 -0.018  -0.321 -0.235  -0.393 -0.452  -0.466 -0.669  -0.527 -0.889  -0.561 -1.115  -0.587 -1.343  -0.587 -1.571  -0.580 -1.800  -0.432 -1.888
2#apb#apb29#app2985/#  0.177 0.871  0.017 0.540  -0.143 0.181  -0.299 -0.180  -0.420 -0.552  -0.472 -0.941  -0.313 -1.127  -0.083 -0.808  0.148 -0.490  0.378 -0.171  0.608 0.148  0.838 0.467  1.068 0.786  1.299 1.105  1.319 0.943  1.201 0.568  1.065 0.200  0.909 -0.161  0.764 -0.527  0.680 -0.908  0.462 -0.947  0.111 -0.768  -0.239 -0.590  -0.590 -0.411  -0.940 -0.233  -1.291 -0.055  -1.641 0.124  -1.432 0.278  -1.055 0.387  -0.666 0.438  -0.280 0.510  0.102 0.604  0.485 0.692  0.877 0.721  1.270 0.718  1.223 0.616  0.860 0.466  0.496 0.316  0.132 0.166  -0.231 0.017  -0.595 -0.133  -0.959 -0.283  -1.322 -0.433  -1.649 -0.566  -1.274 -0.451  -0.895 -0.347  -0.507 -0.288  -0.119 -0.226  0.267 -0.152  0.659 -0.114
2#apb#apb29#app2985/&  0.315 1.328  0.324 1.472  0.250 1.304  0.183 1.126  0.141 0.940  0.095 0.756  0.055 0.572  0.074 0.383  0.075 0.193  0.075 0.003  0.075 -0.187  0.075 -0.378  0.075 -0.568  0.085 -0.758  0.101 -0.947  0.119 -1.137  0.123 -1.327  0.091 -1.491  0.002 -1.327  -0.058 -1.147  -0.137 -0.975  -0.240 -0.815  -0.333 -0.650  -0.407 -0.475  -0.481 -0.299  -0.580 -0.138  -0.688 0.019  -0.830 0.142  -0.984 0.254  -1.118 0.389  -1.303 0.418  -1.383 0.294  -1.231 0.184  -1.051 0.126  -0.866 0.084  -0.680 0.040  -0.495 -0.003  -0.307 0.006  -0.119 0.032  0.069 0.057  0.258 0.082  0.447 0.107  0.635 0.132  0.823 0.164  1.010 0.197  1.197 0.232  1.377 0.293  1.557 0.354  1.734 0.424  1.849 0.514
2#apb#apb29#app2985/!  0.122 1.599  0.171 1.648  0.162 1.618  0.147 1.540  0.147 1.459  0.147 1.379  0.147 1.298  0.144 1.218  0.118 1.141  0.093 1.065  0.069 0.988  0.053 0.909  0.038 0.830  0.022 0.751  0.008 0.671  -0.007 0.592  -0.021 0.513  -0.026 0.433  -0.026 0.352  -0.026 0.271  -0.026 0.191  -0.025 0.110  0.011 0.038  0.077 0.015  0.158 0.017  0.237 0.033  0.255 -0.004  0.228 -0.080  0.200 -0.156  0.173 -0.231  0.145 -0.307  0.118 -0.383  0.090 -0.459  0.063 -0.535  0.036 -0.611  0.008 -0.686  -0.019 -0.762  -0.047 -0.838  -0.074 -0.914  -0.102 -0.990  -0.129 -1.066  -0.160 -1.139  -0.209 -1.198  -0.254 -1.257  -0.290 -1.329  -0.332 -1.397  -0.363 -1.471  -0.385 -1.549  -0.416 -1.622  -0.447 -1.693
2#apb#apb29#app2985/?  -0.763 0.347  -0.761 0.424  -0.690 0.509  -0.595 0.564  -0.504 0.625  -0.423 0.698  -0.311 0.698  -0.229 0.761  -0.149 0.835  -0.043 0.870  0.064 0.900  0.167 0.944  0.267 0.992  0.374 1.012  0.484 1.029  0.593 1.038  0.690 1.051  0.789 1.012  0.807 0.902  0.783 0.793  0.755 0.686  0.702 0.588  0.646 0.492  0.573 0.408  0.504 0.322  0.424 0.253  0.329 0.196  0.248 0.120  0.148 0.104  0.071 0.034  -0.010 -0.023  -0.073 -0.095  -0.117 -0.196  -0.129 -0.306  -0.140 -0.417  -0.154 -0.527  -0.154 -0.638  -0.154 -0.750  -0.190 -0.839  -0.149 -0.892  -0.189 -0.996  -0.229 -1.101  -0.268 -1.205  -0.308 -1.309  -0.348 -1.413  -0.387 -1.518  -0.427 -1.622  -0.466 -1.726  -0.500 -1.802  -0.560 -1.833
2#apb#apb29#app2985/  0.901 1.136  0.906 1.193  0.923 1.229  0.934 1.251  0.887 1.202  0.827 1.157  0.793 1.092  0.760 1.026  0.720 0.963  0.677 0.903  0.633 0.844  0.586 0.786  0.540 0.728  0.495 0.669  0.456 0.606  0.417 0.543  0.378 0.480  0.338 0.418  0.291 0.361  0.244 0.303  0.197 0.246  0.151 0.188  0.104 0.131  0.058 0.072  0.012 0.014  -0.034 -0.044  -0.080 -0.102  -0.126 -0.160  -0.172 -0.218  -0.221 -0.274  -0.272 -0.328  -0.322 -0.382  -0.373 -0.436  -0.424 -0.490  -0.474 -0.544  -0.519 -0.603  -0.564 -0.662  -0.610 -0.721  -0.655 -0.779  -0.698 -0.840  -0.740 -0.901  -0.783 -0.961  -0.818 -1.026  -0.851 -1.092  -0.885 -1.159  -0.863 -1.206  -0.790 -1.193  -0.720 -1.171  -0.652 -1.141  -0.584 -1.110
2#apb#apb29#app2985/'  0.431 0.968  0.484 1.022  0.538 1.075  0.592 1.129  0.646 1.183  0.708 1.214  0.734 1.214  0.666 1.198  0.624 1.135  0.582 1.072  0.540 1.008  0.500 0.944  0.463 0.878  0.426 0.811  0.389 0.745  0.352 0.678  0.315 0.612  0.278 0.546  0.241 0.479  0.204 0.413  0.167 0.346  0.131 0.280  0.092 0.215  0.046 0.154  0.001 0.093  -0.045 0.032  -0.091 -0.028  -0.136 -0.089  -0.182 -0.150  -0.227 -0.211  -0.273 -0.271  -0.319 -0.332  -0.364 -0.393  -0.397 -0.460  -0.412 -0.534  -0.427 -0.609  -0.441 -0.683  -0.456 -0.758  -0.471 -0.832  -0.486 -0.907  -0.501 -0.981  -0.516 -1.056  -0.531 -1.130  -0.546 -1.205  -0.555 -1.280  -0.555 -1.356  -0.555 -1.432  -0.555 -1.508  -0.555 -1.584  -0.555 -1.660
