2#apa#apa00#app0076/p  -0.077 1.349  -0.077 1.163  -0.077 0.976  -0.077 0.790  -0.077 0.604  -0.147 0.434  -0.163 0.252  -0.163 0.066  -0.163 -0.121  -0.163 -0.307  -0.163 -0.493  -0.163 -0.679  -0.163 -0.865  -0.163 -1.052  -0.163 -1.238  -0.163 -1.424  -0.163 -1.610  -0.163 -1.797  -0.165 -1.863  -0.170 -1.677  -0.176 -1.491  -0.181 -1.304  -0.187 -1.118  -0.193 -0.932  -0.198 -0.746  -0.204 -0.560  -0.210 -0.374  -0.215 -0.188  -0.221 -0.002  -0.227 0.185  -0.232 0.371  -0.238 0.557  -0.244 0.743  -0.249 0.929  -0.170 1.083  -0.029 1.201  0.129 1.296  0.293 1.349  0.480 1.349  0.612 1.295  0.681 1.125  0.698 0.943  0.659 0.762  0.614 0.581  0.546 0.422  0.456 0.261  0.394 0.098  0.260 -0.029  0.160 -0.115  0.009 -0.201
2#apa#apa00#app0076/a  -1.175 0.594  -1.175 0.760  -1.070 0.820  -0.948 0.865  -0.948 1.031  -0.798 1.047  -0.642 1.087  -0.494 1.161  -0.345 1.235  -0.188 1.273  -0.023 1.273  0.143 1.273  0.184 1.148  0.249 1.047  0.410 1.043  0.410 0.877  0.410 0.711  0.410 0.545  0.410 0.379  0.301 0.258  0.184 0.141  0.184 -0.025  0.078 -0.085  -0.043 -0.130  -0.043 -0.296  -0.043 -0.462  -0.132 -0.538  -0.269 -0.567  -0.269 -0.733  -0.269 -0.899  -0.269 -1.065  -0.256 -1.218  -0.090 -1.218  -0.043 -1.336  0.015 -1.444  0.181 -1.444  0.299 -1.329  0.416 -1.212  0.534 -1.094  0.637 -0.971  0.637 -0.805  0.637 -0.639  0.572 -0.538  0.410 -0.534  0.410 -0.368  0.410 -0.202  0.376 -0.051  0.258 0.067  0.184 0.202  0.184 0.367
2#apa#apa00#app0076/s  0.415 1.259  0.312 1.259  0.208 1.259  0.104 1.259  -0.000 1.259  -0.104 1.259  -0.201 1.242  -0.274 1.168  -0.348 1.095  -0.421 1.021  -0.499 0.959  -0.603 0.959  -0.634 0.886  -0.634 0.782  -0.634 0.678  -0.573 0.599  -0.500 0.525  -0.484 0.428  -0.449 0.359  -0.345 0.359  -0.241 0.359  -0.151 0.326  -0.077 0.253  0.009 0.210  0.113 0.210  0.187 0.138  0.260 0.065  0.266 -0.037  0.301 -0.126  0.375 -0.199  0.448 -0.273  0.522 -0.346  0.565 -0.432  0.565 -0.536  0.565 -0.640  0.565 -0.744  0.565 -0.848  0.565 -0.952  0.519 -1.036  0.445 -1.110  0.354 -1.139  0.252 -1.146  0.159 -1.193  0.066 -1.239  -0.027 -1.286  -0.130 -1.289  -0.219 -1.325  -0.293 -1.398  -0.380 -1.439  -0.484 -1.439
2#apa#apa00#app0076/s  0.147 1.426  0.056 1.426  0.019 1.371  0.001 1.297  -0.091 1.297  -0.182 1.297  -0.264 1.273  -0.328 1.208  -0.367 1.132  -0.367 1.041  -0.276 1.040  -0.239 0.986  -0.222 0.911  -0.130 0.911  -0.060 0.861  0.005 0.796  0.070 0.731  0.135 0.666  0.147 0.580  0.164 0.492  0.205 0.410  0.246 0.328  0.276 0.244  0.276 0.152  0.276 0.061  0.276 -0.031  0.276 -0.123  0.276 -0.214  0.276 -0.306  0.276 -0.397  0.276 -0.489  0.276 -0.581  0.276 -0.672  0.276 -0.764  0.276 -0.856  0.235 -0.930  0.171 -0.995  0.147 -1.077  0.126 -1.147  0.034 -1.147  0.019 -1.223  -0.020 -1.276  -0.112 -1.276  -0.204 -1.276  -0.295 -1.276  -0.387 -1.276  -0.479 -1.276  -0.496 -1.202  -0.496 -1.110  -0.496 -1.019
2#apa#apa00#app0076/e  -0.008 -0.125  0.088 -0.028  0.185 0.069  0.282 0.165  0.384 0.249  0.521 0.249  0.552 0.355  0.608 0.435  0.739 0.442  0.739 0.578  0.832 0.622  0.926 0.665  0.926 0.802  0.926 0.939  0.846 0.996  0.709 0.996  0.572 0.996  0.435 0.996  0.298 0.996  0.161 0.996  0.025 0.996  -0.082 0.922  -0.179 0.826  -0.195 0.696  -0.259 0.622  -0.392 0.613  -0.488 0.516  -0.569 0.412  -0.569 0.275  -0.679 0.249  -0.756 0.188  -0.756 0.052  -0.756 -0.085  -0.756 -0.222  -0.756 -0.359  -0.756 -0.496  -0.756 -0.633  -0.696 -0.745  -0.599 -0.842  -0.502 -0.939  -0.406 -1.035  -0.382 -1.163  -0.329 -1.246  -0.193 -1.248  -0.096 -1.345  0.005 -1.433  0.142 -1.433  0.278 -1.433  0.365 -1.483  0.365 -1.620
2#apa#apa00#app0076/d  0.162 -0.295  0.162 -0.082  0.095 0.104  0.011 0.259  -0.202 0.259  -0.376 0.164  -0.537 0.037  -0.639 -0.073  -0.737 -0.197  -0.887 -0.347  -0.946 -0.536  -0.946 -0.750  -0.946 -0.963  -0.840 -1.070  -0.672 -1.181  -0.503 -1.137  -0.392 -1.035  -0.294 -0.862  -0.222 -0.679  -0.071 -0.528  -0.060 -0.320  0.065 -0.156  0.161 0.035  0.213 0.242  0.265 0.449  0.353 0.642  0.449 0.832  0.544 1.023  0.605 1.222  0.716 1.389  0.716 1.603  0.711 1.805  0.605 1.636  0.494 1.468  0.415 1.288  0.269 1.134  0.202 0.932  0.162 0.725  0.077 0.532  0.051 0.325  0.051 0.112  0.051 -0.102  0.051 -0.315  0.051 -0.528  0.051 -0.741  0.051 -0.954  0.162 -1.122  0.271 -1.290  0.422 -1.441  0.605 -1.513
2#apa#apa00#app0076/t  0.698 1.870  0.679 1.721  0.569 1.611  0.499 1.471  0.439 1.330  0.417 1.178  0.347 1.039  0.309 0.892  0.309 0.736  0.309 0.579  0.242 0.439  0.179 0.298  0.179 0.142  0.179 -0.015  0.179 -0.171  0.179 -0.327  0.179 -0.483  0.179 -0.639  0.179 -0.795  0.179 -0.951  0.179 -1.108  0.179 -1.264  0.179 -1.420  0.179 -1.576  0.125 -1.546  0.040 -1.415  -0.044 -1.283  -0.129 -1.152  -0.213 -1.021  -0.298 -0.889  -0.382 -0.758  -0.466 -0.627  -0.551 -0.495  -0.635 -0.364  -0.720 -0.233  -0.804 -0.101  -0.889 0.030  -0.973 0.161  -0.859 0.184  -0.748 0.294  -0.600 0.314  -0.451 0.332  -0.341 0.442  -0.185 0.444  -0.029 0.444  0.127 0.444  0.253 0.517  0.386 0.573  0.542 0.573  0.698 0.573
2#apa#apa00#app0076/h  -0.410 2.028  -0.410 1.870  -0.410 1.712  -0.410 1.554  -0.410 1.396  -0.410 1.238  -0.410 1.080  -0.410 0.922  -0.410 0.764  -0.410 0.606  -0.410 0.448  -0.410 0.290  -0.410 0.132  -0.410 -0.026  -0.410 -0.184  -0.410 -0.342  -0.410 -0.500  -0.410 -0.658  -0.410 -0.816  -0.410 -0.974  -0.449 -1.092  -0.545 -1.029  -0.545 -0.871  -0.470 -0.745  -0.410 -0.612  -0.410 -0.454  -0.410 -0.296  -0.310 -0.179  -0.199 -0.067  -0.138 0.066  -0.071 0.196  0.058 0.265  0.133 0.348  0.239 0.401  0.397 0.401  0.555 0.401  0.713 0.401  0.811 0.341  0.811 0.183  0.811 0.025  0.811 -0.133  0.811 -0.291  0.811 -0.449  0.811 -0.607  0.811 -0.765  0.811 -0.923  0.723 -1.044  0.676 -1.183  0.676 -1.341  0.676 -1.499
2#apa#apa00#app0076/r  -0.420 1.458  -0.420 1.314  -0.420 1.170  -0.420 1.025  -0.420 0.881  -0.420 0.736  -0.420 0.592  -0.420 0.447  -0.420 0.303  -0.420 0.158  -0.420 0.014  -0.420 -0.131  -0.420 -0.275  -0.420 -0.420  -0.420 -0.564  -0.420 -0.709  -0.420 -0.853  -0.420 -0.998  -0.420 -1.142  -0.307 -1.174  -0.232 -1.243  -0.232 -1.388  -0.232 -1.532  -0.232 -1.423  -0.232 -1.278  -0.232 -1.134  -0.232 -0.989  -0.232 -0.845  -0.232 -0.700  -0.232 -0.556  -0.225 -0.414  -0.123 -0.312  -0.044 -0.200  -0.044 -0.056  0.051 0.049  0.144 0.155  0.144 0.300  0.224 0.411  0.327 0.513  0.469 0.518  0.520 0.612  0.570 0.706  0.714 0.706  0.859 0.706  0.896 0.814  0.960 0.894  1.104 0.894  1.249 0.894  1.358 0.980  1.460 1.082
2#apa#apa00#app0076/o  -0.053 1.235  0.084 1.235  -0.018 1.235  -0.053 1.133  -0.137 1.079  -0.209 1.013  -0.243 0.889  -0.340 0.792  -0.438 0.695  -0.535 0.597  -0.632 0.500  -0.710 0.389  -0.771 0.265  -0.831 0.142  -0.831 0.004  -0.831 -0.133  -0.831 -0.271  -0.831 -0.409  -0.831 -0.546  -0.793 -0.668  -0.696 -0.766  -0.675 -0.895  -0.611 -1.006  -0.512 -1.097  -0.374 -1.097  -0.237 -1.097  -0.099 -1.097  0.039 -1.097  0.176 -1.097  0.314 -1.097  0.413 -1.059  0.428 -0.927  0.525 -0.830  0.568 -0.711  0.627 -0.631  0.724 -0.591  0.724 -0.453  0.724 -0.316  0.724 -0.178  0.724 -0.040  0.724 0.097  0.724 0.235  0.724 0.372  0.724 0.510  0.708 0.644  0.647 0.767  0.585 0.890  0.568 1.024  0.510 1.137  0.413 1.235
2#apa#apa00#app0076/u  -0.878 1.169  -0.878 1.059  -0.878 0.948  -0.901 0.860  -1.012 0.860  -1.033 0.770  -1.033 0.659  -1.033 0.548  -1.033 0.437  -0.983 0.347  -0.905 0.268  -0.845 0.176  -0.796 0.077  -0.746 -0.022  -0.723 -0.128  -0.723 -0.239  -0.723 -0.349  -0.664 -0.436  -0.586 -0.514  -0.508 -0.593  -0.429 -0.671  -0.351 -0.749  -0.272 -0.828  -0.167 -0.841  -0.056 -0.841  0.055 -0.841  0.166 -0.841  0.277 -0.841  0.379 -0.821  0.457 -0.742  0.545 -0.686  0.656 -0.686  0.668 -0.587  0.668 -0.476  0.676 -0.369  0.755 -0.290  0.823 -0.208  0.823 -0.097  0.904 -0.068  0.977 -0.030  0.977 0.081  0.977 0.192  0.977 0.303  0.977 0.414  0.977 0.524  0.977 0.635  0.949 0.734  0.870 0.813  0.823 0.904  0.823 1.015
