3#app#app12#app1234/w  -1.334 0.961  -1.195 0.930  -1.195 0.760  -1.195 0.590  -1.195 0.421  -1.187 0.253  -1.111 0.101  -1.057 -0.056  -1.057 -0.226  -1.057 -0.396  -0.956 -0.524  -0.918 -0.678  -0.814 -0.804  -0.659 -0.839  -0.533 -0.731  -0.503 -0.573  -0.391 -0.450  -0.365 -0.291  -0.226 -0.260  -0.226 -0.090  -0.164 0.054  -0.044 0.174  0.051 0.305  0.051 0.474  0.120 0.615  0.189 0.757  0.086 0.823  0.051 0.688  0.051 0.518  0.051 0.349  0.051 0.179  0.137 0.045  0.189 -0.103  0.189 -0.273  0.301 -0.397  0.387 -0.541  0.463 -0.693  0.628 -0.700  0.798 -0.700  0.968 -0.700  1.020 -0.582  1.125 -0.456  1.158 -0.300  1.227 -0.147  1.297 0.007  1.297 0.176  1.297 0.346  1.345 0.505  1.421 0.656  1.435 0.823
3#app#app12#app1234/a  -0.843 1.225  -0.697 1.225  -0.679 1.096  -0.568 1.061  -0.421 1.061  -0.274 1.061  -0.145 1.020  -0.041 0.916  0.097 0.897  0.142 0.795  0.226 0.732  0.353 0.686  0.457 0.582  0.598 0.568  0.712 0.491  0.823 0.404  0.964 0.398  0.964 0.251  1.098 0.240  1.011 0.240  0.893 0.310  0.799 0.390  0.799 0.244  0.657 0.240  0.510 0.240  0.364 0.240  0.217 0.240  0.070 0.240  -0.060 0.201  -0.164 0.098  -0.268 -0.006  -0.371 -0.110  -0.475 -0.213  -0.578 -0.317  -0.679 -0.422  -0.679 -0.568  -0.679 -0.715  -0.761 -0.828  -0.843 -0.940  -0.831 -1.074  -0.684 -1.074  -0.679 -1.216  -0.555 -1.238  -0.409 -1.238  -0.262 -1.238  -0.115 -1.238  0.031 -1.238  0.178 -1.238  0.324 -1.238  0.471 -1.238
3#app#app12#app1234/s  -0.016 1.228  0.112 1.228  0.240 1.228  0.242 1.228  0.144 1.197  0.144 1.069  0.018 1.067  -0.082 1.001  -0.173 0.910  -0.300 0.906  -0.338 0.816  -0.395 0.746  -0.516 0.728  -0.607 0.637  -0.659 0.531  -0.680 0.424  -0.808 0.424  -0.820 0.307  -0.904 0.263  -0.981 0.212  -0.981 0.084  -0.981 -0.044  -0.866 -0.058  -0.820 -0.140  -0.770 -0.219  -0.642 -0.219  -0.514 -0.219  -0.386 -0.219  -0.258 -0.219  -0.130 -0.219  -0.001 -0.219  0.127 -0.219  0.255 -0.219  0.383 -0.219  0.498 -0.251  0.588 -0.341  0.701 -0.379  0.817 -0.409  0.907 -0.499  0.948 -0.611  0.948 -0.739  0.948 -0.867  0.948 -0.995  0.847 -1.022  0.787 -1.091  0.751 -1.183  0.626 -1.186  0.626 -1.314  0.556 -1.414  0.466 -1.504
3#app#app12#app1234/o  -0.071 1.040  -0.210 1.040  -0.234 0.924  -0.326 0.877  -0.397 0.809  -0.442 0.714  -0.561 0.693  -0.561 0.553  -0.561 0.413  -0.674 0.387  -0.724 0.298  -0.724 0.158  -0.766 0.061  -0.887 0.042  -0.887 -0.098  -0.887 -0.237  -0.887 -0.377  -0.887 -0.516  -0.887 -0.656  -0.858 -0.784  -0.760 -0.882  -0.661 -0.981  -0.562 -1.080  -0.424 -1.082  -0.284 -1.082  -0.144 -1.082  -0.005 -1.082  0.122 -1.052  0.221 -0.953  0.320 -0.854  0.418 -0.756  0.558 -0.755  0.582 -0.640  0.647 -0.527  0.746 -0.428  0.844 -0.330  0.908 -0.217  0.908 -0.077  0.908 0.062  0.908 0.202  0.908 0.342  0.908 0.481  0.908 0.621  0.908 0.760  0.892 0.893  0.794 0.992  0.674 1.040  0.535 1.040  0.395 1.040  0.256 1.040
3#app#app12#app1234/n  -1.296 1.008  -1.123 1.008  -1.084 0.874  -0.990 0.796  -0.871 0.741  -0.856 0.583  -0.683 0.583  -0.659 0.435  -0.659 0.262  -0.659 0.089  -0.638 -0.075  -0.515 -0.197  -0.447 -0.342  -0.447 -0.515  -0.447 -0.688  -0.447 -0.861  -0.447 -1.033  -0.447 -1.206  -0.447 -1.276  -0.435 -1.115  -0.262 -1.115  -0.234 -0.970  -0.234 -0.797  -0.234 -0.624  -0.215 -0.459  -0.093 -0.337  -0.022 -0.193  -0.022 -0.020  -0.022 0.153  -0.022 0.325  0.068 0.461  0.190 0.583  0.190 0.756  0.190 0.929  0.284 1.008  0.457 1.008  0.615 0.993  0.615 0.820  0.720 0.691  0.827 0.562  0.827 0.389  0.827 0.216  0.909 0.077  1.031 -0.045  1.040 -0.214  1.040 -0.387  1.097 -0.536  1.220 -0.659  1.342 -0.781  1.464 -0.903
3#app#app12#app1234/l  -0.270 1.668  -0.270 1.596  -0.270 1.525  -0.270 1.453  -0.270 1.381  -0.270 1.310  -0.270 1.238  -0.251 1.175  -0.200 1.124  -0.149 1.073  -0.112 1.017  -0.112 0.945  -0.112 0.874  -0.112 0.802  -0.112 0.730  -0.112 0.659  -0.112 0.587  -0.112 0.515  -0.112 0.444  -0.112 0.372  -0.112 0.300  -0.112 0.229  -0.112 0.157  -0.111 0.086  -0.079 0.022  -0.047 -0.042  -0.015 -0.107  0.017 -0.171  0.046 -0.236  0.046 -0.307  0.046 -0.379  0.046 -0.451  0.046 -0.522  0.061 -0.591  0.084 -0.659  0.107 -0.727  0.129 -0.795  0.152 -0.863  0.175 -0.931  0.197 -0.999  0.203 -1.070  0.203 -1.141  0.230 -1.202  0.281 -1.253  0.332 -1.303  0.361 -1.363  0.361 -1.434  0.361 -1.506  0.361 -1.578  0.361 -1.649
3#app#app12#app1234/y  -1.488 0.722  -1.347 0.722  -1.207 0.722  -1.076 0.699  -0.977 0.600  -0.905 0.489  -0.905 0.349  -0.905 0.208  -0.834 0.139  -0.711 0.122  -0.711 -0.019  -0.607 -0.055  -0.466 -0.055  -0.326 -0.055  -0.185 -0.055  -0.045 -0.055  0.067 -0.026  0.067 0.115  0.067 0.255  0.128 0.334  0.261 0.342  0.261 0.482  0.261 0.622  0.261 0.763  0.261 0.903  0.261 1.044  0.334 1.111  0.455 1.092  0.455 0.951  0.455 0.811  0.455 0.670  0.455 0.530  0.455 0.389  0.455 0.249  0.455 0.108  0.455 -0.032  0.455 -0.172  0.455 -0.313  0.455 -0.453  0.455 -0.594  0.455 -0.734  0.455 -0.875  0.455 -1.015  0.455 -1.155  0.455 -1.296  0.455 -1.436  0.455 -1.577  0.455 -1.717  0.455 -1.858  0.455 -1.998
3#app#app12#app1234/t  -0.205 2.220  -0.205 2.057  -0.205 1.895  -0.205 1.732  -0.205 1.569  -0.205 1.406  -0.205 1.244  -0.205 1.081  -0.205 0.918  -0.205 0.755  -0.140 0.608  -0.068 0.462  -0.040 0.306  -0.040 0.143  -0.040 -0.019  0.027 -0.154  0.124 -0.277  0.124 -0.439  0.124 -0.602  0.133 -0.763  0.206 -0.908  0.279 -1.054  0.388 -1.173  0.454 -1.309  0.521 -1.404  0.570 -1.361  0.448 -1.253  0.326 -1.145  0.205 -1.036  0.083 -0.928  -0.038 -0.820  -0.160 -0.712  -0.282 -0.604  -0.403 -0.496  -0.525 -0.388  -0.647 -0.280  -0.768 -0.171  -0.830 -0.086  -0.667 -0.086  -0.504 -0.086  -0.341 -0.086  -0.179 -0.086  -0.023 -0.069  0.092 0.046  0.241 0.078  0.392 0.130  0.538 0.203  0.691 0.243  0.833 0.293  0.948 0.408
3#app#app12#app1234/o  0.248 0.328  0.248 0.486  0.248 0.645  0.248 0.803  0.245 0.959  0.087 0.959  -0.040 0.882  -0.152 0.770  -0.264 0.658  -0.376 0.546  -0.531 0.538  -0.593 0.443  -0.624 0.297  -0.736 0.185  -0.804 0.055  -0.804 -0.104  -0.804 -0.262  -0.921 -0.303  -1.014 -0.369  -1.014 -0.527  -1.014 -0.685  -1.014 -0.844  -0.966 -0.982  -0.854 -1.094  -0.716 -1.144  -0.558 -1.144  -0.400 -1.144  -0.241 -1.144  -0.083 -1.144  0.064 -1.117  0.176 -1.005  0.248 -0.876  0.252 -0.719  0.364 -0.607  0.476 -0.496  0.588 -0.384  0.668 -0.259  0.668 -0.100  0.819 -0.093  0.879 0.006  0.879 0.165  0.879 0.323  0.879 0.481  0.879 0.640  0.879 0.798  0.879 0.956  0.879 1.115  0.775 1.169  0.616 1.169  0.458 1.169
3#app#app12#app1234/o  -0.539 1.133  -0.539 1.006  -0.539 0.878  -0.592 0.803  -0.704 0.787  -0.704 0.660  -0.779 0.563  -0.869 0.472  -0.869 0.345  -0.869 0.217  -0.869 0.089  -0.869 -0.039  -0.869 -0.167  -0.869 -0.294  -0.869 -0.422  -0.838 -0.519  -0.710 -0.519  -0.704 -0.640  -0.644 -0.743  -0.554 -0.834  -0.539 -0.955  -0.470 -1.015  -0.342 -1.015  -0.215 -1.015  -0.087 -1.015  0.041 -1.015  0.155 -0.982  0.246 -0.891  0.336 -0.801  0.426 -0.711  0.517 -0.620  0.607 -0.530  0.697 -0.439  0.783 -0.347  0.783 -0.219  0.852 -0.120  0.942 -0.030  0.948 0.096  0.948 0.223  0.948 0.351  0.948 0.479  0.948 0.607  0.948 0.734  0.889 0.803  0.783 0.825  0.783 0.953  0.671 0.968  0.543 0.968  0.415 0.968  0.288 0.968
3#app#app12#app1234/p  -0.435 1.333  -0.435 1.143  -0.343 0.991  -0.310 0.815  -0.310 0.625  -0.310 0.436  -0.310 0.246  -0.241 0.072  -0.185 -0.104  -0.185 -0.294  -0.185 -0.484  -0.125 -0.659  -0.060 -0.834  -0.011 -1.012  0.064 -1.184  0.064 -1.374  0.172 -1.519  0.189 -1.702  0.295 -1.785  0.193 -1.664  0.189 -1.476  0.101 -1.323  0.058 -1.149  -0.027 -0.980  -0.060 -0.798  -0.185 -0.660  -0.185 -0.470  -0.194 -0.289  -0.310 -0.215  -0.310 -0.025  -0.366 0.141  -0.435 0.303  -0.458 0.483  -0.559 0.630  -0.559 0.820  -0.435 0.885  -0.318 0.959  -0.180 1.083  0.010 1.083  0.200 1.083  0.389 1.083  0.564 1.020  0.739 0.959  0.929 0.959  0.937 0.777  0.851 0.623  0.683 0.575  0.598 0.405  0.484 0.256  0.314 0.210
