1d#app#app18#app1864/[  1.047 0.928  1.047 1.033  1.001 1.092  0.896 1.092  0.791 1.092  0.686 1.092  0.581 1.092  0.476 1.092  0.371 1.092  0.266 1.092  0.180 1.044  0.106 0.970  0.019 0.928  -0.086 0.928  -0.099 0.836  -0.133 0.764  -0.238 0.764  -0.263 0.685  -0.284 0.600  -0.389 0.600  -0.427 0.534  -0.427 0.429  -0.427 0.324  -0.427 0.219  -0.427 0.114  -0.427 0.009  -0.427 -0.096  -0.427 -0.201  -0.427 -0.306  -0.427 -0.411  -0.427 -0.516  -0.427 -0.621  -0.427 -0.726  -0.427 -0.831  -0.427 -0.936  -0.427 -1.041  -0.427 -1.146  -0.427 -1.151  -0.427 -1.046  -0.330 -1.037  -0.226 -1.037  -0.121 -1.037  -0.016 -1.037  0.089 -1.037  0.194 -1.037  0.299 -1.037  0.404 -1.037  0.509 -1.037  0.614 -1.037  0.719 -1.037
1d#app#app18#app1864/(  0.540 1.521  0.434 1.521  0.327 1.521  0.250 1.450  0.175 1.375  0.102 1.298  0.102 1.192  0.102 1.085  -0.002 1.083  -0.109 1.083  -0.117 0.985  -0.117 0.878  -0.209 0.864  -0.316 0.864  -0.336 0.778  -0.336 0.671  -0.336 0.565  -0.336 0.458  -0.336 0.352  -0.336 0.245  -0.404 0.207  -0.511 0.207  -0.555 0.145  -0.555 0.038  -0.555 -0.068  -0.555 -0.175  -0.519 -0.266  -0.444 -0.342  -0.369 -0.417  -0.336 -0.510  -0.336 -0.616  -0.282 -0.669  -0.175 -0.669  -0.117 -0.717  -0.117 -0.823  -0.075 -0.888  0.032 -0.888  0.102 -0.924  0.102 -1.030  0.132 -1.107  0.239 -1.107  0.345 -1.107  0.452 -1.107  0.558 -1.107  0.665 -1.107  0.759 -1.095  0.759 -0.988  0.765 -0.888  0.871 -0.888  0.978 -0.888
1d#app#app18#app1864/)  -0.687 1.082  -0.776 1.082  -0.834 1.112  -0.834 1.200  -0.775 1.229  -0.687 1.228  -0.687 1.139  -0.656 1.082  -0.568 1.082  -0.540 1.021  -0.538 0.935  -0.449 0.935  -0.370 0.912  -0.308 0.849  -0.245 0.787  -0.183 0.724  -0.120 0.662  -0.058 0.599  0.005 0.537  0.068 0.474  0.130 0.411  0.193 0.349  0.195 0.261  0.214 0.181  0.276 0.118  0.339 0.055  0.402 -0.007  0.464 -0.070  0.489 -0.148  0.489 -0.236  0.489 -0.325  0.489 -0.413  0.489 -0.502  0.489 -0.590  0.489 -0.679  0.489 -0.767  0.489 -0.856  0.489 -0.944  0.433 -0.977  0.344 -0.977  0.342 -1.063  0.315 -1.124  0.226 -1.124  0.195 -1.181  0.195 -1.270  0.108 -1.271  0.048 -1.299  0.048 -1.388  -0.011 -1.418  -0.099 -1.418
1d#app#app18#app1864/(  0.464 1.528  0.374 1.528  0.295 1.517  0.295 1.427  0.274 1.359  0.184 1.359  0.127 1.327  0.127 1.237  0.127 1.148  0.127 1.058  0.073 1.022  -0.017 1.022  -0.042 0.958  -0.042 0.868  -0.075 0.786  -0.115 0.706  -0.155 0.626  -0.196 0.546  -0.210 0.460  -0.210 0.370  -0.210 0.281  -0.210 0.191  -0.210 0.101  -0.210 0.012  -0.273 -0.052  -0.337 -0.115  -0.379 -0.187  -0.379 -0.277  -0.379 -0.367  -0.379 -0.456  -0.379 -0.546  -0.379 -0.635  -0.334 -0.707  -0.271 -0.770  -0.210 -0.834  -0.210 -0.924  -0.196 -0.999  -0.106 -0.999  -0.042 -1.024  -0.042 -1.114  -0.006 -1.168  0.084 -1.168  0.173 -1.168  0.263 -1.168  0.353 -1.168  0.442 -1.168  0.532 -1.168  0.622 -1.168  0.632 -1.089  0.632 -0.999
1d#app#app18#app1864/)  -0.897 1.500  -0.834 1.436  -0.771 1.373  -0.696 1.338  -0.607 1.338  -0.575 1.281  -0.575 1.192  -0.522 1.124  -0.458 1.061  -0.395 0.998  -0.332 0.934  -0.269 0.871  -0.206 0.808  -0.142 0.745  -0.079 0.681  -0.016 0.618  0.047 0.555  0.071 0.475  0.071 0.386  0.144 0.370  0.232 0.369  0.232 0.279  0.246 0.195  0.309 0.132  0.372 0.069  0.394 -0.011  0.394 -0.101  0.448 -0.168  0.511 -0.231  0.555 -0.302  0.555 -0.392  0.555 -0.481  0.555 -0.570  0.512 -0.642  0.449 -0.705  0.394 -0.772  0.394 -0.861  0.365 -0.921  0.275 -0.921  0.232 -0.968  0.232 -1.057  0.168 -1.083  0.079 -1.083  0.013 -1.140  -0.050 -1.204  -0.122 -1.244  -0.212 -1.244  -0.287 -1.279  -0.350 -1.342  -0.413 -1.406
1d#app#app18#app1864/(  0.409 1.216  0.409 1.307  0.409 1.399  0.333 1.413  0.242 1.413  0.212 1.352  0.212 1.261  0.165 1.216  0.074 1.216  0.015 1.184  0.015 1.093  0.015 1.002  0.015 0.911  0.013 0.821  -0.051 0.756  -0.116 0.692  -0.180 0.627  -0.182 0.537  -0.182 0.446  -0.182 0.355  -0.182 0.264  -0.241 0.231  -0.332 0.231  -0.379 0.187  -0.379 0.096  -0.379 0.005  -0.379 -0.086  -0.379 -0.177  -0.379 -0.268  -0.379 -0.359  -0.379 -0.450  -0.379 -0.542  -0.326 -0.611  -0.262 -0.675  -0.197 -0.740  -0.182 -0.824  -0.182 -0.916  -0.143 -0.991  -0.079 -1.055  -0.014 -1.119  0.065 -1.149  0.156 -1.149  0.237 -1.173  0.301 -1.238  0.366 -1.302  0.439 -1.346  0.530 -1.346  0.606 -1.331  0.606 -1.240  0.606 -1.149
1d#app#app18#app1864/)  -0.893 1.173  -0.893 1.263  -0.884 1.329  -0.821 1.266  -0.758 1.203  -0.695 1.140  -0.632 1.077  -0.569 1.014  -0.482 1.008  -0.398 1.003  -0.398 0.913  -0.379 0.843  -0.290 0.843  -0.219 0.814  -0.179 0.735  -0.139 0.655  -0.099 0.575  -0.048 0.513  0.041 0.513  0.097 0.480  0.097 0.391  0.143 0.349  0.232 0.349  0.261 0.288  0.261 0.199  0.261 0.110  0.261 0.021  0.323 -0.043  0.386 -0.106  0.426 -0.178  0.426 -0.267  0.426 -0.356  0.426 -0.446  0.426 -0.535  0.426 -0.624  0.426 -0.713  0.426 -0.802  0.426 -0.891  0.426 -0.980  0.426 -1.070  0.404 -1.136  0.315 -1.136  0.261 -1.172  0.261 -1.261  0.212 -1.301  0.123 -1.301  0.097 -1.364  0.097 -1.453  0.021 -1.466  -0.068 -1.466
1d#app#app18#app1864/(  0.502 1.264  0.587 1.264  0.672 1.264  0.611 1.264  0.526 1.264  0.441 1.264  0.356 1.264  0.286 1.229  0.225 1.169  0.165 1.109  0.105 1.049  0.045 0.989  -0.015 0.929  -0.075 0.869  -0.135 0.809  -0.195 0.749  -0.225 0.676  -0.225 0.591  -0.225 0.506  -0.225 0.421  -0.238 0.342  -0.298 0.282  -0.358 0.222  -0.407 0.157  -0.407 0.072  -0.407 -0.013  -0.407 -0.098  -0.407 -0.183  -0.407 -0.268  -0.407 -0.353  -0.407 -0.438  -0.407 -0.522  -0.368 -0.592  -0.308 -0.652  -0.248 -0.712  -0.225 -0.787  -0.225 -0.872  -0.197 -0.945  -0.136 -1.005  -0.076 -1.065  -0.016 -1.125  0.044 -1.185  0.104 -1.245  0.174 -1.280  0.259 -1.280  0.344 -1.280  0.429 -1.280  0.514 -1.280  0.599 -1.280  0.684 -1.280
1d#app#app18#app1864/)  -0.164 1.125  -0.164 1.031  -0.164 0.980  -0.164 1.074  -0.207 1.125  -0.301 1.125  -0.330 1.190  -0.330 1.284  -0.330 1.206  -0.317 1.125  -0.223 1.125  -0.164 1.091  -0.164 0.996  -0.107 0.959  -0.013 0.959  0.003 0.881  0.007 0.788  0.073 0.722  0.140 0.655  0.206 0.589  0.273 0.522  0.337 0.454  0.337 0.360  0.337 0.266  0.337 0.172  0.337 0.078  0.337 -0.016  0.337 -0.110  0.337 -0.204  0.337 -0.299  0.337 -0.393  0.337 -0.487  0.309 -0.570  0.242 -0.636  0.176 -0.703  0.170 -0.794  0.161 -0.885  0.094 -0.951  0.028 -1.018  0.003 -1.102  0.003 -1.196  -0.078 -1.209  -0.164 -1.217  -0.164 -1.311  -0.193 -1.376  -0.287 -1.376  -0.330 -1.427  -0.330 -1.521  -0.403 -1.543  -0.497 -1.543
1d#app#app18#app1864/(  0.373 1.473  0.269 1.473  0.165 1.473  0.082 1.422  0.009 1.349  -0.065 1.275  -0.138 1.202  -0.212 1.129  -0.285 1.055  -0.346 0.976  -0.346 0.873  -0.346 0.769  -0.436 0.754  -0.540 0.754  -0.586 0.697  -0.586 0.593  -0.586 0.489  -0.586 0.385  -0.586 0.281  -0.586 0.177  -0.586 0.073  -0.586 -0.031  -0.586 -0.135  -0.586 -0.239  -0.586 -0.343  -0.583 -0.444  -0.480 -0.444  -0.376 -0.444  -0.346 -0.518  -0.346 -0.622  -0.304 -0.684  -0.200 -0.684  -0.096 -0.684  0.008 -0.684  0.112 -0.684  0.216 -0.684  0.320 -0.684  0.373 -0.735  0.373 -0.838  0.392 -0.923  0.496 -0.923  0.600 -0.923  0.704 -0.923  0.808 -0.923  0.894 -0.882  0.968 -0.808  1.041 -0.735  1.124 -0.684  1.228 -0.684  1.332 -0.684
1d#app#app18#app1864/)  -0.611 1.561  -0.524 1.561  -0.438 1.561  -0.415 1.497  -0.415 1.411  -0.415 1.324  -0.415 1.238  -0.402 1.156  -0.341 1.095  -0.280 1.034  -0.218 0.973  -0.157 0.911  -0.096 0.850  -0.035 0.789  0.027 0.728  0.088 0.667  0.149 0.605  0.173 0.529  0.173 0.442  0.194 0.364  0.255 0.303  0.317 0.242  0.369 0.177  0.369 0.090  0.369 0.004  0.369 -0.083  0.369 -0.169  0.369 -0.256  0.369 -0.343  0.369 -0.429  0.369 -0.516  0.369 -0.602  0.369 -0.689  0.369 -0.775  0.369 -0.862  0.369 -0.949  0.319 -0.985  0.232 -0.985  0.146 -0.985  0.059 -0.985  -0.023 -0.990  -0.023 -1.076  -0.023 -1.163  -0.091 -1.181  -0.178 -1.181  -0.265 -1.181  -0.351 -1.181  -0.438 -1.181  -0.524 -1.181  -0.611 -1.181
