3#apb#apb15#app1572/M  -1.507 -1.070  -1.613 -1.099  -1.584 -1.056  -1.489 -0.919  -1.391 -0.784  -1.291 -0.650  -1.190 -0.517  -1.086 -0.387  -0.982 -0.256  -0.881 -0.123  -0.785 0.014  -0.689 0.150  -0.580 0.276  -0.467 0.399  -0.354 0.522  -0.240 0.644  -0.114 0.750  0.022 0.774  0.081 0.626  0.062 0.461  0.031 0.297  -0.005 0.134  -0.062 -0.023  -0.120 -0.179  -0.165 -0.339  -0.204 -0.502  -0.116 -0.565  -0.011 -0.435  0.097 -0.308  0.205 -0.181  0.290 -0.037  0.375 0.107  0.463 0.249  0.553 0.389  0.643 0.530  0.746 0.661  0.855 0.787  0.967 0.911  1.083 0.953  1.079 0.796  1.048 0.633  1.014 0.470  0.973 0.308  0.925 0.148  0.898 -0.016  0.891 -0.183  0.888 -0.349  0.863 -0.514  0.900 -0.673  0.973 -0.824
3#apb#apb15#app1572/a  0.647 0.049  0.638 0.241  0.612 0.428  0.585 0.617  0.524 0.801  0.424 0.959  0.232 0.987  0.049 0.938  -0.131 0.866  -0.304 0.779  -0.471 0.684  -0.621 0.561  -0.771 0.439  -0.902 0.297  -1.022 0.146  -1.145 -0.004  -1.271 -0.151  -1.331 -0.328  -1.344 -0.521  -1.235 -0.629  -1.055 -0.562  -0.866 -0.520  -0.698 -0.428  -0.537 -0.321  -0.376 -0.213  -0.215 -0.106  -0.083 0.034  0.045 0.180  0.153 0.340  0.268 0.496  0.387 0.649  0.496 0.808  0.599 0.972  0.682 0.991  0.706 0.799  0.699 0.607  0.667 0.417  0.630 0.227  0.583 0.039  0.536 -0.149  0.487 -0.336  0.433 -0.522  0.380 -0.708  0.356 -0.900  0.341 -1.093  0.332 -1.286  0.332 -1.480  0.362 -1.670  0.515 -1.762  0.681 -1.662
3#apb#apb15#app1572/y  -0.381 1.156  -0.427 1.049  -0.449 0.929  -0.496 0.817  -0.548 0.706  -0.577 0.587  -0.580 0.465  -0.580 0.343  -0.461 0.340  -0.339 0.326  -0.217 0.322  -0.094 0.322  0.009 0.386  0.112 0.453  0.221 0.508  0.335 0.552  0.445 0.605  0.549 0.669  0.653 0.734  0.752 0.806  0.850 0.879  0.952 0.938  0.909 0.886  0.850 0.779  0.792 0.672  0.729 0.566  0.665 0.462  0.601 0.357  0.534 0.255  0.464 0.155  0.394 0.054  0.324 -0.046  0.256 -0.148  0.191 -0.252  0.125 -0.355  0.060 -0.459  -0.006 -0.562  -0.074 -0.664  -0.148 -0.761  -0.222 -0.859  -0.296 -0.956  -0.370 -1.054  -0.445 -1.151  -0.520 -1.248  -0.595 -1.344  -0.670 -1.441  -0.744 -1.539  -0.817 -1.637  -0.865 -1.750  -0.852 -1.853
3#apb#apb15#app1572/3  0.009 0.949  -0.034 1.065  -0.161 1.083  -0.309 1.099  -0.191 1.163  -0.044 1.186  0.099 1.228  0.250 1.229  0.393 1.277  0.537 1.259  0.676 1.216  0.716 1.070  0.716 0.919  0.656 0.784  0.574 0.657  0.467 0.550  0.359 0.444  0.242 0.347  0.126 0.250  0.003 0.162  -0.120 0.073  -0.250 -0.003  -0.388 -0.066  -0.523 -0.135  -0.655 -0.165  -0.634 -0.106  -0.491 -0.056  -0.347 -0.010  -0.197 0.013  -0.047 0.028  0.104 0.028  0.247 -0.021  0.376 -0.099  0.471 -0.211  0.528 -0.350  0.535 -0.499  0.496 -0.645  0.421 -0.773  0.325 -0.890  0.216 -0.995  0.099 -1.091  -0.027 -1.174  -0.158 -1.249  -0.294 -1.315  -0.439 -1.359  -0.585 -1.401  -0.732 -1.437  -0.876 -1.419  -1.011 -1.356  -1.126 -1.258
3#apb#apb15#app1572/J  -0.140 0.803  -0.139 0.849  0.001 0.765  0.130 0.662  0.224 0.527  0.321 0.393  0.420 0.261  0.502 0.118  0.580 -0.027  0.640 -0.181  0.686 -0.338  0.715 -0.501  0.669 -0.659  0.616 -0.815  0.559 -0.969  0.465 -1.103  0.347 -1.215  0.202 -1.293  0.049 -1.354  -0.108 -1.384  -0.271 -1.357  -0.412 -1.278  -0.538 -1.173  -0.642 -1.045  -0.701 -0.899  -0.712 -0.735  -0.723 -0.570  -0.735 -0.406  -0.746 -0.241  -0.757 -0.076  -0.768 0.088  -0.779 0.253  -0.790 0.417  -0.801 0.582  -0.813 0.747  -0.824 0.911  -0.738 0.794  -0.595 0.713  -0.436 0.668  -0.272 0.668  -0.108 0.677  0.056 0.696  0.220 0.715  0.384 0.733  0.548 0.750  0.713 0.761  0.878 0.761  1.042 0.762  1.207 0.769  1.372 0.775
3#apb#apb15#app1572/u  -1.205 0.877  -1.173 0.906  -1.144 0.760  -1.131 0.612  -1.120 0.464  -1.108 0.316  -1.096 0.168  -1.083 0.020  -1.067 -0.127  -1.049 -0.275  -1.008 -0.418  -0.965 -0.560  -0.855 -0.640  -0.713 -0.681  -0.570 -0.670  -0.431 -0.618  -0.315 -0.529  -0.210 -0.424  -0.098 -0.327  0.019 -0.236  0.128 -0.138  0.199 -0.007  0.269 0.123  0.338 0.255  0.382 0.397  0.426 0.539  0.471 0.680  0.524 0.819  0.578 0.957  0.613 1.098  0.603 1.208  0.675 1.080  0.682 0.933  0.682 0.784  0.661 0.637  0.640 0.490  0.619 0.343  0.611 0.195  0.602 0.046  0.593 -0.102  0.588 -0.250  0.588 -0.399  0.588 -0.547  0.570 -0.695  0.549 -0.842  0.528 -0.989  0.553 -1.134  0.585 -1.279  0.669 -1.400  0.808 -1.419
3#apb#apb15#app1572/n  -0.650 1.206  -0.654 1.185  -0.743 1.068  -0.743 0.911  -0.743 0.755  -0.743 0.599  -0.743 0.442  -0.743 0.286  -0.743 0.129  -0.743 -0.027  -0.739 -0.183  -0.727 -0.339  -0.715 -0.495  -0.712 -0.652  -0.712 -0.808  -0.687 -0.954  -0.669 -0.939  -0.588 -0.805  -0.560 -0.651  -0.532 -0.497  -0.478 -0.351  -0.416 -0.207  -0.355 -0.064  -0.286 0.077  -0.217 0.217  -0.147 0.357  -0.072 0.494  0.018 0.622  0.108 0.750  0.206 0.872  0.312 0.986  0.434 1.081  0.525 0.954  0.627 0.835  0.692 0.699  0.715 0.545  0.739 0.390  0.753 0.234  0.765 0.078  0.783 -0.077  0.816 -0.230  0.848 -0.383  0.866 -0.537  0.866 -0.694  0.866 -0.850  0.889 -1.005  0.897 -1.160  0.922 -1.313  1.040 -1.316  1.176 -1.239
3#apb#apb15#app1572/e  -0.695 0.611  -0.673 0.500  -0.705 0.324  -0.717 0.147  -0.675 -0.026  -0.602 -0.189  -0.557 -0.361  -0.506 -0.528  -0.406 -0.676  -0.294 -0.816  -0.117 -0.815  0.058 -0.777  0.230 -0.728  0.375 -0.623  0.504 -0.504  0.584 -0.343  0.664 -0.183  0.744 -0.023  0.824 0.137  0.869 0.310  0.913 0.484  0.921 0.662  0.921 0.841  0.871 1.010  0.803 1.175  0.729 1.338  0.598 1.451  0.427 1.481  0.271 1.394  0.136 1.280  0.017 1.146  -0.091 1.006  -0.162 0.841  -0.232 0.676  -0.308 0.515  -0.388 0.354  -0.468 0.194  -0.499 0.019  -0.522 -0.159  -0.544 -0.336  -0.557 -0.515  -0.571 -0.693  -0.552 -0.871  -0.522 -1.048  -0.428 -1.196  -0.291 -1.286  -0.112 -1.286  0.067 -1.291  0.245 -1.304  0.424 -1.317
3#apb#apb15#app1572/1  0.125 1.410  0.137 1.480  0.170 1.537  0.197 1.517  0.197 1.446  0.197 1.375  0.197 1.304  0.197 1.233  0.189 1.163  0.180 1.093  0.170 1.022  0.161 0.952  0.152 0.882  0.143 0.811  0.135 0.741  0.127 0.670  0.119 0.600  0.110 0.529  0.102 0.459  0.094 0.388  0.083 0.318  0.068 0.249  0.053 0.180  0.038 0.111  0.023 0.041  0.008 -0.028  -0.008 -0.097  -0.023 -0.167  -0.038 -0.236  -0.052 -0.305  -0.067 -0.375  -0.081 -0.444  -0.096 -0.514  -0.110 -0.583  -0.125 -0.653  -0.133 -0.723  -0.140 -0.794  -0.147 -0.864  -0.154 -0.935  -0.162 -1.005  -0.173 -1.075  -0.186 -1.145  -0.199 -1.215  -0.212 -1.285  -0.223 -1.355  -0.233 -1.425  -0.246 -1.495  -0.240 -1.561  -0.197 -1.610  -0.128 -1.624
3#apb#apb15#app1572/5  -0.033 1.089  -0.143 0.961  -0.261 0.836  -0.357 0.691  -0.429 0.533  -0.499 0.373  -0.566 0.213  -0.608 0.046  -0.637 -0.126  -0.606 -0.271  -0.438 -0.314  -0.265 -0.334  -0.092 -0.321  0.082 -0.317  0.256 -0.317  0.421 -0.361  0.566 -0.454  0.631 -0.608  0.625 -0.782  0.612 -0.956  0.530 -1.110  0.433 -1.254  0.316 -1.380  0.169 -1.474  0.005 -1.528  -0.164 -1.514  -0.267 -1.383  -0.263 -1.209  -0.260 -1.035  -0.256 -0.861  -0.252 -0.687  -0.248 -0.513  -0.244 -0.338  -0.240 -0.164  -0.237 0.010  -0.233 0.184  -0.229 0.358  -0.225 0.532  -0.221 0.706  -0.218 0.881  -0.214 1.055  -0.210 1.229  -0.072 1.279  0.102 1.285  0.276 1.285  0.448 1.263  0.620 1.234  0.793 1.211  0.966 1.189  1.138 1.168
3#apb#apb15#app1572/A  0.017 1.060  -0.023 0.950  -0.092 0.704  -0.176 0.463  -0.271 0.226  -0.367 -0.011  -0.471 -0.244  -0.576 -0.477  -0.691 -0.705  -0.809 -0.932  -0.946 -1.147  -1.069 -1.133  -1.015 -0.884  -0.904 -0.654  -0.794 -0.423  -0.688 -0.191  -0.581 0.041  -0.460 0.266  -0.325 0.483  -0.189 0.699  -0.038 0.905  0.114 1.110  0.261 1.319  0.411 1.526  0.585 1.713  0.749 1.580  0.790 1.330  0.790 1.075  0.776 0.820  0.723 0.570  0.668 0.321  0.608 0.073  0.548 -0.176  0.486 -0.424  0.424 -0.671  0.372 -0.922  0.339 -1.174  0.314 -1.427  0.233 -1.472  0.139 -1.235  0.045 -0.997  -0.049 -0.760  -0.143 -0.522  -0.237 -0.284  -0.331 -0.047  -0.114 0.021  0.138 0.042  0.367 -0.064  0.617 -0.107  0.848 -0.213
3#apb#apb15#app1572/p  0.042 1.118  -0.000 0.965  0.026 0.808  0.032 0.651  0.011 0.493  -0.010 0.335  -0.033 0.177  -0.057 0.019  -0.080 -0.139  -0.109 -0.296  -0.137 -0.453  -0.166 -0.610  -0.198 -0.766  -0.231 -0.922  -0.264 -1.078  -0.294 -1.235  -0.321 -1.392  -0.358 -1.547  -0.424 -1.685  -0.487 -1.701  -0.513 -1.544  -0.530 -1.385  -0.513 -1.226  -0.496 -1.068  -0.464 -0.912  -0.412 -0.761  -0.361 -0.610  -0.309 -0.460  -0.257 -0.309  -0.206 -0.157  -0.154 -0.006  -0.103 0.145  -0.047 0.294  0.023 0.437  0.092 0.581  0.162 0.724  0.235 0.866  0.314 1.005  0.392 1.144  0.489 1.271  0.607 1.376  0.737 1.357  0.807 1.222  0.817 1.065  0.773 0.913  0.676 0.793  0.537 0.715  0.408 0.621  0.253 0.606  0.102 0.561
3#apb#apb15#app1572/r  -0.784 1.358  -0.742 1.336  -0.696 1.218  -0.644 1.104  -0.623 0.979  -0.602 0.854  -0.581 0.729  -0.550 0.606  -0.516 0.484  -0.482 0.362  -0.448 0.240  -0.414 0.117  -0.404 -0.008  -0.404 -0.135  -0.404 -0.261  -0.404 -0.388  -0.390 -0.513  -0.350 -0.633  -0.310 -0.753  -0.270 -0.873  -0.246 -0.998  -0.223 -1.122  -0.200 -1.247  -0.136 -1.355  -0.119 -1.441  -0.129 -1.373  -0.057 -1.270  -0.013 -1.155  0.008 -1.030  0.029 -0.905  0.058 -0.783  0.112 -0.668  0.165 -0.553  0.218 -0.437  0.271 -0.323  0.325 -0.208  0.379 -0.093  0.433 0.021  0.487 0.136  0.537 0.252  0.574 0.374  0.611 0.495  0.648 0.616  0.691 0.735  0.738 0.853  0.785 0.970  0.865 1.064  0.964 1.143  1.059 1.224  1.182 1.255
3#apb#apb15#app1572/i  0.024 -0.166  0.024 -0.175  0.004 -0.272  -0.022 -0.369  -0.051 -0.464  -0.080 -0.560  -0.110 -0.655  -0.139 -0.750  -0.169 -0.846  -0.199 -0.941  -0.228 -1.037  -0.265 -1.129  -0.313 -1.216  -0.343 -1.310  -0.332 -1.408  -0.309 -1.325  -0.286 -1.228  -0.263 -1.130  -0.240 -1.033  -0.217 -0.936  -0.194 -0.839  -0.172 -0.742  -0.149 -0.644  -0.126 -0.547  -0.103 -0.450  -0.080 -0.353  -0.057 -0.255  -0.034 -0.158  -0.011 -0.061  0.012 0.036  0.035 0.133  0.058 0.231  0.080 0.328  0.103 0.425  0.126 0.522  0.149 0.620  0.172 0.717  0.195 0.814  0.218 0.911  0.241 1.008  0.264 1.106  0.287 1.203  0.310 1.300  0.332 1.397  0.355 1.495  0.310 1.572  0.270 1.650  0.301 1.745  0.311 1.843  0.311 1.943
3#apb#apb15#app1572/l  0.516 1.616  0.492 1.550  0.469 1.485  0.447 1.419  0.439 1.349  0.431 1.280  0.423 1.211  0.415 1.142  0.407 1.073  0.384 1.007  0.361 0.941  0.338 0.875  0.315 0.810  0.292 0.744  0.269 0.678  0.246 0.612  0.224 0.547  0.200 0.481  0.173 0.417  0.146 0.353  0.119 0.289  0.091 0.225  0.064 0.161  0.037 0.096  0.010 0.032  -0.017 -0.032  -0.044 -0.096  -0.071 -0.160  -0.098 -0.224  -0.124 -0.289  -0.150 -0.354  -0.176 -0.418  -0.202 -0.483  -0.228 -0.548  -0.253 -0.612  -0.279 -0.677  -0.305 -0.742  -0.331 -0.806  -0.351 -0.873  -0.370 -0.940  -0.388 -1.007  -0.407 -1.074  -0.425 -1.141  -0.444 -1.209  -0.446 -1.278  -0.446 -1.348  -0.446 -1.417  -0.446 -1.487  -0.444 -1.556  -0.419 -1.621
3#apb#apb15#app1572/2  -0.124 0.676  -0.203 0.770  -0.267 0.841  -0.253 0.959  -0.185 1.056  -0.087 1.130  0.017 1.194  0.131 1.239  0.247 1.279  0.369 1.288  0.491 1.289  0.612 1.267  0.699 1.189  0.749 1.082  0.759 0.959  0.731 0.842  0.688 0.727  0.646 0.611  0.577 0.510  0.508 0.408  0.439 0.306  0.365 0.208  0.285 0.115  0.204 0.023  0.123 -0.070  0.040 -0.160  -0.053 -0.241  -0.145 -0.322  -0.238 -0.402  -0.331 -0.483  -0.428 -0.559  -0.524 -0.635  -0.621 -0.711  -0.722 -0.781  -0.824 -0.849  -0.914 -0.933  -0.976 -0.995  -0.856 -0.965  -0.736 -0.943  -0.613 -0.934  -0.491 -0.926  -0.368 -0.918  -0.245 -0.912  -0.122 -0.912  -0.001 -0.926  0.118 -0.956  0.224 -1.016  0.326 -1.084  0.435 -1.141  0.545 -1.196
