2#app#app34#app3491/!  -0.209 1.724  -0.209 1.647  -0.209 1.570  -0.209 1.492  -0.209 1.415  -0.156 1.360  -0.105 1.304  -0.105 1.227  -0.105 1.149  -0.105 1.072  -0.104 0.995  -0.049 0.941  -0.001 0.884  -0.001 0.806  -0.001 0.729  -0.001 0.652  -0.001 0.575  -0.001 0.497  -0.001 0.420  -0.001 0.343  -0.001 0.266  -0.001 0.189  -0.039 0.127  -0.093 0.072  -0.105 -0.000  -0.105 -0.077  -0.098 -0.147  -0.020 -0.147  0.008 -0.204  0.020 -0.281  0.031 -0.357  0.043 -0.433  0.055 -0.510  0.067 -0.586  0.078 -0.662  0.090 -0.739  0.102 -0.815  0.114 -0.891  0.125 -0.967  0.137 -1.044  0.149 -1.120  0.161 -1.196  0.172 -1.273  0.184 -1.349  0.196 -1.425  0.204 -1.499  0.127 -1.499  0.103 -1.445  0.076 -1.395  -0.001 -1.395
2#app#app34#app3491/@  0.257 0.116  0.093 0.182  -0.098 0.091  -0.214 -0.091  -0.337 -0.231  -0.403 -0.433  -0.403 -0.662  -0.280 -0.807  -0.050 -0.807  0.152 -0.741  0.279 -0.587  0.323 -0.376  0.323 -0.146  0.257 0.056  0.257 0.211  0.257 -0.018  0.257 -0.248  0.340 -0.446  0.443 -0.609  0.581 -0.736  0.809 -0.741  1.002 -0.655  1.114 -0.472  1.180 -0.308  1.180 -0.079  1.180 0.151  1.114 0.364  1.001 0.559  0.914 0.714  0.786 0.905  0.605 1.021  0.438 1.172  0.236 1.237  0.007 1.237  -0.217 1.225  -0.418 1.156  -0.600 1.040  -0.801 0.971  -0.963 0.809  -1.079 0.628  -1.194 0.446  -1.194 0.217  -1.194 -0.013  -1.128 -0.227  -1.062 -0.429  -0.981 -0.625  -0.866 -0.806  -0.733 -0.942  -0.632 -1.071  -0.535 -1.203
2#app#app34#app3491/#  -0.342 1.792  -0.371 1.383  -0.460 0.987  -0.460 0.571  -0.460 0.155  -0.460 -0.261  -0.460 -0.677  -0.577 -1.045  -0.505 -1.079  -0.353 -0.691  -0.202 -0.304  -0.050 0.084  0.102 0.471  0.253 0.859  0.405 1.247  0.598 1.348  0.598 0.932  0.598 0.516  0.598 0.100  0.598 -0.316  0.598 -0.733  0.598 -1.149  0.548 -1.454  0.237 -1.177  -0.074 -0.901  -0.385 -0.624  -0.696 -0.348  -1.007 -0.071  -1.318 0.205  -1.485 0.264  -1.068 0.264  -0.680 0.382  -0.274 0.444  0.133 0.502  0.522 0.617  0.889 0.735  1.303 0.737  1.270 0.747  0.929 0.508  0.588 0.269  0.247 0.031  -0.094 -0.208  -0.435 -0.447  -0.776 -0.685  -0.702 -0.793  -0.302 -0.753  0.075 -0.643  0.471 -0.558  0.887 -0.558  0.950 -0.676
2#app#app34#app3491/$  0.239 0.552  0.036 0.810  -0.219 0.957  -0.571 0.849  -0.673 0.548  -0.571 0.248  -0.191 0.159  0.187 0.097  0.459 -0.073  0.644 -0.339  0.745 -0.698  0.714 -1.069  0.413 -1.170  0.012 -1.170  -0.348 -1.069  -0.547 -0.866  -0.805 -0.663  -0.891 -0.450  -0.742 -0.077  -0.593 0.296  -0.444 0.669  -0.295 1.041  -0.145 1.414  0.004 1.787  -0.065 1.596  -0.065 1.194  -0.065 0.793  -0.065 0.391  -0.065 -0.010  -0.065 -0.412  -0.166 -0.771  -0.166 -1.173  -0.166 -1.574  -0.129 -1.380  -0.052 -0.986  0.024 -0.591  0.100 -0.197  0.177 0.197  0.253 0.591  0.329 0.985  0.406 1.380  0.441 1.351  0.441 0.949  0.340 0.590  0.340 0.188  0.340 -0.213  0.340 -0.615  0.340 -1.016  0.441 -1.376  0.340 -1.676
2#app#app34#app3491/%  -0.586 1.113  -0.663 0.935  -0.686 0.735  -0.787 0.626  -0.787 0.416  -0.688 0.305  -0.581 0.209  -0.485 0.379  -0.384 0.488  -0.384 0.698  -0.384 0.908  -0.387 1.116  -0.535 1.265  -0.448 1.294  -0.241 1.262  -0.034 1.230  0.174 1.198  0.381 1.166  0.589 1.134  0.727 1.043  0.626 0.874  0.523 0.707  0.424 0.538  0.297 0.381  0.222 0.202  0.143 0.025  0.009 -0.132  -0.058 -0.331  -0.106 -0.527  -0.254 -0.675  -0.331 -0.853  -0.384 -1.042  -0.515 -1.138  -0.489 -1.156  -0.305 -1.056  -0.121 -0.955  0.064 -0.854  0.248 -0.754  0.432 -0.653  0.421 -0.606  0.323 -0.775  0.222 -0.884  0.222 -1.093  0.323 -1.202  0.527 -1.209  0.727 -1.199  0.811 -1.024  0.828 -0.821  0.735 -0.704  0.626 -0.603
2#app#app34#app3491/^  0.089 1.127  0.080 0.875  -0.101 0.695  -0.154 0.461  -0.291 0.262  -0.397 0.051  -0.480 -0.171  -0.640 -0.360  -0.640 -0.616  -0.695 -0.816  -0.883 -0.884  -0.963 -1.059  -1.033 -1.059  -0.883 -0.954  -0.883 -0.698  -0.883 -0.443  -0.883 -0.187  -0.727 -0.088  -0.640 0.081  -0.640 0.337  -0.503 0.535  -0.397 0.747  -0.397 1.003  -0.266 1.127  -0.154 1.271  0.002 1.370  0.089 1.201  0.089 0.945  0.226 0.747  0.332 0.535  0.332 0.279  0.390 0.038  0.505 -0.191  0.575 -0.430  0.575 -0.686  0.663 -0.905  0.817 -1.096  0.817 -1.352  0.817 -1.483  0.817 -1.227  0.817 -0.972  0.817 -0.716  0.817 -0.461  0.729 -0.242  0.575 -0.050  0.575 0.205  0.575 0.461  0.575 0.717  0.512 0.946  0.332 1.127
2#app#app34#app3491/&  0.690 -0.940  0.581 -0.846  0.473 -0.752  0.350 -0.600  0.187 -0.504  0.146 -0.342  0.037 -0.249  -0.056 -0.084  -0.123 0.091  -0.181 0.270  -0.181 0.472  -0.245 0.649  -0.289 0.833  -0.289 1.036  -0.289 1.239  -0.222 1.414  -0.146 1.564  0.019 1.655  0.215 1.673  0.364 1.619  0.391 1.428  0.473 1.258  0.421 1.077  0.364 0.898  0.364 0.695  0.299 0.519  0.232 0.344  0.089 0.201  -0.055 0.057  -0.250 0.040  -0.344 -0.069  -0.438 -0.178  -0.602 -0.272  -0.725 -0.360  -0.834 -0.518  -0.942 -0.613  -0.943 -0.815  -0.834 -0.973  -0.707 -1.049  -0.505 -1.051  -0.347 -1.157  -0.144 -1.157  0.059 -1.157  0.255 -1.150  0.356 -1.049  0.502 -0.911  0.645 -0.767  0.690 -0.583  0.799 -0.489  0.690 -0.395
2#app#app34#app3491/*  0.246 2.148  0.246 1.717  0.202 1.303  0.046 0.937  0.046 0.505  0.046 0.074  0.046 -0.358  0.046 -0.789  0.046 -1.221  0.209 -0.896  0.388 -0.503  0.567 -0.111  0.745 0.282  0.924 0.675  0.914 0.947  0.647 0.665  0.426 0.325  0.121 0.020  -0.184 -0.285  -0.489 -0.590  -0.853 -0.753  -1.042 -1.056  -1.119 -1.145  -0.982 -0.736  -0.846 -0.326  -0.709 0.083  -0.573 0.492  -0.437 0.902  -0.233 1.025  -0.069 0.661  0.046 0.277  0.246 -0.072  0.294 -0.455  0.446 -0.734  0.647 -0.965  0.888 -1.297  0.889 -1.325  0.558 -1.049  0.226 -0.772  -0.105 -0.496  -0.437 -0.220  -0.768 0.056  -1.100 0.332  -1.258 0.546  -0.865 0.455  -0.478 0.346  -0.047 0.346  0.384 0.346  0.816 0.346  1.247 0.346
2#app#app34#app3491/(  0.767 1.368  0.690 1.368  0.659 1.321  0.643 1.260  0.565 1.260  0.488 1.260  0.420 1.237  0.366 1.183  0.311 1.128  0.256 1.073  0.202 1.019  0.147 0.964  0.092 0.909  0.038 0.855  0.012 0.788  0.005 0.714  -0.050 0.659  -0.096 0.601  -0.096 0.523  -0.115 0.449  -0.139 0.376  -0.164 0.302  -0.188 0.229  -0.204 0.154  -0.204 0.077  -0.237 0.008  -0.272 -0.062  -0.306 -0.131  -0.312 -0.207  -0.312 -0.284  -0.312 -0.361  -0.312 -0.439  -0.312 -0.516  -0.312 -0.593  -0.312 -0.671  -0.282 -0.741  -0.248 -0.810  -0.213 -0.879  -0.204 -0.954  -0.185 -1.024  -0.131 -1.079  -0.096 -1.142  -0.096 -1.219  -0.096 -1.296  -0.051 -1.329  0.012 -1.343  0.012 -1.420  0.012 -1.498  0.042 -1.544  0.120 -1.544
2#app#app34#app3491/)  -0.781 1.362  -0.702 1.362  -0.623 1.362  -0.570 1.336  -0.570 1.257  -0.491 1.257  -0.427 1.220  -0.371 1.164  -0.315 1.107  -0.259 1.051  -0.203 0.995  -0.147 0.939  -0.091 0.883  -0.042 0.825  -0.042 0.746  0.002 0.684  0.058 0.628  0.064 0.552  0.064 0.472  0.082 0.411  0.161 0.411  0.170 0.341  0.170 0.261  0.170 0.182  0.170 0.103  0.219 0.044  0.275 -0.012  0.275 -0.091  0.275 -0.170  0.275 -0.249  0.275 -0.329  0.275 -0.408  0.275 -0.487  0.275 -0.566  0.275 -0.645  0.275 -0.725  0.275 -0.804  0.275 -0.883  0.275 -0.962  0.275 -1.041  0.275 -1.121  0.257 -1.192  0.201 -1.248  0.145 -1.304  0.089 -1.360  0.033 -1.416  -0.023 -1.472  -0.095 -1.491  -0.174 -1.491  -0.253 -1.491
2#app#app34#app3491/`  -0.731 1.514  -0.731 1.422  -0.731 1.330  -0.731 1.239  -0.731 1.147  -0.731 1.056  -0.731 0.964  -0.731 0.872  -0.640 0.872  -0.548 0.872  -0.456 0.872  -0.365 0.872  -0.273 0.872  -0.181 0.872  -0.090 0.872  -0.090 0.781  -0.090 0.689  -0.090 0.597  -0.090 0.506  -0.090 0.414  -0.090 0.323  -0.090 0.231  -0.090 0.139  -0.090 0.048  -0.090 -0.044  -0.090 -0.136  -0.090 -0.227  -0.090 -0.319  -0.090 -0.410  0.002 -0.410  0.093 -0.410  0.185 -0.410  0.277 -0.410  0.368 -0.410  0.460 -0.410  0.552 -0.410  0.552 -0.502  0.552 -0.594  0.552 -0.685  0.552 -0.777  0.552 -0.869  0.552 -0.960  0.552 -1.052  0.552 -1.144  0.552 -1.235  0.552 -1.327  0.552 -1.418  0.552 -1.510  0.552 -1.602  0.552 -1.693
