3#apb#apb16#app1616/.  1.011 -1.444  0.921 -1.310  0.832 -1.175  0.742 -1.041  0.652 -0.907  0.563 -0.772  0.473 -0.638  0.382 -0.504  0.268 -0.390  0.153 -0.276  0.024 -0.199  -0.138 -0.199  -0.198 -0.145  -0.108 -0.010  -0.019 0.124  0.071 0.258  0.160 0.393  0.250 0.527  0.340 0.662  0.365 0.805  0.314 0.958  0.263 1.112  0.211 1.265  0.160 1.418  0.109 1.571  0.077 1.609  0.077 1.447  0.077 1.286  0.077 1.124  0.077 0.963  0.077 0.801  -0.018 0.735  -0.180 0.735  -0.282 0.639  -0.354 0.494  -0.427 0.350  -0.499 0.205  -0.546 0.055  -0.546 -0.107  -0.546 -0.269  -0.546 -0.430  -0.546 -0.592  -0.546 -0.753  -0.546 -0.915  -0.546 -1.077  -0.546 -1.238  -0.546 -1.400  -0.463 -1.362  -0.349 -1.247  -0.234 -1.133
3#apb#apb16#app1616/,  0.597 1.155  0.597 1.228  0.597 1.301  0.597 1.367  0.597 1.295  0.597 1.222  0.543 1.182  0.493 1.143  0.516 1.074  0.540 1.005  0.526 0.935  0.505 0.865  0.484 0.795  0.463 0.725  0.442 0.656  0.421 0.586  0.400 0.516  0.376 0.448  0.331 0.391  0.285 0.334  0.239 0.277  0.194 0.220  0.148 0.163  0.103 0.106  0.057 0.049  0.012 -0.008  -0.034 -0.065  -0.071 -0.127  -0.104 -0.192  -0.136 -0.258  -0.169 -0.323  -0.201 -0.388  -0.234 -0.453  -0.267 -0.518  -0.299 -0.584  -0.332 -0.649  -0.364 -0.714  -0.397 -0.779  -0.431 -0.844  -0.474 -0.902  -0.518 -0.961  -0.562 -1.019  -0.606 -1.077  -0.649 -1.136  -0.693 -1.194  -0.737 -1.252  -0.781 -1.311  -0.824 -1.369  -0.868 -1.427  -0.912 -1.486
3#apb#apb16#app1616/;  0.143 1.193  0.163 1.271  0.181 1.338  0.227 1.334  0.208 1.413  0.230 1.377  0.170 1.342  0.089 1.342  0.039 1.300  0.006 1.226  -0.036 1.158  -0.031 1.078  -0.027 0.997  -0.022 0.916  -0.017 0.836  -0.013 0.755  -0.008 0.674  -0.004 0.593  0.001 0.513  0.006 0.432  0.010 0.351  0.015 0.271  0.019 0.190  0.024 0.109  0.029 0.028  0.033 -0.052  0.038 -0.133  0.043 -0.214  0.047 -0.294  0.052 -0.375  0.056 -0.456  0.061 -0.537  0.066 -0.617  0.070 -0.698  0.075 -0.779  0.079 -0.859  0.083 -0.919  0.083 -0.842  0.057 -0.918  0.040 -0.997  0.024 -1.077  -0.035 -1.131  -0.095 -1.185  -0.156 -1.239  -0.216 -1.292  -0.269 -1.352  -0.316 -1.419  -0.362 -1.485  -0.408 -1.551  -0.455 -1.617
3#apb#apb16#app1616/:  0.072 1.349  0.072 1.424  0.072 1.447  0.056 1.465  -0.010 1.431  -0.010 1.357  -0.025 1.286  -0.066 1.224  -0.120 1.185  -0.173 1.165  -0.163 1.091  -0.154 1.017  -0.144 0.943  -0.135 0.869  -0.126 0.795  -0.116 0.721  -0.107 0.647  -0.097 0.573  -0.088 0.499  -0.079 0.424  -0.069 0.350  -0.060 0.276  -0.050 0.202  -0.041 0.128  -0.032 0.054  -0.022 -0.020  -0.013 -0.094  -0.003 -0.168  0.006 -0.242  0.015 -0.316  0.025 -0.391  0.034 -0.465  0.044 -0.539  0.053 -0.613  0.063 -0.687  0.072 -0.761  0.081 -0.835  0.091 -0.909  0.100 -0.983  0.110 -1.057  0.119 -1.131  0.128 -1.206  0.138 -1.280  0.147 -1.354  0.139 -1.404  0.073 -1.370  0.072 -1.444  0.072 -1.519  0.020 -1.561  0.031 -1.576
3#apb#apb16#app1616/$  0.605 0.350  0.645 0.501  0.640 0.705  0.419 0.679  0.192 0.626  -0.031 0.557  -0.240 0.452  -0.453 0.374  -0.366 0.174  -0.195 0.014  -0.016 -0.131  0.132 -0.309  0.220 -0.526  0.175 -0.747  0.067 -0.956  -0.069 -1.148  -0.265 -1.278  -0.477 -1.378  -0.670 -1.512  -0.886 -1.585  -0.875 -1.462  -0.757 -1.259  -0.639 -1.055  -0.521 -0.852  -0.403 -0.648  -0.285 -0.445  -0.167 -0.241  -0.049 -0.038  0.069 0.165  0.187 0.369  0.305 0.572  0.423 0.776  0.541 0.979  0.659 1.183  0.777 1.386  0.895 1.589  0.779 1.608  0.613 1.444  0.469 1.259  0.364 1.049  0.264 0.836  0.163 0.624  0.064 0.410  -0.031 0.195  -0.126 -0.020  -0.225 -0.233  -0.327 -0.445  -0.428 -0.658  -0.530 -0.870  -0.631 -1.082
3#apb#apb16#app1616/#  -0.386 1.395  -0.245 1.100  -0.298 0.704  -0.413 0.323  -0.550 -0.053  -0.706 -0.422  -0.820 -0.804  -0.800 -0.859  -0.537 -0.556  -0.275 -0.252  -0.012 0.051  0.250 0.355  0.512 0.658  0.775 0.962  0.996 1.281  0.909 1.062  0.710 0.715  0.587 0.337  0.384 -0.002  0.247 -0.375  0.116 -0.755  -0.033 -1.123  -0.181 -1.204  -0.374 -0.852  -0.567 -0.500  -0.760 -0.148  -0.953 0.203  -1.171 0.512  -1.460 0.329  -1.076 0.234  -0.681 0.258  -0.294 0.365  0.107 0.365  0.507 0.386  0.906 0.424  1.308 0.424  1.709 0.424  1.885 0.175  1.495 0.079  1.106 -0.018  0.716 -0.114  0.327 -0.211  -0.063 -0.307  -0.452 -0.403  -0.842 -0.500  -1.059 -0.652  -0.737 -0.753  -0.336 -0.753  0.066 -0.753  0.467 -0.753
3#apb#apb16#app1616/&  0.559 -0.545  0.447 -0.483  0.286 -0.527  0.172 -0.445  0.025 -0.359  -0.080 -0.224  -0.133 -0.064  -0.164 0.104  -0.206 0.272  -0.255 0.438  -0.299 0.606  -0.327 0.771  -0.290 0.940  -0.211 1.094  -0.086 1.212  0.069 1.286  0.204 1.390  0.364 1.455  0.537 1.455  0.675 1.391  0.690 1.221  0.649 1.067  0.544 0.935  0.420 0.813  0.285 0.704  0.152 0.595  0.036 0.467  -0.095 0.353  -0.235 0.251  -0.369 0.142  -0.506 0.035  -0.611 -0.101  -0.725 -0.228  -0.801 -0.384  -0.848 -0.550  -0.881 -0.721  -0.854 -0.888  -0.793 -1.051  -0.659 -1.154  -0.515 -1.250  -0.343 -1.256  -0.171 -1.234  -0.000 -1.206  0.158 -1.139  0.313 -1.061  0.469 -0.986  0.627 -0.914  0.784 -0.842  0.927 -0.744  1.064 -0.639
3#apb#apb16#app1616/!  0.473 1.321  0.473 1.393  0.473 1.417  0.443 1.441  0.473 1.399  0.446 1.337  0.424 1.268  0.410 1.197  0.396 1.126  0.381 1.055  0.361 0.986  0.338 0.917  0.316 0.848  0.289 0.781  0.259 0.715  0.228 0.650  0.198 0.584  0.168 0.518  0.146 0.449  0.127 0.379  0.108 0.309  0.090 0.239  0.071 0.169  0.043 0.104  0.006 0.041  -0.030 -0.022  -0.067 -0.084  -0.103 -0.147  -0.125 -0.215  -0.146 -0.285  -0.167 -0.354  -0.193 -0.421  -0.225 -0.486  -0.238 -0.557  -0.250 -0.629  -0.251 -0.701  -0.271 -0.770  -0.292 -0.840  -0.314 -0.909  -0.335 -0.978  -0.357 -1.047  -0.378 -1.116  -0.400 -1.185  -0.421 -1.254  -0.443 -1.324  -0.464 -1.393  -0.478 -1.437  -0.417 -1.456  -0.379 -1.482  -0.396 -1.552
3#apb#apb16#app1616/?  -0.587 0.402  -0.563 0.503  -0.613 0.540  -0.571 0.620  -0.545 0.723  -0.468 0.775  -0.364 0.801  -0.266 0.843  -0.170 0.891  -0.072 0.934  0.027 0.973  0.126 1.012  0.232 0.997  0.338 0.991  0.444 1.005  0.550 1.020  0.656 1.037  0.709 1.005  0.709 0.898  0.706 0.792  0.685 0.687  0.664 0.582  0.595 0.507  0.509 0.443  0.433 0.370  0.374 0.281  0.315 0.192  0.255 0.103  0.196 0.014  0.131 -0.069  0.044 -0.131  -0.043 -0.195  -0.125 -0.263  -0.196 -0.340  -0.244 -0.436  -0.289 -0.533  -0.302 -0.636  -0.289 -0.742  -0.276 -0.849  -0.263 -0.955  -0.250 -1.061  -0.237 -1.167  -0.224 -1.273  -0.211 -1.379  -0.199 -1.486  -0.186 -1.592  -0.181 -1.648  -0.232 -1.683  -0.324 -1.720  -0.410 -1.784
3#apb#apb16#app1616/  0.372 0.789  0.423 0.849  0.475 0.909  0.525 0.970  0.572 1.033  0.602 1.107  0.599 1.125  0.664 1.138  0.638 1.116  0.660 1.144  0.612 1.083  0.585 1.009  0.556 0.935  0.527 0.862  0.494 0.790  0.454 0.721  0.414 0.653  0.374 0.585  0.335 0.516  0.298 0.446  0.261 0.376  0.224 0.306  0.187 0.236  0.150 0.166  0.116 0.095  0.082 0.023  0.048 -0.048  0.014 -0.120  -0.020 -0.191  -0.054 -0.263  -0.093 -0.331  -0.144 -0.392  -0.194 -0.453  -0.244 -0.514  -0.294 -0.575  -0.345 -0.636  -0.395 -0.697  -0.442 -0.761  -0.488 -0.825  -0.535 -0.889  -0.582 -0.953  -0.629 -1.017  -0.675 -1.081  -0.720 -1.146  -0.765 -1.211  -0.817 -1.269  -0.883 -1.313  -0.942 -1.364  -0.981 -1.432  -1.020 -1.501
3#apb#apb16#app1616/'  0.592 0.250  0.592 0.338  0.592 0.426  0.592 0.514  0.592 0.602  0.592 0.690  0.592 0.778  0.592 0.866  0.592 0.954  0.592 1.042  0.592 1.130  0.592 1.218  0.542 1.184  0.480 1.122  0.417 1.060  0.355 0.998  0.293 0.935  0.231 0.873  0.168 0.811  0.133 0.732  0.105 0.649  0.077 0.565  0.050 0.482  0.022 0.398  -0.006 0.315  -0.034 0.231  -0.062 0.148  -0.090 0.064  -0.117 -0.019  -0.145 -0.102  -0.173 -0.186  -0.201 -0.269  -0.229 -0.353  -0.257 -0.436  -0.284 -0.520  -0.312 -0.603  -0.340 -0.687  -0.368 -0.770  -0.397 -0.853  -0.436 -0.932  -0.476 -1.011  -0.515 -1.089  -0.554 -1.168  -0.594 -1.247  -0.633 -1.325  -0.672 -1.404  -0.712 -1.483  -0.751 -1.561  -0.791 -1.640  -0.830 -1.719
