3#apb#apb12#app1227/R  -0.562 0.737  -0.572 0.585  -0.532 0.383  -0.496 0.180  -0.455 -0.021  -0.413 -0.223  -0.372 -0.424  -0.331 -0.626  -0.290 -0.827  -0.249 -1.029  -0.208 -1.230  -0.167 -1.432  -0.094 -1.358  -0.144 -1.159  -0.194 -0.959  -0.244 -0.760  -0.294 -0.560  -0.344 -0.360  -0.394 -0.161  -0.444 0.039  -0.494 0.238  -0.543 0.438  -0.617 0.628  -0.636 0.809  -0.540 0.991  -0.444 1.173  -0.348 1.355  -0.252 1.537  -0.078 1.589  0.115 1.529  0.294 1.428  0.410 1.272  0.476 1.077  0.513 0.876  0.501 0.670  0.445 0.474  0.386 0.277  0.341 0.077  0.252 -0.109  0.160 -0.292  0.123 -0.216  0.269 -0.099  0.436 -0.204  0.562 -0.366  0.676 -0.538  0.765 -0.722  0.848 -0.910  0.946 -1.091  1.044 -1.270  1.189 -1.416
3#apb#apb12#app1227/o  -0.381 -0.423  -0.532 -0.423  -0.678 -0.408  -0.800 -0.323  -0.883 -0.198  -0.943 -0.060  -0.887 0.073  -0.816 0.206  -0.745 0.339  -0.674 0.472  -0.603 0.604  -0.532 0.737  -0.461 0.870  -0.390 1.003  -0.311 1.123  -0.161 1.139  -0.011 1.142  0.139 1.128  0.280 1.085  0.411 1.012  0.533 0.925  0.650 0.830  0.764 0.732  0.850 0.609  0.936 0.485  0.998 0.348  1.056 0.209  1.082 0.064  1.082 -0.086  1.075 -0.237  1.064 -0.387  1.040 -0.534  0.973 -0.668  0.893 -0.791  0.762 -0.865  0.623 -0.923  0.482 -0.974  0.335 -0.983  0.185 -0.970  0.043 -0.926  -0.096 -0.867  -0.234 -0.807  -0.352 -0.714  -0.467 -0.618  -0.584 -0.523  -0.709 -0.439  -0.834 -0.356  -0.965 -0.280  -1.091 -0.201  -1.112 -0.152
3#apb#apb12#app1227/s  -0.212 1.130  -0.315 1.169  -0.419 1.208  -0.530 1.209  -0.635 1.183  -0.737 1.139  -0.821 1.068  -0.899 0.990  -0.974 0.909  -1.047 0.825  -1.068 0.750  -0.970 0.699  -0.871 0.647  -0.773 0.596  -0.675 0.545  -0.577 0.493  -0.479 0.442  -0.380 0.390  -0.282 0.339  -0.184 0.288  -0.086 0.236  0.012 0.185  0.110 0.133  0.209 0.082  0.307 0.030  0.405 -0.021  0.503 -0.072  0.600 -0.127  0.695 -0.184  0.790 -0.241  0.875 -0.312  0.958 -0.385  1.028 -0.468  1.071 -0.570  1.063 -0.670  0.999 -0.759  0.915 -0.831  0.827 -0.897  0.735 -0.955  0.624 -0.963  0.514 -0.972  0.403 -0.978  0.293 -0.968  0.182 -0.958  0.074 -0.939  -0.033 -0.910  -0.140 -0.880  -0.250 -0.875  -0.361 -0.875  -0.472 -0.875
3#apb#apb12#app1227/e  -0.834 0.353  -0.811 0.194  -0.775 0.037  -0.735 -0.119  -0.688 -0.272  -0.652 -0.429  -0.630 -0.588  -0.588 -0.742  -0.531 -0.890  -0.370 -0.898  -0.210 -0.907  -0.049 -0.915  0.111 -0.924  0.272 -0.932  0.432 -0.940  0.593 -0.949  0.750 -0.935  0.904 -0.888  1.044 -0.808  1.187 -0.736  1.104 -0.686  0.949 -0.645  0.794 -0.603  0.638 -0.561  0.483 -0.519  0.328 -0.477  0.173 -0.435  0.018 -0.393  -0.130 -0.344  -0.096 -0.216  0.017 -0.102  0.171 -0.057  0.214 0.021  0.112 0.146  0.010 0.270  -0.092 0.395  -0.194 0.519  -0.295 0.643  -0.397 0.768  -0.499 0.892  -0.601 1.016  -0.702 1.141  -0.569 1.218  -0.427 1.294  -0.278 1.354  -0.127 1.408  0.020 1.472  0.166 1.539  0.319 1.590  0.472 1.638
3#apb#apb12#app1227/n  -1.242 0.307  -1.319 0.322  -1.324 0.234  -1.310 0.139  -1.300 0.044  -1.292 -0.052  -1.284 -0.147  -1.276 -0.243  -1.219 -0.244  -1.136 -0.196  -1.053 -0.148  -0.970 -0.100  -0.888 -0.052  -0.805 -0.003  -0.722 0.045  -0.639 0.093  -0.556 0.141  -0.474 0.189  -0.391 0.237  -0.308 0.286  -0.225 0.334  -0.142 0.382  -0.060 0.430  0.023 0.478  0.106 0.527  0.189 0.575  0.272 0.623  0.354 0.671  0.426 0.682  0.469 0.596  0.512 0.510  0.554 0.425  0.597 0.339  0.635 0.251  0.673 0.163  0.711 0.075  0.748 -0.013  0.787 -0.101  0.833 -0.185  0.879 -0.269  0.925 -0.353  0.969 -0.438  1.005 -0.527  1.041 -0.616  1.076 -0.705  1.116 -0.791  1.159 -0.877  1.218 -0.951  1.291 -1.012  1.365 -1.073
3#apb#apb12#app1227/b  -0.997 1.365  -1.029 1.503  -0.947 1.357  -0.882 1.201  -0.825 1.042  -0.774 0.881  -0.722 0.720  -0.671 0.559  -0.619 0.398  -0.568 0.237  -0.516 0.077  -0.465 -0.084  -0.413 -0.245  -0.361 -0.406  -0.310 -0.567  -0.271 -0.723  -0.375 -0.601  -0.431 -0.442  -0.457 -0.275  -0.462 -0.106  -0.434 0.057  -0.367 0.212  -0.289 0.362  -0.199 0.503  -0.080 0.623  0.062 0.712  0.214 0.779  0.383 0.792  0.533 0.724  0.675 0.633  0.810 0.532  0.906 0.396  0.989 0.249  1.070 0.101  1.126 -0.058  1.163 -0.221  1.159 -0.390  1.131 -0.557  1.047 -0.701  0.938 -0.827  0.799 -0.923  0.651 -1.003  0.498 -1.074  0.334 -1.115  0.168 -1.134  0.002 -1.123  -0.140 -1.032  -0.277 -0.933  -0.387 -0.807  -0.390 -0.670
3#apb#apb12#app1227/e  -0.848 0.053  -0.773 -0.060  -0.616 -0.061  -0.451 -0.046  -0.286 -0.030  -0.121 -0.014  0.044 0.001  0.209 0.017  0.374 0.033  0.539 0.049  0.663 0.145  0.738 0.288  0.779 0.448  0.792 0.614  0.773 0.776  0.713 0.926  0.589 1.036  0.443 1.106  0.282 1.141  0.117 1.128  -0.041 1.089  -0.192 1.019  -0.341 0.948  -0.490 0.873  -0.616 0.771  -0.729 0.649  -0.833 0.521  -0.920 0.380  -0.992 0.232  -1.038 0.073  -1.062 -0.090  -1.059 -0.255  -0.997 -0.409  -0.908 -0.546  -0.803 -0.675  -0.653 -0.744  -0.501 -0.809  -0.340 -0.849  -0.179 -0.889  -0.014 -0.910  0.150 -0.930  0.316 -0.930  0.481 -0.929  0.638 -0.874  0.794 -0.819  0.954 -0.777  1.116 -0.741  1.276 -0.699  1.432 -0.644  1.589 -0.588
3#apb#apb12#app1227/r  -0.871 0.361  -0.840 0.205  -0.818 0.048  -0.776 -0.104  -0.723 -0.254  -0.676 -0.405  -0.645 -0.561  -0.614 -0.717  -0.631 -0.684  -0.677 -0.532  -0.729 -0.382  -0.781 -0.232  -0.830 -0.082  -0.840 0.076  -0.849 0.235  -0.841 0.393  -0.827 0.551  -0.752 0.691  -0.674 0.828  -0.569 0.948  -0.455 1.058  -0.337 1.164  -0.180 1.179  -0.025 1.172  0.123 1.113  0.251 1.021  0.348 0.903  0.398 0.753  0.411 0.596  0.411 0.437  0.391 0.280  0.367 0.123  0.316 -0.027  0.266 -0.178  0.181 -0.312  0.096 -0.446  0.008 -0.575  0.011 -0.593  0.166 -0.580  0.323 -0.604  0.481 -0.619  0.640 -0.631  0.795 -0.661  0.950 -0.694  1.109 -0.706  1.267 -0.715  1.426 -0.715  1.584 -0.715  1.743 -0.715  1.900 -0.694
3#apb#apb12#app1227/g  0.258 0.509  0.344 0.630  0.376 0.769  0.341 0.908  0.245 1.020  0.123 1.064  -0.017 1.013  -0.156 0.962  -0.296 0.911  -0.436 0.860  -0.576 0.809  -0.716 0.758  -0.856 0.707  -0.996 0.656  -1.135 0.605  -1.261 0.545  -1.248 0.397  -1.189 0.264  -1.099 0.147  -0.989 0.047  -0.856 -0.015  -0.715 -0.062  -0.568 -0.083  -0.421 -0.096  -0.275 -0.065  -0.138 -0.013  -0.015 0.069  0.083 0.181  0.146 0.316  0.229 0.384  0.342 0.289  0.448 0.184  0.545 0.072  0.642 -0.041  0.732 -0.160  0.820 -0.280  0.899 -0.406  0.973 -0.535  1.027 -0.674  1.059 -0.818  1.029 -0.950  0.924 -1.055  0.788 -1.115  0.651 -1.172  0.506 -1.206  0.361 -1.237  0.213 -1.259  0.066 -1.276  -0.083 -1.282  -0.130 -1.282
3#apb#apb12#app1227/F  -0.631 0.341  -0.707 0.235  -0.635 0.021  -0.578 -0.198  -0.537 -0.420  -0.501 -0.643  -0.464 -0.866  -0.428 -1.089  -0.392 -1.312  -0.355 -1.535  -0.325 -1.684  -0.348 -1.459  -0.378 -1.235  -0.413 -1.012  -0.466 -0.792  -0.524 -0.574  -0.593 -0.359  -0.652 -0.141  -0.700 0.080  -0.759 0.298  -0.837 0.510  -0.962 0.679  -0.738 0.663  -0.518 0.615  -0.292 0.615  -0.067 0.630  0.157 0.659  0.381 0.689  0.604 0.727  0.822 0.784  1.033 0.865  1.227 0.979  1.366 1.140  1.272 1.229  1.111 1.071  0.948 0.914  0.786 0.757  0.623 0.600  0.461 0.443  0.298 0.286  0.136 0.129  -0.027 -0.028  -0.190 -0.185  -0.233 -0.386  -0.051 -0.441  0.171 -0.401  0.393 -0.360  0.616 -0.320  0.838 -0.279  1.060 -0.239
3#apb#apb12#app1227/r  -0.646 0.026  -0.576 -0.121  -0.562 -0.282  -0.542 -0.443  -0.497 -0.601  -0.443 -0.755  -0.382 -0.907  -0.351 -0.996  -0.444 -0.861  -0.538 -0.727  -0.631 -0.592  -0.722 -0.456  -0.804 -0.314  -0.882 -0.170  -0.929 -0.013  -0.941 0.149  -0.940 0.313  -0.928 0.476  -0.903 0.636  -0.842 0.788  -0.740 0.916  -0.617 1.023  -0.481 1.111  -0.326 1.163  -0.166 1.199  -0.006 1.219  0.141 1.146  0.283 1.066  0.417 0.972  0.500 0.835  0.552 0.682  0.552 0.518  0.528 0.357  0.494 0.197  0.431 0.046  0.356 -0.099  0.265 -0.236  0.148 -0.348  0.103 -0.331  0.267 -0.331  0.429 -0.353  0.588 -0.390  0.737 -0.457  0.876 -0.543  1.011 -0.636  1.162 -0.691  1.312 -0.751  1.451 -0.837  1.570 -0.864  1.666 -0.731
