1d#tos#t1#t1053065/#  -1.135 0.258  -1.140 0.071  -0.717 0.127  -0.411 0.258  -0.029 0.413  0.334 0.604  0.739 0.696  1.012 0.795  0.652 0.555  0.293 0.316  -0.066 0.076  -0.426 -0.163  -0.785 -0.403  -1.144 -0.642  -1.089 -0.865  -0.692 -0.789  -0.344 -0.594  0.060 -0.455  0.459 -0.318  0.847 -0.179  1.154 -0.054  0.933 0.104  0.572 0.340  0.211 0.577  -0.150 0.814  -0.511 1.050  -0.698 0.875  -0.636 0.469  -0.574 0.051  -0.567 -0.379  -0.511 -0.797  -0.511 -1.229  -0.511 -1.661  -0.403 -1.402  -0.271 -0.990  -0.138 -0.579  -0.006 -0.168  0.126 0.243  0.258 0.654  0.390 1.065  0.522 1.476  0.568 1.625  0.487 1.258  0.550 0.852  0.550 0.420  0.550 -0.011  0.550 -0.443  0.550 -0.875  0.550 -1.307  0.550 -1.739
1d#tos#t1#t1053065/$  -0.061 1.913  -0.061 1.638  -0.077 1.378  -0.110 1.136  -0.110 0.861  -0.110 0.586  -0.110 0.310  -0.110 0.035  -0.110 -0.240  -0.110 -0.515  -0.110 -0.790  -0.110 -1.065  -0.110 -1.341  -0.065 -1.370  0.031 -1.113  0.128 -0.855  0.224 -0.597  0.321 -0.340  0.418 -0.082  0.514 0.176  0.611 0.433  0.708 0.691  0.706 0.903  0.564 1.087  0.309 1.135  0.131 1.233  -0.144 1.233  -0.353 1.166  -0.547 1.085  -0.645 0.850  -0.742 0.672  -0.742 0.397  -0.700 0.163  -0.530 0.048  -0.293 -0.018  -0.097 -0.128  0.178 -0.128  0.425 -0.194  0.619 -0.303  0.716 -0.481  0.813 -0.659  0.739 -0.870  0.570 -1.003  0.343 -1.052  0.117 -1.100  -0.159 -1.100  -0.434 -1.100  -0.660 -1.052  -0.839 -0.918  -0.936 -0.711
1d#tos#t1#t1053065/%  0.799 1.582  0.689 1.335  0.510 1.142  0.433 0.913  0.342 0.695  0.205 0.550  0.114 0.305  0.068 0.034  -0.115 -0.156  -0.252 -0.382  -0.361 -0.628  -0.442 -0.865  -0.480 -1.124  -0.592 -1.295  -0.596 -1.038  -0.573 -0.757  -0.550 -0.475  -0.528 -0.194  -0.505 0.087  -0.482 0.369  -0.655 0.281  -0.920 0.258  -1.202 0.258  -1.211 0.532  -1.156 0.760  -0.965 0.851  -0.701 0.897  -0.617 0.699  -0.673 0.465  -0.845 0.328  -1.057 0.258  -0.823 0.166  -0.558 0.068  -0.293 -0.029  -0.028 -0.126  0.237 -0.224  0.502 -0.321  0.767 -0.418  1.032 -0.516  1.073 -0.650  0.842 -0.701  0.662 -0.564  0.700 -0.298  0.797 -0.108  0.988 -0.016  1.270 -0.016  1.392 -0.211  1.438 -0.448  1.294 -0.617  1.027 -0.656
1d#tos#t1#t1053065/&  0.988 -1.010  0.817 -1.089  0.731 -0.936  0.591 -0.839  0.475 -0.717  0.374 -0.574  0.222 -0.456  0.133 -0.305  0.003 -0.196  -0.124 -0.061  -0.224 0.102  -0.322 0.258  -0.380 0.421  -0.397 0.623  -0.488 0.789  -0.508 0.997  -0.508 1.210  -0.508 1.423  -0.344 1.499  -0.183 1.555  0.030 1.555  0.218 1.506  0.261 1.311  0.304 1.140  0.229 0.978  0.133 0.853  0.047 0.726  -0.065 0.605  -0.166 0.456  -0.295 0.339  -0.399 0.230  -0.508 0.102  -0.637 -0.040  -0.722 -0.168  -0.761 -0.364  -0.765 -0.576  -0.765 -0.789  -0.688 -0.924  -0.560 -1.010  -0.383 -1.095  -0.170 -1.095  0.043 -1.095  0.213 -1.052  0.408 -1.010  0.530 -0.912  0.670 -0.796  0.748 -0.651  0.854 -0.497  0.902 -0.307  0.945 -0.112
1d#tos#t1#t1053065/(  0.176 1.658  0.168 1.576  0.122 1.506  0.075 1.436  0.035 1.364  0.035 1.280  -0.004 1.236  -0.088 1.236  -0.106 1.169  -0.106 1.085  -0.106 1.001  -0.143 0.954  -0.176 0.903  -0.176 0.819  -0.247 0.806  -0.247 0.722  -0.247 0.638  -0.247 0.554  -0.247 0.470  -0.247 0.386  -0.247 0.302  -0.247 0.218  -0.247 0.134  -0.247 0.050  -0.247 -0.034  -0.247 -0.118  -0.247 -0.202  -0.247 -0.286  -0.206 -0.354  -0.176 -0.425  -0.176 -0.509  -0.176 -0.593  -0.117 -0.653  -0.106 -0.732  -0.035 -0.746  -0.035 -0.830  0.003 -0.876  0.035 -0.928  0.081 -0.992  0.155 -1.016  0.176 -1.080  0.183 -1.157  0.267 -1.157  0.347 -1.172  0.422 -1.210  0.502 -1.227  0.586 -1.227  0.600 -1.298  0.679 -1.309  0.739 -1.368
1d#tos#t1#t1053065/)  -0.878 1.777  -0.705 1.777  -0.628 1.681  -0.551 1.584  -0.474 1.487  -0.300 1.487  -0.299 1.315  -0.186 1.198  -0.013 1.198  0.024 1.035  0.087 0.877  0.087 0.703  0.087 0.530  0.087 0.356  0.106 0.186  0.170 0.025  0.235 -0.136  0.280 -0.300  0.280 -0.474  0.280 -0.648  0.192 -0.733  0.184 -0.898  0.175 -0.781  0.164 -0.608  0.153 -0.435  0.142 -0.262  0.131 -0.089  0.121 0.085  0.110 0.258  0.099 0.431  0.088 0.604  0.184 0.556  0.184 0.382  0.207 0.232  0.280 0.132  0.280 -0.042  0.280 -0.215  0.280 -0.389  0.280 -0.562  0.184 -0.639  0.184 -0.813  0.184 -0.986  0.087 -1.063  0.066 -1.216  -0.011 -1.312  -0.184 -1.312  -0.299 -1.371  -0.338 -1.506  -0.512 -1.506  -0.589 -1.602
1d#tos#t1#t1053065/+  -1.563 -0.329  -1.710 -0.307  -1.739 -0.256  -1.570 -0.256  -1.401 -0.256  -1.232 -0.256  -1.062 -0.256  -0.893 -0.256  -0.729 -0.223  -0.571 -0.164  -0.417 -0.092  -0.259 -0.033  -0.101 0.027  0.058 0.086  0.223 0.112  0.392 0.112  0.554 0.142  0.713 0.185  0.882 0.185  1.039 0.215  1.190 0.259  1.329 0.332  1.331 0.422  1.171 0.478  1.011 0.534  0.851 0.590  0.692 0.646  0.532 0.701  0.372 0.757  0.212 0.813  0.053 0.869  -0.093 0.935  -0.093 1.031  -0.093 0.861  -0.020 0.766  -0.020 0.596  -0.020 0.427  -0.019 0.258  0.054 0.119  0.054 -0.050  0.054 -0.220  0.054 -0.389  0.054 -0.558  0.054 -0.727  0.054 -0.897  0.120 -1.050  0.127 -1.218  0.127 -1.387  0.127 -1.556  0.127 -1.725
1d#tos#t1#t1053065/  -1.464 -0.024  -1.518 -0.078  -1.571 -0.131  -1.554 -0.155  -1.478 -0.155  -1.403 -0.155  -1.328 -0.155  -1.252 -0.155  -1.177 -0.155  -1.102 -0.155  -1.026 -0.155  -0.951 -0.155  -0.876 -0.155  -0.800 -0.155  -0.725 -0.155  -0.649 -0.155  -0.574 -0.155  -0.499 -0.155  -0.423 -0.155  -0.348 -0.155  -0.277 -0.145  -0.224 -0.091  -0.170 -0.038  -0.101 -0.024  -0.025 -0.024  0.050 -0.024  0.125 -0.024  0.201 -0.024  0.276 -0.024  0.352 -0.024  0.409 0.018  0.462 0.072  0.523 0.106  0.599 0.106  0.674 0.106  0.750 0.106  0.825 0.106  0.900 0.106  0.976 0.106  1.020 0.137  1.020 0.213  1.071 0.237  1.146 0.237  1.222 0.237  1.297 0.237  1.372 0.237  1.448 0.237  1.523 0.237  1.599 0.237  1.674 0.237
1d#tos#t1#t1053065/;  -0.060 1.336  -0.096 1.336  -0.060 1.266  -0.060 1.228  -0.060 1.333  -0.060 1.439  -0.060 1.544  -0.130 1.516  -0.127 1.411  -0.122 1.306  -0.117 1.200  -0.112 1.095  -0.107 0.990  -0.102 0.885  -0.097 0.779  -0.092 0.674  -0.087 0.569  -0.082 0.464  -0.077 0.358  -0.072 0.253  -0.067 0.148  -0.062 0.043  -0.004 -0.007  0.082 -0.027  0.082 -0.023  0.100 -0.077  0.152 -0.131  0.223 -0.166  0.223 -0.271  0.239 -0.360  0.345 -0.360  0.353 -0.441  0.308 -0.516  0.338 -0.572  0.294 -0.633  0.294 -0.738  0.294 -0.844  0.209 -0.897  0.152 -0.967  0.146 -1.066  0.041 -1.066  0.011 -1.142  -0.029 -1.208  -0.060 -1.282  -0.098 -1.349  -0.201 -1.351  -0.238 -1.420  -0.343 -1.420  -0.449 -1.420  -0.554 -1.420
1d#tos#t1#t1053065/>  -0.657 1.340  -0.723 1.340  -0.657 1.305  -0.603 1.257  -0.573 1.185  -0.484 1.173  -0.389 1.156  -0.318 1.085  -0.246 1.013  -0.232 0.919  -0.141 0.873  -0.072 0.815  -0.029 0.755  0.072 0.755  0.174 0.755  0.222 0.669  0.272 0.583  0.363 0.538  0.456 0.504  0.513 0.460  0.558 0.377  0.597 0.292  0.642 0.209  0.728 0.170  0.699 0.170  0.681 0.087  0.610 0.015  0.538 -0.056  0.483 -0.141  0.438 -0.232  0.363 -0.298  0.282 -0.359  0.201 -0.420  0.120 -0.481  0.045 -0.549  0.012 -0.637  -0.039 -0.717  -0.072 -0.805  -0.072 -0.907  -0.113 -0.999  -0.155 -1.090  -0.155 -1.191  -0.197 -1.251  -0.299 -1.251  -0.400 -1.251  -0.406 -1.347  -0.436 -1.418  -0.538 -1.418  -0.573 -1.484  -0.490 -1.502
1d#tos#t1#t1053065/@  0.238 0.321  0.130 0.426  -0.101 0.484  -0.195 0.288  -0.249 0.011  -0.249 -0.278  -0.195 -0.513  -0.046 -0.653  0.244 -0.653  0.479 -0.599  0.593 -0.383  0.751 -0.220  0.834 0.018  0.888 0.253  0.942 0.488  0.888 0.724  0.846 0.971  0.674 1.133  0.460 1.237  0.195 1.296  -0.041 1.350  -0.330 1.350  -0.574 1.273  -0.641 1.011  -0.783 0.808  -0.844 0.580  -0.899 0.313  -0.899 0.024  -0.899 -0.265  -0.899 -0.554  -0.899 -0.844  -0.844 -1.079  -0.682 -1.206  -0.503 -1.357  -0.322 -1.466  -0.087 -1.520  0.203 -1.520  0.376 -1.432  0.295 -1.155  0.215 -0.877  0.134 -0.599  0.054 -0.321  -0.027 -0.043  -0.107 0.235  -0.187 0.513  -0.040 0.538  0.196 0.592  0.485 0.592  0.639 0.440  0.780 0.267
