3#app#app19#app1945/8  0.783 0.759  0.783 0.962  0.754 1.137  0.551 1.137  0.348 1.137  0.145 1.137  -0.058 1.137  -0.261 1.137  -0.431 1.055  -0.589 0.948  -0.727 0.882  -0.807 0.759  -0.916 0.665  -0.807 0.570  -0.604 0.570  -0.401 0.570  -0.198 0.570  -0.161 0.404  0.020 0.382  0.166 0.244  0.348 0.193  0.508 0.090  0.652 -0.054  0.783 -0.202  0.783 -0.406  0.750 -0.595  0.607 -0.739  0.594 -0.937  0.583 -1.129  0.387 -1.147  0.244 -1.290  0.052 -1.318  0.028 -1.497  -0.166 -1.506  -0.369 -1.506  -0.538 -1.473  -0.538 -1.270  -0.538 -1.067  -0.538 -0.863  -0.538 -0.660  -0.433 -0.562  -0.350 -0.443  -0.350 -0.240  -0.245 -0.080  -0.161 0.089  -0.091 0.263  0.063 0.382  0.217 0.431  0.262 0.615  0.406 0.759
3#app#app19#app1945/:  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
3#app#app19#app1945/4  -1.112 0.445  -1.112 0.286  -1.112 0.126  -1.112 -0.034  -1.112 -0.194  -1.112 -0.353  -1.112 -0.513  -1.112 -0.673  -0.983 -0.704  -0.823 -0.704  -0.664 -0.704  -0.504 -0.704  -0.344 -0.704  -0.187 -0.699  -0.074 -0.586  0.038 -0.472  0.073 -0.316  0.108 -0.161  0.142 -0.005  0.177 0.151  0.212 0.307  0.246 0.463  0.281 0.619  0.316 0.775  0.350 0.931  0.385 1.087  0.420 1.243  0.454 1.399  0.489 1.555  0.498 1.476  0.498 1.316  0.498 1.156  0.498 0.997  0.498 0.837  0.498 0.677  0.498 0.517  0.498 0.358  0.498 0.198  0.498 0.038  0.498 -0.122  0.498 -0.281  0.498 -0.441  0.408 -0.564  0.295 -0.677  0.268 -0.825  0.268 -0.985  0.268 -1.145  0.268 -1.304  0.268 -1.464  0.268 -1.624
3#app#app19#app1945/&  0.689 -1.343  0.659 -1.198  0.544 -1.138  0.455 -1.053  0.399 -0.934  0.293 -0.802  0.253 -0.644  0.108 -0.614  0.076 -0.472  -0.037 -0.410  -0.102 -0.262  -0.182 -0.120  -0.247 0.028  -0.327 0.170  -0.392 0.318  -0.473 0.460  -0.473 0.634  -0.473 0.809  -0.367 0.940  -0.243 1.064  -0.182 1.214  -0.064 1.270  0.068 1.375  0.191 1.499  0.341 1.561  0.516 1.561  0.543 1.414  0.419 1.291  0.295 1.167  0.253 1.009  0.253 0.835  0.175 0.678  0.090 0.526  -0.034 0.403  -0.157 0.279  -0.182 0.114  -0.302 -0.011  -0.327 -0.175  -0.447 -0.301  -0.473 -0.465  -0.473 -0.640  -0.473 -0.815  -0.473 -0.990  -0.361 -1.053  -0.327 -1.194  -0.156 -1.198  0.019 -1.198  0.194 -1.198  0.369 -1.198  0.544 -1.198
3#app#app19#app1945/4  -0.963 0.534  -0.963 0.364  -1.066 0.237  -1.186 0.117  -1.306 -0.004  -1.351 -0.155  -1.292 -0.300  -1.172 -0.421  -1.052 -0.541  -0.919 -0.629  -0.749 -0.629  -0.579 -0.629  -0.409 -0.629  -0.239 -0.629  -0.070 -0.629  0.073 -0.563  0.193 -0.443  0.360 -0.436  0.421 -0.303  0.454 -0.137  0.487 0.030  0.521 0.197  0.554 0.363  0.587 0.530  0.620 0.696  0.654 0.863  0.687 1.029  0.720 1.196  0.754 1.362  0.763 1.484  0.643 1.364  0.588 1.217  0.540 1.067  0.420 0.947  0.394 0.788  0.394 0.618  0.394 0.448  0.351 0.296  0.231 0.176  0.200 0.019  0.200 -0.151  0.200 -0.320  0.200 -0.490  0.200 -0.660  0.200 -0.830  0.200 -1.000  0.092 -1.125  0.006 -1.259  0.006 -1.429  0.006 -1.599
3#app#app19#app1945/:  -0.025 1.731  -0.025 1.660  -0.025 1.588  -0.025 1.516  -0.025 1.444  -0.025 1.373  -0.025 1.301  -0.025 1.229  -0.025 1.158  -0.025 1.086  -0.025 1.014  -0.025 0.943  -0.025 0.871  -0.025 0.799  -0.025 0.727  -0.025 0.656  -0.025 0.584  -0.025 0.512  -0.025 0.441  -0.025 0.369  -0.025 0.297  -0.025 0.226  -0.025 0.154  -0.025 0.082  -0.025 0.011  -0.025 -0.061  -0.025 -0.133  -0.025 -0.205  -0.025 -0.276  -0.025 -0.348  -0.025 -0.420  -0.025 -0.491  -0.025 -0.563  -0.025 -0.635  -0.025 -0.706  -0.025 -0.778  -0.025 -0.850  -0.025 -0.922  -0.025 -0.993  -0.025 -1.065  -0.025 -1.137  -0.025 -1.208  -0.025 -1.280  -0.025 -1.352  0.007 -1.392  0.078 -1.392  0.150 -1.392  0.222 -1.392  0.293 -1.392  0.365 -1.392
3#app#app19#app1945/2  -0.753 1.244  -0.635 1.244  -0.518 1.244  -0.400 1.244  -0.282 1.244  -0.164 1.244  -0.046 1.244  0.072 1.244  0.095 1.149  0.096 1.032  0.213 1.032  0.331 1.032  0.449 1.032  0.519 0.984  0.519 0.866  0.519 0.748  0.519 0.630  0.451 0.541  0.368 0.457  0.284 0.374  0.201 0.291  0.118 0.207  0.034 0.124  -0.049 0.040  -0.117 -0.049  -0.117 -0.167  -0.162 -0.240  -0.280 -0.240  -0.329 -0.309  -0.329 -0.427  -0.422 -0.452  -0.540 -0.452  -0.541 -0.568  -0.541 -0.686  -0.541 -0.804  -0.541 -0.922  -0.541 -1.040  -0.472 -1.088  -0.354 -1.088  -0.236 -1.088  -0.118 -1.088  -0.000 -1.088  0.118 -1.088  0.236 -1.088  0.353 -1.088  0.471 -1.088  0.589 -1.088  0.707 -1.088  0.825 -1.088  0.943 -1.088
3#app#app19#app1945/&  0.657 -0.967  0.538 -0.848  0.419 -0.729  0.301 -0.610  0.214 -0.478  0.148 -0.377  0.067 -0.290  -0.041 -0.229  -0.081 -0.101  -0.186 0.023  -0.228 0.174  -0.228 0.342  -0.228 0.510  -0.228 0.678  -0.228 0.846  -0.184 0.996  -0.081 1.121  -0.038 1.246  0.111 1.291  0.214 1.416  0.257 1.542  0.425 1.542  0.510 1.458  0.510 1.290  0.421 1.158  0.303 1.039  0.214 0.908  0.169 0.759  0.067 0.633  0.023 0.509  -0.081 0.445  -0.141 0.301  -0.228 0.170  -0.274 0.020  -0.393 -0.098  -0.511 -0.217  -0.523 -0.380  -0.523 -0.548  -0.523 -0.716  -0.523 -0.884  -0.523 -1.052  -0.523 -1.220  -0.397 -1.262  -0.272 -1.366  -0.122 -1.409  0.046 -1.409  0.214 -1.409  0.333 -1.291  0.489 -1.262  0.657 -1.262
3#app#app19#app1945/2  -0.775 0.964  -0.650 0.964  -0.525 0.964  -0.400 0.964  -0.359 1.049  -0.358 1.172  -0.233 1.172  -0.151 1.216  -0.151 1.341  -0.065 1.380  0.059 1.378  0.147 1.289  0.236 1.201  0.264 1.088  0.264 0.963  0.264 0.838  0.264 0.712  0.264 0.587  0.264 0.462  0.264 0.337  0.264 0.212  0.219 0.133  0.094 0.133  0.056 0.045  0.051 -0.075  -0.074 -0.075  -0.151 -0.122  -0.151 -0.248  -0.215 -0.346  -0.303 -0.435  -0.359 -0.537  -0.359 -0.662  -0.422 -0.761  -0.510 -0.849  -0.567 -0.951  -0.567 -1.076  -0.481 -1.115  -0.356 -1.115  -0.231 -1.115  -0.106 -1.115  0.019 -1.115  0.144 -1.115  0.269 -1.112  0.381 -1.056  0.493 -1.000  0.605 -0.945  0.721 -0.907  0.846 -0.907  0.971 -0.907  1.096 -0.907
3#app#app19#app1945/:  -0.017 1.722  -0.017 1.651  -0.017 1.580  -0.017 1.509  -0.017 1.438  -0.017 1.367  -0.017 1.296  -0.017 1.225  -0.017 1.154  -0.017 1.083  -0.017 1.012  -0.017 0.941  -0.017 0.870  -0.017 0.799  -0.017 0.728  -0.017 0.657  -0.017 0.586  -0.017 0.515  -0.017 0.444  -0.017 0.373  -0.017 0.302  -0.017 0.231  -0.017 0.160  -0.017 0.089  -0.017 0.018  -0.017 -0.053  -0.017 -0.124  -0.017 -0.195  -0.017 -0.266  -0.017 -0.337  -0.017 -0.408  -0.017 -0.479  -0.017 -0.550  -0.017 -0.621  -0.017 -0.692  -0.017 -0.763  -0.017 -0.834  -0.017 -0.905  -0.017 -0.976  -0.017 -1.047  -0.017 -1.118  -0.017 -1.189  -0.017 -1.260  -0.017 -1.331  -0.017 -1.402  0.015 -1.441  0.086 -1.441  0.157 -1.441  0.228 -1.441  0.299 -1.441
3#app#app19#app1945/1  -0.013 1.717  -0.013 1.646  -0.013 1.576  -0.013 1.505  -0.013 1.434  -0.013 1.364  -0.013 1.293  -0.013 1.223  -0.013 1.152  -0.013 1.081  -0.013 1.011  -0.013 0.940  -0.013 0.870  -0.013 0.799  -0.013 0.728  -0.013 0.658  -0.013 0.587  -0.013 0.517  -0.013 0.446  -0.013 0.375  -0.013 0.305  -0.013 0.234  -0.013 0.164  -0.013 0.093  -0.013 0.022  -0.013 -0.048  -0.013 -0.119  -0.013 -0.189  -0.013 -0.260  -0.013 -0.330  -0.013 -0.401  -0.013 -0.472  -0.013 -0.542  -0.013 -0.613  -0.013 -0.683  -0.013 -0.754  -0.013 -0.825  -0.013 -0.895  -0.013 -0.966  -0.013 -1.036  -0.013 -1.107  -0.013 -1.178  -0.013 -1.248  -0.013 -1.319  -0.013 -1.389  -0.013 -1.460  0.041 -1.476  0.112 -1.476  0.183 -1.476  0.253 -1.476
