2#app#app11#app1169/I  -0.021 1.709  -0.021 1.639  -0.021 1.569  -0.021 1.499  -0.021 1.428  -0.021 1.358  -0.021 1.288  -0.021 1.218  -0.021 1.148  -0.021 1.078  -0.021 1.008  -0.021 0.938  -0.021 0.868  -0.021 0.797  -0.021 0.727  -0.021 0.657  -0.021 0.587  -0.021 0.517  -0.021 0.447  -0.021 0.377  -0.021 0.307  -0.021 0.237  -0.021 0.166  -0.021 0.096  -0.021 0.026  -0.021 -0.044  -0.021 -0.114  -0.021 -0.184  -0.021 -0.254  -0.021 -0.324  -0.021 -0.394  -0.021 -0.465  -0.021 -0.535  -0.021 -0.605  -0.021 -0.675  -0.021 -0.745  -0.021 -0.815  -0.021 -0.885  -0.021 -0.955  -0.021 -1.026  -0.021 -1.096  -0.021 -1.166  0.019 -1.219  0.068 -1.269  0.118 -1.318  0.139 -1.380  0.139 -1.450  0.139 -1.520  0.139 -1.590  0.139 -1.660
2#apa#apa10#app1051/I  0.400 1.234  0.400 1.306  0.400 1.379  0.400 1.451  0.354 1.414  0.303 1.363  0.251 1.311  0.200 1.260  0.174 1.198  0.174 1.125  0.174 1.053  0.174 0.980  0.174 0.908  0.174 0.835  0.170 0.763  0.156 0.691  0.141 0.620  0.127 0.549  0.113 0.478  0.099 0.407  0.084 0.335  0.070 0.264  0.056 0.193  0.042 0.122  0.027 0.050  0.013 -0.021  -0.001 -0.092  -0.015 -0.163  -0.030 -0.234  -0.044 -0.306  -0.065 -0.374  -0.098 -0.439  -0.130 -0.504  -0.163 -0.569  -0.195 -0.634  -0.228 -0.699  -0.260 -0.764  -0.278 -0.832  -0.278 -0.905  -0.278 -0.978  -0.278 -1.050  -0.278 -1.123  -0.278 -1.196  -0.278 -1.268  -0.278 -1.341  -0.278 -1.414  -0.278 -1.486  -0.278 -1.559  -0.278 -1.631  -0.278 -1.704
1b#app#app12#app1261/I  -0.041 1.715  -0.041 1.644  -0.041 1.574  -0.041 1.503  -0.041 1.432  -0.041 1.362  -0.041 1.291  -0.041 1.220  -0.041 1.150  -0.041 1.079  -0.041 1.008  -0.041 0.937  -0.041 0.867  -0.041 0.796  -0.041 0.725  -0.041 0.655  -0.041 0.584  -0.041 0.513  -0.041 0.443  -0.041 0.372  -0.041 0.301  -0.041 0.231  -0.041 0.160  -0.041 0.089  -0.041 0.018  -0.041 -0.052  -0.041 -0.123  -0.041 -0.194  -0.041 -0.264  -0.041 -0.335  -0.041 -0.406  -0.041 -0.476  -0.041 -0.547  -0.041 -0.618  -0.041 -0.689  -0.041 -0.759  -0.041 -0.830  -0.041 -0.901  -0.041 -0.971  0.002 -1.024  0.052 -1.074  0.102 -1.124  0.152 -1.174  0.184 -1.232  0.184 -1.302  0.184 -1.373  0.184 -1.444  0.184 -1.514  0.184 -1.585  0.184 -1.656
1b#ced#cypl9614_s_jd/I  -0.797 0.660  -0.820 0.717  -0.866 0.835  -0.737 0.870  -0.596 0.893  -0.453 0.916  -0.306 0.916  -0.160 0.918  -0.018 0.951  0.127 0.963  0.274 0.963  0.418 0.987  0.562 1.009  0.704 1.032  0.851 1.032  0.717 1.005  0.573 0.976  0.432 0.939  0.289 0.916  0.148 0.893  0.020 0.849  -0.006 0.713  -0.028 0.571  -0.030 0.425  -0.075 0.286  -0.089 0.142  -0.099 -0.003  -0.099 -0.150  -0.099 -0.296  -0.099 -0.442  -0.099 -0.589  -0.099 -0.735  -0.099 -0.881  -0.099 -1.028  -0.061 -1.161  -0.116 -1.184  -0.239 -1.108  -0.365 -1.038  -0.499 -1.010  -0.541 -1.056  -0.409 -1.085  -0.263 -1.085  -0.117 -1.085  0.030 -1.085  0.175 -1.075  0.320 -1.062  0.466 -1.062  0.612 -1.062  0.758 -1.057  0.902 -1.038
1b#ced#cypl9614_s_jd/I  -0.749 0.926  -0.854 0.901  -0.871 0.876  -0.730 0.851  -0.583 0.876  -0.433 0.876  -0.285 0.901  -0.134 0.901  0.017 0.901  0.166 0.923  0.314 0.953  0.462 0.977  0.613 0.977  0.759 1.010  0.871 1.012  0.725 0.999  0.578 0.975  0.431 0.951  0.285 0.919  0.143 0.888  0.015 0.810  -0.053 0.677  -0.070 0.528  -0.095 0.381  -0.091 0.230  -0.070 0.082  -0.067 -0.069  -0.045 -0.217  -0.057 -0.367  -0.070 -0.517  -0.037 -0.663  -0.020 -0.812  0.004 -0.957  0.005 -1.108  -0.097 -1.186  -0.245 -1.170  -0.380 -1.119  -0.527 -1.107  -0.634 -1.035  -0.573 -1.061  -0.429 -1.045  -0.286 -1.035  -0.135 -1.033  0.014 -1.010  0.165 -1.010  0.312 -0.984  0.461 -0.960  0.612 -0.960  0.760 -0.940  0.911 -0.935
1b#ced#cypl9614_s_jd/I  -0.556 0.500  -0.691 0.593  -0.825 0.675  -0.949 0.734  -0.800 0.711  -0.626 0.711  -0.456 0.734  -0.284 0.756  -0.112 0.762  0.059 0.794  0.230 0.822  0.402 0.832  0.573 0.864  0.742 0.900  0.912 0.926  1.037 1.015  0.887 1.039  0.716 1.052  0.554 1.057  0.392 1.044  0.232 0.987  0.102 0.876  0.048 0.719  0.001 0.553  -0.040 0.386  -0.064 0.215  -0.064 0.042  -0.064 -0.131  -0.064 -0.305  -0.040 -0.475  -0.017 -0.645  0.017 -0.812  0.053 -0.972  -0.051 -1.066  -0.220 -1.048  -0.390 -1.025  -0.563 -1.025  -0.733 -1.048  -0.858 -1.071  -0.715 -1.022  -0.550 -1.023  -0.380 -1.001  -0.209 -0.983  -0.036 -0.978  0.137 -0.978  0.310 -0.969  0.482 -0.954  0.655 -0.954  0.826 -0.931  0.991 -0.884
2#tos#t2#t2032064/I  -0.292 1.326  -0.348 1.242  -0.300 1.214  -0.199 1.214  -0.098 1.214  0.003 1.214  0.104 1.214  0.205 1.214  0.306 1.214  0.346 1.200  0.258 1.214  0.157 1.214  0.094 1.176  0.068 1.101  0.046 1.022  0.046 0.921  0.046 0.820  0.043 0.720  0.008 0.627  0.008 0.526  0.008 0.425  0.008 0.324  0.008 0.223  0.008 0.122  0.008 0.021  0.008 -0.080  0.008 -0.180  0.008 -0.281  0.008 -0.382  0.008 -0.483  0.008 -0.584  0.008 -0.685  0.008 -0.786  0.008 -0.887  0.008 -0.988  0.008 -1.089  0.013 -1.185  -0.017 -1.158  -0.110 -1.118  -0.203 -1.079  -0.300 -1.094  -0.366 -1.143  -0.308 -1.185  -0.207 -1.185  -0.106 -1.185  -0.005 -1.185  0.096 -1.185  0.197 -1.185  0.298 -1.185  0.383 -1.223
3#app#app18#app1860/I  0.261 0.789  0.032 0.752  0.032 0.487  0.032 0.221  0.032 -0.044  0.032 -0.309  0.032 -0.575  0.032 -0.840  0.095 -1.043  0.210 -0.958  0.073 -0.730  -0.063 -0.503  -0.200 -0.275  -0.336 -0.047  -0.473 0.180  -0.610 0.408  -0.746 0.635  -0.883 0.863  -1.019 1.090  -1.113 1.163  -0.993 1.018  -0.728 1.018  -0.462 1.018  -0.197 1.018  0.069 1.018  0.334 1.018  0.599 1.018  0.865 1.018  1.130 1.018  1.022 0.863  0.834 0.675  0.646 0.487  0.459 0.300  0.271 0.112  0.083 -0.076  -0.104 -0.263  -0.292 -0.451  -0.480 -0.639  -0.667 -0.826  -0.855 -1.014  -0.725 -0.884  -0.489 -0.814  -0.223 -0.814  0.032 -0.824  0.079 -1.043  0.344 -1.043  0.609 -1.043  0.875 -1.043  1.140 -1.043  1.405 -1.043
1b#uqb#re/I  -0.183 0.745  -0.236 0.906  -0.131 0.713  -0.075 0.496  -0.075 0.265  -0.075 0.035  -0.075 -0.196  -0.050 -0.424  0.037 -0.633  0.107 -0.848  0.196 -1.058  0.138 -1.028  -0.047 -0.891  -0.144 -0.687  -0.214 -0.468  -0.284 -0.248  -0.354 -0.029  -0.424 0.191  -0.494 0.410  -0.565 0.630  -0.635 0.849  -0.705 1.069  -0.775 1.288  -0.772 1.306  -0.546 1.262  -0.317 1.246  -0.086 1.246  0.144 1.246  0.372 1.231  0.598 1.210  0.556 1.137  0.465 0.926  0.373 0.715  0.281 0.503  0.189 0.292  0.098 0.080  0.006 -0.131  -0.086 -0.342  -0.178 -0.554  -0.269 -0.765  -0.361 -0.977  -0.290 -1.057  -0.119 -1.175  0.103 -1.211  0.334 -1.223  0.564 -1.235  0.789 -1.194  1.013 -1.192  1.204 -1.249  0.996 -1.184
1b#uqb#re/I  -0.187 1.116  -0.222 0.964  -0.178 0.736  -0.156 0.509  -0.181 0.277  -0.198 0.045  -0.233 -0.186  -0.255 -0.417  -0.232 -0.643  -0.136 -0.854  -0.076 -1.079  -0.165 -1.001  -0.237 -0.780  -0.317 -0.561  -0.397 -0.342  -0.477 -0.123  -0.556 0.096  -0.636 0.315  -0.716 0.534  -0.796 0.753  -0.876 0.972  -0.741 0.878  -0.518 0.934  -0.290 0.984  -0.059 1.017  0.173 1.033  0.406 1.052  0.638 1.076  0.870 1.076  1.099 1.048  1.266 0.934  1.101 0.819  0.942 0.649  0.782 0.479  0.623 0.309  0.463 0.139  0.304 -0.032  0.144 -0.202  -0.015 -0.372  -0.175 -0.542  -0.334 -0.712  -0.494 -0.882  -0.600 -1.034  -0.428 -1.152  -0.198 -1.184  0.033 -1.213  0.251 -1.295  0.479 -1.335  0.706 -1.387  0.799 -1.417
1b#uqb#re/I  0.084 1.090  0.116 1.047  0.085 0.823  0.025 0.603  -0.005 0.377  -0.019 0.150  -0.009 -0.078  -0.029 -0.305  -0.037 -0.532  -0.018 -0.759  -0.012 -0.986  -0.034 -0.963  -0.039 -0.736  -0.021 -0.509  -0.082 -0.289  -0.144 -0.070  -0.207 0.149  -0.270 0.369  -0.332 0.588  -0.395 0.807  -0.458 1.027  -0.520 1.246  -0.403 1.397  -0.177 1.392  0.036 1.322  0.249 1.246  0.477 1.236  0.705 1.238  0.792 1.188  0.663 0.999  0.535 0.811  0.407 0.622  0.278 0.434  0.150 0.245  0.021 0.057  -0.107 -0.132  -0.235 -0.321  -0.364 -0.509  -0.492 -0.698  -0.621 -0.886  -0.749 -1.075  -0.694 -1.166  -0.465 -1.166  -0.240 -1.203  -0.014 -1.232  0.207 -1.288  0.416 -1.368  0.641 -1.399  0.746 -1.339  0.563 -1.451
