1d#apa#apa14#app1452/!  -0.072 1.446  -0.072 1.517  -0.072 1.588  -0.072 1.520  -0.072 1.449  -0.072 1.378  -0.072 1.307  -0.072 1.236  -0.072 1.165  -0.072 1.094  -0.072 1.023  -0.072 0.952  -0.072 0.880  -0.072 0.809  -0.072 0.738  -0.072 0.667  -0.072 0.596  -0.072 0.525  -0.072 0.454  -0.072 0.383  -0.072 0.312  -0.072 0.241  -0.072 0.169  -0.048 0.104  -0.016 0.041  0.016 -0.023  0.048 -0.087  0.072 -0.152  0.072 -0.223  0.072 -0.294  0.072 -0.365  0.072 -0.436  0.072 -0.508  0.072 -0.579  0.072 -0.650  0.072 -0.721  0.072 -0.792  0.072 -0.863  0.072 -0.934  0.072 -1.005  0.072 -1.076  0.072 -1.147  0.072 -1.218  0.072 -1.290  0.072 -1.361  0.072 -1.432  0.072 -1.503  0.072 -1.574  0.072 -1.645  0.072 -1.716
1d#apa#apa14#app1452/@  -0.157 0.549  -0.261 0.395  -0.261 0.198  -0.261 0.000  -0.141 -0.077  0.055 -0.073  0.156 0.082  0.156 0.280  0.156 0.204  0.067 0.044  0.122 -0.077  0.209 -0.155  0.365 -0.053  0.469 0.080  0.573 0.213  0.573 0.410  0.573 0.607  0.573 0.805  0.474 0.961  0.330 1.095  0.165 1.204  -0.009 1.280  -0.207 1.280  -0.404 1.280  -0.594 1.261  -0.733 1.121  -0.783 0.945  -0.785 0.747  -0.824 0.554  -0.863 0.360  -0.888 0.165  -0.869 -0.029  -0.806 -0.216  -0.783 -0.410  -0.783 -0.608  -0.783 -0.805  -0.719 -0.976  -0.545 -1.060  -0.358 -1.123  -0.171 -1.185  0.020 -1.225  0.218 -1.225  0.410 -1.202  0.585 -1.112  0.750 -1.003  0.916 -0.897  1.093 -0.808  1.269 -0.720  1.408 -0.587  1.304 -0.494
1d#apa#apa14#app1452/#  0.095 1.496  0.013 1.413  -0.064 1.009  -0.133 0.582  -0.224 0.157  -0.306 -0.269  -0.384 -0.696  -0.544 -1.066  -0.418 -0.969  -0.223 -0.579  -0.028 -0.189  0.167 0.201  0.362 0.591  0.557 0.981  0.752 1.371  0.776 1.655  0.735 1.261  0.649 0.835  0.550 0.411  0.464 -0.017  0.283 -0.394  0.255 -0.818  0.097 -1.217  -0.075 -1.168  -0.347 -0.827  -0.619 -0.487  -0.892 -0.146  -1.164 0.194  -1.415 0.217  -0.979 0.217  -0.543 0.217  -0.115 0.285  0.309 0.377  0.727 0.454  1.144 0.537  1.214 0.491  1.061 0.160  0.653 0.007  0.245 -0.146  -0.164 -0.299  -0.572 -0.452  -0.980 -0.605  -1.377 -0.706  -1.243 -0.581  -0.807 -0.581  -0.371 -0.581  0.065 -0.581  0.501 -0.581  0.938 -0.581  1.374 -0.581
1d#apa#apa14#app1452/$  0.785 0.487  0.785 0.873  0.529 1.153  0.160 1.131  -0.203 1.034  -0.410 0.796  -0.389 0.459  -0.070 0.249  0.282 0.170  0.511 -0.121  0.785 -0.338  0.899 -0.697  0.878 -1.059  0.587 -1.289  0.234 -1.424  -0.120 -1.289  -0.465 -1.132  -0.531 -0.801  -0.443 -0.425  -0.354 -0.049  -0.266 0.326  -0.178 0.702  -0.089 1.077  -0.172 1.294  -0.172 0.908  -0.172 0.523  -0.229 0.142  -0.293 -0.239  -0.379 -0.615  -0.525 -0.959  -0.718 -1.290  -0.677 -1.457  -0.537 -1.098  -0.396 -0.739  -0.255 -0.379  -0.115 -0.020  0.026 0.339  0.166 0.699  0.307 1.058  0.447 1.417  0.375 1.700  0.238 1.371  0.238 0.985  0.238 0.599  0.238 0.213  0.065 -0.132  -0.035 -0.494  -0.097 -0.865  -0.172 -1.233  -0.308 -1.562
1d#apa#apa14#app1452/%  -0.293 0.954  -0.446 1.088  -0.563 0.997  -0.680 0.837  -0.698 0.635  -0.698 0.427  -0.698 0.218  -0.602 0.241  -0.554 0.432  -0.461 0.618  -0.428 0.819  -0.428 1.027  -0.286 1.129  -0.086 1.186  0.115 1.243  0.315 1.301  0.515 1.359  0.515 1.418  0.448 1.225  0.359 1.036  0.282 0.843  0.204 0.649  0.127 0.456  0.037 0.268  -0.038 0.075  -0.079 -0.129  -0.120 -0.334  -0.163 -0.537  -0.257 -0.724  -0.350 -0.910  -0.452 -1.090  -0.563 -1.253  -0.507 -1.224  -0.399 -1.052  -0.212 -0.959  -0.026 -0.866  0.161 -0.772  0.347 -0.679  0.533 -0.586  0.571 -0.528  0.407 -0.636  0.380 -0.833  0.302 -1.010  0.245 -1.195  0.447 -1.201  0.641 -1.139  0.784 -1.019  0.784 -0.810  0.784 -0.602  0.784 -0.393
1d#apa#apa14#app1452/^  -0.696 -1.477  -0.790 -1.383  -0.847 -1.274  -0.847 -1.141  -0.835 -1.014  -0.741 -0.920  -0.648 -0.826  -0.554 -0.732  -0.508 -0.609  -0.466 -0.483  -0.424 -0.358  -0.396 -0.229  -0.389 -0.098  -0.357 0.031  -0.325 0.160  -0.293 0.288  -0.261 0.417  -0.214 0.541  -0.155 0.659  -0.096 0.778  -0.095 0.910  -0.095 1.043  -0.095 1.175  -0.041 1.286  0.053 1.379  0.056 1.511  0.056 1.422  0.122 1.316  0.206 1.219  0.206 1.086  0.206 0.953  0.206 0.821  0.229 0.691  0.261 0.562  0.293 0.434  0.325 0.305  0.358 0.176  0.417 0.058  0.476 -0.061  0.507 -0.186  0.507 -0.319  0.507 -0.451  0.512 -0.583  0.571 -0.702  0.630 -0.820  0.658 -0.946  0.658 -1.079  0.694 -1.176  0.790 -1.176  0.658 -1.176
1d#apa#apa14#app1452/&  0.804 1.396  0.804 1.567  0.804 1.497  0.804 1.326  0.800 1.156  0.766 0.988  0.733 0.821  0.699 0.653  0.666 0.486  0.632 0.318  0.599 0.150  0.561 -0.016  0.520 -0.182  0.478 -0.348  0.437 -0.514  0.395 -0.679  0.361 -0.846  0.361 -1.017  0.255 -1.144  0.131 -1.259  -0.039 -1.259  -0.139 -1.144  -0.216 -0.991  -0.292 -0.838  -0.406 -0.712  -0.527 -0.592  -0.648 -0.471  -0.760 -0.344  -0.837 -0.191  -0.913 -0.038  -1.003 0.105  -1.124 0.226  -1.245 0.347  -1.365 0.468  -1.300 0.511  -1.135 0.485  -0.982 0.409  -0.830 0.332  -0.677 0.256  -0.524 0.179  -0.371 0.103  -0.208 0.069  -0.037 0.069  0.134 0.069  0.277 -0.022  0.419 -0.117  0.561 -0.212  0.703 -0.307  0.854 -0.374  1.025 -0.374
1d#apa#apa14#app1452/*  0.827 0.611  0.576 0.862  0.508 0.672  0.508 0.317  0.504 -0.037  0.392 -0.374  0.280 -0.711  0.188 -1.051  0.088 -1.305  -0.227 -1.209  -0.450 -0.946  -0.526 -0.666  -0.848 -0.588  -1.089 -0.333  -1.039 -0.028  -0.684 -0.028  -0.336 0.010  0.001 0.123  0.338 0.235  0.684 0.292  1.039 0.292  1.225 0.526  1.337 0.863  1.449 1.200  1.163 1.250  0.907 1.011  0.719 0.715  0.560 0.397  0.340 0.124  0.144 -0.161  0.032 -0.498  -0.081 -0.834  -0.269 -1.124  -0.477 -1.210  -0.575 -0.869  -0.672 -0.528  -0.770 -0.186  -0.868 0.155  -0.965 0.496  -1.063 0.837  -1.089 1.189  -1.089 0.956  -0.856 0.697  -0.537 0.611  -0.365 0.356  -0.253 0.019  -0.141 -0.317  0.158 -0.492  0.476 -0.651  0.827 -0.666
1d#apa#apa14#app1452/(  0.136 1.404  0.136 1.480  0.136 1.557  0.136 1.532  0.136 1.455  0.136 1.378  0.136 1.301  0.136 1.224  0.082 1.170  0.028 1.115  -0.027 1.061  -0.043 0.991  -0.043 0.914  -0.043 0.837  -0.043 0.760  -0.044 0.683  -0.062 0.609  -0.081 0.534  -0.100 0.460  -0.118 0.385  -0.137 0.311  -0.156 0.236  -0.174 0.161  -0.193 0.087  -0.211 0.012  -0.222 -0.063  -0.222 -0.140  -0.222 -0.217  -0.222 -0.294  -0.222 -0.371  -0.222 -0.448  -0.222 -0.525  -0.222 -0.601  -0.222 -0.678  -0.219 -0.754  -0.185 -0.823  -0.150 -0.892  -0.116 -0.961  -0.081 -1.029  -0.047 -1.098  0.018 -1.137  0.086 -1.171  0.155 -1.205  0.224 -1.240  0.293 -1.274  0.367 -1.286  0.444 -1.286  0.495 -1.311  0.495 -1.388  0.495 -1.465
1d#apa#apa14#app1452/)  -0.511 1.550  -0.511 1.476  -0.511 1.401  -0.446 1.392  -0.372 1.392  -0.328 1.342  -0.295 1.276  -0.261 1.209  -0.228 1.143  -0.195 1.076  -0.171 1.006  -0.148 0.935  -0.124 0.865  -0.101 0.794  -0.077 0.723  -0.054 0.653  -0.022 0.587  0.030 0.535  0.083 0.482  0.122 0.424  0.122 0.349  0.122 0.275  0.122 0.201  0.122 0.126  0.145 0.056  0.169 -0.015  0.192 -0.085  0.216 -0.156  0.239 -0.226  0.263 -0.297  0.280 -0.369  0.280 -0.443  0.280 -0.517  0.280 -0.592  0.280 -0.666  0.280 -0.740  0.280 -0.815  0.250 -0.882  0.217 -0.948  0.183 -1.015  0.150 -1.082  0.114 -1.146  0.062 -1.199  0.009 -1.251  -0.036 -1.307  -0.036 -1.381  -0.037 -1.455  -0.089 -1.508  -0.142 -1.560  -0.195 -1.613
1d#apa#apa14#app1452/`  -1.242 0.999  -1.168 0.999  -1.093 0.999  -1.019 0.999  -0.945 0.999  -0.871 0.999  -0.796 0.999  -0.722 0.999  -0.648 0.999  -0.587 0.977  -0.554 0.911  -0.521 0.844  -0.488 0.778  -0.454 0.712  -0.421 0.645  -0.388 0.579  -0.355 0.512  -0.321 0.446  -0.288 0.380  -0.255 0.313  -0.222 0.247  -0.189 0.180  -0.155 0.114  -0.122 0.047  -0.089 -0.019  -0.056 -0.085  -0.023 -0.152  0.011 -0.218  0.044 -0.285  0.095 -0.338  0.148 -0.391  0.200 -0.443  0.253 -0.496  0.305 -0.548  0.358 -0.601  0.410 -0.653  0.463 -0.706  0.515 -0.758  0.568 -0.811  0.620 -0.863  0.673 -0.916  0.740 -0.933  0.814 -0.933  0.888 -0.933  0.963 -0.933  1.037 -0.933  1.111 -0.933  1.185 -0.933  1.260 -0.933  1.334 -0.933
