2#app#app31#app3144/p  0.257 0.897  0.072 0.897  -0.114 0.897  -0.116 0.714  -0.116 0.529  -0.116 0.344  -0.116 0.158  -0.116 -0.027  -0.116 -0.212  -0.116 -0.397  -0.116 -0.582  -0.228 -0.724  -0.302 -0.892  -0.310 -1.075  -0.393 -1.241  -0.395 -1.425  -0.488 -1.572  -0.488 -1.757  -0.581 -1.756  -0.581 -1.571  -0.581 -1.386  -0.571 -1.202  -0.526 -1.022  -0.479 -0.843  -0.420 -0.668  -0.361 -0.492  -0.303 -0.317  -0.244 -0.141  -0.186 0.035  -0.127 0.210  -0.033 0.369  0.069 0.523  0.128 0.698  0.197 0.870  0.293 1.026  0.424 1.157  0.554 1.288  0.685 1.419  0.815 1.416  0.815 1.230  0.815 1.045  0.723 0.898  0.722 0.713  0.606 0.572  0.516 0.412  0.385 0.281  0.254 0.152  0.164 0.061  0.071 0.153  0.071 0.338
2#app#app31#app3144/l  0.057 0.904  0.057 0.986  0.123 1.001  0.154 1.052  0.154 1.133  0.154 1.215  0.154 1.296  0.154 1.378  0.084 1.389  0.057 1.334  0.057 1.253  0.057 1.171  0.057 1.090  0.057 1.008  0.057 0.927  0.057 0.845  0.057 0.764  0.057 0.682  0.057 0.601  0.057 0.519  0.022 0.446  -0.014 0.373  -0.040 0.298  -0.040 0.216  -0.040 0.135  -0.040 0.053  -0.040 -0.028  -0.050 -0.109  -0.070 -0.188  -0.090 -0.267  -0.110 -0.346  -0.129 -0.425  -0.137 -0.505  -0.137 -0.587  -0.137 -0.668  -0.137 -0.750  -0.137 -0.831  -0.137 -0.913  -0.137 -0.994  -0.137 -1.076  -0.137 -1.157  -0.137 -1.239  -0.137 -1.320  -0.083 -1.379  -0.040 -1.443  -0.035 -1.520  0.047 -1.520  0.108 -1.570  0.170 -1.616  0.251 -1.616
2#app#app31#app3144/e  -0.537 -0.166  -0.537 -0.003  -0.537 0.159  -0.410 0.195  -0.247 0.195  -0.084 0.195  0.079 0.195  0.242 0.195  0.405 0.195  0.562 0.209  0.677 0.324  0.818 0.376  0.910 0.448  0.910 0.610  0.910 0.773  0.892 0.919  0.729 0.919  0.614 1.034  0.479 1.100  0.316 1.100  0.153 1.100  -0.005 1.088  -0.121 0.973  -0.236 0.858  -0.351 0.743  -0.512 0.738  -0.634 0.640  -0.718 0.512  -0.737 0.357  -0.852 0.242  -0.899 0.098  -0.899 -0.065  -0.899 -0.228  -0.899 -0.390  -0.899 -0.553  -0.892 -0.712  -0.746 -0.785  -0.601 -0.858  -0.472 -0.955  -0.357 -1.070  -0.195 -1.071  -0.032 -1.071  0.131 -1.071  0.294 -1.071  0.457 -1.071  0.620 -1.071  0.783 -1.071  0.946 -1.071  1.109 -1.071  1.272 -1.071
2#app#app31#app3144/a  0.880 0.226  0.672 0.226  0.520 0.360  0.373 0.507  0.226 0.653  0.029 0.681  -0.178 0.681  -0.386 0.681  -0.484 0.571  -0.575 0.454  -0.762 0.403  -0.909 0.256  -1.055 0.110  -1.166 -0.053  -1.166 -0.260  -1.178 -0.456  -1.386 -0.456  -1.393 -0.657  -1.393 -0.864  -1.232 -0.910  -1.024 -0.910  -0.852 -0.824  -0.705 -0.677  -0.558 -0.530  -0.411 -0.383  -0.264 -0.236  -0.117 -0.089  0.030 0.058  0.177 0.205  0.278 0.385  0.371 0.571  0.486 0.741  0.633 0.888  0.653 1.088  0.653 0.976  0.513 0.908  0.426 0.788  0.426 0.580  0.426 0.372  0.426 0.164  0.456 -0.031  0.603 -0.178  0.653 -0.365  0.653 -0.573  0.751 -0.683  0.880 -0.761  0.939 -0.910  1.147 -0.910  1.355 -0.910  1.562 -0.910
2#app#app31#app3144/s  0.323 1.342  0.323 1.226  0.323 1.110  0.240 1.078  0.124 1.078  0.023 1.114  -0.059 1.196  -0.141 1.277  -0.230 1.342  -0.346 1.342  -0.461 1.342  -0.469 1.234  -0.469 1.118  -0.469 1.002  -0.469 0.886  -0.469 0.771  -0.469 0.655  -0.469 0.539  -0.469 0.423  -0.469 0.307  -0.403 0.219  -0.321 0.137  -0.239 0.055  -0.157 -0.027  -0.075 -0.109  0.007 -0.191  0.089 -0.273  0.170 -0.354  0.252 -0.436  0.334 -0.518  0.416 -0.600  0.498 -0.682  0.580 -0.764  0.662 -0.846  0.744 -0.928  0.826 -1.010  0.772 -1.036  0.657 -1.036  0.541 -1.036  0.425 -1.036  0.309 -1.036  0.193 -1.036  0.077 -1.036  -0.038 -1.036  -0.154 -1.036  -0.270 -1.036  -0.386 -1.036  -0.469 -1.003  -0.469 -0.887  -0.469 -0.771
2#app#app31#app3144/e  -0.081 0.212  -0.245 0.212  -0.409 0.212  -0.573 0.212  -0.694 0.314  -0.830 0.382  -0.933 0.443  -0.879 0.552  -0.715 0.552  -0.551 0.552  -0.387 0.552  -0.224 0.552  -0.060 0.552  0.104 0.552  0.268 0.552  0.427 0.552  0.263 0.552  0.100 0.552  -0.064 0.552  -0.228 0.552  -0.392 0.552  -0.541 0.492  -0.688 0.419  -0.843 0.382  -0.985 0.330  -1.101 0.214  -1.103 0.051  -1.103 -0.113  -0.956 -0.129  -0.833 -0.229  -0.717 -0.345  -0.602 -0.460  -0.442 -0.470  -0.293 -0.534  -0.147 -0.607  0.010 -0.640  0.173 -0.640  0.337 -0.640  0.501 -0.640  0.665 -0.640  0.828 -0.640  0.992 -0.640  1.156 -0.640  1.320 -0.640  1.484 -0.640  1.621 -0.614  1.641 -0.470  1.805 -0.470  1.962 -0.463  1.962 -0.299
2#app#app31#app3144/c  0.787 0.956  0.903 0.956  0.945 1.031  0.911 1.114  0.795 1.114  0.678 1.114  0.562 1.114  0.448 1.103  0.344 1.051  0.240 0.999  0.140 0.941  0.058 0.859  -0.033 0.799  -0.150 0.799  -0.235 0.724  -0.317 0.641  -0.400 0.559  -0.475 0.474  -0.475 0.358  -0.535 0.266  -0.617 0.184  -0.699 0.101  -0.782 0.019  -0.791 -0.093  -0.835 -0.192  -0.917 -0.274  -0.949 -0.377  -0.949 -0.493  -0.949 -0.610  -0.844 -0.621  -0.791 -0.685  -0.769 -0.779  -0.652 -0.779  -0.536 -0.779  -0.420 -0.779  -0.303 -0.779  -0.187 -0.779  -0.071 -0.779  0.046 -0.779  0.162 -0.779  0.278 -0.779  0.395 -0.779  0.511 -0.779  0.627 -0.779  0.710 -0.698  0.795 -0.621  0.911 -0.621  1.027 -0.621  1.144 -0.621  1.260 -0.621
2#app#app31#app3144/a  0.416 1.184  0.416 1.014  0.315 0.945  0.145 0.945  -0.024 0.945  -0.194 0.945  -0.364 0.945  -0.534 0.945  -0.655 0.828  -0.775 0.708  -0.895 0.588  -1.015 0.468  -1.135 0.348  -1.252 0.226  -1.252 0.057  -1.252 -0.113  -1.252 -0.283  -1.252 -0.453  -1.155 -0.582  -1.035 -0.702  -0.874 -0.723  -0.704 -0.723  -0.535 -0.721  -0.415 -0.601  -0.293 -0.485  -0.124 -0.485  0.015 -0.410  0.135 -0.290  0.255 -0.169  0.375 -0.049  0.416 0.103  0.459 0.230  0.629 0.230  0.655 0.374  0.730 0.469  0.886 0.469  0.717 0.469  0.655 0.361  0.655 0.191  0.655 0.021  0.655 -0.149  0.655 -0.319  0.655 -0.488  0.655 -0.658  0.759 -0.723  0.893 -0.759  0.893 -0.929  1.030 -0.962  1.132 -1.030  1.132 -1.200
2#app#app31#app3144/l  0.366 1.621  0.366 1.550  0.363 1.480  0.312 1.429  0.262 1.379  0.227 1.321  0.227 1.250  0.208 1.187  0.157 1.136  0.107 1.086  0.089 1.021  0.089 0.950  0.089 0.878  0.089 0.807  0.089 0.736  0.089 0.664  0.062 0.599  0.030 0.535  -0.002 0.471  -0.034 0.407  -0.049 0.339  -0.049 0.268  -0.049 0.196  -0.049 0.125  -0.049 0.053  -0.049 -0.018  -0.049 -0.089  -0.049 -0.161  -0.049 -0.232  -0.049 -0.304  -0.049 -0.375  -0.049 -0.447  -0.049 -0.518  -0.049 -0.590  -0.049 -0.661  -0.050 -0.733  -0.082 -0.797  -0.114 -0.860  -0.146 -0.924  -0.178 -0.988  -0.188 -1.057  -0.188 -1.129  -0.188 -1.200  -0.188 -1.272  -0.188 -1.343  -0.188 -1.415  -0.188 -1.486  -0.188 -1.558  -0.188 -1.629  -0.188 -1.701
2#app#app31#app3144/l  0.474 1.602  0.423 1.550  0.372 1.499  0.321 1.448  0.292 1.388  0.292 1.316  0.292 1.244  0.292 1.171  0.292 1.099  0.272 1.035  0.221 0.984  0.170 0.933  0.119 0.882  0.109 0.814  0.109 0.741  0.103 0.670  0.080 0.602  0.057 0.533  0.034 0.465  0.012 0.396  -0.011 0.328  -0.034 0.259  -0.057 0.191  -0.073 0.121  -0.073 0.049  -0.073 -0.024  -0.073 -0.096  -0.073 -0.168  -0.073 -0.240  -0.073 -0.312  -0.073 -0.385  -0.073 -0.457  -0.073 -0.529  -0.073 -0.601  -0.073 -0.674  -0.073 -0.746  -0.107 -0.804  -0.158 -0.855  -0.209 -0.906  -0.255 -0.959  -0.255 -1.031  -0.255 -1.104  -0.255 -1.176  -0.255 -1.248  -0.255 -1.320  -0.255 -1.393  -0.255 -1.465  -0.255 -1.537  -0.255 -1.609  -0.255 -1.681
2#app#app31#app3144/1  0.156 0.280  0.156 0.386  0.156 0.491  0.156 0.597  0.224 0.635  0.329 0.635  0.334 0.737  0.334 0.843  0.334 0.948  0.270 0.991  0.165 0.991  0.156 1.088  0.156 1.194  0.156 1.300  0.097 1.346  -0.009 1.346  -0.022 1.254  -0.022 1.148  -0.022 1.042  -0.022 0.936  -0.022 0.830  -0.022 0.725  -0.022 0.619  -0.022 0.513  -0.022 0.407  -0.022 0.301  -0.022 0.196  -0.022 0.090  -0.022 -0.016  -0.036 -0.120  -0.070 -0.220  -0.103 -0.320  -0.137 -0.421  -0.170 -0.521  -0.200 -0.622  -0.200 -0.728  -0.200 -0.834  -0.200 -0.940  -0.200 -1.045  -0.200 -1.151  -0.200 -1.257  -0.200 -1.363  -0.200 -1.469  -0.200 -1.574  -0.195 -1.676  -0.089 -1.676  -0.022 -1.638  -0.022 -1.532  -0.022 -1.426  -0.022 -1.320
