2#app#app05#app0599/v  -0.955 1.055  -0.955 1.181  -0.955 1.306  -0.955 1.197  -0.890 1.098  -0.853 0.981  -0.797 0.869  -0.761 0.752  -0.714 0.638  -0.696 0.517  -0.660 0.400  -0.604 0.287  -0.547 0.175  -0.494 0.062  -0.455 -0.057  -0.420 -0.178  -0.390 -0.300  -0.334 -0.407  -0.268 -0.512  -0.212 -0.625  -0.143 -0.728  -0.076 -0.832  -0.004 -0.932  0.085 -1.021  0.186 -1.082  0.275 -1.155  0.338 -1.242  0.440 -1.311  0.534 -1.321  0.534 -1.195  0.534 -1.070  0.534 -0.944  0.534 -0.819  0.534 -0.693  0.534 -0.568  0.534 -0.442  0.534 -0.317  0.534 -0.192  0.534 -0.066  0.534 0.059  0.534 0.185  0.534 0.310  0.534 0.436  0.534 0.561  0.534 0.687  0.534 0.812  0.534 0.938  0.534 1.063  0.534 1.189  0.599 1.250
2#app#app05#app0599/e  -0.519 0.032  -0.402 -0.040  -0.256 -0.040  -0.160 0.011  -0.050 0.070  0.075 0.123  0.178 0.227  0.282 0.330  0.370 0.446  0.448 0.568  0.501 0.693  0.604 0.797  0.657 0.921  0.694 1.046  0.574 1.110  0.499 1.182  0.353 1.182  0.225 1.136  0.089 1.110  -0.027 1.033  -0.158 0.967  -0.289 0.902  -0.420 0.836  -0.512 0.726  -0.594 0.605  -0.726 0.540  -0.735 0.399  -0.797 0.267  -0.863 0.136  -0.879 -0.007  -0.879 -0.154  -0.847 -0.287  -0.766 -0.408  -0.735 -0.547  -0.669 -0.659  -0.547 -0.740  -0.439 -0.839  -0.325 -0.928  -0.189 -0.974  -0.047 -0.995  0.086 -1.056  0.225 -1.102  0.369 -1.118  0.516 -1.118  0.662 -1.118  0.809 -1.118  0.952 -1.101  1.086 -1.046  1.224 -1.027  1.349 -0.974
2#app#app05#app0599/x  0.061 1.815  -0.018 1.646  -0.079 1.458  -0.096 1.261  -0.096 1.059  -0.096 0.857  -0.096 0.655  -0.088 0.455  -0.024 0.263  -0.018 0.062  0.030 -0.132  0.061 -0.329  0.061 -0.531  0.139 -0.714  0.139 -0.916  0.187 -1.106  0.257 -1.285  0.296 -1.470  0.373 -1.635  0.283 -1.455  0.193 -1.274  0.103 -1.094  0.012 -0.913  -0.078 -0.733  -0.168 -0.552  -0.259 -0.372  -0.349 -0.191  -0.439 -0.011  -0.529 0.170  -0.620 0.351  -0.710 0.531  -0.800 0.712  -0.890 0.892  -0.912 1.030  -0.789 1.109  -0.627 1.012  -0.462 0.900  -0.346 0.745  -0.212 0.596  -0.075 0.449  0.037 0.281  0.203 0.174  0.303 0.003  0.446 -0.140  0.589 -0.283  0.732 -0.425  0.874 -0.568  1.023 -0.696  1.159 -0.808  1.316 -0.853
2#app#app05#app0599/i  -0.299 0.555  -0.235 0.497  -0.170 0.401  -0.162 0.280  -0.107 0.170  -0.105 0.048  -0.056 -0.063  -0.040 -0.182  -0.004 -0.296  0.051 -0.406  0.089 -0.520  0.103 -0.639  0.154 -0.750  0.155 -0.872  0.219 -0.968  0.237 -1.084  0.284 -1.187  0.349 -1.283  0.360 -1.401  0.413 -1.501  0.388 -1.419  0.357 -1.300  0.327 -1.181  0.297 -1.062  0.266 -0.943  0.236 -0.824  0.206 -0.705  0.175 -0.586  0.145 -0.467  0.114 -0.349  0.084 -0.230  0.054 -0.111  0.023 0.008  -0.007 0.127  -0.037 0.246  -0.068 0.365  -0.098 0.484  -0.128 0.603  -0.159 0.721  -0.189 0.840  -0.219 0.959  -0.250 1.078  -0.280 1.197  -0.310 1.316  -0.341 1.435  -0.364 1.554  -0.364 1.677  -0.364 1.800  -0.364 1.923  -0.364 2.045
2#app#app05#app0599/n  -0.846 0.807  -0.753 0.885  -0.675 0.736  -0.589 0.591  -0.526 0.424  -0.504 0.248  -0.440 0.082  -0.359 -0.080  -0.333 -0.256  -0.291 -0.430  -0.247 -0.604  -0.230 -0.783  -0.173 -0.955  -0.096 -1.119  -0.076 -1.296  0.009 -1.442  0.046 -1.586  0.095 -1.624  0.009 -1.478  -0.006 -1.300  -0.076 -1.135  -0.091 -0.957  -0.162 -0.793  -0.177 -0.615  -0.247 -0.450  -0.247 -0.269  -0.279 -0.092  -0.323 0.084  -0.333 0.264  -0.333 0.446  -0.333 0.627  -0.333 0.808  -0.325 0.986  -0.247 1.136  -0.129 1.268  0.020 1.368  0.192 1.406  0.351 1.383  0.404 1.214  0.485 1.052  0.566 0.890  0.607 0.718  0.652 0.547  0.715 0.378  0.759 0.202  0.849 0.053  0.917 -0.100  0.949 -0.268  1.035 -0.414  1.120 -0.560
2#app#app05#app0599/g  -0.694 0.293  -0.589 0.466  -0.492 0.643  -0.378 0.812  -0.273 0.985  -0.078 1.037  -0.019 0.879  -0.065 0.674  -0.154 0.490  -0.221 0.302  -0.329 0.118  -0.435 -0.055  -0.627 -0.111  -0.694 0.089  -0.762 0.278  -0.762 0.495  -0.762 0.711  -0.762 0.928  -0.762 1.144  -0.669 1.307  -0.531 1.212  -0.358 1.106  -0.236 0.931  -0.091 0.772  0.014 0.583  0.131 0.401  0.184 0.197  0.289 0.017  0.325 -0.191  0.387 -0.393  0.458 -0.593  0.522 -0.795  0.522 -1.011  0.590 -1.200  0.590 -1.416  0.575 -1.629  0.522 -1.834  0.455 -1.852  0.432 -1.645  0.387 -1.447  0.387 -1.230  0.387 -1.014  0.387 -0.797  0.387 -0.580  0.387 -0.364  0.387 -0.147  0.387 0.069  0.474 0.265  0.522 0.471  0.657 0.631
2#app#app05#app0599/d  -0.244 1.991  -0.127 2.046  -0.079 1.955  -0.066 1.817  -0.039 1.681  -0.004 1.546  0.031 1.413  0.031 1.273  0.052 1.137  0.086 1.002  0.086 0.863  0.086 0.723  0.096 0.586  0.140 0.454  0.141 0.315  0.191 0.187  0.196 0.049  0.251 -0.067  0.251 -0.206  0.295 -0.338  0.352 -0.465  0.361 -0.602  0.416 -0.719  0.416 -0.657  0.361 -0.540  0.304 -0.424  0.237 -0.303  0.138 -0.206  0.017 -0.139  -0.081 -0.040  -0.199 0.012  -0.338 0.012  -0.457 -0.036  -0.556 -0.135  -0.615 -0.249  -0.628 -0.383  -0.628 -0.522  -0.580 -0.641  -0.559 -0.772  -0.482 -0.886  -0.420 -1.010  -0.321 -1.104  -0.206 -1.180  -0.074 -1.197  0.063 -1.186  0.196 -1.142  0.317 -1.076  0.438 -1.032  0.518 -0.937  0.636 -0.867
2#app#app05#app0599/a  -0.822 0.590  -0.700 0.673  -0.656 0.833  -0.574 0.955  -0.370 0.955  -0.165 0.955  0.039 0.955  0.151 0.863  0.275 0.710  0.395 0.555  0.395 0.351  0.395 0.147  0.395 -0.057  0.356 -0.255  0.292 -0.449  0.256 -0.643  0.151 -0.804  0.139 -1.003  -0.020 -1.113  -0.185 -1.206  -0.330 -1.350  -0.532 -1.356  -0.649 -1.215  -0.763 -1.049  -0.822 -0.869  -0.822 -0.665  -0.822 -0.460  -0.822 -0.256  -0.822 -0.052  -0.822 0.152  -0.815 0.354  -0.700 0.510  -0.612 0.678  -0.468 0.822  -0.389 0.955  -0.185 0.955  0.019 0.955  0.202 0.904  0.347 0.760  0.491 0.615  0.516 0.422  0.588 0.239  0.701 0.069  0.830 -0.088  0.886 -0.270  0.977 -0.453  1.106 -0.608  1.165 -0.788  1.309 -0.933  1.489 -0.991
2#app#app05#app0599/f  -0.042 -0.284  0.029 -0.454  0.029 -0.641  0.060 -0.815  0.101 -0.986  0.101 -1.173  0.153 -1.338  0.184 -1.512  0.244 -1.612  0.171 -1.497  0.101 -1.326  0.067 -1.147  0.020 -0.970  -0.040 -0.793  -0.042 -0.606  -0.046 -0.420  -0.114 -0.249  -0.114 -0.062  -0.114 0.125  -0.114 0.312  -0.114 0.500  -0.114 0.687  -0.076 0.865  -0.042 1.044  -0.037 1.230  0.057 1.390  0.157 1.546  0.295 1.649  0.452 1.720  0.583 1.688  0.486 1.528  0.390 1.367  0.294 1.207  0.197 1.046  0.101 0.886  0.005 0.726  -0.091 0.565  -0.188 0.405  -0.284 0.244  -0.380 0.084  -0.476 -0.077  -0.573 -0.237  -0.669 -0.398  -0.629 -0.556  -0.447 -0.570  -0.260 -0.570  -0.085 -0.599  0.084 -0.641  0.272 -0.641  0.459 -0.641
2#app#app05#app0599/t  -0.103 1.963  -0.026 1.877  -0.017 1.724  0.024 1.579  0.069 1.435  0.069 1.273  0.069 1.111  0.069 0.948  0.069 0.786  0.085 0.626  0.136 0.472  0.155 0.313  0.155 0.150  0.155 -0.012  0.207 -0.153  0.241 -0.301  0.241 -0.464  0.241 -0.626  0.241 -0.788  0.241 -0.951  0.241 -1.113  0.241 -1.275  0.241 -1.438  0.241 -1.600  0.178 -1.557  0.086 -1.423  -0.006 -1.289  -0.097 -1.155  -0.189 -1.021  -0.281 -0.887  -0.372 -0.753  -0.464 -0.619  -0.556 -0.485  -0.647 -0.351  -0.739 -0.217  -0.831 -0.083  -0.796 -0.015  -0.720 0.071  -0.593 0.157  -0.517 0.243  -0.364 0.284  -0.212 0.329  -0.085 0.415  0.077 0.415  0.239 0.415  0.402 0.415  0.564 0.415  0.727 0.415  0.889 0.415  1.016 0.329
2#app#app05#app0599/j  -0.369 1.239  -0.348 1.383  -0.182 1.383  -0.081 1.318  0.060 1.240  0.104 1.086  0.202 0.955  0.218 0.796  0.314 0.664  0.388 0.516  0.423 0.358  0.472 0.204  0.495 0.044  0.515 -0.118  0.567 -0.275  0.567 -0.441  0.567 -0.607  0.567 -0.772  0.567 -0.938  0.541 -1.093  0.450 -1.229  0.348 -1.355  0.210 -1.423  0.076 -1.499  -0.090 -1.499  -0.238 -1.442  -0.369 -1.347  -0.377 -1.182  -0.424 -1.023  -0.470 -0.864  -0.517 -0.705  -0.563 -0.546  -0.609 -0.387  -0.656 -0.228  -0.702 -0.069  -0.748 0.090  -0.795 0.249  -0.841 0.408  -0.823 0.518  -0.657 0.518  -0.492 0.518  -0.328 0.532  -0.171 0.584  -0.007 0.592  0.129 0.662  0.295 0.662  0.460 0.662  0.626 0.662  0.768 0.606  0.927 0.590
