3#app#app11#app1157/f  0.793 1.063  0.793 1.225  0.723 1.358  0.654 1.491  0.550 1.549  0.388 1.549  0.226 1.549  0.133 1.479  0.029 1.422  -0.028 1.284  -0.110 1.196  -0.123 1.037  -0.179 0.889  -0.179 0.727  -0.179 0.565  -0.179 0.403  -0.179 0.241  -0.179 0.079  -0.179 -0.083  -0.179 -0.245  -0.179 -0.407  -0.179 -0.569  -0.155 -0.728  -0.123 -0.887  -0.042 -1.019  0.033 -1.163  0.098 -1.298  0.231 -1.367  0.265 -1.397  0.147 -1.286  0.029 -1.175  -0.089 -1.064  -0.207 -0.953  -0.325 -0.842  -0.443 -0.731  -0.561 -0.620  -0.679 -0.509  -0.797 -0.398  -0.818 -0.326  -0.656 -0.326  -0.494 -0.326  -0.348 -0.286  -0.199 -0.256  -0.044 -0.224  0.105 -0.162  0.259 -0.118  0.421 -0.118  0.569 -0.056  0.729 -0.048  0.862 -0.118
3#app#app11#app1157/o  0.387 0.819  0.526 0.833  0.497 0.958  0.343 0.958  0.207 0.917  0.094 0.819  -0.050 0.798  -0.159 0.690  -0.267 0.581  -0.307 0.445  -0.406 0.353  -0.544 0.284  -0.661 0.188  -0.724 0.061  -0.779 -0.070  -0.863 -0.188  -0.898 -0.327  -1.001 -0.437  -1.001 -0.591  -1.001 -0.744  -1.001 -0.897  -0.937 -0.986  -0.807 -1.042  -0.688 -1.125  -0.535 -1.125  -0.381 -1.125  -0.228 -1.125  -0.075 -1.125  0.078 -1.125  0.196 -1.038  0.304 -0.930  0.423 -0.847  0.561 -0.811  0.664 -0.700  0.674 -0.550  0.743 -0.412  0.803 -0.273  0.803 -0.120  0.803 0.033  0.803 0.186  0.803 0.340  0.803 0.493  0.729 0.615  0.621 0.724  0.512 0.832  0.404 0.940  0.295 1.049  0.187 1.157  0.079 1.266  -0.030 1.374
3#app#app11#app1157/x  -1.384 1.068  -1.338 0.924  -1.240 0.833  -1.143 0.683  -0.973 0.636  -0.934 0.474  -0.800 0.340  -0.665 0.206  -0.531 0.072  -0.441 -0.095  -0.339 -0.247  -0.169 -0.332  -0.018 -0.442  0.117 -0.576  0.251 -0.711  0.395 -0.831  0.565 -0.916  0.714 -1.030  0.849 -1.164  1.007 -1.240  1.035 -1.117  0.984 -0.935  0.934 -0.752  0.883 -0.569  0.832 -0.386  0.781 -0.203  0.730 -0.020  0.679 0.163  0.629 0.346  0.578 0.529  0.527 0.712  0.476 0.895  0.425 1.078  0.374 1.261  0.348 1.267  0.287 1.091  0.201 0.922  0.067 0.788  0.035 0.611  -0.085 0.471  -0.085 0.281  -0.185 0.153  -0.355 0.068  -0.374 -0.110  -0.405 -0.293  -0.490 -0.463  -0.608 -0.609  -0.662 -0.776  -0.672 -0.962  -0.807 -1.096
3#app#app11#app1157/y  -0.631 1.272  -0.710 1.166  -0.716 1.030  -0.789 0.922  -0.789 0.783  -0.789 0.645  -0.789 0.506  -0.751 0.406  -0.710 0.308  -0.631 0.248  -0.571 0.169  -0.474 0.082  -0.406 0.012  -0.267 0.012  -0.137 0.033  -0.039 0.131  0.083 0.169  0.156 0.235  0.245 0.337  0.343 0.435  0.423 0.546  0.493 0.664  0.591 0.762  0.635 0.878  0.707 0.945  0.776 1.025  0.707 0.915  0.662 0.787  0.629 0.657  0.573 0.531  0.511 0.407  0.449 0.283  0.387 0.159  0.325 0.036  0.278 -0.094  0.234 -0.226  0.191 -0.357  0.147 -0.489  0.103 -0.620  0.059 -0.752  0.015 -0.883  -0.001 -1.019  -0.001 -1.158  -0.041 -1.290  -0.080 -1.422  -0.080 -1.560  -0.080 -1.699  -0.080 -1.838  -0.080 -1.976  -0.080 -2.115
3#app#app11#app1157/z  -1.058 0.607  -1.023 0.496  -0.948 0.568  -0.841 0.607  -0.737 0.708  -0.601 0.733  -0.494 0.827  -0.348 0.827  -0.202 0.827  -0.092 0.912  0.044 0.938  0.147 1.041  0.290 1.047  0.436 1.047  0.582 1.047  0.689 1.142  0.814 1.143  0.814 0.997  0.754 0.876  0.704 0.751  0.625 0.638  0.594 0.505  0.496 0.399  0.369 0.329  0.264 0.248  0.219 0.121  0.153 0.002  0.090 -0.118  -0.013 -0.221  -0.116 -0.324  -0.220 -0.427  -0.287 -0.545  -0.348 -0.666  -0.451 -0.769  -0.555 -0.872  -0.618 -0.992  -0.710 -1.046  -0.710 -1.156  -0.564 -1.156  -0.418 -1.156  -0.272 -1.156  -0.126 -1.156  -0.005 -1.094  0.120 -1.046  0.266 -1.044  0.397 -0.979  0.532 -0.936  0.654 -0.876  0.778 -0.825  0.924 -0.825
3#app#app11#app1157/u  -0.970 0.863  -0.970 0.759  -0.970 0.654  -0.970 0.549  -0.970 0.445  -0.970 0.340  -0.970 0.236  -0.970 0.131  -0.970 0.026  -0.970 -0.078  -0.970 -0.183  -0.970 -0.287  -0.908 -0.366  -0.834 -0.440  -0.824 -0.541  -0.775 -0.596  -0.678 -0.604  -0.678 -0.709  -0.607 -0.742  -0.502 -0.742  -0.398 -0.742  -0.293 -0.742  -0.188 -0.742  -0.087 -0.734  -0.013 -0.660  0.065 -0.596  0.170 -0.596  0.274 -0.596  0.359 -0.564  0.406 -0.470  0.453 -0.377  0.512 -0.304  0.617 -0.304  0.635 -0.217  0.667 -0.126  0.741 -0.052  0.781 0.036  0.786 0.139  0.860 0.212  0.927 0.289  0.927 0.394  0.927 0.499  0.941 0.600  0.988 0.693  1.034 0.787  1.073 0.883  1.073 0.987  1.073 1.092  1.073 1.196  1.073 1.301
3#app#app11#app1157/l  0.086 1.684  0.086 1.614  0.086 1.544  0.086 1.474  0.069 1.408  0.038 1.346  0.006 1.283  -0.025 1.221  -0.034 1.153  -0.034 1.083  -0.034 1.013  -0.034 0.944  -0.034 0.874  -0.034 0.804  -0.034 0.734  -0.034 0.664  -0.034 0.594  -0.034 0.524  -0.034 0.454  -0.034 0.384  -0.034 0.315  -0.034 0.245  -0.034 0.175  -0.034 0.105  -0.034 0.035  -0.034 -0.035  -0.034 -0.105  -0.034 -0.175  -0.034 -0.245  -0.034 -0.314  -0.034 -0.384  -0.034 -0.454  -0.034 -0.524  -0.034 -0.594  -0.034 -0.664  -0.034 -0.734  -0.034 -0.804  -0.034 -0.874  -0.034 -0.943  -0.020 -1.011  0.002 -1.077  0.024 -1.144  0.046 -1.210  0.068 -1.276  0.086 -1.343  0.086 -1.413  0.086 -1.483  0.086 -1.553  0.086 -1.623  0.086 -1.693
3#app#app11#app1157/u  -0.741 1.464  -0.741 1.361  -0.741 1.259  -0.741 1.156  -0.741 1.054  -0.741 0.951  -0.741 0.849  -0.741 0.746  -0.741 0.644  -0.741 0.541  -0.741 0.439  -0.741 0.336  -0.741 0.234  -0.741 0.132  -0.741 0.029  -0.741 -0.073  -0.741 -0.176  -0.709 -0.265  -0.637 -0.338  -0.587 -0.419  -0.587 -0.522  -0.529 -0.600  -0.456 -0.673  -0.384 -0.745  -0.311 -0.817  -0.222 -0.850  -0.120 -0.850  -0.017 -0.850  0.085 -0.850  0.187 -0.848  0.259 -0.775  0.332 -0.703  0.431 -0.696  0.522 -0.667  0.594 -0.595  0.667 -0.522  0.739 -0.450  0.811 -0.377  0.884 -0.305  0.956 -0.232  0.956 -0.130  0.956 -0.027  0.956 0.075  1.001 0.167  1.047 0.259  1.093 0.350  1.110 0.449  1.119 0.547  1.192 0.620  1.264 0.692
3#app#app11#app1157/s  0.710 0.920  0.817 0.920  0.689 0.920  0.593 0.952  0.550 1.037  0.423 1.037  0.295 1.037  0.167 1.037  0.039 1.037  -0.078 0.994  -0.193 0.937  -0.316 0.920  -0.415 0.850  -0.523 0.803  -0.630 0.752  -0.696 0.651  -0.741 0.568  -0.852 0.529  -0.930 0.434  -0.959 0.334  -1.047 0.295  -1.047 0.167  -0.987 0.100  -0.880 0.050  -0.780 -0.017  -0.652 -0.017  -0.541 -0.056  -0.447 -0.142  -0.333 -0.199  -0.218 -0.252  -0.096 -0.266  -0.005 -0.356  0.117 -0.369  0.241 -0.372  0.256 -0.486  0.376 -0.504  0.466 -0.594  0.590 -0.603  0.681 -0.692  0.797 -0.720  0.827 -0.818  0.827 -0.946  0.825 -1.072  0.710 -1.084  0.687 -1.189  0.563 -1.204  0.448 -1.261  0.331 -1.306  0.215 -1.333  0.124 -1.423
3#app#app11#app1157/q  0.557 1.134  0.500 1.208  0.455 1.310  0.342 1.356  0.226 1.320  0.111 1.282  0.040 1.222  -0.065 1.156  -0.114 1.054  -0.207 0.961  -0.283 0.857  -0.349 0.745  -0.428 0.642  -0.477 0.523  -0.512 0.400  -0.570 0.283  -0.625 0.165  -0.625 0.034  -0.551 -0.066  -0.476 -0.122  -0.351 -0.096  -0.239 -0.031  -0.146 0.061  -0.053 0.154  0.039 0.247  0.080 0.361  0.172 0.454  0.213 0.568  0.261 0.555  0.261 0.424  0.261 0.293  0.201 0.187  0.188 0.062  0.188 -0.069  0.186 -0.200  0.127 -0.317  0.114 -0.445  0.114 -0.576  0.114 -0.707  0.114 -0.838  0.114 -0.969  0.114 -1.100  0.114 -1.231  0.114 -1.362  0.114 -1.493  0.114 -1.624  0.114 -1.755  0.114 -1.886  0.114 -2.017  0.188 -2.117
3#app#app11#app1157/u  -0.616 1.308  -0.616 1.197  -0.616 1.086  -0.653 0.991  -0.731 0.912  -0.756 0.812  -0.756 0.701  -0.756 0.590  -0.756 0.479  -0.826 0.397  -0.897 0.315  -0.897 0.204  -0.897 0.093  -0.897 -0.017  -0.897 -0.128  -0.897 -0.239  -0.897 -0.350  -0.836 -0.436  -0.758 -0.514  -0.679 -0.593  -0.595 -0.656  -0.484 -0.656  -0.476 -0.759  -0.402 -0.797  -0.291 -0.797  -0.181 -0.797  -0.070 -0.797  0.041 -0.797  0.133 -0.750  0.211 -0.671  0.290 -0.593  0.369 -0.516  0.479 -0.516  0.590 -0.516  0.685 -0.478  0.764 -0.399  0.787 -0.298  0.821 -0.201  0.900 -0.123  0.928 -0.023  0.970 0.045  1.068 0.058  1.068 0.169  1.068 0.280  1.068 0.391  1.093 0.491  1.171 0.570  1.208 0.665  1.208 0.776  1.208 0.887
