1c#apa#apa02#app0242/f  0.466 1.847  0.315 1.847  0.188 1.793  0.131 1.666  0.023 1.625  0.020 1.477  0.020 1.327  0.020 1.177  0.020 1.027  0.020 0.877  0.020 0.727  0.020 0.577  0.020 0.426  0.020 0.276  0.020 0.126  0.020 -0.024  0.020 -0.174  0.020 -0.324  0.020 -0.474  0.020 -0.624  0.020 -0.775  0.020 -0.925  0.020 -1.075  0.020 -1.225  0.020 -1.375  0.020 -1.525  -0.013 -1.548  -0.085 -1.416  -0.157 -1.284  -0.229 -1.152  -0.300 -1.020  -0.372 -0.889  -0.444 -0.757  -0.516 -0.625  -0.588 -0.493  -0.649 -0.359  -0.649 -0.208  -0.549 -0.159  -0.510 -0.047  -0.379 -0.000  -0.256 0.064  -0.106 0.064  0.042 0.075  0.176 0.142  0.318 0.176  0.468 0.176  0.619 0.176  0.745 0.233  0.873 0.287  1.023 0.287
1c#apa#apa02#app0242/o  0.349 0.981  0.349 1.113  0.349 1.244  0.274 1.301  0.143 1.301  0.017 1.288  -0.076 1.195  -0.185 1.141  -0.290 1.114  -0.290 0.983  -0.382 0.889  -0.475 0.796  -0.568 0.704  -0.610 0.589  -0.641 0.471  -0.734 0.378  -0.769 0.261  -0.769 0.130  -0.769 -0.002  -0.769 -0.133  -0.769 -0.265  -0.769 -0.396  -0.769 -0.527  -0.739 -0.646  -0.646 -0.739  -0.610 -0.856  -0.559 -0.936  -0.434 -0.952  -0.341 -1.045  -0.230 -1.096  -0.099 -1.096  0.033 -1.096  0.164 -1.096  0.264 -1.021  0.361 -0.936  0.492 -0.936  0.509 -0.821  0.595 -0.776  0.669 -0.718  0.669 -0.587  0.670 -0.456  0.763 -0.363  0.828 -0.258  0.828 -0.127  0.828 0.005  0.828 0.136  0.828 0.267  0.828 0.399  0.828 0.530  0.828 0.662
1c#apa#apa02#app0242/x  -1.057 1.029  -0.853 1.029  -0.768 0.911  -0.624 0.852  -0.532 0.740  -0.472 0.596  -0.288 0.549  -0.190 0.386  -0.102 0.219  -0.046 0.039  0.083 -0.111  0.099 -0.309  0.167 -0.484  0.243 -0.656  0.243 -0.860  0.243 -1.063  0.334 -1.229  0.388 -1.411  0.417 -1.242  0.449 -1.041  0.480 -0.840  0.512 -0.639  0.544 -0.438  0.576 -0.237  0.607 -0.035  0.639 0.166  0.671 0.367  0.703 0.568  0.734 0.769  0.766 0.970  0.798 1.171  0.821 1.263  0.707 1.173  0.648 1.029  0.470 0.967  0.326 0.823  0.243 0.654  0.140 0.493  -0.004 0.349  -0.148 0.205  -0.292 0.061  -0.414 -0.101  -0.527 -0.271  -0.644 -0.436  -0.788 -0.580  -0.913 -0.732  -0.974 -0.911  -1.057 -1.080  -1.160 -1.241  -1.202 -1.427
1c#apa#apa02#app0242/y  -0.620 1.158  -0.707 1.053  -0.707 0.912  -0.734 0.783  -0.794 0.666  -0.794 0.525  -0.794 0.384  -0.794 0.243  -0.787 0.105  -0.707 -0.003  -0.707 -0.144  -0.608 -0.237  -0.486 -0.191  -0.387 -0.091  -0.287 0.009  -0.249 0.134  -0.162 0.243  -0.099 0.369  -0.062 0.495  0.038 0.595  0.078 0.720  0.078 0.861  0.152 0.971  0.165 1.107  0.228 1.222  0.252 1.138  0.252 0.997  0.252 0.856  0.252 0.715  0.252 0.574  0.272 0.441  0.339 0.328  0.339 0.187  0.339 0.046  0.393 -0.082  0.427 -0.216  0.441 -0.353  0.504 -0.479  0.514 -0.618  0.514 -0.759  0.514 -0.900  0.514 -1.041  0.514 -1.182  0.474 -1.317  0.429 -1.451  0.427 -1.591  0.427 -1.732  0.427 -1.873  0.339 -1.861  0.339 -1.719
1c#apa#apa02#app0242/z  -0.657 0.877  -0.657 0.981  -0.557 0.984  -0.549 1.081  -0.456 1.092  -0.352 1.092  -0.334 1.178  -0.252 1.200  -0.148 1.200  -0.044 1.200  0.060 1.200  0.164 1.200  0.249 1.155  0.312 1.077  0.312 0.973  0.312 0.869  0.309 0.766  0.236 0.693  0.204 0.602  0.165 0.514  0.097 0.438  0.094 0.335  0.020 0.262  -0.011 0.171  -0.042 0.076  -0.100 -0.010  -0.158 -0.097  -0.215 -0.183  -0.226 -0.284  -0.262 -0.379  -0.309 -0.472  -0.334 -0.570  -0.334 -0.674  -0.334 -0.778  -0.334 -0.882  -0.334 -0.986  -0.313 -1.082  -0.240 -1.155  -0.141 -1.169  -0.037 -1.169  0.067 -1.169  0.171 -1.169  0.275 -1.169  0.379 -1.169  0.483 -1.169  0.587 -1.169  0.674 -1.129  0.750 -1.061  0.854 -1.061  0.958 -1.061
1c#apa#apa02#app0242/u  -0.997 0.976  -0.997 0.832  -0.997 0.688  -0.997 0.544  -0.997 0.400  -0.997 0.256  -0.997 0.112  -0.997 -0.032  -0.997 -0.176  -0.997 -0.320  -0.997 -0.464  -0.997 -0.608  -0.997 -0.752  -0.955 -0.879  -0.851 -0.976  -0.707 -0.976  -0.579 -0.960  -0.559 -0.837  -0.415 -0.837  -0.300 -0.807  -0.276 -0.673  -0.174 -0.571  -0.073 -0.469  0.029 -0.368  0.126 -0.262  0.191 -0.134  0.255 -0.005  0.257 0.139  0.359 0.241  0.397 0.369  0.464 0.485  0.536 0.599  0.536 0.743  0.536 0.887  0.575 1.015  0.676 1.113  0.676 0.969  0.684 0.828  0.786 0.726  0.815 0.594  0.815 0.450  0.815 0.306  0.867 0.175  0.931 0.046  0.954 -0.093  1.023 -0.208  1.094 -0.323  1.094 -0.467  1.131 -0.595  1.233 -0.697
1c#apa#apa02#app0242/l  -0.177 1.689  -0.177 1.615  -0.177 1.541  -0.177 1.466  -0.177 1.392  -0.177 1.318  -0.145 1.251  -0.112 1.184  -0.079 1.118  -0.051 1.050  -0.051 0.976  -0.026 0.912  0.027 0.860  0.074 0.805  0.074 0.731  0.074 0.656  0.074 0.582  0.112 0.523  0.165 0.471  0.199 0.411  0.199 0.337  0.199 0.262  0.199 0.188  0.199 0.114  0.199 0.039  0.199 -0.035  0.199 -0.109  0.199 -0.184  0.152 -0.238  0.099 -0.291  0.074 -0.355  0.074 -0.429  0.054 -0.500  0.031 -0.571  0.007 -0.641  -0.016 -0.712  -0.040 -0.782  -0.051 -0.855  -0.051 -0.929  -0.051 -1.003  -0.051 -1.078  -0.051 -1.152  -0.051 -1.226  -0.051 -1.300  -0.091 -1.358  -0.144 -1.411  -0.177 -1.472  -0.177 -1.546  -0.177 -1.620  -0.177 -1.694
1c#apa#apa02#app0242/u  -0.815 0.988  -0.815 0.829  -0.815 0.670  -0.927 0.557  -0.974 0.417  -0.974 0.258  -0.974 0.099  -0.974 -0.060  -0.974 -0.219  -0.974 -0.379  -0.974 -0.538  -0.974 -0.697  -0.974 -0.856  -0.974 -1.015  -0.882 -1.083  -0.723 -1.083  -0.564 -1.083  -0.432 -1.018  -0.319 -0.906  -0.206 -0.793  -0.178 -0.646  -0.094 -0.521  0.019 -0.409  0.131 -0.296  0.206 -0.157  0.277 -0.014  0.300 0.140  0.376 0.267  0.460 0.392  0.460 0.551  0.488 0.698  0.601 0.811  0.619 0.963  0.619 1.122  0.619 1.281  0.619 1.173  0.619 1.014  0.619 0.854  0.619 0.695  0.713 0.575  0.778 0.443  0.778 0.284  0.778 0.125  0.778 -0.034  0.778 -0.194  0.778 -0.353  0.778 -0.512  0.825 -0.652  0.937 -0.764  0.937 -0.923
1c#apa#apa02#app0242/s  0.773 0.580  0.773 0.699  0.688 0.735  0.618 0.784  0.608 0.899  0.524 0.984  0.429 1.044  0.309 1.044  0.309 1.163  0.225 1.198  0.105 1.198  -0.000 1.184  -0.000 1.064  -0.099 1.044  -0.218 1.044  -0.309 1.015  -0.309 0.895  -0.422 0.889  -0.464 0.811  -0.464 0.691  -0.464 0.572  -0.464 0.452  -0.422 0.343  -0.369 0.236  -0.315 0.129  -0.309 0.011  -0.239 -0.038  -0.155 -0.074  -0.154 -0.193  -0.035 -0.193  -0.000 -0.278  0.050 -0.348  0.155 -0.362  0.155 -0.482  0.225 -0.572  0.309 -0.657  0.309 -0.777  0.309 -0.896  0.274 -1.001  0.189 -1.086  0.155 -1.191  0.119 -1.275  -0.000 -1.275  -0.120 -1.275  -0.155 -1.360  -0.204 -1.430  -0.324 -1.430  -0.443 -1.430  -0.534 -1.500  -0.618 -1.584
1c#apa#apa02#app0242/q  0.174 1.387  0.021 1.387  -0.104 1.318  -0.188 1.249  -0.310 1.176  -0.376 1.038  -0.376 0.885  -0.376 0.732  -0.376 0.579  -0.307 0.454  -0.183 0.425  -0.030 0.425  0.098 0.486  0.206 0.595  0.326 0.660  0.380 0.801  0.449 0.925  0.449 1.079  0.398 1.181  0.284 1.085  0.200 0.959  0.163 0.815  0.094 0.678  0.031 0.539  -0.007 0.391  -0.032 0.241  -0.060 0.094  -0.121 -0.046  -0.169 -0.191  -0.174 -0.344  -0.222 -0.489  -0.238 -0.639  -0.254 -0.790  -0.303 -0.935  -0.307 -1.088  -0.307 -1.241  -0.307 -1.394  -0.307 -1.547  -0.307 -1.700  -0.182 -1.649  -0.074 -1.540  0.010 -1.415  0.103 -1.295  0.172 -1.159  0.257 -1.031  0.336 -0.900  0.404 -0.763  0.449 -0.621  0.480 -0.475  0.517 -0.331
1c#apa#apa02#app0242/u  -0.692 0.882  -0.802 0.829  -0.909 0.772  -0.948 0.626  -1.022 0.493  -1.022 0.329  -1.062 0.182  -1.132 0.047  -1.132 -0.117  -1.132 -0.281  -1.132 -0.445  -1.132 -0.608  -1.053 -0.740  -1.012 -0.881  -0.849 -0.881  -0.719 -0.798  -0.571 -0.760  -0.448 -0.660  -0.307 -0.606  -0.191 -0.490  -0.075 -0.375  0.041 -0.259  0.157 -0.143  0.194 0.005  0.310 0.121  0.426 0.237  0.520 0.362  0.558 0.517  0.631 0.664  0.631 0.827  0.631 0.991  0.631 1.155  0.524 1.213  0.520 1.053  0.520 0.889  0.520 0.725  0.520 0.561  0.520 0.398  0.520 0.234  0.520 0.070  0.587 -0.066  0.631 -0.212  0.677 -0.330  0.741 -0.430  0.741 -0.594  0.809 -0.729  0.956 -0.771  0.996 -0.915  1.128 -0.991  1.182 -1.101
