1c#app#app31#app3142/v  -0.669 0.234  -0.568 0.335  -0.490 0.445  -0.490 0.587  -0.628 0.593  -0.669 0.693  -0.669 0.836  -0.669 0.924  -0.669 0.782  -0.536 0.772  -0.490 0.676  -0.490 0.533  -0.490 0.390  -0.490 0.247  -0.581 0.142  -0.669 0.036  -0.669 -0.107  -0.669 -0.249  -0.669 -0.392  -0.669 -0.535  -0.669 -0.678  -0.669 -0.820  -0.669 -0.963  -0.669 -1.106  -0.623 -1.203  -0.481 -1.203  -0.338 -1.203  -0.229 -1.121  -0.128 -1.020  -0.027 -0.919  0.074 -0.818  0.175 -0.717  0.276 -0.616  0.377 -0.516  0.478 -0.415  0.579 -0.314  0.646 -0.188  0.709 -0.061  0.777 0.064  0.878 0.165  0.946 0.280  0.953 0.420  1.054 0.521  1.126 0.634  1.126 0.776  1.126 0.919  1.236 0.952  1.305 0.878  1.305 0.735  1.305 0.593
1c#app#app31#app3142/e  -0.788 -0.306  -0.917 -0.177  -1.014 -0.036  -1.014 0.146  -0.833 0.147  -0.651 0.147  -0.469 0.147  -0.287 0.147  -0.106 0.149  0.022 0.278  0.165 0.373  0.347 0.373  0.529 0.373  0.669 0.472  0.799 0.600  0.981 0.600  1.023 0.739  1.023 0.921  0.973 1.052  0.791 1.052  0.609 1.052  0.427 1.052  0.274 0.982  0.145 0.854  0.017 0.725  -0.113 0.600  -0.295 0.600  -0.436 0.499  -0.564 0.370  -0.693 0.242  -0.821 0.113  -0.950 -0.015  -1.014 -0.171  -1.014 -0.353  -1.013 -0.534  -0.884 -0.663  -0.742 -0.759  -0.560 -0.759  -0.378 -0.759  -0.237 -0.857  -0.108 -0.985  0.074 -0.985  0.256 -0.985  0.438 -0.985  0.620 -0.985  0.802 -0.985  0.984 -0.985  1.150 -0.921  1.313 -0.840  1.476 -0.759
1c#app#app31#app3142/r  -0.541 0.172  -0.446 0.077  -0.351 -0.018  -0.400 -0.113  -0.496 -0.209  -0.541 -0.324  -0.541 -0.459  -0.541 -0.594  -0.541 -0.728  -0.541 -0.863  -0.645 -0.893  -0.754 -0.919  -0.754 -1.053  -0.754 -1.188  -0.754 -1.316  -0.754 -1.181  -0.754 -1.046  -0.754 -0.912  -0.672 -0.811  -0.577 -0.716  -0.541 -0.596  -0.541 -0.462  -0.541 -0.327  -0.513 -0.199  -0.453 -0.079  -0.393 0.042  -0.333 0.162  -0.241 0.259  -0.146 0.354  -0.050 0.450  0.045 0.545  0.140 0.640  0.235 0.735  0.311 0.838  0.311 0.973  0.394 1.024  0.529 1.024  0.664 1.024  0.737 0.963  0.737 0.828  0.854 0.811  0.950 0.772  0.950 0.638  1.045 0.598  1.163 0.582  1.163 0.447  1.228 0.353  1.348 0.292  1.469 0.232  1.589 0.172
1c#app#app31#app3142/h  0.090 1.555  -0.056 1.576  -0.098 1.701  -0.203 1.638  -0.203 1.471  -0.203 1.303  -0.203 1.136  -0.203 0.968  -0.203 0.801  -0.203 0.633  -0.203 0.466  -0.241 0.307  -0.316 0.157  -0.349 -0.002  -0.349 -0.170  -0.349 -0.337  -0.419 -0.489  -0.494 -0.638  -0.496 -0.805  -0.496 -0.973  -0.554 -1.082  -0.642 -1.161  -0.642 -1.129  -0.642 -0.961  -0.642 -0.794  -0.642 -0.626  -0.616 -0.470  -0.497 -0.351  -0.496 -0.184  -0.456 -0.057  -0.349 0.004  -0.291 0.148  -0.173 0.266  -0.054 0.385  0.064 0.503  0.221 0.529  0.242 0.383  0.383 0.357  0.416 0.203  0.530 0.082  0.550 -0.077  0.668 -0.195  0.683 -0.357  0.801 -0.475  0.920 -0.594  1.038 -0.712  1.157 -0.831  1.275 -0.949  1.394 -1.067  1.555 -1.082
1c#app#app31#app3142/e  -0.107 0.341  -0.293 0.341  -0.479 0.341  -0.557 0.232  -0.412 0.191  -0.257 0.160  -0.189 0.041  -0.003 0.041  0.183 0.041  0.369 0.041  0.555 0.041  0.712 0.111  0.844 0.243  0.942 0.388  0.942 0.574  0.857 0.726  0.792 0.885  0.662 0.941  0.476 0.941  0.290 0.941  0.113 0.901  -0.053 0.818  -0.233 0.791  -0.416 0.782  -0.547 0.650  -0.679 0.519  -0.838 0.425  -1.004 0.342  -1.180 0.317  -1.306 0.183  -1.306 -0.003  -1.306 -0.189  -1.223 -0.341  -1.091 -0.473  -0.960 -0.604  -0.817 -0.708  -0.631 -0.708  -0.444 -0.708  -0.258 -0.708  -0.092 -0.791  0.078 -0.858  0.265 -0.858  0.451 -0.858  0.637 -0.858  0.823 -0.858  1.009 -0.858  1.165 -0.785  1.319 -0.708  1.505 -0.708  1.691 -0.708
1c#app#app31#app3142/a  0.571 0.434  0.571 0.606  0.460 0.732  0.321 0.810  0.149 0.810  -0.023 0.810  -0.191 0.801  -0.313 0.679  -0.461 0.622  -0.633 0.622  -0.788 0.580  -0.909 0.459  -1.071 0.434  -1.208 0.349  -1.329 0.227  -1.451 0.105  -1.499 -0.047  -1.499 -0.219  -1.427 -0.319  -1.255 -0.319  -1.083 -0.319  -0.911 -0.319  -0.739 -0.319  -0.567 -0.319  -0.396 -0.319  -0.239 -0.253  -0.085 -0.176  0.076 -0.131  0.232 -0.093  0.354 0.029  0.514 0.057  0.571 0.173  0.670 0.246  0.759 0.328  0.759 0.500  0.759 0.571  0.759 0.399  0.746 0.233  0.624 0.111  0.571 -0.039  0.571 -0.211  0.599 -0.376  0.676 -0.530  0.753 -0.683  0.759 -0.854  0.860 -0.984  0.947 -1.120  0.979 -1.260  1.151 -1.260  1.323 -1.260
1c#app#app31#app3142/z  -0.709 0.951  -0.709 1.213  -0.573 1.338  -0.311 1.338  -0.049 1.338  0.170 1.234  0.395 1.145  0.464 0.951  0.570 0.951  0.454 0.804  0.241 0.748  0.007 0.630  -0.207 0.484  -0.392 0.299  -0.577 0.113  -0.763 -0.072  -0.903 -0.276  -0.903 -0.538  -0.903 -0.800  -0.829 -0.988  -0.567 -0.988  -0.305 -0.988  -0.042 -0.988  0.220 -0.988  0.482 -0.988  0.744 -0.988  1.006 -0.988  1.074 -0.794  1.337 -0.794  1.258 -0.734  1.012 -0.645  0.766 -0.555  0.519 -0.465  0.273 -0.376  0.027 -0.286  -0.220 -0.197  -0.466 -0.107  -0.712 -0.021  -0.897 -0.206  -1.082 -0.033  -1.050 0.175  -0.787 0.175  -0.525 0.175  -0.263 0.175  -0.001 0.175  0.261 0.175  0.523 0.175  0.745 0.078  0.967 -0.019  1.229 -0.019
1c#app#app31#app3142/y  -0.764 1.097  -0.631 1.097  -0.512 1.065  -0.434 0.964  -0.402 0.845  -0.324 0.744  -0.292 0.625  -0.214 0.524  -0.182 0.405  -0.081 0.328  0.038 0.295  0.135 0.231  0.245 0.304  0.355 0.378  0.466 0.452  0.576 0.525  0.687 0.599  0.797 0.672  0.908 0.746  1.018 0.820  1.076 0.877  0.943 0.877  0.832 0.825  0.738 0.731  0.644 0.637  0.551 0.543  0.457 0.449  0.363 0.356  0.293 0.244  0.234 0.125  0.163 0.014  0.089 -0.097  0.015 -0.207  -0.046 -0.325  -0.106 -0.443  -0.200 -0.537  -0.293 -0.631  -0.387 -0.724  -0.464 -0.831  -0.523 -0.949  -0.544 -1.077  -0.641 -1.150  -0.760 -1.209  -0.764 -1.339  -0.764 -1.472  -0.700 -1.541  -0.567 -1.541  -0.466 -1.463  -0.347 -1.431  -0.214 -1.431
1c#app#app31#app3142/l  0.278 1.406  0.278 1.480  0.278 1.553  0.278 1.485  0.278 1.411  0.230 1.358  0.178 1.306  0.128 1.253  0.128 1.179  0.128 1.106  0.128 1.032  0.128 0.959  0.128 0.885  0.128 0.811  0.128 0.738  0.128 0.664  0.128 0.591  0.128 0.517  0.100 0.450  0.067 0.385  0.034 0.319  0.001 0.253  -0.022 0.185  -0.022 0.111  -0.022 0.038  -0.022 -0.036  -0.022 -0.109  -0.022 -0.183  -0.032 -0.252  -0.084 -0.304  -0.136 -0.356  -0.171 -0.415  -0.171 -0.489  -0.171 -0.562  -0.171 -0.636  -0.171 -0.709  -0.171 -0.783  -0.171 -0.856  -0.171 -0.930  -0.171 -1.003  -0.171 -1.077  -0.171 -1.151  -0.171 -1.224  -0.171 -1.298  -0.171 -1.371  -0.171 -1.445  -0.171 -1.518  -0.169 -1.589  -0.095 -1.589  -0.022 -1.589
1c#app#app31#app3142/a  0.705 0.819  0.599 0.713  0.494 0.607  0.355 0.582  0.205 0.582  0.056 0.582  -0.094 0.582  -0.243 0.582  -0.393 0.582  -0.542 0.582  -0.692 0.582  -0.841 0.582  -0.980 0.556  -1.086 0.450  -1.191 0.345  -1.297 0.239  -1.403 0.133  -1.428 -0.006  -1.403 -0.130  -1.253 -0.130  -1.191 -0.217  -1.191 -0.367  -1.042 -0.367  -0.892 -0.367  -0.743 -0.367  -0.593 -0.367  -0.444 -0.367  -0.294 -0.367  -0.174 -0.297  -0.068 -0.192  0.056 -0.130  0.205 -0.130  0.355 -0.130  0.494 -0.104  0.599 0.002  0.705 0.107  0.811 0.213  0.917 0.319  0.942 0.231  0.942 0.082  0.942 -0.068  0.942 -0.217  0.942 -0.367  0.942 -0.516  1.004 -0.604  1.154 -0.604  1.179 -0.728  1.205 -0.866  1.311 -0.972  1.416 -1.078
1c#app#app31#app3142/c  0.908 0.650  0.825 0.732  0.743 0.814  0.661 0.896  0.545 0.897  0.429 0.897  0.342 0.968  0.260 1.050  0.178 1.133  0.066 1.143  -0.050 1.143  -0.141 1.082  -0.223 1.000  -0.305 0.918  -0.388 0.836  -0.470 0.753  -0.552 0.671  -0.634 0.589  -0.716 0.507  -0.799 0.425  -0.820 0.317  -0.820 0.201  -0.820 0.085  -0.820 -0.031  -0.820 -0.147  -0.820 -0.264  -0.778 -0.338  -0.662 -0.338  -0.574 -0.366  -0.574 -0.482  -0.560 -0.585  -0.444 -0.585  -0.328 -0.585  -0.327 -0.700  -0.327 -0.816  -0.226 -0.832  -0.110 -0.832  0.007 -0.832  0.123 -0.832  0.239 -0.832  0.355 -0.832  0.472 -0.832  0.588 -0.832  0.704 -0.832  0.820 -0.832  0.936 -0.832  1.053 -0.832  1.169 -0.832  1.285 -0.832  1.401 -0.832
