1d#app#app11#app1186/!  -0.197 1.781  -0.197 1.699  -0.197 1.616  -0.197 1.534  -0.197 1.452  -0.197 1.369  -0.197 1.287  -0.197 1.204  -0.197 1.122  -0.197 1.039  -0.197 0.957  -0.197 0.875  -0.183 0.798  -0.125 0.739  -0.089 0.672  -0.089 0.589  -0.089 0.507  -0.089 0.425  -0.089 0.342  -0.089 0.260  -0.089 0.177  -0.089 0.095  -0.045 0.056  0.019 0.074  0.019 0.156  0.025 0.089  0.031 0.007  0.038 -0.075  0.044 -0.158  0.050 -0.240  0.056 -0.322  0.063 -0.404  0.069 -0.486  0.075 -0.569  0.082 -0.651  0.088 -0.733  0.094 -0.815  0.101 -0.897  0.107 -0.980  0.113 -1.062  0.120 -1.144  0.126 -1.226  0.127 -1.309  0.127 -1.391  0.146 -1.454  0.229 -1.454  0.311 -1.454  0.343 -1.403  0.368 -1.346  0.451 -1.346
1d#app#app11#app1186/@  0.574 0.494  0.448 0.657  0.247 0.618  0.083 0.540  -0.080 0.400  -0.162 0.241  -0.244 0.034  -0.244 -0.207  -0.153 -0.405  0.088 -0.405  0.281 -0.289  0.410 -0.102  0.492 0.106  0.476 0.330  0.402 0.158  0.329 -0.053  0.292 -0.278  0.247 -0.501  0.420 -0.569  0.579 -0.487  0.759 -0.362  0.819 -0.135  0.819 0.106  0.811 0.346  0.737 0.569  0.669 0.794  0.538 0.996  0.458 1.215  0.292 1.348  0.069 1.393  -0.169 1.386  -0.365 1.251  -0.489 1.069  -0.628 0.915  -0.711 0.702  -0.869 0.523  -0.924 0.304  -0.979 0.086  -1.061 -0.121  -1.061 -0.362  -1.061 -0.603  -0.944 -0.802  -0.859 -1.016  -0.689 -1.186  -0.518 -1.357  -0.309 -1.468  -0.068 -1.468  0.173 -1.468  0.415 -1.468  0.656 -1.468
1d#app#app11#app1186/#  -0.240 1.380  -0.240 1.122  -0.240 0.686  -0.352 0.277  -0.365 -0.156  -0.365 -0.592  -0.365 -1.028  -0.365 -1.464  -0.270 -1.125  -0.164 -0.702  -0.058 -0.280  0.047 0.143  0.153 0.566  0.259 0.989  0.365 1.412  0.470 1.835  0.509 1.752  0.388 1.366  0.388 0.930  0.388 0.494  0.388 0.059  0.513 -0.325  0.513 -0.761  0.513 -1.197  0.318 -1.222  -0.020 -0.948  -0.359 -0.673  -0.697 -0.398  -1.035 -0.123  -1.373 0.152  -1.215 0.250  -0.779 0.250  -0.343 0.250  0.092 0.250  0.499 0.376  0.883 0.502  1.318 0.502  1.065 0.346  0.671 0.158  0.278 -0.029  -0.116 -0.216  -0.509 -0.404  -0.903 -0.591  -1.185 -0.754  -0.750 -0.754  -0.366 -0.628  0.051 -0.546  0.476 -0.503  0.860 -0.377  1.267 -0.252
1d#app#app11#app1186/$  0.846 0.802  0.573 0.802  0.300 0.802  0.027 0.802  -0.246 0.802  -0.475 0.695  -0.652 0.536  -0.837 0.403  -0.678 0.267  -0.405 0.267  -0.132 0.267  0.096 0.160  0.325 0.053  0.576 0.001  0.801 -0.116  1.025 -0.234  1.060 -0.492  1.011 -0.745  0.869 -0.910  0.718 -1.081  0.455 -1.124  0.227 -1.231  -0.046 -1.231  -0.319 -1.231  -0.485 -1.124  -0.652 -1.018  -0.716 -0.858  -0.645 -0.594  -0.574 -0.330  -0.503 -0.067  -0.432 0.197  -0.361 0.460  -0.290 0.724  -0.219 0.988  -0.148 1.251  -0.077 1.515  -0.010 1.750  -0.062 1.499  -0.117 1.249  -0.117 0.976  -0.117 0.703  -0.094 0.435  -0.010 0.182  -0.010 -0.091  -0.010 -0.364  -0.010 -0.637  0.085 -0.887  0.097 -1.157  0.162 -1.403  0.204 -1.659
1d#app#app11#app1186/%  -0.533 0.719  -0.625 0.858  -0.809 0.898  -0.937 0.774  -1.054 0.627  -1.162 0.457  -1.176 0.231  -1.176 -0.000  -0.960 -0.016  -0.729 -0.016  -0.561 0.139  -0.436 0.265  -0.332 0.443  -0.258 0.601  -0.280 0.810  -0.420 0.902  -0.430 0.960  -0.228 1.072  -0.025 1.185  0.177 1.297  0.293 1.262  0.254 1.047  0.181 0.840  0.110 0.620  0.085 0.394  0.018 0.179  -0.073 -0.015  -0.074 -0.246  -0.141 -0.450  -0.166 -0.672  -0.209 -0.885  -0.258 -1.097  -0.170 -1.130  0.000 -0.973  0.171 -0.817  0.342 -0.660  0.513 -0.504  0.683 -0.347  0.831 -0.200  0.709 -0.335  0.569 -0.509  0.477 -0.702  0.477 -0.934  0.569 -1.073  0.756 -1.118  0.982 -1.095  1.120 -0.948  1.299 -0.842  1.303 -0.615  1.303 -0.383
1d#app#app11#app1186/^  -0.918 -1.157  -0.787 -1.157  -0.740 -1.073  -0.740 -0.942  -0.740 -0.811  -0.655 -0.715  -0.563 -0.622  -0.561 -0.492  -0.561 -0.361  -0.561 -0.230  -0.561 -0.099  -0.561 0.032  -0.561 0.163  -0.545 0.288  -0.453 0.380  -0.383 0.482  -0.383 0.614  -0.383 0.745  -0.383 0.876  -0.383 1.007  -0.383 1.138  -0.279 1.165  -0.204 1.221  -0.204 1.335  -0.204 1.203  -0.204 1.072  -0.204 0.941  -0.204 0.810  -0.076 0.808  -0.026 0.727  -0.011 0.599  0.048 0.482  0.107 0.365  0.172 0.253  0.265 0.160  0.348 0.061  0.407 -0.057  0.465 -0.174  0.532 -0.285  0.624 -0.378  0.689 -0.482  0.689 -0.613  0.776 -0.708  0.869 -0.799  1.000 -0.799  1.106 -0.860  1.199 -0.953  1.319 -0.978  1.403 -1.026  1.403 -1.157
1d#app#app11#app1186/&  0.663 0.962  0.794 0.904  0.647 1.093  0.400 1.005  0.111 0.948  -0.176 0.779  -0.424 0.568  -0.628 0.437  -0.779 0.176  -0.911 -0.104  -0.822 -0.350  -0.486 -0.350  -0.205 -0.219  0.094 -0.131  0.400 -0.076  0.591 0.103  0.428 0.175  0.269 -0.001  0.020 -0.088  -0.167 -0.261  -0.404 -0.499  -0.641 -0.736  -0.788 -1.006  -0.911 -1.218  -0.649 -1.291  -0.422 -1.399  -0.086 -1.399  0.217 -1.321  0.492 -1.176  0.768 -1.032  0.692 -0.725  0.577 -0.410  0.462 -0.094  0.348 0.221  0.233 0.536  0.118 0.851  0.004 1.167  -0.111 1.482  -0.226 1.797  -0.173 1.667  -0.124 1.351  -0.124 1.016  -0.111 0.686  0.007 0.399  0.007 0.064  0.030 -0.266  0.138 -0.576  0.191 -0.903  0.269 -1.226  0.400 -1.531
1d#app#app11#app1186/*  -0.261 1.133  -0.123 1.260  -0.123 0.970  -0.123 0.680  -0.123 0.390  -0.108 0.102  -0.037 -0.179  0.016 -0.462  0.016 -0.752  0.155 -0.985  0.155 -1.275  0.296 -1.505  0.435 -1.629  0.476 -1.342  0.517 -1.055  0.558 -0.768  0.599 -0.481  0.640 -0.194  0.681 0.093  0.722 0.380  0.763 0.667  0.804 0.954  0.845 1.241  0.868 1.272  0.710 1.140  0.485 0.994  0.433 0.757  0.256 0.540  0.051 0.335  -0.154 0.130  -0.323 -0.101  -0.483 -0.338  -0.686 -0.545  -0.847 -0.786  -1.049 -0.949  -1.116 -0.706  -1.143 -0.417  -1.169 -0.128  -1.195 0.161  -1.221 0.449  -1.211 0.439  -0.921 0.439  -0.645 0.406  -0.399 0.300  -0.125 0.232  0.109 0.068  0.357 -0.078  0.616 -0.208  0.895 -0.255  1.127 -0.394
1d#app#app11#app1186/(  0.349 1.521  0.349 1.431  0.296 1.395  0.224 1.378  0.224 1.288  0.152 1.270  0.073 1.245  0.009 1.181  -0.028 1.107  -0.029 1.018  -0.119 1.018  -0.154 0.964  -0.167 0.879  -0.230 0.816  -0.279 0.746  -0.279 0.657  -0.332 0.589  -0.395 0.525  -0.405 0.440  -0.405 0.350  -0.408 0.261  -0.471 0.198  -0.531 0.133  -0.531 0.043  -0.531 -0.047  -0.531 -0.136  -0.531 -0.226  -0.477 -0.294  -0.413 -0.357  -0.350 -0.420  -0.286 -0.484  -0.223 -0.547  -0.160 -0.611  -0.072 -0.617  -0.028 -0.662  -0.021 -0.749  0.042 -0.812  0.106 -0.876  0.169 -0.939  0.236 -0.994  0.326 -0.994  0.416 -0.994  0.489 -1.021  0.529 -1.101  0.569 -1.182  0.619 -1.245  0.709 -1.245  0.799 -1.245  0.852 -1.281  0.852 -1.371
1d#app#app11#app1186/)  -0.756 1.388  -0.681 1.388  -0.617 1.377  -0.617 1.301  -0.617 1.226  -0.617 1.151  -0.582 1.110  -0.507 1.110  -0.478 1.064  -0.478 0.988  -0.437 0.930  -0.384 0.877  -0.330 0.824  -0.277 0.770  -0.224 0.717  -0.171 0.664  -0.117 0.611  -0.064 0.557  -0.061 0.483  -0.056 0.410  -0.003 0.357  0.051 0.303  0.078 0.240  0.078 0.164  0.112 0.103  0.165 0.050  0.217 -0.004  0.217 -0.080  0.223 -0.153  0.257 -0.221  0.291 -0.288  0.324 -0.356  0.356 -0.423  0.356 -0.499  0.356 -0.574  0.356 -0.649  0.356 -0.725  0.356 -0.800  0.356 -0.875  0.356 -0.951  0.356 -1.026  0.356 -1.101  0.356 -1.177  0.356 -1.252  0.356 -1.327  0.352 -1.402  0.318 -1.469  0.285 -1.536  0.251 -1.604  0.217 -1.671
1d#app#app11#app1186/`  -0.918 1.335  -0.918 1.258  -0.918 1.181  -0.918 1.104  -0.918 1.026  -0.918 0.949  -0.918 0.872  -0.918 0.795  -0.918 0.718  -0.872 0.687  -0.795 0.687  -0.718 0.687  -0.641 0.687  -0.573 0.665  -0.518 0.611  -0.463 0.556  -0.409 0.502  -0.354 0.447  -0.300 0.393  -0.245 0.338  -0.191 0.284  -0.136 0.229  -0.082 0.175  -0.027 0.120  0.027 0.066  0.082 0.011  0.136 -0.043  0.191 -0.098  0.245 -0.152  0.300 -0.207  0.354 -0.261  0.379 -0.328  0.379 -0.406  0.379 -0.483  0.379 -0.560  0.398 -0.629  0.452 -0.683  0.507 -0.738  0.561 -0.792  0.616 -0.847  0.670 -0.901  0.734 -0.934  0.811 -0.934  0.888 -0.934  0.965 -0.934  1.027 -0.949  1.027 -1.027  1.027 -1.104  1.027 -1.181  1.027 -1.258
