3#app#app25#app2553/A  -1.343 -1.151  -1.144 -1.120  -1.101 -0.908  -0.945 -0.742  -0.945 -0.512  -0.873 -0.353  -0.745 -0.251  -0.651 -0.060  -0.489 0.103  -0.326 0.266  -0.163 0.429  -0.000 0.591  0.053 0.800  0.184 0.975  0.347 1.138  0.452 1.325  0.452 1.555  0.595 1.642  0.651 1.468  0.651 1.237  0.651 1.007  0.651 0.777  0.651 0.547  0.651 0.316  0.651 0.086  0.461 0.046  0.452 -0.175  0.452 -0.405  0.452 -0.635  0.452 -0.865  0.452 -1.096  0.452 -1.326  0.448 -1.545  0.310 -1.361  0.172 -1.177  0.034 -0.992  -0.104 -0.808  -0.242 -0.624  -0.381 -0.440  -0.519 -0.256  -0.657 -0.071  -0.670 0.083  -0.465 0.186  -0.346 0.343  -0.255 0.354  -0.070 0.246  0.160 0.246  0.390 0.246  0.452 0.414  0.651 0.445
3#app#app25#app2553/B  0.456 1.119  0.362 0.864  0.154 0.656  0.133 0.371  -0.028 0.238  -0.061 -0.043  -0.189 -0.284  -0.368 -0.493  -0.512 -0.644  -0.673 -0.776  -0.834 -1.004  -0.834 -1.298  -0.996 -1.431  -0.893 -1.300  -0.803 -1.072  -0.679 -0.805  -0.555 -0.539  -0.430 -0.272  -0.306 -0.006  -0.181 0.261  -0.057 0.527  0.067 0.794  0.192 1.060  0.294 1.332  0.133 1.419  0.289 1.281  0.546 1.370  0.801 1.419  0.940 1.183  1.101 1.050  0.958 0.815  0.940 0.529  0.767 0.313  0.473 0.313  0.294 0.197  0.046 0.152  -0.248 0.152  -0.512 0.121  -0.349 -0.010  -0.055 -0.010  0.240 -0.010  0.456 -0.182  0.557 -0.434  0.617 -0.703  0.436 -0.816  0.186 -0.924  -0.086 -0.977  -0.371 -0.998  -0.579 -1.206  -0.834 -1.300
3#app#app25#app2553/C  1.353 0.542  1.270 0.625  1.165 0.657  1.122 0.731  1.046 0.773  0.928 0.773  0.834 0.830  0.741 0.888  0.624 0.888  0.506 0.888  0.389 0.888  0.271 0.888  0.154 0.888  0.036 0.888  -0.081 0.888  -0.199 0.888  -0.263 0.834  -0.319 0.773  -0.378 0.715  -0.421 0.615  -0.504 0.532  -0.587 0.449  -0.670 0.366  -0.724 0.271  -0.724 0.153  -0.724 0.036  -0.757 -0.068  -0.840 -0.151  -0.840 -0.269  -0.840 -0.386  -0.840 -0.504  -0.833 -0.619  -0.750 -0.702  -0.643 -0.727  -0.609 -0.811  -0.523 -0.843  -0.493 -0.930  -0.404 -0.958  -0.286 -0.958  -0.169 -0.958  -0.051 -0.958  0.066 -0.958  0.184 -0.958  0.301 -0.958  0.419 -0.958  0.430 -0.851  0.539 -0.843  0.656 -0.843  0.660 -0.729  0.776 -0.727
3#app#app25#app2553/D  0.336 1.165  0.174 1.097  0.079 0.908  -0.083 0.746  -0.148 0.544  -0.310 0.477  -0.310 0.248  -0.310 0.019  -0.393 -0.127  -0.471 -0.277  -0.471 -0.506  -0.559 -0.698  -0.633 -0.896  -0.633 -1.125  -0.730 -1.256  -0.793 -1.091  -0.720 -0.874  -0.648 -0.657  -0.576 -0.440  -0.503 -0.223  -0.431 -0.006  -0.359 0.211  -0.286 0.428  -0.214 0.645  -0.142 0.862  -0.069 1.079  0.003 1.296  0.211 1.326  0.439 1.326  0.659 1.316  0.659 1.088  0.803 1.003  0.870 0.842  0.981 0.724  0.981 0.495  0.981 0.266  0.981 0.037  0.916 -0.127  0.820 -0.259  0.659 -0.326  0.553 -0.449  0.489 -0.619  0.323 -0.772  0.174 -0.852  0.027 -0.934  -0.040 -1.095  -0.269 -1.095  -0.498 -1.095  -0.727 -1.095  -0.794 -1.256
3#app#app25#app2553/E  0.043 1.184  -0.002 0.977  -0.119 0.800  -0.207 0.610  -0.281 0.415  -0.412 0.243  -0.457 0.036  -0.616 -0.124  -0.776 -0.283  -0.930 -0.445  -0.930 -0.671  -1.065 -0.761  -1.092 -0.961  -1.193 -1.086  -1.089 -1.086  -0.883 -1.039  -0.705 -0.924  -0.479 -0.924  -0.253 -0.924  -0.119 -1.015  0.036 -1.086  0.205 -1.143  0.326 -1.248  0.526 -1.226  0.497 -1.002  0.467 -0.778  0.437 -0.554  0.407 -0.330  0.377 -0.107  0.347 0.117  0.318 0.341  0.288 0.565  0.258 0.789  0.228 1.013  0.205 1.237  0.322 1.346  0.385 1.184  0.611 1.184  0.837 1.184  1.016 1.137  0.932 0.950  0.760 0.803  0.589 0.656  0.417 0.509  0.246 0.362  0.074 0.215  -0.097 0.068  0.043 0.015  0.141 -0.113  0.367 -0.113
3#app#app25#app2553/F  0.067 0.912  0.067 0.707  0.005 0.528  -0.093 0.364  -0.093 0.160  -0.202 0.000  -0.347 -0.145  -0.492 -0.289  -0.575 -0.459  -0.667 -0.626  -0.735 -0.802  -0.735 -1.007  -0.735 -1.211  -0.816 -1.336  -0.896 -1.460  -0.896 -1.649  -0.877 -1.448  -0.801 -1.258  -0.725 -1.068  -0.649 -0.878  -0.573 -0.688  -0.497 -0.498  -0.421 -0.308  -0.345 -0.118  -0.269 0.072  -0.193 0.262  -0.117 0.452  -0.041 0.642  0.035 0.832  0.186 0.912  0.343 1.026  0.528 1.072  0.733 1.072  0.938 1.072  1.142 1.072  1.347 1.072  1.318 0.890  1.148 0.776  0.978 0.663  0.808 0.549  0.637 0.436  0.467 0.322  0.297 0.209  0.127 0.095  -0.044 -0.018  0.051 -0.052  0.095 -0.212  0.300 -0.212  0.505 -0.212  0.709 -0.212
3#app#app25#app2553/G  1.390 1.288  1.226 1.310  1.101 1.430  0.927 1.430  0.753 1.430  0.608 1.359  0.464 1.288  0.320 1.213  0.197 1.090  0.074 0.967  -0.056 0.861  -0.214 0.822  -0.345 0.719  -0.519 0.719  -0.666 0.654  -0.789 0.530  -0.885 0.396  -0.885 0.222  -0.885 0.048  -0.885 -0.126  -0.885 -0.300  -0.885 -0.474  -0.798 -0.561  -0.659 -0.645  -0.601 -0.795  -0.477 -0.846  -0.316 -0.832  -0.271 -0.703  -0.097 -0.703  0.077 -0.703  0.251 -0.703  0.374 -0.581  0.278 -0.474  0.139 -0.369  -0.000 -0.265  -0.139 -0.161  -0.044 -0.134  0.130 -0.134  0.305 -0.134  0.479 -0.134  0.537 -0.250  0.537 -0.424  0.500 -0.561  0.395 -0.630  0.323 -0.775  0.200 -0.898  0.064 -0.988  -0.032 -1.066  -0.142 -1.130  -0.174 -1.272
3#app#app25#app2553/H  0.475 1.745  0.421 1.488  0.285 1.258  0.178 1.033  0.071 0.789  -0.095 0.581  -0.206 0.409  -0.309 0.218  -0.415 -0.007  -0.585 -0.206  -0.712 -0.423  -0.862 -0.630  -1.009 -0.752  -1.157 -0.873  -1.225 -1.075  -1.306 -1.184  -1.157 -1.063  -1.055 -0.842  -0.847 -0.671  -0.639 -0.499  -0.431 -0.328  -0.223 -0.157  -0.015 0.014  0.193 0.186  0.401 0.357  0.609 0.528  0.817 0.699  1.025 0.871  1.233 1.042  1.366 1.054  1.211 0.849  1.069 0.638  0.935 0.424  0.772 0.309  0.616 0.105  0.425 -0.086  0.327 -0.314  0.327 -0.584  0.178 -0.705  0.040 -0.917  -0.077 -1.075  -0.119 -1.144  -0.141 -0.876  -0.170 -0.608  -0.200 -0.340  -0.230 -0.073  -0.260 0.195  -0.064 0.261  0.206 0.261  0.327 0.112
3#app#app25#app2553/I  0.488 1.647  0.488 1.565  0.488 1.484  0.488 1.402  0.488 1.320  0.471 1.246  0.413 1.188  0.356 1.130  0.298 1.072  0.296 0.991  0.296 0.910  0.246 0.878  0.164 0.878  0.104 0.857  0.104 0.775  0.104 0.693  0.104 0.612  0.104 0.530  0.104 0.448  0.104 0.367  0.104 0.285  0.104 0.203  0.104 0.122  0.104 0.040  0.104 -0.042  0.063 -0.082  -0.019 -0.082  -0.088 -0.095  -0.088 -0.176  -0.088 -0.258  -0.088 -0.340  -0.088 -0.421  -0.114 -0.492  -0.172 -0.550  -0.229 -0.608  -0.281 -0.668  -0.281 -0.750  -0.281 -0.832  -0.281 -0.913  -0.281 -0.995  -0.281 -1.077  -0.281 -1.158  -0.281 -1.240  -0.281 -1.322  -0.281 -1.403  -0.338 -1.428  -0.420 -1.428  -0.501 -1.428  -0.583 -1.428  -0.665 -1.428
3#app#app25#app2553/J  0.634 0.758  0.634 0.582  0.634 0.406  0.510 0.354  0.499 0.189  0.428 0.085  0.365 -0.028  0.365 -0.204  0.304 -0.319  0.230 -0.421  0.221 -0.588  0.095 -0.639  0.095 -0.814  -0.037 -0.858  -0.079 -0.992  -0.255 -0.992  -0.431 -0.992  -0.607 -0.992  -0.782 -0.992  -0.847 -1.104  -0.982 -1.109  -0.982 -0.933  -0.982 -0.757  -0.982 -0.581  -0.982 -0.405  -0.982 -0.409  -0.889 -0.546  -0.731 -0.588  -0.572 -0.566  -0.530 -0.395  -0.487 -0.224  -0.444 -0.054  -0.401 0.117  -0.359 0.288  -0.316 0.458  -0.273 0.629  -0.231 0.800  -0.188 0.970  -0.057 1.028  0.073 0.916  0.239 0.893  0.415 0.893  0.591 0.893  0.767 0.893  0.892 1.016  1.038 1.002  1.105 0.893  1.281 0.893  1.413 0.787  1.577 0.758
3#app#app25#app2553/K  0.301 1.870  0.259 1.648  0.090 1.478  -0.061 1.301  -0.121 1.087  -0.242 0.897  -0.333 0.695  -0.422 0.492  -0.422 0.252  -0.585 0.080  -0.627 -0.142  -0.784 -0.317  -0.784 -0.556  -0.784 -0.796  -0.797 -1.022  -0.965 -1.095  -0.965 -1.072  -0.814 -0.907  -0.624 -0.760  -0.434 -0.614  -0.244 -0.468  -0.054 -0.322  0.136 -0.176  0.326 -0.030  0.516 0.116  0.706 0.263  0.896 0.409  1.086 0.555  1.275 0.701  1.285 0.786  1.045 0.786  0.843 0.748  0.746 0.605  0.552 0.495  0.342 0.424  0.107 0.411  -0.062 0.243  -0.242 0.183  -0.361 0.062  -0.548 -0.064  -0.441 -0.118  -0.213 -0.147  -0.061 -0.324  -0.061 -0.563  0.040 -0.761  0.120 -0.968  0.301 -1.027  0.301 -1.266  0.301 -1.506  0.482 -1.565
