3#apb#apb18#app1828/H  -0.638 1.466  -0.676 1.251  -0.689 1.033  -0.700 0.815  -0.705 0.597  -0.697 0.379  -0.690 0.160  -0.706 -0.058  -0.722 -0.275  -0.724 -0.494  -0.725 -0.712  -0.747 -0.929  -0.735 -1.144  -0.659 -1.162  -0.558 -0.969  -0.457 -0.775  -0.356 -0.582  -0.255 -0.388  -0.154 -0.194  -0.053 -0.001  0.048 0.193  0.149 0.386  0.250 0.580  0.351 0.774  0.452 0.967  0.553 1.161  0.654 1.355  0.747 1.483  0.798 1.271  0.860 1.062  0.912 0.850  0.951 0.635  0.963 0.418  0.963 0.199  0.944 -0.017  0.898 -0.231  0.845 -0.442  0.751 -0.639  0.656 -0.835  0.558 -1.031  0.380 -0.965  0.245 -0.795  0.134 -0.607  0.011 -0.427  -0.144 -0.302  -0.354 -0.327  -0.541 -0.429  -0.600 -0.636  -0.496 -0.793  -0.294 -0.876
3#apb#apb18#app1828/o  0.367 -0.608  0.385 -0.432  0.402 -0.257  0.375 -0.084  0.346 0.090  0.301 0.260  0.242 0.425  0.182 0.591  0.124 0.757  0.065 0.923  0.006 1.089  -0.052 1.255  -0.108 1.422  -0.164 1.589  -0.200 1.524  -0.205 1.348  -0.236 1.175  -0.266 1.001  -0.297 0.828  -0.336 0.656  -0.379 0.486  -0.421 0.315  -0.464 0.144  -0.506 -0.027  -0.546 -0.198  -0.586 -0.370  -0.626 -0.541  -0.648 -0.716  -0.670 -0.891  -0.692 -1.065  -0.696 -1.241  -0.696 -1.417  -0.601 -1.554  -0.462 -1.469  -0.321 -1.363  -0.195 -1.241  -0.071 -1.116  0.054 -0.992  0.174 -0.864  0.275 -0.720  0.376 -0.575  0.477 -0.431  0.578 -0.287  0.666 -0.136  0.722 0.031  0.778 0.198  0.833 0.365  0.877 0.535  0.906 0.708  0.935 0.882
3#apb#apb18#app1828/n  -0.184 0.626  -0.235 0.481  -0.285 0.336  -0.336 0.191  -0.388 0.046  -0.440 -0.098  -0.493 -0.242  -0.545 -0.387  -0.618 -0.521  -0.698 -0.652  -0.778 -0.784  -0.865 -0.910  -0.968 -1.024  -1.077 -1.125  -1.151 -1.056  -1.123 -0.907  -1.039 -0.778  -0.955 -0.649  -0.871 -0.520  -0.787 -0.392  -0.696 -0.268  -0.602 -0.147  -0.507 -0.026  -0.413 0.096  -0.319 0.217  -0.224 0.338  -0.123 0.454  -0.022 0.570  0.079 0.686  0.180 0.802  0.283 0.914  0.405 1.008  0.527 1.102  0.663 1.145  0.816 1.131  0.924 1.041  1.009 0.913  1.065 0.777  1.059 0.624  1.052 0.470  1.046 0.317  1.026 0.165  0.986 0.017  0.946 -0.131  0.906 -0.280  0.866 -0.428  0.810 -0.571  0.754 -0.714  0.698 -0.857  0.642 -1.000
3#apb#apb18#app1828/o  0.393 -0.297  0.413 -0.138  0.433 0.021  0.447 0.180  0.436 0.340  0.424 0.500  0.387 0.655  0.339 0.808  0.292 0.961  0.229 1.108  0.162 1.253  0.071 1.368  -0.085 1.375  -0.228 1.303  -0.324 1.185  -0.392 1.040  -0.460 0.895  -0.521 0.747  -0.568 0.594  -0.615 0.441  -0.661 0.288  -0.704 0.134  -0.718 -0.026  -0.732 -0.186  -0.746 -0.345  -0.759 -0.505  -0.759 -0.665  -0.759 -0.825  -0.744 -0.985  -0.719 -1.143  -0.667 -1.287  -0.554 -1.400  -0.404 -1.394  -0.248 -1.361  -0.118 -1.268  0.013 -1.174  0.142 -1.080  0.228 -0.945  0.314 -0.810  0.400 -0.675  0.486 -0.540  0.560 -0.398  0.618 -0.249  0.677 -0.100  0.736 0.049  0.794 0.198  0.846 0.349  0.863 0.508  0.881 0.668  0.899 0.827
3#apb#apb18#app1828/l  0.309 1.670  0.298 1.601  0.286 1.533  0.275 1.464  0.264 1.396  0.252 1.328  0.241 1.259  0.229 1.191  0.218 1.122  0.207 1.054  0.195 0.985  0.184 0.917  0.172 0.849  0.161 0.780  0.150 0.712  0.139 0.643  0.128 0.575  0.117 0.506  0.106 0.438  0.095 0.369  0.084 0.301  0.073 0.232  0.061 0.164  0.050 0.095  0.039 0.027  0.028 -0.041  0.016 -0.110  -0.002 -0.177  -0.020 -0.244  -0.039 -0.311  -0.057 -0.377  -0.075 -0.444  -0.093 -0.511  -0.112 -0.578  -0.130 -0.645  -0.148 -0.712  -0.166 -0.779  -0.185 -0.846  -0.203 -0.913  -0.221 -0.980  -0.234 -1.048  -0.247 -1.116  -0.260 -1.184  -0.273 -1.252  -0.286 -1.320  -0.299 -1.388  -0.312 -1.457  -0.325 -1.525  -0.339 -1.593  -0.352 -1.661
3#apb#apb18#app1828/u  -0.201 0.920  -0.150 1.028  -0.099 1.135  -0.049 1.242  0.002 1.349  0.054 1.456  0.107 1.562  0.168 1.644  0.206 1.549  0.206 1.431  0.206 1.312  0.194 1.194  0.176 1.077  0.158 0.960  0.141 0.842  0.123 0.725  0.105 0.608  0.087 0.490  0.069 0.373  0.035 0.260  0.001 0.146  -0.033 0.032  -0.068 -0.081  -0.102 -0.195  -0.136 -0.309  -0.170 -0.422  -0.204 -0.536  -0.239 -0.649  -0.273 -0.763  -0.308 -0.876  -0.342 -0.990  -0.381 -1.102  -0.427 -1.211  -0.473 -1.321  -0.499 -1.434  -0.400 -1.382  -0.300 -1.320  -0.221 -1.231  -0.142 -1.143  -0.063 -1.054  0.016 -0.966  0.096 -0.878  0.170 -0.786  0.233 -0.685  0.296 -0.585  0.360 -0.485  0.423 -0.384  0.486 -0.284  0.549 -0.183  0.613 -0.083
3#apb#apb18#app1828/l  0.357 1.651  0.355 1.581  0.353 1.512  0.351 1.442  0.348 1.372  0.346 1.303  0.344 1.233  0.342 1.164  0.339 1.094  0.327 1.026  0.313 0.958  0.299 0.889  0.285 0.821  0.271 0.753  0.257 0.685  0.243 0.617  0.229 0.549  0.215 0.480  0.201 0.412  0.184 0.345  0.160 0.280  0.136 0.214  0.113 0.149  0.089 0.084  0.065 0.018  0.041 -0.047  0.017 -0.113  -0.006 -0.178  -0.030 -0.243  -0.054 -0.309  -0.078 -0.374  -0.102 -0.440  -0.127 -0.504  -0.153 -0.569  -0.178 -0.634  -0.204 -0.698  -0.229 -0.763  -0.255 -0.828  -0.281 -0.893  -0.306 -0.957  -0.332 -1.022  -0.357 -1.087  -0.383 -1.151  -0.409 -1.216  -0.439 -1.279  -0.470 -1.341  -0.501 -1.403  -0.532 -1.465  -0.564 -1.528  -0.595 -1.590
3#apb#apb18#app1828/u  -0.525 1.132  -0.453 1.237  -0.381 1.341  -0.308 1.446  -0.211 1.502  -0.115 1.442  -0.045 1.337  -0.053 1.211  -0.065 1.084  -0.077 0.958  -0.089 0.831  -0.106 0.706  -0.139 0.583  -0.172 0.460  -0.205 0.337  -0.238 0.215  -0.271 0.092  -0.307 -0.030  -0.354 -0.148  -0.402 -0.266  -0.449 -0.384  -0.496 -0.502  -0.544 -0.620  -0.595 -0.737  -0.645 -0.854  -0.695 -0.970  -0.682 -1.097  -0.668 -1.223  -0.549 -1.253  -0.430 -1.219  -0.313 -1.170  -0.195 -1.122  -0.078 -1.074  0.016 -0.992  0.100 -0.896  0.183 -0.800  0.267 -0.705  0.350 -0.609  0.433 -0.513  0.517 -0.417  0.588 -0.311  0.657 -0.205  0.726 -0.098  0.795 0.009  0.865 0.115  0.934 0.222  1.003 0.329  1.072 0.435  1.141 0.542  1.211 0.649
3#apb#apb18#app1828/J  -0.016 0.332  0.028 0.518  0.056 0.707  0.134 0.864  0.207 0.703  0.219 0.512  0.206 0.322  0.186 0.132  0.165 -0.058  0.119 -0.244  0.074 -0.430  0.019 -0.613  -0.047 -0.792  -0.113 -0.972  -0.203 -1.140  -0.302 -1.303  -0.417 -1.453  -0.566 -1.574  -0.740 -1.553  -0.871 -1.425  -0.979 -1.268  -1.040 -1.087  -1.046 -0.920  -0.901 -0.796  -0.756 -0.672  -0.610 -0.548  -0.465 -0.423  -0.319 -0.299  -0.174 -0.175  -0.028 -0.051  0.117 0.073  0.263 0.198  0.408 0.322  0.554 0.446  0.699 0.570  0.844 0.694  0.990 0.819  1.135 0.943  1.279 1.066  1.099 1.000  0.917 0.941  0.735 0.883  0.552 0.826  0.366 0.786  0.177 0.755  -0.012 0.724  -0.201 0.695  -0.391 0.675  -0.581 0.655  -0.771 0.634
3#apb#apb18#app1828/o  -0.113 0.034  -0.010 0.161  0.094 0.288  0.165 0.433  0.223 0.587  0.280 0.740  0.294 0.903  0.306 1.066  0.299 1.229  0.282 1.392  0.248 1.550  0.116 1.497  0.051 1.347  -0.015 1.197  -0.077 1.045  -0.131 0.891  -0.184 0.736  -0.238 0.581  -0.288 0.425  -0.330 0.267  -0.373 0.109  -0.416 -0.049  -0.458 -0.207  -0.496 -0.367  -0.534 -0.526  -0.572 -0.685  -0.604 -0.846  -0.631 -1.007  -0.658 -1.169  -0.651 -1.330  -0.622 -1.491  -0.513 -1.603  -0.355 -1.563  -0.207 -1.507  -0.117 -1.370  -0.028 -1.232  0.062 -1.095  0.151 -0.958  0.216 -0.809  0.272 -0.655  0.327 -0.501  0.382 -0.347  0.438 -0.192  0.493 -0.038  0.548 0.116  0.590 0.274  0.633 0.432  0.675 0.591  0.717 0.749  0.759 0.907
3#apb#apb18#app1828/u  -0.487 0.986  -0.405 1.086  -0.480 1.094  -0.476 1.047  -0.401 1.050  -0.412 1.072  -0.358 1.115  -0.314 1.115  -0.218 1.180  -0.161 1.103  -0.154 0.976  -0.170 0.846  -0.182 0.716  -0.215 0.591  -0.264 0.470  -0.312 0.349  -0.361 0.228  -0.409 0.106  -0.458 -0.015  -0.506 -0.136  -0.555 -0.257  -0.612 -0.374  -0.675 -0.489  -0.729 -0.607  -0.778 -0.729  -0.802 -0.856  -0.745 -0.957  -0.642 -1.035  -0.516 -1.067  -0.389 -1.094  -0.260 -1.072  -0.131 -1.051  -0.003 -1.027  0.120 -0.984  0.243 -0.940  0.363 -0.891  0.461 -0.805  0.560 -0.719  0.658 -0.633  0.733 -0.529  0.795 -0.414  0.856 -0.299  0.918 -0.184  0.980 -0.069  1.038 0.048  1.092 0.167  1.145 0.286  1.199 0.405  1.209 0.534  1.209 0.664
