3#app#app37#app3728/!  -0.076 1.770  -0.076 1.693  -0.076 1.617  -0.076 1.540  -0.076 1.464  -0.076 1.387  -0.076 1.310  -0.076 1.234  -0.076 1.157  -0.076 1.080  -0.076 1.004  -0.076 0.927  -0.076 0.851  -0.076 0.774  -0.076 0.697  -0.076 0.621  -0.076 0.544  -0.076 0.468  -0.076 0.391  -0.076 0.314  -0.076 0.238  -0.072 0.163  -0.018 0.109  0.024 0.050  0.024 -0.027  0.024 -0.104  0.024 -0.180  0.024 -0.257  0.024 -0.334  0.024 -0.410  0.024 -0.383  0.026 -0.363  0.032 -0.439  0.038 -0.516  0.044 -0.592  0.050 -0.668  0.056 -0.745  0.062 -0.821  0.067 -0.897  0.073 -0.974  0.079 -1.050  0.085 -1.127  0.091 -1.203  0.097 -1.279  0.103 -1.356  0.109 -1.432  0.114 -1.509  0.120 -1.585  0.124 -1.614  0.124 -1.538
3#app#app37#app3728/@  0.260 0.274  0.204 0.274  0.133 0.513  -0.034 0.656  -0.316 0.588  -0.445 0.332  -0.502 0.046  -0.629 -0.211  -0.606 -0.511  -0.466 -0.742  -0.248 -0.576  -0.121 -0.319  0.006 -0.136  0.006 0.174  -0.076 0.401  0.006 0.264  0.006 -0.046  0.006 -0.356  0.056 -0.615  0.260 -0.721  0.464 -0.792  0.564 -0.515  0.641 -0.223  0.768 0.034  0.768 0.344  0.768 0.654  0.730 0.948  0.641 1.220  0.472 1.460  0.324 1.672  0.015 1.672  -0.277 1.594  -0.448 1.418  -0.616 1.190  -0.756 0.936  -0.756 0.626  -0.756 0.316  -0.756 0.006  -0.756 -0.303  -0.756 -0.613  -0.675 -0.904  -0.502 -1.150  -0.317 -1.308  -0.088 -1.504  0.221 -1.504  0.404 -1.377  0.603 -1.198  0.789 -0.955  0.895 -0.670  0.895 -0.361
3#app#app37#app3728/#  -0.470 0.800  -0.470 0.375  -0.470 -0.049  -0.470 -0.474  -0.470 -0.899  -0.307 -0.907  -0.187 -0.499  -0.068 -0.092  0.052 0.316  0.172 0.723  0.292 1.131  0.412 1.538  0.472 1.529  0.472 1.104  0.472 0.679  0.418 0.276  0.369 -0.093  0.472 -0.493  0.472 -0.918  0.472 -1.343  0.134 -1.240  -0.251 -1.062  -0.637 -0.884  -1.023 -0.706  -1.408 -0.528  -1.503 -0.233  -1.156 -0.043  -0.756 0.016  -0.396 0.173  -0.025 0.303  0.364 0.433  0.711 0.643  1.033 0.891  1.256 1.096  1.156 1.033  0.826 0.765  0.497 0.497  0.167 0.229  -0.163 -0.039  -0.492 -0.306  -0.822 -0.574  -1.152 -0.842  -0.976 -0.833  -0.562 -0.769  -0.235 -0.534  0.093 -0.298  0.452 -0.141  0.877 -0.141  1.099 0.062  1.256 0.330
3#app#app37#app3728/$  0.070 1.103  -0.080 0.984  -0.256 0.804  -0.525 0.804  -0.717 0.616  -0.940 0.504  -0.899 0.354  -0.630 0.354  -0.410 0.235  -0.176 0.151  0.014 -0.040  0.260 -0.095  0.483 -0.208  0.737 -0.245  0.951 -0.377  1.185 -0.461  1.269 -0.696  1.149 -0.845  0.942 -0.995  0.673 -0.995  0.403 -0.995  0.196 -1.145  -0.073 -1.145  -0.342 -1.145  -0.461 -0.995  -0.478 -0.845  -0.229 -0.824  -0.214 -0.556  -0.199 -0.287  -0.184 -0.018  -0.169 0.251  -0.154 0.519  -0.139 0.788  -0.124 1.057  -0.109 1.325  -0.094 1.594  -0.080 1.843  -0.080 1.574  -0.080 1.304  -0.080 1.035  -0.080 0.766  -0.080 0.497  -0.080 0.228  -0.080 -0.041  -0.080 -0.310  -0.080 -0.580  -0.080 -0.849  0.007 -1.082  0.070 -1.325  0.070 -1.594
3#app#app37#app3728/%  -0.330 1.315  -0.522 1.123  -0.717 1.009  -0.717 0.737  -0.770 0.488  -0.847 0.248  -0.800 0.023  -0.658 -0.106  -0.588 0.095  -0.649 0.342  -0.762 0.540  -0.847 0.727  -0.917 0.928  -0.817 1.057  -0.558 1.087  -0.330 1.188  -0.185 1.315  0.086 1.315  0.187 1.145  0.187 0.873  0.187 0.602  0.130 0.354  0.058 0.113  -0.071 -0.106  -0.201 -0.323  -0.201 -0.594  -0.314 -0.752  -0.330 -1.008  -0.153 -0.808  0.026 -0.604  0.205 -0.400  0.383 -0.196  0.562 0.009  0.435 -0.187  0.316 -0.422  0.285 -0.686  0.187 -0.934  0.187 -1.206  0.187 -1.477  0.381 -1.462  0.626 -1.398  0.768 -1.269  0.973 -1.118  1.091 -0.875  1.091 -0.604  1.077 -0.336  0.948 -0.106  0.814 0.043  0.588 0.152  0.316 0.152
3#app#app37#app3728/^  0.370 1.064  0.167 1.064  0.040 0.989  0.040 0.786  0.040 0.583  0.040 0.380  0.040 0.177  -0.029 0.003  -0.173 -0.140  -0.291 -0.294  -0.291 -0.497  -0.291 -0.700  -0.291 -0.902  -0.291 -1.105  -0.349 -1.249  -0.552 -1.249  -0.621 -1.383  -0.621 -1.574  -0.621 -1.371  -0.621 -1.168  -0.621 -0.965  -0.621 -0.762  -0.621 -0.560  -0.621 -0.357  -0.621 -0.154  -0.621 0.049  -0.495 0.199  -0.351 0.342  -0.291 0.520  -0.291 0.723  -0.291 0.926  -0.291 1.129  -0.291 1.331  -0.151 1.394  0.048 1.386  0.192 1.242  0.335 1.099  0.370 0.910  0.370 0.708  0.370 0.505  0.441 0.332  0.585 0.188  0.728 0.045  0.872 -0.099  1.015 -0.242  1.031 -0.438  1.031 -0.641  1.031 -0.844  1.031 -0.791  1.031 -0.588
3#app#app37#app3728/&  0.957 -0.444  1.107 -0.500  1.107 -0.706  1.107 -0.877  1.055 -0.693  0.909 -0.547  0.746 -0.444  0.574 -0.362  0.429 -0.216  0.263 -0.098  0.079 -0.005  -0.071 0.133  -0.244 0.180  -0.300 0.362  -0.446 0.508  -0.592 0.654  -0.695 0.817  -0.695 1.023  -0.695 1.229  -0.640 1.412  -0.473 1.507  -0.268 1.507  -0.062 1.507  0.056 1.419  0.056 1.213  0.034 1.012  -0.059 0.828  -0.151 0.644  -0.243 0.460  -0.281 0.269  -0.415 0.115  -0.507 -0.069  -0.631 -0.230  -0.695 -0.410  -0.695 -0.616  -0.695 -0.822  -0.695 -1.028  -0.695 -1.234  -0.600 -1.345  -0.438 -1.238  -0.293 -1.093  -0.147 -0.947  0.023 -0.836  0.207 -0.743  0.353 -0.598  0.498 -0.452  0.644 -0.306  0.656 -0.105  0.751 0.006  0.806 0.156
3#app#app37#app3728/*  0.358 1.576  0.358 1.237  0.358 0.899  0.358 0.560  0.358 0.222  0.358 -0.117  0.386 -0.444  0.557 -0.712  0.557 -1.050  0.557 -1.389  0.439 -1.211  0.176 -1.029  -0.064 -0.790  -0.280 -0.534  -0.431 -0.231  -0.656 0.019  -0.807 0.322  -1.029 0.574  -1.235 0.710  -1.504 0.779  -1.426 0.772  -1.167 0.580  -1.027 0.381  -0.689 0.381  -0.376 0.319  -0.094 0.182  0.244 0.182  0.583 0.182  0.921 0.182  1.260 0.182  1.552 0.228  1.552 0.567  1.353 0.454  1.107 0.334  0.831 0.182  0.493 0.182  0.154 0.182  -0.169 0.118  -0.465 -0.043  -0.704 -0.282  -0.988 -0.415  -1.228 -0.620  -0.970 -0.813  -0.638 -0.807  -0.492 -0.614  -0.162 -0.575  0.141 -0.424  0.278 -0.216  0.557 -0.156  0.756 -0.017
3#app#app37#app3728/(  0.314 1.660  0.260 1.605  0.205 1.550  0.150 1.495  0.133 1.425  0.133 1.348  0.133 1.270  0.133 1.192  0.133 1.115  0.078 1.060  0.023 1.005  -0.031 0.950  -0.073 0.886  -0.107 0.816  -0.142 0.747  -0.177 0.678  -0.211 0.608  -0.231 0.535  -0.231 0.458  -0.231 0.380  -0.231 0.303  -0.231 0.225  -0.231 0.148  -0.231 0.070  -0.231 -0.007  -0.231 -0.085  -0.231 -0.163  -0.231 -0.240  -0.231 -0.318  -0.231 -0.395  -0.231 -0.473  -0.231 -0.550  -0.231 -0.628  -0.230 -0.705  -0.175 -0.760  -0.121 -0.815  -0.066 -0.870  -0.011 -0.924  0.044 -0.979  0.099 -1.034  0.133 -1.098  0.133 -1.175  0.135 -1.250  0.213 -1.250  0.290 -1.250  0.368 -1.250  0.446 -1.250  0.496 -1.277  0.496 -1.354  0.496 -1.432
3#app#app37#app3728/)  -0.495 1.627  -0.495 1.541  -0.495 1.456  -0.495 1.371  -0.473 1.294  -0.413 1.234  -0.352 1.174  -0.340 1.094  -0.340 1.008  -0.281 0.947  -0.221 0.887  -0.150 0.851  -0.065 0.851  -0.030 0.801  -0.030 0.716  0.036 0.696  0.121 0.696  0.162 0.623  0.200 0.547  0.238 0.471  0.276 0.394  0.280 0.310  0.283 0.225  0.321 0.149  0.359 0.073  0.398 -0.003  0.435 -0.080  0.375 -0.140  0.314 -0.200  0.280 -0.271  0.280 -0.357  0.280 -0.442  0.280 -0.527  0.280 -0.613  0.280 -0.698  0.280 -0.783  0.270 -0.865  0.210 -0.925  0.150 -0.985  0.075 -1.010  -0.011 -1.010  -0.030 -1.076  -0.030 -1.161  -0.088 -1.223  -0.148 -1.283  -0.208 -1.343  -0.269 -1.404  -0.329 -1.464  -0.340 -1.545  -0.340 -1.630
3#app#app37#app3728/`  -1.045 1.159  -0.966 1.159  -0.888 1.159  -0.809 1.159  -0.731 1.159  -0.653 1.159  -0.574 1.159  -0.496 1.159  -0.482 1.094  -0.482 1.016  -0.482 0.937  -0.482 0.859  -0.482 0.781  -0.482 0.702  -0.482 0.624  -0.446 0.560  -0.391 0.505  -0.335 0.449  -0.280 0.394  -0.224 0.338  -0.169 0.283  -0.113 0.227  -0.058 0.172  -0.002 0.117  0.053 0.061  0.081 -0.006  0.081 -0.084  0.081 -0.163  0.081 -0.241  0.081 -0.319  0.081 -0.398  0.081 -0.476  0.099 -0.547  0.154 -0.603  0.210 -0.658  0.265 -0.714  0.320 -0.769  0.376 -0.824  0.431 -0.880  0.487 -0.935  0.542 -0.991  0.598 -1.046  0.657 -1.092  0.736 -1.092  0.814 -1.092  0.892 -1.092  0.971 -1.092  1.049 -1.092  1.128 -1.092  1.206 -1.092
