3#apb#apb22#app2205/3  -0.551 0.754  -0.626 0.888  -0.764 0.915  -0.781 0.957  -0.629 0.982  -0.478 1.008  -0.325 1.025  -0.172 1.032  -0.019 1.039  0.135 1.040  0.289 1.040  0.442 1.034  0.594 1.015  0.743 0.982  0.856 0.903  0.765 0.781  0.656 0.673  0.524 0.596  0.390 0.521  0.253 0.451  0.115 0.385  -0.024 0.319  -0.160 0.248  -0.296 0.176  -0.436 0.113  -0.568 0.039  -0.446 -0.033  -0.299 -0.079  -0.151 -0.118  -0.002 -0.158  0.138 -0.219  0.279 -0.281  0.410 -0.360  0.536 -0.447  0.651 -0.547  0.747 -0.667  0.755 -0.818  0.662 -0.924  0.537 -1.013  0.400 -1.080  0.258 -1.139  0.116 -1.198  -0.033 -1.227  -0.186 -1.243  -0.339 -1.259  -0.492 -1.265  -0.645 -1.257  -0.797 -1.241  -0.944 -1.196  -1.088 -1.143
3#apb#apb22#app2205/M  -0.797 0.272  -0.641 0.355  -0.713 0.164  -0.793 -0.029  -0.891 -0.205  -1.008 -0.377  -1.124 -0.550  -1.245 -0.697  -1.330 -0.752  -1.224 -0.571  -1.121 -0.389  -1.013 -0.209  -0.904 -0.030  -0.798 0.150  -0.696 0.334  -0.576 0.505  -0.450 0.672  -0.314 0.832  -0.148 0.960  0.051 0.990  0.140 0.836  0.081 0.639  -0.022 0.456  -0.153 0.294  -0.279 0.126  -0.355 -0.050  -0.204 0.093  -0.047 0.232  0.108 0.372  0.267 0.510  0.433 0.638  0.599 0.765  0.770 0.887  0.818 0.762  0.761 0.560  0.679 0.368  0.596 0.175  0.528 -0.023  0.463 -0.222  0.404 -0.422  0.388 -0.631  0.392 -0.836  0.496 -1.018  0.699 -1.053  0.904 -1.046  1.103 -0.982  1.303 -0.918  1.463 -0.783  1.621 -0.646  1.780 -0.509
3#apb#apb22#app2205/A  -0.080 0.044  0.031 0.145  0.142 0.295  0.230 0.461  0.340 0.616  0.447 0.772  0.553 0.929  0.649 1.093  0.726 1.266  0.782 1.445  0.642 1.512  0.472 1.427  0.303 1.341  0.136 1.251  -0.013 1.137  -0.153 1.009  -0.278 0.866  -0.402 0.723  -0.524 0.577  -0.645 0.431  -0.750 0.275  -0.839 0.107  -0.915 -0.065  -0.961 -0.249  -1.001 -0.434  -1.001 -0.623  -0.987 -0.812  -0.944 -0.992  -0.796 -1.092  -0.606 -1.091  -0.441 -0.999  -0.275 -0.906  -0.123 -0.794  0.028 -0.679  0.164 -0.548  0.294 -0.409  0.408 -0.259  0.511 -0.099  0.631 0.047  0.552 0.066  0.432 -0.081  0.325 -0.236  0.224 -0.397  0.171 -0.576  0.138 -0.763  0.198 -0.941  0.303 -1.091  0.448 -1.212  0.632 -1.238  0.821 -1.249
3#apb#apb22#app2205/  -1.571 -0.606  -1.510 -0.569  -1.450 -0.533  -1.389 -0.497  -1.329 -0.460  -1.268 -0.424  -1.211 -0.382  -1.156 -0.338  -1.101 -0.293  -1.046 -0.249  -0.991 -0.205  -0.935 -0.161  -0.870 -0.136  -0.803 -0.111  -0.737 -0.086  -0.671 -0.061  -0.605 -0.036  -0.539 -0.011  -0.472 0.013  -0.406 0.036  -0.337 0.053  -0.268 0.070  -0.200 0.088  -0.131 0.105  -0.063 0.122  0.006 0.139  0.074 0.156  0.143 0.173  0.212 0.190  0.280 0.208  0.349 0.223  0.420 0.223  0.490 0.223  0.561 0.223  0.632 0.223  0.702 0.223  0.773 0.223  0.844 0.223  0.914 0.223  0.985 0.223  1.056 0.220  1.125 0.206  1.194 0.192  1.263 0.178  1.333 0.165  1.402 0.151  1.471 0.137  1.541 0.123  1.610 0.109  1.679 0.095
3#apb#apb22#app2205/1  0.690 1.010  0.722 1.074  0.755 1.139  0.787 1.204  0.819 1.232  0.820 1.174  0.764 1.129  0.707 1.084  0.660 1.030  0.616 0.972  0.573 0.914  0.529 0.856  0.486 0.798  0.442 0.740  0.399 0.682  0.355 0.624  0.313 0.565  0.273 0.505  0.232 0.444  0.192 0.384  0.152 0.324  0.112 0.263  0.072 0.203  0.031 0.143  -0.009 0.082  -0.049 0.022  -0.089 -0.038  -0.129 -0.099  -0.170 -0.159  -0.210 -0.219  -0.242 -0.284  -0.274 -0.349  -0.305 -0.415  -0.336 -0.480  -0.368 -0.546  -0.399 -0.611  -0.430 -0.676  -0.462 -0.742  -0.493 -0.807  -0.525 -0.872  -0.556 -0.938  -0.588 -1.003  -0.620 -1.068  -0.652 -1.133  -0.685 -1.197  -0.717 -1.262  -0.750 -1.327  -0.782 -1.392  -0.815 -1.457  -0.847 -1.522
3#apb#apb22#app2205/P  -0.040 0.438  0.087 0.576  0.040 0.518  -0.081 0.374  -0.165 0.205  -0.250 0.036  -0.334 -0.133  -0.413 -0.304  -0.487 -0.478  -0.560 -0.652  -0.626 -0.829  -0.691 -1.005  -0.742 -1.186  -0.772 -1.373  -0.809 -1.558  -0.787 -1.421  -0.756 -1.235  -0.724 -1.048  -0.693 -0.862  -0.661 -0.676  -0.630 -0.490  -0.598 -0.304  -0.567 -0.118  -0.535 0.068  -0.504 0.254  -0.472 0.440  -0.397 0.609  -0.257 0.732  -0.095 0.829  0.079 0.901  0.256 0.967  0.438 1.014  0.621 1.061  0.809 1.047  0.997 1.033  1.181 0.993  1.352 0.925  1.432 0.765  1.368 0.587  1.238 0.456  1.093 0.336  0.940 0.226  0.783 0.119  0.627 0.014  0.464 -0.081  0.301 -0.176  0.135 -0.266  -0.034 -0.350  -0.201 -0.438  -0.360 -0.538
3#apb#apb22#app2205/l  -1.460 -1.258  -1.331 -1.234  -1.218 -1.158  -1.106 -1.080  -0.996 -0.999  -0.885 -0.918  -0.777 -0.835  -0.672 -0.748  -0.567 -0.660  -0.462 -0.573  -0.359 -0.483  -0.260 -0.389  -0.161 -0.295  -0.062 -0.202  0.035 -0.106  0.120 0.001  0.206 0.108  0.291 0.214  0.376 0.321  0.466 0.424  0.556 0.527  0.646 0.630  0.732 0.735  0.808 0.849  0.884 0.963  0.954 1.079  1.002 1.207  1.009 1.309  0.885 1.267  0.773 1.189  0.672 1.099  0.582 0.996  0.492 0.894  0.402 0.791  0.328 0.676  0.256 0.560  0.185 0.444  0.113 0.327  0.041 0.211  -0.022 0.090  -0.081 -0.033  -0.140 -0.156  -0.199 -0.279  -0.259 -0.402  -0.298 -0.532  -0.324 -0.666  -0.351 -0.800  -0.359 -0.929  -0.274 -1.036  -0.188 -1.143
3#apb#apb22#app2205/i  -1.454 -0.799  -1.351 -0.749  -1.270 -0.619  -1.171 -0.504  -1.070 -0.391  -0.994 -0.260  -0.926 -0.124  -0.832 -0.005  -0.730 0.108  -0.637 0.227  -0.558 0.358  -0.474 0.484  -0.375 0.600  -0.412 0.587  -0.503 0.465  -0.586 0.338  -0.654 0.202  -0.738 0.076  -0.826 -0.049  -0.904 -0.179  -0.978 -0.312  -0.930 -0.435  -0.793 -0.500  -0.640 -0.500  -0.488 -0.500  -0.336 -0.498  -0.199 -0.433  -0.061 -0.368  0.077 -0.303  0.216 -0.242  0.360 -0.194  0.505 -0.146  0.643 -0.085  0.774 -0.006  0.908 0.064  1.047 0.125  1.107 0.257  1.166 0.396  1.250 0.518  1.340 0.637  1.427 0.751  1.414 0.705  1.323 0.629  1.240 0.501  1.149 0.380  1.081 0.244  1.019 0.105  0.962 -0.036  0.940 -0.184  0.940 -0.336
3#apb#apb22#app2205/m  -1.795 -0.524  -1.700 -0.429  -1.587 -0.357  -1.488 -0.268  -1.384 -0.183  -1.277 -0.102  -1.179 -0.011  -1.084 0.084  -0.989 0.179  -0.884 0.263  -0.781 0.347  -0.650 0.358  -0.532 0.308  -0.497 0.184  -0.497 0.050  -0.510 -0.082  -0.570 -0.202  -0.633 -0.318  -0.705 -0.387  -0.635 -0.286  -0.532 -0.199  -0.432 -0.110  -0.333 -0.020  -0.232 0.070  -0.132 0.159  -0.019 0.227  0.107 0.274  0.228 0.332  0.356 0.359  0.452 0.273  0.509 0.159  0.467 0.032  0.439 -0.100  0.409 -0.125  0.500 -0.029  0.602 0.059  0.712 0.136  0.824 0.210  0.930 0.293  1.026 0.385  1.061 0.365  1.118 0.245  1.150 0.116  1.171 -0.016  1.231 -0.136  1.309 -0.241  1.418 -0.319  1.545 -0.342  1.680 -0.342  1.814 -0.342
3#apb#apb22#app2205/b  -1.544 -0.982  -1.376 -0.926  -1.247 -0.797  -1.104 -0.682  -0.956 -0.573  -0.814 -0.457  -0.681 -0.331  -0.548 -0.205  -0.414 -0.080  -0.276 0.041  -0.137 0.162  -0.005 0.288  0.125 0.418  0.253 0.549  0.355 0.702  0.454 0.856  0.546 1.015  0.638 1.174  0.695 1.346  0.583 1.391  0.424 1.302  0.287 1.180  0.159 1.048  0.035 0.913  -0.067 0.761  -0.160 0.603  -0.251 0.444  -0.340 0.283  -0.428 0.123  -0.503 -0.044  -0.566 -0.217  -0.628 -0.389  -0.649 -0.569  -0.642 -0.751  -0.567 -0.919  -0.400 -0.974  -0.224 -0.986  -0.055 -0.915  0.114 -0.844  0.270 -0.748  0.422 -0.645  0.573 -0.541  0.734 -0.453  0.888 -0.357  0.993 -0.220  0.894 -0.109  1.032 -0.075  1.196 0.007  1.367 0.070  1.545 0.115
3#apb#apb22#app2205/i  -1.405 -0.939  -1.317 -0.845  -1.210 -0.744  -1.122 -0.625  -1.036 -0.504  -0.950 -0.384  -0.854 -0.272  -0.757 -0.159  -0.661 -0.047  -0.548 0.049  -0.434 0.143  -0.319 0.236  -0.204 0.330  -0.091 0.425  0.014 0.529  0.119 0.634  0.223 0.739  0.331 0.840  0.450 0.928  0.568 1.017  0.687 1.106  0.735 1.242  0.754 1.388  0.690 1.324  0.608 1.201  0.525 1.078  0.440 0.957  0.355 0.836  0.270 0.714  0.190 0.590  0.132 0.454  0.074 0.318  0.015 0.182  -0.043 0.046  -0.101 -0.090  -0.148 -0.231  -0.194 -0.371  -0.241 -0.512  -0.250 -0.658  -0.250 -0.807  -0.144 -0.886  -0.009 -0.946  0.126 -1.006  0.267 -1.040  0.415 -1.040  0.563 -1.040  0.712 -1.040  0.860 -1.040  1.008 -1.040  1.156 -1.040
