3#apa#apa02#app0273/!  -0.051 1.431  0.033 1.431  0.077 1.471  0.077 1.554  -0.001 1.559  -0.051 1.525  -0.051 1.442  -0.051 1.358  -0.051 1.275  -0.051 1.191  -0.051 1.108  -0.051 1.024  -0.051 0.940  -0.051 0.857  -0.051 0.773  -0.051 0.690  -0.051 0.606  -0.051 0.522  -0.051 0.439  -0.051 0.355  -0.051 0.272  -0.051 0.188  -0.051 0.104  -0.051 0.021  -0.051 -0.063  -0.051 -0.146  -0.051 -0.230  -0.051 -0.313  -0.014 -0.360  0.069 -0.360  0.077 -0.436  0.077 -0.520  0.077 -0.603  0.077 -0.687  0.077 -0.771  0.077 -0.854  0.077 -0.938  0.077 -1.021  0.077 -1.105  0.077 -1.189  0.077 -1.272  0.077 -1.356  0.077 -1.330  0.067 -1.256  -0.017 -1.256  -0.051 -1.207  -0.051 -1.134  -0.051 -1.217  -0.006 -1.256  0.077 -1.256
3#apa#apa02#app0273/@  0.531 0.503  0.309 0.503  0.214 0.376  0.039 0.264  -0.050 0.123  -0.145 -0.004  -0.222 -0.138  -0.103 -0.310  0.045 -0.384  0.233 -0.302  0.404 -0.225  0.531 -0.130  0.531 0.091  0.467 0.250  0.404 0.091  0.404 -0.130  0.625 -0.131  0.657 0.059  0.784 0.154  0.784 0.376  0.784 0.598  0.784 0.819  0.784 1.041  0.658 1.137  0.531 1.231  0.341 1.264  0.120 1.264  0.024 1.138  -0.197 1.137  -0.292 1.010  -0.387 0.883  -0.483 0.758  -0.610 0.663  -0.737 0.568  -0.750 0.349  -0.849 0.151  -0.864 -0.067  -0.864 -0.289  -0.864 -0.511  -0.864 -0.732  -0.864 -0.954  -0.832 -1.145  -0.737 -1.271  -0.568 -1.398  -0.473 -1.525  -0.251 -1.525  -0.030 -1.525  0.180 -1.495  0.337 -1.338  0.531 -1.271
3#apa#apa02#app0273/#  -0.007 1.228  0.041 1.392  -0.055 1.015  -0.171 0.619  -0.335 0.243  -0.499 -0.134  -0.499 -0.578  -0.663 -0.955  -0.663 -1.398  -0.473 -0.997  -0.283 -0.595  -0.092 -0.193  0.098 0.208  0.288 0.610  0.478 1.011  0.669 1.413  0.919 1.720  0.814 1.403  0.740 0.989  0.650 0.582  0.486 0.176  0.473 -0.263  0.322 -0.644  0.309 -1.083  0.118 -1.345  -0.149 -0.990  -0.416 -0.634  -0.682 -0.279  -0.949 0.077  -1.216 0.432  -1.213 0.407  -0.786 0.365  -0.392 0.243  0.052 0.243  0.496 0.243  0.941 0.243  1.306 0.164  1.279 0.045  0.841 -0.033  0.403 -0.110  -0.034 -0.187  -0.472 -0.264  -0.910 -0.341  -1.292 -0.414  -1.012 -0.578  -0.567 -0.578  -0.123 -0.578  0.322 -0.578  0.766 -0.578  1.142 -0.742
3#apa#apa02#app0273/$  0.285 0.890  0.072 0.808  -0.102 0.634  -0.241 0.521  -0.435 0.432  -0.486 0.232  -0.371 0.100  -0.124 0.100  0.068 -0.031  0.268 -0.145  0.481 -0.227  0.655 -0.401  0.680 -0.638  0.548 -0.830  0.423 -0.952  0.231 -1.084  0.116 -1.215  -0.131 -1.215  -0.378 -1.215  -0.625 -1.215  -0.608 -1.246  -0.541 -1.009  -0.474 -0.771  -0.408 -0.533  -0.341 -0.296  -0.275 -0.058  -0.208 0.180  -0.142 0.417  -0.075 0.655  -0.009 0.892  0.058 1.130  0.124 1.368  0.191 1.605  0.257 1.843  0.285 1.798  0.285 1.551  0.154 1.436  0.154 1.189  0.154 0.942  0.154 0.695  0.133 0.454  0.023 0.233  0.022 -0.014  0.022 -0.261  0.022 -0.507  0.022 -0.754  0.022 -1.001  0.022 -1.248  0.022 -1.495  0.022 -1.741
3#apa#apa02#app0273/%  -0.120 0.951  -0.365 0.951  -0.607 0.941  -0.807 0.832  -0.904 0.644  -0.955 0.419  -0.835 0.293  -0.647 0.236  -0.451 0.355  -0.335 0.498  -0.161 0.671  -0.001 0.780  0.147 0.958  0.333 1.118  0.519 1.278  0.706 1.437  0.834 1.471  0.751 1.309  0.621 1.122  0.476 0.932  0.373 0.729  0.258 0.514  0.095 0.332  -0.050 0.138  -0.199 -0.042  -0.388 -0.182  -0.498 -0.402  -0.614 -0.616  -0.716 -0.820  -0.835 -1.016  -0.835 -1.261  -0.682 -1.199  -0.485 -1.052  -0.289 -0.905  -0.093 -0.758  0.104 -0.610  0.300 -0.463  0.496 -0.316  0.510 -0.327  0.421 -0.536  0.247 -0.709  0.125 -0.838  0.119 -1.077  0.246 -1.195  0.476 -1.181  0.596 -1.054  0.715 -0.928  0.740 -0.693  0.834 -0.487  0.834 -0.241
3#apa#apa02#app0273/^  -1.362 -1.027  -1.239 -1.027  -1.116 -1.027  -1.078 -0.941  -1.078 -0.819  -1.078 -0.696  -1.078 -0.573  -1.078 -0.450  -1.078 -0.327  -1.078 -0.204  -1.011 -0.109  -0.924 -0.022  -0.837 0.065  -0.732 0.107  -0.609 0.107  -0.512 0.132  -0.512 0.255  -0.512 0.378  -0.401 0.390  -0.278 0.390  -0.177 0.442  -0.090 0.529  -0.003 0.616  0.055 0.714  0.055 0.837  0.055 0.954  0.055 0.832  0.055 0.709  0.143 0.674  0.266 0.674  0.339 0.624  0.339 0.501  0.351 0.390  0.474 0.390  0.597 0.390  0.622 0.293  0.622 0.170  0.682 0.107  0.805 0.107  0.905 0.085  0.905 -0.038  0.905 -0.161  0.981 -0.252  1.068 -0.339  1.155 -0.426  1.189 -0.535  1.189 -0.658  1.226 -0.743  1.349 -0.743  1.472 -0.743
3#apa#apa02#app0273/&  0.300 1.397  0.325 1.535  0.414 1.647  0.414 1.680  0.321 1.624  0.300 1.496  0.300 1.347  0.300 1.198  0.300 1.049  0.300 0.900  0.300 0.752  0.378 0.635  0.414 0.501  0.414 0.352  0.360 0.257  0.211 0.257  0.062 0.257  -0.087 0.257  -0.236 0.257  -0.383 0.255  -0.420 0.143  -0.497 0.071  -0.390 0.029  -0.241 0.029  -0.092 0.029  0.057 0.029  0.206 0.029  0.246 0.029  0.123 -0.034  -0.005 -0.085  -0.154 -0.085  -0.189 -0.199  -0.338 -0.199  -0.456 -0.272  -0.406 -0.313  -0.257 -0.313  -0.108 -0.313  -0.041 -0.395  -0.044 -0.543  -0.149 -0.648  -0.155 -0.795  -0.155 -0.944  -0.155 -1.093  -0.155 -1.242  -0.155 -1.391  -0.155 -1.540  -0.155 -1.689  -0.155 -1.838  -0.155 -1.987  -0.155 -2.136
3#apa#apa02#app0273/*  0.819 1.319  1.093 1.505  0.994 1.319  0.819 1.033  0.621 0.771  0.273 0.499  0.141 0.093  -0.002 -0.308  -0.276 -0.655  -0.448 -1.045  -0.550 -1.463  -0.550 -1.465  -0.276 -1.279  -0.252 -0.824  -0.046 -0.412  0.060 0.012  0.271 0.385  0.271 0.846  0.456 1.230  0.545 0.984  0.792 0.771  0.819 0.337  0.819 -0.123  0.819 -0.584  0.487 -0.325  0.027 -0.325  -0.388 -0.213  -0.781 -0.051  -0.967 0.223  -0.768 0.223  -0.550 -0.020  -0.121 -0.051  0.339 -0.051  0.545 -0.305  0.986 -0.325  1.013 -0.051  0.553 -0.051  0.092 -0.051  -0.368 -0.051  -0.747 0.146  -1.176 0.223  -1.636 0.223  -1.823 -0.051  -1.582 -0.114  -1.209 -0.325  -0.749 -0.325  -0.288 -0.325  0.172 -0.325  0.633 -0.325  1.093 -0.325
3#apa#apa02#app0273/(  0.376 1.070  0.461 1.070  0.491 1.125  0.491 1.210  0.491 1.296  0.412 1.301  0.376 1.252  0.357 1.186  0.272 1.186  0.208 1.134  0.148 1.074  0.064 1.070  0.029 1.020  0.015 0.941  -0.045 0.881  -0.086 0.813  -0.086 0.727  -0.123 0.651  -0.161 0.575  -0.199 0.499  -0.257 0.437  -0.317 0.377  -0.317 0.292  -0.317 0.206  -0.317 0.121  -0.317 0.036  -0.317 -0.049  -0.317 -0.134  -0.317 -0.219  -0.317 -0.304  -0.317 -0.390  -0.317 -0.475  -0.317 -0.560  -0.317 -0.645  -0.268 -0.710  -0.208 -0.770  -0.201 -0.853  -0.169 -0.924  -0.109 -0.985  -0.049 -1.045  0.011 -1.105  0.029 -1.183  0.059 -1.239  0.144 -1.239  0.145 -1.323  0.183 -1.392  0.243 -1.452  0.321 -1.470  0.376 -1.500  0.376 -1.585
3#apa#apa02#app0273/)  -0.180 1.416  -0.103 1.416  -0.062 1.452  -0.062 1.528  -0.062 1.463  -0.062 1.386  -0.062 1.309  -0.062 1.232  -0.045 1.163  0.009 1.109  0.056 1.051  0.056 0.974  0.056 0.898  0.060 0.823  0.114 0.768  0.168 0.714  0.173 0.639  0.173 0.563  0.173 0.486  0.173 0.409  0.173 0.333  0.173 0.256  0.173 0.179  0.173 0.102  0.173 0.026  0.173 -0.051  0.173 -0.128  0.173 -0.205  0.173 -0.281  0.173 -0.358  0.173 -0.435  0.173 -0.512  0.173 -0.588  0.119 -0.642  0.065 -0.697  0.056 -0.770  0.056 -0.846  0.056 -0.923  0.014 -0.983  -0.040 -1.037  -0.094 -1.091  -0.149 -1.146  -0.203 -1.200  -0.257 -1.254  -0.298 -1.314  -0.298 -1.391  -0.352 -1.413  -0.425 -1.422  -0.480 -1.477  -0.534 -1.531
3#apa#apa02#app0273/`  -0.917 0.565  -0.811 0.565  -0.704 0.565  -0.598 0.565  -0.492 0.565  -0.425 0.581  -0.500 0.657  -0.575 0.732  -0.650 0.807  -0.725 0.882  -0.801 0.957  -0.876 1.032  -0.883 1.039  -0.808 0.964  -0.733 0.889  -0.658 0.814  -0.583 0.739  -0.508 0.664  -0.433 0.589  -0.409 0.493  -0.409 0.386  -0.409 0.280  -0.409 0.174  -0.409 0.068  -0.313 0.057  -0.207 0.057  -0.101 0.057  0.005 0.057  0.108 0.049  0.183 -0.027  0.258 -0.102  0.333 -0.177  0.408 -0.252  0.483 -0.327  0.558 -0.402  0.607 -0.488  0.607 -0.594  0.607 -0.700  0.607 -0.807  0.607 -0.913  0.667 -0.959  0.773 -0.959  0.880 -0.959  0.986 -0.959  1.092 -0.959  1.115 -1.042  1.115 -1.148  1.115 -1.254  1.115 -1.360  1.115 -1.467
