1c#app#app06#app0601/t  -0.392 1.684  -0.454 1.746  -0.392 1.605  -0.377 1.445  -0.317 1.303  -0.273 1.146  -0.198 0.997  -0.167 0.837  -0.131 0.676  -0.078 0.518  -0.025 0.360  0.027 0.202  0.057 0.040  0.064 -0.126  0.137 -0.276  0.189 -0.434  0.206 -0.598  0.265 -0.751  0.356 -0.883  0.408 -1.038  0.506 -1.168  0.578 -1.305  0.669 -1.382  0.704 -1.439  0.569 -1.342  0.433 -1.245  0.297 -1.148  0.161 -1.051  0.026 -0.954  -0.110 -0.857  -0.246 -0.760  -0.382 -0.663  -0.517 -0.566  -0.653 -0.469  -0.789 -0.372  -0.840 -0.232  -0.808 -0.078  -0.691 0.040  -0.625 0.179  -0.488 0.274  -0.345 0.361  -0.206 0.449  -0.067 0.537  0.082 0.612  0.239 0.653  0.393 0.712  0.559 0.712  0.726 0.712  0.889 0.702  1.029 0.637
1c#app#app06#app0601/h  -1.016 1.737  -1.016 1.766  -0.937 1.657  -0.931 1.518  -0.922 1.379  -0.859 1.253  -0.796 1.126  -0.749 0.995  -0.721 0.856  -0.693 0.718  -0.652 0.584  -0.590 0.457  -0.545 0.323  -0.498 0.190  -0.435 0.064  -0.372 -0.062  -0.308 -0.189  -0.245 -0.315  -0.182 -0.441  -0.119 -0.568  -0.056 -0.694  0.004 -0.821  0.049 -0.944  0.149 -1.044  0.221 -1.163  0.259 -1.183  0.259 -1.042  0.259 -0.900  0.215 -0.766  0.174 -0.632  0.174 -0.491  0.174 -0.349  0.174 -0.208  0.174 -0.067  0.174 0.074  0.174 0.216  0.221 0.338  0.345 0.375  0.429 0.269  0.508 0.206  0.575 0.086  0.600 -0.050  0.684 -0.156  0.719 -0.289  0.790 -0.410  0.854 -0.524  0.950 -0.607  1.025 -0.702  1.110 -0.758  1.195 -0.814
1c#app#app06#app0601/e  -0.487 -0.398  -0.378 -0.360  -0.324 -0.235  -0.270 -0.111  -0.269 0.036  -0.134 0.063  -0.053 0.177  -0.002 0.303  0.102 0.407  0.164 0.528  0.261 0.578  0.368 0.674  0.396 0.809  0.490 0.918  0.490 1.065  0.425 1.185  0.297 1.229  0.150 1.229  0.003 1.229  -0.144 1.229  -0.253 1.137  -0.357 1.033  -0.431 0.907  -0.502 0.780  -0.606 0.676  -0.708 0.570  -0.773 0.439  -0.812 0.301  -0.812 0.154  -0.812 0.007  -0.812 -0.140  -0.737 -0.256  -0.659 -0.379  -0.592 -0.509  -0.489 -0.613  -0.385 -0.717  -0.255 -0.785  -0.131 -0.862  -0.021 -0.957  0.111 -1.023  0.252 -1.049  0.399 -1.049  0.546 -1.049  0.693 -1.049  0.840 -1.049  0.987 -1.049  1.134 -1.049  1.281 -1.049  1.358 -0.979  1.466 -0.941
1c#app#app06#app0601/m  -0.942 0.889  -0.942 0.816  -0.853 0.611  -0.805 0.375  -0.774 0.138  -0.774 -0.103  -0.711 -0.328  -0.690 -0.564  -0.608 -0.785  -0.606 -1.024  -0.523 -1.181  -0.523 -1.329  -0.523 -1.088  -0.571 -0.859  -0.645 -0.632  -0.690 -0.397  -0.690 -0.157  -0.690 0.084  -0.690 0.324  -0.690 0.564  -0.690 0.805  -0.569 0.973  -0.405 0.821  -0.266 0.628  -0.187 0.406  -0.126 0.180  -0.098 -0.054  -0.040 -0.287  0.064 -0.490  0.083 -0.723  0.212 -0.872  0.316 -0.686  0.316 -0.446  0.316 -0.205  0.400 0.015  0.400 0.256  0.484 0.476  0.509 0.713  0.606 0.928  0.717 1.122  0.903 1.093  0.987 0.888  1.020 0.655  1.070 0.427  1.154 0.206  1.214 -0.010  1.266 -0.229  1.376 -0.423  1.420 -0.648  1.490 -0.872
1c#app#app06#app0601/o  -0.959 0.078  -0.959 0.206  -0.833 0.208  -0.829 0.332  -0.829 0.460  -0.744 0.553  -0.635 0.599  -0.525 0.642  -0.435 0.733  -0.344 0.823  -0.253 0.914  -0.157 0.990  -0.029 0.990  0.100 0.990  0.228 0.990  0.356 0.990  0.484 0.990  0.612 0.990  0.734 0.984  0.737 0.857  0.827 0.766  0.864 0.653  0.864 0.525  0.864 0.397  0.864 0.269  0.864 0.141  0.864 0.013  0.844 -0.112  0.804 -0.234  0.763 -0.355  0.709 -0.468  0.618 -0.559  0.528 -0.649  0.437 -0.740  0.347 -0.830  0.256 -0.921  0.166 -1.011  0.072 -1.094  -0.056 -1.094  -0.184 -1.094  -0.312 -1.094  -0.441 -1.094  -0.569 -1.094  -0.659 -1.004  -0.731 -0.899  -0.788 -0.785  -0.829 -0.666  -0.845 -0.542  -0.902 -0.427  -0.959 -0.313
1c#app#app06#app0601/c  -0.022 1.557  0.064 1.557  0.022 1.557  -0.022 1.515  -0.022 1.428  -0.022 1.342  -0.082 1.281  -0.130 1.215  -0.130 1.129  -0.130 1.043  -0.190 1.017  -0.250 0.981  -0.278 0.899  -0.305 0.817  -0.332 0.735  -0.346 0.652  -0.346 0.566  -0.346 0.480  -0.346 0.393  -0.346 0.307  -0.346 0.221  -0.346 0.135  -0.346 0.049  -0.346 -0.037  -0.304 -0.106  -0.243 -0.167  -0.238 -0.251  -0.238 -0.337  -0.238 -0.423  -0.225 -0.496  -0.139 -0.496  -0.096 -0.565  -0.057 -0.642  -0.022 -0.720  -0.022 -0.806  0.029 -0.871  0.091 -0.928  0.178 -0.928  0.194 -0.997  0.242 -1.036  0.302 -1.062  0.306 -1.144  0.392 -1.144  0.478 -1.144  0.564 -1.144  0.650 -1.144  0.736 -1.142  0.796 -1.081  0.864 -1.036  0.950 -1.036
1c#app#app06#app0601/k  -0.963 1.428  -0.864 1.266  -0.864 1.062  -0.765 0.900  -0.704 0.712  -0.666 0.518  -0.656 0.317  -0.566 0.135  -0.566 -0.069  -0.557 -0.268  -0.467 -0.434  -0.410 -0.613  -0.368 -0.799  -0.368 -1.002  -0.368 -1.205  -0.269 -1.367  -0.272 -1.526  -0.303 -1.325  -0.334 -1.125  -0.365 -0.924  -0.396 -0.723  -0.427 -0.522  -0.458 -0.322  -0.369 -0.160  -0.269 -0.056  -0.221 0.135  -0.107 0.300  -0.002 0.473  0.123 0.629  0.267 0.773  0.410 0.917  0.508 1.031  0.624 1.118  0.723 1.222  0.596 1.080  0.463 0.926  0.331 0.772  0.199 0.618  0.128 0.441  0.227 0.337  0.326 0.175  0.444 0.020  0.525 -0.149  0.654 -0.248  0.718 -0.441  0.884 -0.519  1.021 -0.665  1.101 -0.835  1.255 -0.953  1.417 -1.052
1c#app#app06#app0601/j  -0.286 1.302  -0.211 1.172  -0.148 1.026  -0.094 0.885  -0.061 0.738  0.027 0.613  0.090 0.478  0.127 0.325  0.199 0.181  0.262 0.033  0.313 -0.119  0.318 -0.279  0.391 -0.410  0.439 -0.551  0.466 -0.701  0.466 -0.863  0.541 -0.993  0.541 -1.154  0.481 -1.301  0.391 -1.383  0.283 -1.481  0.153 -1.556  0.006 -1.535  -0.060 -1.388  -0.125 -1.241  -0.191 -1.093  -0.256 -0.946  -0.322 -0.799  -0.387 -0.652  -0.453 -0.504  -0.518 -0.357  -0.584 -0.210  -0.649 -0.063  -0.714 0.085  -0.780 0.232  -0.845 0.379  -0.832 0.475  -0.670 0.475  -0.545 0.571  -0.409 0.653  -0.295 0.767  -0.153 0.842  -0.029 0.942  0.119 1.001  0.276 1.019  0.423 1.077  0.584 1.077  0.745 1.077  0.907 1.077  1.068 1.077
1c#app#app06#app0601/u  -1.183 0.996  -1.183 0.823  -1.088 0.689  -1.088 0.516  -1.088 0.342  -1.040 0.189  -0.993 0.035  -0.953 -0.128  -0.899 -0.288  -0.807 -0.424  -0.728 -0.578  -0.684 -0.736  -0.614 -0.880  -0.507 -1.009  -0.368 -1.091  -0.194 -1.091  -0.045 -1.067  0.027 -0.924  0.071 -0.765  0.145 -0.610  0.145 -0.436  0.240 -0.303  0.240 -0.129  0.240 0.044  0.240 0.217  0.266 0.384  0.335 0.541  0.335 0.714  0.335 0.887  0.335 1.060  0.335 1.233  0.335 1.406  0.429 1.455  0.429 1.282  0.429 1.109  0.429 0.936  0.429 0.763  0.429 0.590  0.429 0.416  0.429 0.243  0.429 0.070  0.466 -0.099  0.508 -0.266  0.524 -0.438  0.564 -0.601  0.619 -0.761  0.710 -0.897  0.765 -1.047  0.825 -1.186  0.998 -1.186
1c#app#app06#app0601/r  -0.418 0.703  -0.327 0.611  -0.235 0.520  -0.192 0.409  -0.192 0.280  -0.192 0.151  -0.192 0.022  -0.192 -0.107  -0.167 -0.226  -0.079 -0.319  -0.079 -0.448  -0.079 -0.577  -0.042 -0.691  0.034 -0.788  0.034 -0.917  0.034 -1.046  0.034 -1.176  0.119 -1.220  0.193 -1.310  0.250 -1.425  0.261 -1.552  0.261 -1.437  0.249 -1.310  0.191 -1.195  0.147 -1.076  0.147 -0.947  0.147 -0.818  0.147 -0.689  0.147 -0.560  0.147 -0.431  0.091 -0.315  0.034 -0.199  0.034 -0.070  0.034 0.059  0.034 0.188  0.034 0.317  0.034 0.446  0.034 0.575  -0.002 0.699  -0.043 0.821  -0.079 0.944  -0.079 1.074  -0.079 1.203  -0.079 1.332  -0.079 1.461  -0.079 1.590  -0.079 1.719  -0.068 1.844  0.023 1.935  0.147 1.946
1c#app#app06#app0601/y  0.379 1.688  0.553 1.688  0.592 1.552  0.592 1.378  0.592 1.203  0.504 1.065  0.486 0.899  0.486 0.724  0.486 0.550  0.471 0.378  0.393 0.222  0.379 0.051  0.379 -0.123  0.379 -0.298  0.379 -0.472  0.337 -0.637  0.272 -0.796  0.272 -0.970  0.272 -1.145  0.272 -1.319  0.272 -1.494  0.272 -1.668  0.226 -1.623  0.156 -1.463  0.085 -1.303  0.015 -1.143  -0.055 -0.984  -0.125 -0.824  -0.196 -0.664  -0.266 -0.505  -0.336 -0.345  -0.406 -0.185  -0.477 -0.026  -0.547 0.134  -0.617 0.294  -0.688 0.453  -0.758 0.613  -0.828 0.773  -0.898 0.933  -0.902 0.775  -0.795 0.707  -0.707 0.620  -0.578 0.510  -0.455 0.387  -0.332 0.264  -0.186 0.193  -0.054 0.092  0.101 0.045  0.224 -0.079  0.379 -0.127
