3#apb#apb02#app0272/S  0.160 0.718  0.228 0.820  0.284 0.929  0.350 1.032  0.372 1.148  0.342 1.266  0.267 1.344  0.151 1.331  0.041 1.276  -0.067 1.219  -0.172 1.156  -0.278 1.093  -0.374 1.018  -0.464 0.935  -0.555 0.852  -0.629 0.755  -0.700 0.655  -0.732 0.537  -0.723 0.423  -0.657 0.321  -0.560 0.246  -0.463 0.171  -0.355 0.116  -0.239 0.075  -0.123 0.035  -0.008 -0.006  0.108 -0.047  0.224 -0.087  0.338 -0.131  0.451 -0.180  0.564 -0.228  0.635 -0.328  0.702 -0.429  0.726 -0.550  0.728 -0.670  0.704 -0.790  0.639 -0.893  0.560 -0.986  0.474 -1.073  0.369 -1.134  0.258 -1.186  0.143 -1.227  0.024 -1.257  -0.097 -1.277  -0.219 -1.288  -0.340 -1.272  -0.454 -1.237  -0.540 -1.149  -0.593 -1.044  -0.497 -1.001
3#apb#apb02#app0272/t  0.127 1.301  0.057 1.465  0.033 1.642  -0.000 1.818  -0.072 1.819  -0.077 1.641  -0.076 1.462  -0.064 1.283  -0.052 1.104  -0.020 0.928  0.014 0.752  0.048 0.576  0.072 0.398  0.095 0.221  0.118 0.043  0.142 -0.134  0.168 -0.312  0.193 -0.489  0.223 -0.666  0.256 -0.842  0.291 -1.018  0.331 -1.193  0.371 -1.367  0.410 -1.542  0.434 -1.629  0.434 -1.450  0.450 -1.272  0.483 -1.096  0.467 -0.942  0.323 -0.835  0.179 -0.728  0.035 -0.621  -0.109 -0.515  -0.253 -0.408  -0.397 -0.301  -0.541 -0.195  -0.685 -0.088  -0.829 0.019  -0.992 0.072  -1.017 0.091  -0.850 0.040  -0.672 0.024  -0.493 0.035  -0.314 0.046  -0.139 0.082  0.036 0.122  0.213 0.152  0.390 0.181  0.567 0.202  0.689 0.125
3#apb#apb02#app0272/a  0.145 0.566  0.085 0.719  0.033 0.875  -0.094 0.971  -0.251 0.991  -0.410 0.953  -0.563 0.895  -0.685 0.787  -0.801 0.670  -0.912 0.550  -1.021 0.426  -1.109 0.288  -1.188 0.144  -1.239 -0.012  -1.283 -0.169  -1.238 -0.327  -1.147 -0.461  -1.036 -0.581  -0.893 -0.661  -0.744 -0.723  -0.580 -0.739  -0.416 -0.748  -0.252 -0.748  -0.112 -0.666  -0.014 -0.541  0.060 -0.394  0.140 -0.250  0.209 -0.103  0.236 0.059  0.261 0.221  0.215 0.379  0.170 0.537  0.093 0.677  -0.020 0.643  0.015 0.490  0.094 0.348  0.199 0.222  0.306 0.097  0.420 -0.020  0.552 -0.118  0.675 -0.227  0.791 -0.343  0.920 -0.445  1.051 -0.544  1.192 -0.628  1.341 -0.695  1.503 -0.718  1.655 -0.664  1.779 -0.558  1.867 -0.426
3#apb#apb02#app0272/n  -1.202 0.221  -1.172 0.371  -1.142 0.521  -1.117 0.672  -1.134 0.805  -1.089 0.677  -1.052 0.528  -1.015 0.380  -0.978 0.232  -0.906 0.099  -0.822 -0.028  -0.744 -0.159  -0.670 -0.293  -0.600 -0.429  -0.531 -0.565  -0.446 -0.690  -0.346 -0.806  -0.253 -0.927  -0.164 -1.016  -0.130 -0.871  -0.123 -0.718  -0.123 -0.566  -0.136 -0.414  -0.150 -0.261  -0.167 -0.110  -0.181 0.042  -0.181 0.195  -0.154 0.344  -0.111 0.491  -0.062 0.635  -0.014 0.780  0.093 0.884  0.208 0.975  0.345 0.906  0.459 0.807  0.565 0.697  0.665 0.581  0.754 0.458  0.828 0.325  0.894 0.187  0.951 0.046  1.007 -0.097  1.060 -0.240  1.110 -0.384  1.158 -0.529  1.218 -0.670  1.290 -0.804  1.370 -0.884  1.460 -0.776  1.482 -0.625
3#apb#apb02#app0272/f  0.065 1.625  -0.010 1.758  -0.102 1.878  -0.225 1.821  -0.281 1.680  -0.297 1.529  -0.291 1.377  -0.273 1.226  -0.249 1.076  -0.204 0.931  -0.159 0.786  -0.116 0.639  -0.074 0.493  -0.032 0.347  0.019 0.204  0.074 0.062  0.129 -0.080  0.180 -0.224  0.231 -0.367  0.285 -0.509  0.345 -0.649  0.399 -0.791  0.433 -0.940  0.465 -1.088  0.495 -1.237  0.496 -1.389  0.462 -1.537  0.342 -1.524  0.273 -1.389  0.260 -1.240  0.212 -1.105  0.114 -0.988  0.017 -0.871  -0.080 -0.754  -0.177 -0.636  -0.275 -0.519  -0.372 -0.402  -0.469 -0.285  -0.566 -0.168  -0.671 -0.065  -0.707 0.002  -0.560 0.037  -0.409 0.057  -0.259 0.081  -0.110 0.110  0.039 0.144  0.188 0.172  0.339 0.197  0.475 0.263  0.628 0.263
3#apb#apb02#app0272/o  -0.563 0.237  -0.581 0.359  -0.572 0.481  -0.681 0.531  -0.772 0.440  -0.863 0.349  -0.954 0.258  -1.030 0.156  -1.087 0.041  -1.122 -0.080  -1.121 -0.209  -1.095 -0.335  -1.070 -0.461  -0.994 -0.558  -0.897 -0.643  -0.794 -0.717  -0.674 -0.765  -0.555 -0.813  -0.429 -0.836  -0.301 -0.854  -0.174 -0.873  -0.046 -0.867  0.081 -0.846  0.208 -0.825  0.331 -0.790  0.454 -0.752  0.577 -0.714  0.685 -0.647  0.787 -0.568  0.884 -0.485  0.947 -0.372  1.009 -0.260  1.060 -0.142  1.108 -0.022  1.136 0.100  1.117 0.227  1.066 0.343  1.000 0.453  0.933 0.563  0.836 0.648  0.740 0.734  0.638 0.811  0.523 0.869  0.408 0.927  0.285 0.963  0.160 0.990  0.033 1.011  -0.095 1.027  -0.209 0.978  -0.328 0.942
3#apb#apb02#app0272/r  -1.083 0.249  -1.116 0.382  -1.118 0.518  -1.113 0.626  -1.062 0.499  -1.017 0.370  -0.974 0.240  -0.919 0.117  -0.830 0.014  -0.741 -0.090  -0.651 -0.193  -0.560 -0.295  -0.469 -0.397  -0.374 -0.495  -0.278 -0.591  -0.182 -0.689  -0.093 -0.793  -0.005 -0.897  0.074 -1.008  0.150 -1.121  0.169 -1.251  0.166 -1.277  0.124 -1.152  0.084 -1.022  0.017 -0.903  -0.051 -0.784  -0.082 -0.651  -0.112 -0.518  -0.134 -0.384  -0.151 -0.248  -0.160 -0.112  -0.160 0.025  -0.121 0.155  -0.084 0.286  -0.037 0.413  0.045 0.522  0.108 0.643  0.180 0.752  0.312 0.790  0.444 0.817  0.581 0.817  0.718 0.817  0.854 0.817  0.991 0.817  1.127 0.817  1.258 0.782  1.386 0.734  1.503 0.664  1.630 0.618  1.757 0.569
3#apb#apb02#app0272/d  -0.003 -0.161  0.015 0.028  -0.051 0.223  -0.190 0.373  -0.397 0.388  -0.604 0.350  -0.786 0.240  -0.931 0.088  -1.028 -0.099  -1.090 -0.301  -1.103 -0.512  -1.049 -0.712  -0.925 -0.878  -0.755 -1.002  -0.563 -1.091  -0.357 -1.127  -0.145 -1.141  0.063 -1.096  0.261 -1.029  0.444 -0.921  0.604 -0.786  0.664 -0.588  0.591 -0.392  0.484 -0.210  0.389 -0.028  0.351 0.181  0.314 0.390  0.277 0.599  0.240 0.808  0.203 1.016  0.165 1.225  0.128 1.434  0.090 1.643  -0.025 1.801  -0.049 1.621  -0.019 1.411  0.017 1.202  0.061 0.995  0.105 0.787  0.148 0.579  0.193 0.372  0.244 0.166  0.296 -0.040  0.345 -0.246  0.394 -0.453  0.453 -0.656  0.515 -0.859  0.578 -1.061  0.676 -1.246  0.762 -1.285
3#apb#apb02#app0272/U  -1.039 0.637  -0.997 0.805  -0.954 0.972  -0.970 1.138  -1.039 1.006  -1.039 0.833  -1.034 0.661  -1.011 0.489  -0.986 0.318  -0.957 0.147  -0.925 -0.023  -0.874 -0.188  -0.820 -0.352  -0.746 -0.509  -0.669 -0.663  -0.554 -0.791  -0.426 -0.907  -0.284 -1.006  -0.119 -1.054  0.047 -1.042  0.191 -0.957  0.306 -0.828  0.375 -0.670  0.422 -0.506  0.432 -0.333  0.434 -0.160  0.416 0.012  0.398 0.184  0.357 0.352  0.315 0.520  0.290 0.691  0.259 0.861  0.203 1.024  0.144 1.185  0.145 1.020  0.193 0.854  0.265 0.697  0.331 0.537  0.382 0.372  0.438 0.208  0.505 0.048  0.579 -0.108  0.657 -0.262  0.734 -0.417  0.816 -0.569  0.922 -0.705  1.024 -0.845  1.170 -0.928  1.304 -0.947  1.389 -0.799
3#apb#apb02#app0272/n  -1.230 0.237  -1.171 0.375  -1.132 0.519  -1.118 0.668  -1.118 0.715  -1.064 0.576  -1.009 0.436  -0.969 0.291  -0.929 0.147  -0.874 0.007  -0.816 -0.131  -0.755 -0.268  -0.687 -0.402  -0.617 -0.535  -0.539 -0.663  -0.459 -0.789  -0.362 -0.905  -0.271 -1.024  -0.168 -1.127  -0.115 -0.998  -0.115 -0.848  -0.115 -0.698  -0.117 -0.548  -0.129 -0.399  -0.142 -0.249  -0.143 -0.099  -0.143 0.051  -0.130 0.201  -0.114 0.350  -0.067 0.492  -0.013 0.632  0.062 0.762  0.143 0.888  0.254 0.962  0.400 0.939  0.534 0.875  0.647 0.776  0.754 0.672  0.852 0.558  0.931 0.432  0.998 0.298  1.054 0.159  1.102 0.017  1.135 -0.130  1.164 -0.277  1.215 -0.418  1.268 -0.558  1.348 -0.676  1.379 -0.720  1.391 -0.572
3#apb#apb02#app0272/i  -0.121 -0.383  -0.121 -0.270  -0.121 -0.157  -0.091 -0.057  -0.047 -0.044  -0.011 -0.151  0.022 -0.259  0.055 -0.367  0.087 -0.475  0.120 -0.583  0.152 -0.692  0.186 -0.799  0.221 -0.907  0.257 -1.014  0.289 -1.122  0.320 -1.231  0.369 -1.332  0.440 -1.418  0.442 -1.308  0.375 -1.218  0.316 -1.124  0.288 -1.015  0.260 -0.906  0.231 -0.796  0.203 -0.687  0.175 -0.577  0.147 -0.468  0.119 -0.359  0.091 -0.249  0.063 -0.140  0.035 -0.031  0.006 0.079  -0.022 0.188  -0.050 0.298  -0.078 0.407  -0.106 0.516  -0.134 0.626  -0.162 0.735  -0.190 0.845  -0.219 0.954  -0.247 1.063  -0.275 1.173  -0.303 1.282  -0.331 1.391  -0.359 1.501  -0.387 1.610  -0.415 1.720  -0.444 1.829  -0.472 1.938  -0.565 1.985
3#apb#apb02#app0272/v  -1.038 0.259  -1.057 0.390  -1.046 0.517  -0.987 0.636  -0.977 0.767  -0.953 0.897  -0.938 0.869  -0.887 0.747  -0.845 0.621  -0.800 0.496  -0.752 0.372  -0.704 0.248  -0.650 0.127  -0.584 0.012  -0.518 -0.104  -0.452 -0.219  -0.380 -0.330  -0.304 -0.440  -0.229 -0.549  -0.152 -0.658  -0.058 -0.752  0.036 -0.846  0.128 -0.941  0.205 -1.050  0.288 -1.151  0.403 -1.217  0.517 -1.286  0.585 -1.322  0.605 -1.193  0.605 -1.060  0.595 -0.927  0.585 -0.795  0.575 -0.662  0.553 -0.531  0.530 -0.400  0.507 -0.269  0.483 -0.138  0.463 -0.007  0.443 0.124  0.423 0.256  0.422 0.389  0.422 0.522  0.442 0.652  0.471 0.782  0.508 0.910  0.553 1.034  0.621 1.148  0.694 1.259  0.772 1.366  0.879 1.445
