2#app#app41#app4142/I  -0.087 1.222  -0.087 0.998  -0.087 0.773  -0.087 0.548  -0.087 0.323  -0.087 0.098  0.039 -0.000  0.158 -0.107  0.158 -0.331  0.107 -0.447  -0.066 -0.303  -0.239 -0.159  -0.411 -0.015  -0.584 0.129  -0.757 0.273  -0.929 0.417  -1.102 0.561  -1.275 0.704  -1.129 0.733  -0.905 0.733  -0.680 0.733  -0.490 0.819  -0.331 0.977  -0.107 0.978  0.118 0.978  0.343 0.978  0.568 0.978  0.792 0.978  0.822 0.873  0.697 0.686  0.573 0.499  0.448 0.312  0.323 0.125  0.199 -0.062  0.074 -0.249  -0.051 -0.436  -0.176 -0.623  -0.300 -0.810  -0.425 -0.997  -0.550 -1.184  -0.398 -1.223  -0.173 -1.223  0.052 -1.223  0.277 -1.223  0.501 -1.223  0.726 -1.223  0.951 -1.223  1.136 -1.184  1.156 -0.979  1.381 -0.979
2#app#app41#app4142/'  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.936  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.936  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
2#app#app41#app4142/v  -1.236 1.253  -1.094 1.253  -0.952 1.253  -0.810 1.253  -0.739 1.182  -0.739 1.040  -0.739 0.898  -0.739 0.756  -0.739 0.614  -0.739 0.473  -0.739 0.331  -0.739 0.189  -0.739 0.047  -0.739 -0.095  -0.739 -0.237  -0.597 -0.237  -0.456 -0.237  -0.314 -0.237  -0.243 -0.308  -0.243 -0.450  -0.243 -0.592  -0.243 -0.734  -0.101 -0.734  0.041 -0.734  0.183 -0.734  0.254 -0.805  0.254 -0.947  0.254 -1.088  0.254 -1.230  0.254 -1.088  0.254 -0.947  0.254 -0.805  0.325 -0.734  0.467 -0.734  0.609 -0.734  0.751 -0.734  0.751 -0.592  0.751 -0.450  0.751 -0.308  0.751 -0.166  0.751 -0.024  0.751 0.118  0.751 0.260  0.751 0.402  0.751 0.544  0.751 0.685  0.751 0.827  0.751 0.969  0.751 1.111  0.751 1.253
2#app#app41#app4142/e  -0.703 -0.149  -0.525 -0.149  -0.347 -0.149  -0.169 -0.149  -0.166 -0.324  -0.166 -0.502  -0.166 -0.680  0.006 -0.686  0.184 -0.686  0.361 -0.686  0.370 -0.517  0.370 -0.339  0.370 -0.161  0.536 -0.149  0.714 -0.149  0.892 -0.149  0.907 0.014  0.907 0.191  0.907 0.369  0.907 0.547  0.907 0.725  0.907 0.903  0.750 0.924  0.572 0.924  0.394 0.924  0.370 1.078  0.370 1.256  0.370 1.434  0.264 1.354  0.138 1.228  0.012 1.102  -0.114 0.976  -0.240 0.851  -0.365 0.725  -0.491 0.599  -0.617 0.473  -0.703 0.331  -0.703 0.153  -0.703 -0.025  -0.703 -0.203  -0.703 -0.381  -0.703 -0.559  -0.703 -0.737  -0.703 -0.914  -0.703 -1.092  -0.670 -1.256  -0.544 -1.382  -0.418 -1.508  -0.292 -1.634  -0.166 -1.760
2#app#app41#app4142/r  -0.747 -0.044  -0.747 -0.157  -0.747 -0.269  -0.747 -0.382  -0.747 -0.495  -0.747 -0.608  -0.747 -0.720  -0.747 -0.833  -0.747 -0.946  -0.747 -1.059  -0.725 -1.149  -0.612 -1.149  -0.499 -1.149  -0.387 -1.149  -0.274 -1.149  -0.195 -1.115  -0.195 -1.002  -0.195 -0.889  -0.195 -0.777  -0.195 -0.664  -0.195 -0.551  -0.195 -0.439  -0.195 -0.326  -0.195 -0.213  -0.195 -0.100  -0.139 -0.044  -0.026 -0.044  0.087 -0.044  0.200 -0.044  0.312 -0.044  0.357 0.024  0.357 0.136  0.357 0.249  0.357 0.362  0.357 0.475  0.357 0.587  0.357 0.700  0.357 0.813  0.357 0.926  0.357 1.038  0.448 1.061  0.560 1.061  0.673 1.061  0.786 1.061  0.898 1.061  0.910 1.162  0.910 1.275  0.910 1.388  0.910 1.500  0.910 1.613
2#app#app41#app4142/u  -1.451 0.800  -1.338 0.687  -1.225 0.574  -1.112 0.461  -0.953 0.461  -0.793 0.461  -0.773 0.322  -0.773 0.162  -0.773 0.002  -0.773 -0.157  -0.773 -0.317  -0.773 -0.476  -0.773 -0.636  -0.773 -0.795  -0.731 -0.937  -0.618 -1.050  -0.505 -1.163  -0.434 -1.174  -0.434 -1.015  -0.394 -0.895  -0.235 -0.895  -0.081 -0.881  0.032 -0.768  0.145 -0.655  0.244 -0.536  0.244 -0.377  0.244 -0.217  0.244 -0.058  0.244 0.102  0.244 0.261  0.244 0.421  0.244 0.581  0.244 0.740  0.344 0.800  0.503 0.800  0.583 0.880  0.583 1.039  0.583 1.078  0.583 0.919  0.611 0.771  0.724 0.658  0.837 0.545  0.921 0.421  0.921 0.261  0.936 0.108  1.049 -0.005  1.161 -0.118  1.260 -0.237  1.260 -0.396  1.260 -0.556
2#app#app41#app4142/n  -0.722 1.479  -0.722 1.319  -0.722 1.159  -0.722 1.000  -0.722 0.840  -0.722 0.680  -0.722 0.520  -0.722 0.360  -0.722 0.201  -0.722 0.041  -0.722 -0.119  -0.722 -0.279  -0.722 -0.439  -0.722 -0.599  -0.722 -0.758  -0.722 -0.918  -0.722 -1.078  -0.722 -1.237  -0.562 -1.237  -0.402 -1.237  -0.242 -1.237  -0.179 -1.141  -0.179 -0.981  -0.179 -0.821  -0.156 -0.671  -0.043 -0.558  0.070 -0.445  0.183 -0.332  0.296 -0.219  0.364 -0.087  0.364 0.072  0.364 0.232  0.364 0.392  0.364 0.552  0.364 0.712  0.364 0.872  0.460 0.936  0.620 0.936  0.779 0.936  0.908 0.904  0.908 0.744  0.908 0.584  0.908 0.425  0.908 0.265  0.908 0.105  0.908 -0.055  0.908 -0.215  0.908 -0.374  0.908 -0.534  0.908 -0.694
2#app#app41#app4142/o  0.116 1.212  -0.026 1.212  -0.168 1.212  -0.245 1.148  -0.245 1.006  -0.245 0.864  -0.337 0.760  -0.437 0.659  -0.537 0.559  -0.638 0.459  -0.738 0.358  -0.838 0.258  -0.939 0.158  -0.968 0.028  -0.968 -0.114  -0.968 -0.256  -0.968 -0.398  -0.968 -0.540  -0.881 -0.595  -0.739 -0.595  -0.607 -0.604  -0.607 -0.746  -0.607 -0.888  -0.533 -0.956  -0.391 -0.956  -0.249 -0.956  -0.107 -0.956  0.034 -0.956  0.176 -0.956  0.318 -0.956  0.460 -0.956  0.477 -0.831  0.477 -0.689  0.525 -0.595  0.667 -0.595  0.808 -0.595  0.839 -0.483  0.839 -0.341  0.839 -0.199  0.839 -0.057  0.839 0.084  0.839 0.226  0.839 0.368  0.839 0.510  0.839 0.652  0.839 0.794  0.778 0.911  0.678 1.011  0.578 1.112  0.477 1.212
2#app#app41#app4142/u  -1.518 0.383  -1.518 0.231  -1.518 0.079  -1.490 -0.045  -1.338 -0.045  -1.186 -0.045  -1.090 -0.102  -1.090 -0.254  -1.090 -0.406  -1.005 -0.473  -0.853 -0.473  -0.701 -0.473  -0.662 -0.586  -0.662 -0.739  -0.662 -0.891  -0.521 -0.901  -0.369 -0.901  -0.234 -0.883  -0.234 -0.731  -0.234 -0.579  -0.188 -0.473  -0.036 -0.473  0.116 -0.473  0.194 -0.399  0.194 -0.246  0.194 -0.094  0.297 -0.045  0.449 -0.045  0.601 -0.045  0.622 0.086  0.622 0.238  0.622 0.390  0.622 0.543  0.622 0.695  0.622 0.847  0.622 0.999  0.622 1.151  0.622 1.175  0.622 1.023  0.622 0.871  0.622 0.719  0.622 0.567  0.622 0.415  0.707 0.298  0.815 0.190  0.922 0.083  1.030 -0.025  1.174 -0.045  1.326 -0.045  1.478 -0.045
2#app#app41#app4142/t  -0.287 1.784  -0.095 1.784  0.033 1.720  0.033 1.528  0.033 1.336  0.033 1.144  0.033 0.953  0.033 0.761  0.033 0.569  0.033 0.377  0.033 0.185  0.033 -0.007  0.033 -0.198  0.033 -0.390  0.033 -0.582  0.033 -0.774  0.033 -0.966  0.100 -1.090  0.292 -1.090  0.484 -1.090  0.676 -1.090  0.868 -1.090  1.059 -1.090  1.251 -1.090  1.197 -1.019  1.034 -0.918  0.872 -0.816  0.709 -0.714  0.546 -0.613  0.384 -0.511  0.221 -0.409  0.058 -0.308  -0.104 -0.206  -0.267 -0.104  -0.430 -0.003  -0.592 0.099  -0.755 0.201  -0.918 0.302  -1.080 0.404  -1.243 0.506  -1.055 0.507  -0.925 0.445  -0.925 0.253  -0.799 0.187  -0.607 0.187  -0.415 0.187  -0.224 0.187  -0.032 0.187  0.160 0.187  0.352 0.187
2#app#app41#app4142/o  -0.141 1.384  -0.141 1.238  -0.141 1.091  -0.190 0.994  -0.337 0.994  -0.483 0.994  -0.530 0.895  -0.530 0.748  -0.532 0.603  -0.636 0.499  -0.739 0.395  -0.843 0.292  -0.920 0.177  -0.920 0.031  -0.920 -0.116  -0.920 -0.262  -0.920 -0.409  -0.920 -0.555  -0.920 -0.702  -0.920 -0.848  -0.881 -0.955  -0.734 -0.955  -0.588 -0.955  -0.441 -0.955  -0.295 -0.955  -0.148 -0.955  -0.002 -0.955  0.145 -0.955  0.249 -0.913  0.249 -0.766  0.249 -0.620  0.341 -0.565  0.488 -0.565  0.634 -0.565  0.639 -0.424  0.639 -0.277  0.684 -0.175  0.830 -0.175  0.977 -0.175  1.029 -0.081  1.029 0.066  1.029 0.212  1.029 0.359  1.029 0.505  0.982 0.604  0.835 0.604  0.689 0.604  0.639 0.701  0.639 0.848  0.639 0.994
