3#app#app41#app4154/w  -1.322 1.125  -1.151 1.125  -1.040 1.065  -1.040 0.895  -1.040 0.724  -1.040 0.553  -1.040 0.383  -1.040 0.212  -1.040 0.042  -0.914 -0.003  -0.758 -0.018  -0.758 -0.188  -0.758 -0.359  -0.758 -0.530  -0.758 -0.700  -0.736 -0.849  -0.565 -0.849  -0.476 -0.767  -0.476 -0.597  -0.335 -0.567  -0.194 -0.537  -0.194 -0.367  -0.194 -0.196  -0.194 -0.025  -0.046 -0.003  0.088 0.034  0.088 0.205  0.088 0.375  0.088 0.546  0.088 0.405  0.088 0.235  0.088 0.064  0.161 -0.076  0.282 -0.197  0.370 -0.331  0.370 -0.502  0.475 -0.567  0.646 -0.567  0.817 -0.567  0.972 -0.529  1.092 -0.408  1.213 -0.288  1.334 -0.167  1.454 -0.046  1.498 0.106  1.498 0.277  1.378 0.398  1.258 0.519  1.216 0.672  1.216 0.843
3#app#app41#app4154/a  0.108 0.610  0.108 0.784  0.103 0.954  -0.071 0.954  -0.245 0.954  -0.419 0.954  -0.580 0.940  -0.580 0.766  -0.598 0.610  -0.772 0.610  -0.924 0.587  -0.924 0.412  -0.951 0.266  -1.126 0.266  -1.268 0.234  -1.268 0.059  -1.268 -0.115  -1.268 -0.289  -1.238 -0.451  -1.115 -0.575  -0.992 -0.698  -0.846 -0.766  -0.671 -0.766  -0.497 -0.766  -0.323 -0.766  -0.149 -0.766  0.026 -0.766  0.108 -0.674  0.108 -0.500  0.204 -0.422  0.379 -0.422  0.452 -0.321  0.452 -0.147  0.558 -0.078  0.732 -0.078  0.796 0.032  0.796 0.206  0.796 0.381  0.796 0.555  0.796 0.490  0.796 0.316  0.796 0.142  0.796 -0.032  0.925 -0.078  1.099 -0.078  1.140 -0.211  1.140 -0.386  1.237 -0.519  1.361 -0.643  1.484 -0.766
3#app#app41#app4154/n  -0.497 1.029  -0.497 0.840  -0.497 0.651  -0.497 0.462  -0.497 0.273  -0.497 0.084  -0.497 -0.105  -0.497 -0.294  -0.497 -0.483  -0.655 -0.515  -0.844 -0.515  -1.012 -0.536  -1.012 -0.725  -1.012 -0.914  -1.012 -0.956  -1.012 -0.767  -1.012 -0.578  -0.886 -0.515  -0.697 -0.515  -0.508 -0.515  -0.497 -0.336  -0.497 -0.147  -0.497 0.042  -0.497 0.231  -0.497 0.420  -0.403 0.515  -0.213 0.515  -0.024 0.515  0.018 0.662  0.018 0.851  0.028 1.029  0.217 1.029  0.406 1.029  0.532 0.966  0.532 0.777  0.532 0.588  0.532 0.399  0.532 0.210  0.532 0.021  0.700 0.000  0.890 0.000  1.047 -0.032  1.047 -0.221  1.047 -0.410  1.131 -0.515  1.320 -0.515  1.509 -0.515  1.562 -0.651  1.562 -0.840  1.562 -1.029
3#app#app41#app4154/t  -0.056 1.726  -0.056 1.531  -0.056 1.336  -0.056 1.141  -0.056 0.946  -0.056 0.751  -0.056 0.556  -0.056 0.361  -0.056 0.166  -0.056 -0.029  -0.056 -0.224  -0.056 -0.418  -0.056 -0.613  -0.056 -0.808  -0.056 -1.003  -0.056 -1.198  -0.056 -1.393  0.031 -1.501  0.226 -1.501  0.421 -1.501  0.574 -1.479  0.460 -1.321  0.347 -1.162  0.234 -1.003  0.120 -0.845  0.007 -0.686  -0.106 -0.527  -0.219 -0.369  -0.333 -0.210  -0.446 -0.052  -0.559 0.107  -0.673 0.266  -0.786 0.424  -0.899 0.583  -1.013 0.742  -0.849 0.758  -0.702 0.711  -0.702 0.516  -0.587 0.435  -0.392 0.435  -0.197 0.435  -0.002 0.435  0.193 0.435  0.388 0.435  0.583 0.435  0.777 0.435  0.972 0.435  1.167 0.435  1.362 0.435  1.557 0.435
3#app#app41#app4154/e  -0.613 -0.023  -0.430 -0.023  -0.247 -0.023  -0.243 -0.203  -0.243 -0.386  -0.067 -0.394  0.116 -0.394  0.299 -0.394  0.483 -0.394  0.617 -0.275  0.746 -0.146  0.869 -0.013  0.869 0.170  0.875 0.347  1.058 0.347  1.239 0.350  1.239 0.533  1.239 0.716  1.057 0.718  0.874 0.718  0.690 0.718  0.507 0.718  0.498 0.892  0.498 1.075  0.328 1.088  0.145 1.088  0.128 0.922  0.128 0.738  -0.035 0.718  -0.218 0.718  -0.401 0.718  -0.585 0.718  -0.613 0.563  -0.613 0.380  -0.720 0.240  -0.850 0.111  -0.979 -0.019  -0.984 -0.200  -0.984 -0.383  -0.984 -0.567  -0.984 -0.750  -0.815 -0.764  -0.631 -0.764  -0.613 -0.929  -0.613 -1.113  -0.499 -1.249  -0.370 -1.378  -0.239 -1.505  -0.056 -1.505  0.128 -1.505
3#app#app41#app4154/d  -0.142 -0.842  -0.310 -0.842  -0.372 -0.948  -0.415 -1.073  -0.583 -1.073  -0.603 -1.221  -0.516 -1.303  -0.349 -1.303  -0.181 -1.303  -0.142 -1.174  -0.075 -1.073  0.088 -1.068  0.088 -0.900  0.166 -0.765  0.285 -0.646  0.319 -0.492  0.319 -0.324  0.319 -0.156  0.319 0.012  0.319 0.180  0.319 0.348  0.319 0.515  0.319 0.683  0.261 0.827  0.143 0.946  0.088 1.092  0.068 1.251  -0.051 1.370  -0.142 1.500  -0.142 1.668  -0.286 1.691  -0.372 1.609  -0.372 1.441  -0.372 1.273  -0.316 1.119  -0.241 0.968  -0.166 0.818  -0.142 0.656  -0.142 0.488  -0.142 0.320  -0.031 0.198  0.088 0.080  0.088 -0.088  0.162 -0.225  0.281 -0.344  0.319 -0.496  0.356 -0.649  0.475 -0.768  0.549 -0.905  0.549 -1.073
3#app#app41#app4154/p  -0.552 0.098  -0.552 -0.067  -0.552 -0.231  -0.469 -0.313  -0.346 -0.355  -0.346 -0.519  -0.346 -0.684  -0.346 -0.848  -0.346 -1.013  -0.346 -1.177  -0.346 -1.342  -0.346 -1.506  -0.258 -1.634  -0.141 -1.750  -0.141 -1.587  -0.141 -1.422  -0.141 -1.258  -0.141 -1.093  -0.141 -0.929  -0.141 -0.764  -0.141 -0.600  -0.141 -0.435  -0.141 -0.271  -0.141 -0.106  -0.141 0.058  -0.141 0.223  -0.082 0.363  0.035 0.479  0.064 0.631  0.064 0.796  0.064 0.960  0.064 1.125  0.064 1.289  0.064 1.454  0.147 1.536  0.270 1.494  0.270 1.330  0.435 1.330  0.475 1.206  0.534 1.066  0.650 0.950  0.680 0.798  0.680 0.633  0.640 0.509  0.476 0.509  0.475 0.345  0.352 0.303  0.270 0.222  0.229 0.098  0.064 0.098
3#app#app41#app4154/i  0.115 0.606  0.115 0.487  0.115 0.368  0.115 0.250  0.115 0.131  0.115 0.012  0.115 -0.107  0.115 -0.225  0.115 -0.344  0.115 -0.463  0.115 -0.582  0.115 -0.700  0.115 -0.819  0.115 -0.938  0.115 -1.057  0.115 -1.176  0.115 -1.294  0.115 -1.413  0.115 -1.532  0.107 -1.489  0.095 -1.371  0.083 -1.253  0.071 -1.134  0.060 -1.016  0.048 -0.898  0.036 -0.780  0.024 -0.662  0.012 -0.544  0.000 -0.425  -0.011 -0.307  -0.023 -0.189  -0.035 -0.071  -0.047 0.047  -0.059 0.166  -0.070 0.284  -0.082 0.402  -0.094 0.520  -0.106 0.638  -0.118 0.756  -0.130 0.875  -0.141 0.993  -0.153 1.111  -0.165 1.229  -0.177 1.347  -0.189 1.466  -0.200 1.584  -0.212 1.702  -0.224 1.820  -0.236 1.938  -0.248 2.057
3#app#app41#app4154/n  -0.939 1.109  -0.939 0.959  -0.939 0.810  -0.939 0.661  -0.939 0.512  -0.939 0.362  -0.939 0.213  -0.939 0.064  -0.939 -0.086  -0.939 -0.235  -0.939 -0.384  -0.939 -0.533  -0.939 -0.683  -0.939 -0.832  -0.939 -0.981  -0.816 -1.007  -0.666 -1.007  -0.517 -1.007  -0.410 -0.965  -0.410 -0.816  -0.410 -0.666  -0.410 -0.517  -0.300 -0.478  -0.150 -0.478  -0.001 -0.478  0.140 -0.457  0.245 -0.352  0.351 -0.246  0.456 -0.141  0.562 -0.035  0.648 0.078  0.648 0.228  0.648 0.377  0.648 0.526  0.648 0.675  0.648 0.825  0.648 0.974  0.648 1.094  0.648 0.945  0.648 0.795  0.648 0.646  0.706 0.521  0.812 0.416  0.917 0.310  1.023 0.204  1.129 0.099  1.177 -0.030  1.177 -0.180  1.177 -0.329  1.177 -0.478
3#app#app41#app4154/k  -0.307 2.206  -0.307 2.048  -0.307 1.889  -0.307 1.731  -0.307 1.573  -0.307 1.414  -0.307 1.256  -0.307 1.098  -0.307 0.940  -0.307 0.781  -0.307 0.623  -0.307 0.465  -0.307 0.306  -0.307 0.148  -0.307 -0.010  -0.307 -0.169  -0.307 -0.327  -0.307 -0.485  -0.307 -0.643  -0.176 -0.671  -0.045 -0.644  -0.045 -0.485  0.013 -0.351  0.125 -0.239  0.245 -0.148  0.404 -0.148  0.478 -0.064  0.478 0.095  0.576 0.212  0.688 0.324  0.653 0.375  0.495 0.375  0.378 0.275  0.266 0.163  0.216 0.026  0.216 -0.133  0.073 -0.148  -0.045 -0.188  -0.045 -0.346  -0.045 -0.504  -0.045 -0.662  -0.045 -0.821  -0.045 -0.979  -0.045 -1.137  -0.045 -1.296  -0.045 -1.454  0.111 -1.456  0.254 -1.493  0.366 -1.605  0.478 -1.717
3#app#app41#app4154/y  -0.899 0.863  -0.746 0.863  -0.666 0.937  -0.666 1.091  -0.666 0.949  -0.666 0.795  -0.666 0.641  -0.524 0.629  -0.370 0.629  -0.216 0.629  -0.062 0.629  0.036 0.685  0.036 0.839  0.036 0.993  0.036 1.147  0.036 1.300  0.036 1.207  0.036 1.053  0.036 0.900  0.153 0.863  0.270 0.826  0.270 0.672  0.270 0.518  0.270 0.364  0.270 0.210  0.344 0.087  0.453 -0.022  0.503 -0.154  0.503 -0.308  0.503 -0.462  0.580 -0.540  0.734 -0.540  0.737 -0.690  0.737 -0.844  0.737 -0.998  0.737 -1.151  0.673 -1.241  0.519 -1.241  0.365 -1.241  0.212 -1.241  0.058 -1.241  -0.096 -1.241  -0.235 -1.204  -0.344 -1.096  -0.461 -1.007  -0.615 -1.007  -0.666 -0.904  -0.649 -0.757  -0.541 -0.649  -0.432 -0.540
