3#apa#apa09#app0953/v  -0.580 1.125  -0.580 1.003  -0.580 0.882  -0.580 0.761  -0.580 0.639  -0.580 0.518  -0.580 0.396  -0.580 0.275  -0.580 0.154  -0.580 0.032  -0.580 -0.089  -0.580 -0.211  -0.580 -0.332  -0.580 -0.453  -0.580 -0.575  -0.580 -0.696  -0.521 -0.800  -0.454 -0.901  -0.387 -1.002  -0.319 -1.103  -0.252 -1.204  -0.185 -1.305  -0.116 -1.394  -0.030 -1.309  0.056 -1.223  0.108 -1.123  0.108 -1.002  0.108 -0.880  0.108 -0.759  0.131 -0.641  0.170 -0.526  0.208 -0.411  0.247 -0.296  0.285 -0.181  0.323 -0.065  0.362 0.050  0.400 0.165  0.439 0.280  0.477 0.395  0.515 0.511  0.554 0.626  0.592 0.741  0.631 0.856  0.669 0.971  0.707 1.086  0.746 1.202  0.784 1.317  0.854 1.412  0.940 1.498  1.026 1.584
3#apa#apa09#app0953/e  0.051 -0.204  -0.051 -0.102  -0.154 0.000  -0.013 0.002  0.132 0.002  0.277 0.002  0.421 0.002  0.566 0.002  0.688 0.039  0.752 0.168  0.817 0.298  0.885 0.424  0.988 0.527  1.081 0.632  1.081 0.777  1.081 0.922  1.047 1.032  0.903 1.032  0.762 1.004  0.621 0.969  0.481 0.934  0.341 0.899  0.200 0.864  0.060 0.829  -0.062 0.751  -0.182 0.671  -0.302 0.591  -0.423 0.511  -0.543 0.430  -0.670 0.363  -0.800 0.298  -0.929 0.233  -0.979 0.120  -0.979 -0.025  -0.979 -0.169  -0.953 -0.311  -0.918 -0.451  -0.883 -0.591  -0.848 -0.732  -0.812 -0.872  -0.777 -1.012  -0.659 -1.086  -0.529 -1.150  -0.400 -1.215  -0.260 -1.234  -0.115 -1.234  0.029 -1.234  0.174 -1.234  0.318 -1.234  0.463 -1.234
3#apa#apa09#app0953/x  -1.226 0.205  -1.361 0.341  -1.402 0.516  -1.252 0.557  -1.060 0.557  -0.868 0.557  -0.676 0.557  -0.487 0.546  -0.305 0.485  -0.123 0.425  0.008 0.327  0.008 0.135  0.008 -0.056  -0.082 -0.193  -0.253 -0.278  -0.425 -0.364  -0.596 -0.450  -0.772 -0.525  -0.954 -0.586  -1.136 -0.647  -1.323 -0.676  -1.322 -0.596  -1.173 -0.483  -0.991 -0.422  -0.809 -0.361  -0.626 -0.304  -0.441 -0.251  -0.257 -0.198  -0.073 -0.146  0.112 -0.093  0.296 -0.040  0.481 0.013  0.665 0.065  0.850 0.118  1.034 0.171  1.218 0.223  1.403 0.276  1.587 0.329  1.770 0.381  1.579 0.376  1.397 0.315  1.215 0.255  1.033 0.194  0.851 0.133  0.669 0.073  0.537 -0.024  0.585 -0.196  0.723 -0.329  0.894 -0.414  1.066 -0.500
3#apa#apa09#app0953/i  -0.358 0.293  -0.358 0.175  -0.358 0.058  -0.358 -0.059  -0.358 -0.177  -0.358 -0.294  -0.358 -0.411  -0.358 -0.529  -0.358 -0.646  -0.323 -0.755  -0.270 -0.860  -0.218 -0.965  -0.165 -1.070  -0.162 -1.186  -0.134 -1.258  -0.029 -1.206  0.076 -1.153  0.181 -1.101  0.282 -1.042  0.379 -0.977  0.477 -0.912  0.575 -0.847  0.672 -0.781  0.770 -0.716  0.785 -0.632  0.726 -0.531  0.667 -0.430  0.608 -0.328  0.549 -0.227  0.490 -0.126  0.431 -0.024  0.371 0.077  0.312 0.178  0.253 0.280  0.194 0.381  0.135 0.482  0.076 0.584  0.017 0.685  -0.042 0.786  -0.101 0.888  -0.161 0.989  -0.220 1.090  -0.279 1.192  -0.338 1.293  -0.397 1.394  -0.456 1.496  -0.515 1.597  -0.583 1.692  -0.666 1.775  -0.749 1.858
3#apa#apa09#app0953/n  0.181 1.373  0.009 1.373  -0.150 1.351  -0.227 1.197  -0.304 1.043  -0.382 0.889  -0.459 0.735  -0.460 0.563  -0.460 0.391  -0.460 0.218  -0.460 0.046  -0.460 -0.126  -0.460 -0.299  -0.460 -0.471  -0.490 -0.638  -0.544 -0.802  -0.598 -0.965  -0.653 -1.129  -0.707 -1.292  -0.762 -1.455  -0.780 -1.396  -0.780 -1.224  -0.718 -1.066  -0.641 -0.912  -0.564 -0.758  -0.487 -0.604  -0.410 -0.450  -0.333 -0.296  -0.256 -0.142  -0.179 0.012  -0.080 0.151  0.042 0.272  0.163 0.394  0.285 0.516  0.407 0.638  0.529 0.760  0.651 0.881  0.772 1.003  0.821 0.950  0.821 0.777  0.821 0.605  0.821 0.433  0.821 0.260  0.821 0.088  0.821 -0.084  0.834 -0.253  0.911 -0.408  0.988 -0.562  1.065 -0.716  1.142 -0.870
3#apa#apa09#app0953/g  0.376 1.339  0.260 1.339  0.151 1.317  0.055 1.253  -0.041 1.189  -0.132 1.118  -0.199 1.031  -0.199 0.915  -0.156 0.903  -0.074 0.985  0.008 1.067  0.090 1.148  0.205 1.148  0.309 1.119  0.376 1.031  0.382 0.916  0.401 0.802  0.420 0.688  0.439 0.574  0.458 0.460  0.467 0.345  0.455 0.231  0.442 0.116  0.429 0.001  0.416 -0.114  0.404 -0.229  0.391 -0.344  0.378 -0.458  0.346 -0.569  0.309 -0.679  0.264 -0.783  0.183 -0.865  0.101 -0.946  0.019 -1.028  -0.063 -1.110  -0.157 -1.172  -0.264 -1.215  -0.372 -1.258  -0.479 -1.300  -0.585 -1.338  -0.667 -1.256  -0.677 -1.145  -0.677 -1.029  -0.677 -0.914  -0.649 -0.805  -0.597 -0.702  -0.545 -0.599  -0.494 -0.495  -0.442 -0.392  -0.390 -0.288
3#apa#apa09#app0953/d  -0.148 -0.440  -0.101 -0.289  0.096 -0.289  0.026 -0.226  -0.151 -0.139  -0.343 -0.117  -0.519 -0.029  -0.707 0.011  -0.903 0.008  -1.042 -0.132  -1.109 -0.316  -1.171 -0.503  -1.166 -0.690  -1.104 -0.878  -1.031 -1.059  -0.889 -1.191  -0.692 -1.191  -0.494 -1.191  -0.323 -1.107  -0.159 -0.997  0.005 -0.887  0.144 -0.748  0.221 -0.567  0.295 -0.384  0.368 -0.201  0.441 -0.018  0.453 0.177  0.453 0.375  0.453 0.572  0.453 0.769  0.453 0.966  0.453 1.163  0.453 1.361  0.453 1.558  0.453 1.755  0.430 1.677  0.397 1.482  0.365 1.288  0.333 1.093  0.302 0.898  0.302 0.701  0.302 0.504  0.333 0.310  0.371 0.116  0.410 -0.077  0.449 -0.270  0.496 -0.462  0.544 -0.653  0.591 -0.845  0.753 -0.890
3#apa#apa09#app0953/a  0.975 0.512  0.975 0.656  0.942 0.767  0.798 0.767  0.654 0.767  0.510 0.767  0.366 0.767  0.222 0.767  0.078 0.767  -0.065 0.761  -0.201 0.716  -0.338 0.670  -0.475 0.625  -0.611 0.579  -0.748 0.534  -0.880 0.478  -1.009 0.414  -1.138 0.350  -1.267 0.285  -1.324 0.176  -1.324 0.032  -1.324 -0.112  -1.323 -0.255  -1.221 -0.357  -1.120 -0.459  -1.000 -0.533  -0.864 -0.578  -0.727 -0.624  -0.590 -0.669  -0.454 -0.715  -0.317 -0.760  -0.174 -0.765  -0.030 -0.765  0.114 -0.765  0.258 -0.765  0.402 -0.765  0.522 -0.707  0.624 -0.605  0.724 -0.502  0.788 -0.373  0.852 -0.244  0.917 -0.116  0.975 0.015  0.975 0.159  0.975 0.210  0.975 0.066  0.975 -0.078  0.975 -0.222  0.975 -0.366  0.975 -0.510
3#apa#apa09#app0953/f  1.162 1.321  1.027 1.366  0.892 1.411  0.757 1.395  0.622 1.350  0.484 1.321  0.368 1.259  0.267 1.158  0.166 1.057  0.140 0.939  0.185 0.804  0.221 0.667  0.221 0.525  0.267 0.393  0.331 0.266  0.395 0.139  0.443 0.006  0.471 -0.134  0.499 -0.273  0.526 -0.413  0.466 -0.526  0.389 -0.644  0.325 -0.771  0.262 -0.899  0.172 -0.995  0.036 -1.041  -0.099 -1.086  -0.234 -1.131  -0.369 -1.176  -0.509 -1.188  -0.650 -1.176  -0.785 -1.131  -0.920 -1.086  -0.929 -0.950  -0.929 -0.808  -0.855 -0.696  -0.808 -0.568  -0.784 -0.427  -0.761 -0.287  -0.738 -0.146  -0.719 -0.005  -0.656 0.098  -0.529 0.162  -0.391 0.195  -0.252 0.223  -0.112 0.251  0.028 0.276  0.170 0.276  0.303 0.317  0.431 0.380
3#apa#apa09#app0953/t  0.338 1.277  0.443 1.382  0.560 1.456  0.695 1.468  0.695 1.616  0.695 1.505  0.626 1.386  0.521 1.282  0.417 1.178  0.317 1.070  0.228 0.952  0.139 0.834  0.051 0.716  -0.038 0.597  -0.126 0.479  -0.208 0.357  -0.263 0.220  -0.318 0.083  -0.373 -0.054  -0.427 -0.191  -0.482 -0.328  -0.537 -0.465  -0.554 -0.610  -0.554 -0.757  -0.554 -0.905  -0.554 -1.053  -0.554 -1.200  -0.440 -1.278  -0.308 -1.344  -0.173 -1.399  -0.026 -1.399  0.122 -1.399  0.237 -1.322  0.336 -1.216  0.278 -1.080  0.220 -0.945  0.162 -0.809  0.104 -0.673  0.046 -0.538  -0.012 -0.402  -0.071 -0.266  -0.129 -0.131  -0.187 0.005  -0.283 0.115  -0.358 0.207  -0.210 0.207  -0.077 0.267  0.055 0.333  0.191 0.385  0.338 0.385
3#apa#apa09#app0953/j  0.333 0.063  0.235 0.161  0.136 0.260  0.100 0.384  -0.010 0.413  0.115 0.413  0.225 0.377  0.259 0.242  0.293 0.107  0.327 -0.028  0.383 -0.154  0.445 -0.278  0.508 -0.403  0.566 -0.528  0.566 -0.667  0.566 -0.806  0.543 -0.941  0.499 -1.073  0.455 -1.205  0.340 -1.275  0.215 -1.337  0.076 -1.337  -0.060 -1.323  -0.192 -1.279  -0.324 -1.235  -0.433 -1.154  -0.484 -1.036  -0.484 -0.897  -0.463 -0.760  -0.437 -0.623  -0.411 -0.487  -0.385 -0.350  -0.359 -0.214  -0.333 -0.077  -0.307 0.059  -0.281 0.196  -0.255 0.333  -0.229 0.469  -0.203 0.606  -0.177 0.742  -0.151 0.879  -0.125 1.015  -0.099 1.152  -0.073 1.288  -0.047 1.425  -0.021 1.562  -0.084 1.680  -0.161 1.796  -0.238 1.911  -0.367 1.930
