2#apb#apb21#app2198/.  -0.507 1.625  -0.485 1.559  -0.463 1.492  -0.440 1.426  -0.418 1.360  -0.396 1.294  -0.374 1.228  -0.352 1.162  -0.330 1.096  -0.308 1.030  -0.286 0.964  -0.264 0.898  -0.242 0.831  -0.220 0.765  -0.198 0.699  -0.176 0.633  -0.154 0.567  -0.132 0.501  -0.110 0.435  -0.088 0.369  -0.066 0.303  -0.044 0.237  -0.022 0.171  0.000 0.104  0.022 0.038  0.044 -0.028  0.066 -0.094  0.088 -0.160  0.110 -0.226  0.132 -0.292  0.154 -0.358  0.176 -0.424  0.198 -0.490  0.220 -0.556  0.242 -0.622  0.264 -0.689  0.286 -0.755  0.309 -0.821  0.314 -0.890  0.314 -0.959  0.314 -1.029  0.314 -1.099  0.314 -1.168  0.314 -1.238  0.314 -1.308  0.314 -1.377  0.314 -1.447  0.314 -1.517  0.314 -1.586  0.314 -1.656
2#apb#apb21#app2198/,  0.269 1.259  0.269 1.182  0.269 1.104  0.269 1.149  0.269 1.226  0.313 1.259  0.387 1.253  0.430 1.189  0.473 1.124  0.512 1.058  0.547 0.988  0.582 0.919  0.608 0.849  0.578 0.778  0.548 0.707  0.518 0.635  0.488 0.564  0.459 0.492  0.429 0.421  0.399 0.349  0.369 0.278  0.339 0.206  0.304 0.137  0.264 0.071  0.225 0.005  0.185 -0.062  0.145 -0.128  0.105 -0.195  0.065 -0.261  0.025 -0.327  -0.014 -0.394  -0.065 -0.452  -0.117 -0.509  -0.169 -0.567  -0.221 -0.625  -0.273 -0.682  -0.324 -0.740  -0.376 -0.797  -0.428 -0.855  -0.480 -0.912  -0.532 -0.970  -0.595 -1.014  -0.659 -1.059  -0.722 -1.103  -0.786 -1.147  -0.849 -1.192  -0.912 -1.236  -0.976 -1.281  -1.039 -1.325  -1.103 -1.369
2#apb#apb21#app2198/;  0.018 0.988  0.062 1.054  0.106 1.120  0.140 1.190  0.179 1.206  0.180 1.259  0.217 1.269  0.289 1.286  0.369 1.286  0.385 1.237  0.366 1.160  0.348 1.083  0.329 1.006  0.310 0.929  0.291 0.852  0.272 0.775  0.253 0.698  0.234 0.621  0.216 0.544  0.197 0.467  0.178 0.390  0.159 0.313  0.140 0.236  0.121 0.159  0.102 0.082  0.084 0.005  0.086 -0.070  0.099 -0.146  0.094 -0.224  0.072 -0.301  0.050 -0.377  0.027 -0.453  0.003 -0.528  -0.020 -0.604  -0.044 -0.680  -0.068 -0.755  -0.092 -0.831  -0.135 -0.897  -0.178 -0.964  -0.221 -1.031  -0.263 -1.097  -0.306 -1.164  -0.357 -1.223  -0.423 -1.267  -0.489 -1.311  -0.555 -1.355  -0.617 -1.404  -0.676 -1.456  -0.736 -1.509  -0.796 -1.561
2#apb#apb21#app2198/:  -0.448 1.006  -0.448 1.089  -0.433 1.122  -0.387 1.053  -0.328 1.006  -0.253 1.021  -0.207 1.090  -0.157 1.155  -0.091 1.205  -0.024 1.255  0.039 1.259  0.098 1.200  0.145 1.132  0.191 1.063  0.191 0.983  0.183 0.900  0.174 0.818  0.165 0.735  0.157 0.653  0.148 0.570  0.139 0.488  0.131 0.405  0.122 0.323  0.113 0.240  0.105 0.158  0.096 0.075  0.087 -0.007  0.078 -0.090  0.070 -0.172  0.061 -0.255  0.052 -0.337  0.044 -0.420  0.035 -0.503  0.026 -0.585  0.018 -0.668  0.009 -0.750  0.000 -0.833  -0.008 -0.915  -0.017 -0.998  -0.026 -1.080  -0.034 -1.163  -0.043 -1.245  -0.052 -1.328  -0.061 -1.410  -0.069 -1.493  -0.078 -1.575  -0.001 -1.564  0.080 -1.548  0.162 -1.533  0.245 -1.533
2#apb#apb21#app2198/$  0.524 0.829  0.325 0.904  0.085 0.904  -0.154 0.893  -0.362 0.782  -0.383 0.605  -0.182 0.475  0.022 0.349  0.225 0.221  0.425 0.088  0.621 -0.050  0.811 -0.196  0.933 -0.394  0.963 -0.626  0.910 -0.847  0.721 -0.993  0.499 -1.085  0.275 -1.171  0.038 -1.208  -0.199 -1.237  -0.435 -1.196  -0.664 -1.132  -0.875 -1.019  -1.052 -0.865  -1.147 -0.657  -1.098 -0.435  -0.944 -0.251  -0.790 -0.068  -0.635 0.116  -0.481 0.300  -0.326 0.483  -0.172 0.667  -0.018 0.851  0.137 1.034  0.291 1.218  0.435 1.409  0.616 1.552  0.579 1.327  0.488 1.106  0.381 0.891  0.283 0.673  0.214 0.443  0.145 0.213  0.076 -0.017  -0.002 -0.244  -0.080 -0.471  -0.158 -0.697  -0.228 -0.927  -0.288 -1.159  -0.349 -1.391
2#apb#apb21#app2198/#  -0.259 0.813  -0.071 0.971  -0.156 0.572  -0.279 0.186  -0.435 -0.190  -0.583 -0.570  -0.714 -0.955  -0.894 -1.196  -0.630 -0.886  -0.366 -0.576  -0.102 -0.266  0.163 0.045  0.427 0.355  0.691 0.665  0.955 0.975  1.220 1.286  1.266 1.253  1.094 0.884  0.921 0.516  0.784 0.134  0.664 -0.256  0.545 -0.645  0.453 -1.041  0.228 -1.028  -0.108 -0.797  -0.443 -0.565  -0.779 -0.334  -1.114 -0.102  -1.450 0.129  -1.304 0.352  -0.906 0.387  -0.503 0.434  -0.102 0.510  0.303 0.548  0.709 0.582  1.116 0.608  1.509 0.680  1.135 0.519  0.761 0.357  0.386 0.196  0.012 0.034  -0.362 -0.127  -0.736 -0.289  -1.110 -0.450  -1.334 -0.613  -0.933 -0.663  -0.526 -0.663  -0.120 -0.626  0.285 -0.588  0.692 -0.564
2#apb#apb21#app2198/&  0.039 -0.882  0.114 -1.076  0.113 -1.033  -0.001 -0.857  -0.066 -0.653  -0.116 -0.445  -0.190 -0.244  -0.260 -0.042  -0.342 0.155  -0.374 0.365  -0.374 0.579  -0.325 0.783  -0.283 0.991  -0.243 1.190  -0.105 1.352  0.049 1.499  0.247 1.573  0.446 1.617  0.660 1.617  0.820 1.510  0.907 1.315  0.904 1.103  0.842 0.898  0.733 0.718  0.575 0.576  0.423 0.424  0.248 0.303  0.077 0.186  -0.093 0.116  -0.280 0.026  -0.464 -0.075  -0.647 -0.174  -0.809 -0.311  -0.932 -0.475  -0.912 -0.687  -0.778 -0.846  -0.649 -1.016  -0.455 -1.043  -0.265 -1.112  -0.062 -1.149  0.148 -1.118  0.343 -1.033  0.540 -0.952  0.645 -0.779  0.533 -0.618  0.341 -0.527  0.135 -0.471  -0.076 -0.433  -0.286 -0.399  -0.495 -0.445
2#apb#apb21#app2198/!  0.209 1.009  0.273 1.052  0.337 1.095  0.387 1.149  0.416 1.221  0.456 1.284  0.440 1.355  0.394 1.341  0.370 1.268  0.349 1.194  0.328 1.120  0.300 1.048  0.268 0.978  0.235 0.908  0.203 0.838  0.171 0.768  0.144 0.696  0.124 0.622  0.104 0.548  0.085 0.473  0.065 0.399  0.045 0.324  0.016 0.253  -0.014 0.182  -0.045 0.111  -0.075 0.040  -0.105 -0.030  -0.131 -0.103  -0.146 -0.178  -0.162 -0.254  -0.178 -0.329  -0.194 -0.404  -0.210 -0.480  -0.226 -0.555  -0.242 -0.631  -0.259 -0.706  -0.277 -0.781  -0.294 -0.856  -0.311 -0.931  -0.320 -1.007  -0.320 -1.084  -0.320 -1.161  -0.320 -1.238  -0.285 -1.306  -0.247 -1.373  -0.208 -1.440  -0.219 -1.516  -0.230 -1.592  -0.202 -1.635  -0.181 -1.690
2#apb#apb21#app2198/?  -0.607 0.275  -0.607 0.383  -0.607 0.491  -0.607 0.598  -0.607 0.706  -0.570 0.805  -0.476 0.826  -0.372 0.854  -0.269 0.885  -0.165 0.913  -0.061 0.939  0.044 0.965  0.151 0.978  0.258 0.988  0.365 0.994  0.473 0.994  0.581 0.994  0.688 0.994  0.758 0.923  0.732 0.819  0.692 0.719  0.626 0.635  0.555 0.554  0.476 0.481  0.395 0.410  0.319 0.334  0.249 0.252  0.180 0.170  0.111 0.087  0.037 0.009  -0.025 -0.076  -0.068 -0.175  -0.069 -0.280  -0.047 -0.383  0.019 -0.468  0.085 -0.553  0.086 -0.647  0.045 -0.746  0.003 -0.845  -0.039 -0.944  -0.081 -1.043  -0.123 -1.142  -0.165 -1.242  -0.207 -1.341  -0.249 -1.440  -0.291 -1.539  -0.333 -1.638  -0.375 -1.737  -0.419 -1.833  -0.487 -1.905
2#apb#apb21#app2198/  0.160 0.360  0.219 0.428  0.279 0.495  0.338 0.563  0.397 0.631  0.459 0.696  0.523 0.759  0.586 0.823  0.650 0.886  0.705 0.956  0.755 1.031  0.805 1.106  0.769 1.134  0.704 1.079  0.647 1.010  0.589 0.941  0.533 0.871  0.476 0.801  0.420 0.731  0.364 0.661  0.308 0.591  0.252 0.520  0.196 0.450  0.140 0.380  0.095 0.303  0.055 0.222  0.014 0.142  -0.026 0.061  -0.066 -0.019  -0.106 -0.099  -0.146 -0.180  -0.187 -0.260  -0.227 -0.341  -0.270 -0.420  -0.315 -0.497  -0.360 -0.575  -0.405 -0.653  -0.450 -0.731  -0.495 -0.809  -0.540 -0.886  -0.585 -0.964  -0.630 -1.042  -0.675 -1.120  -0.719 -1.198  -0.763 -1.277  -0.807 -1.355  -0.851 -1.434  -0.895 -1.512  -0.939 -1.590  -0.983 -1.669
2#apb#apb21#app2198/'  0.498 0.483  0.498 0.568  0.498 0.653  0.519 0.730  0.566 0.801  0.613 0.871  0.660 0.941  0.707 1.012  0.766 0.965  0.813 0.918  0.753 0.978  0.685 1.019  0.601 1.019  0.516 1.019  0.461 0.964  0.414 0.894  0.367 0.823  0.320 0.753  0.273 0.683  0.227 0.612  0.180 0.542  0.133 0.472  0.086 0.401  0.047 0.327  0.013 0.249  -0.022 0.172  -0.056 0.095  -0.090 0.018  -0.125 -0.060  -0.159 -0.137  -0.193 -0.214  -0.228 -0.291  -0.262 -0.369  -0.296 -0.446  -0.331 -0.523  -0.366 -0.600  -0.403 -0.676  -0.441 -0.751  -0.479 -0.827  -0.517 -0.903  -0.555 -0.978  -0.592 -1.054  -0.630 -1.130  -0.668 -1.205  -0.706 -1.281  -0.744 -1.356  -0.781 -1.432  -0.819 -1.508  -0.857 -1.583  -0.895 -1.659
