1c#app#app19#app1972/b  -0.891 1.358  -0.860 1.519  -0.760 1.586  -0.760 1.412  -0.675 1.272  -0.629 1.117  -0.629 0.942  -0.582 0.787  -0.498 0.648  -0.498 0.473  -0.498 0.299  -0.498 0.124  -0.498 -0.050  -0.498 -0.225  -0.498 -0.399  -0.498 -0.574  -0.396 -0.706  -0.368 -0.600  -0.368 -0.426  -0.368 -0.251  -0.370 -0.078  -0.494 0.045  -0.498 0.218  -0.498 0.392  -0.374 0.442  -0.330 0.573  -0.156 0.573  0.019 0.573  0.175 0.498  0.322 0.407  0.457 0.312  0.607 0.252  0.730 0.129  0.809 -0.013  0.885 -0.156  1.008 -0.279  1.071 -0.428  1.200 -0.473  1.202 -0.646  1.202 -0.820  1.202 -0.995  1.028 -0.996  0.854 -0.996  0.679 -0.996  0.505 -0.996  0.330 -0.996  0.156 -0.996  -0.019 -0.996  -0.193 -0.996  -0.237 -0.865
1c#app#app19#app1972/e  -0.800 -0.537  -0.800 -0.362  -0.643 -0.343  -0.468 -0.343  -0.293 -0.343  -0.118 -0.343  -0.024 -0.261  0.039 -0.149  0.214 -0.149  0.381 -0.131  0.505 -0.007  0.629 0.116  0.753 0.240  0.877 0.364  1.001 0.488  1.125 0.612  1.139 0.781  1.043 0.916  0.919 1.040  0.795 1.164  0.639 1.208  0.473 1.166  0.317 1.088  0.159 1.014  -0.016 1.014  -0.024 0.847  -0.173 0.820  -0.348 0.820  -0.490 0.742  -0.614 0.618  -0.738 0.494  -0.862 0.370  -0.986 0.246  -0.994 0.075  -0.994 -0.101  -0.904 -0.239  -0.800 -0.371  -0.800 -0.546  -0.800 -0.721  -0.634 -0.731  -0.475 -0.796  -0.318 -0.875  -0.155 -0.925  0.007 -0.956  0.131 -1.080  0.290 -1.118  0.466 -1.118  0.632 -1.156  0.789 -1.234  0.945 -1.312
1c#app#app19#app1972/w  -1.513 0.269  -1.513 0.123  -1.513 -0.023  -1.513 -0.168  -1.500 -0.301  -1.371 -0.317  -1.351 -0.443  -1.206 -0.443  -1.060 -0.443  -0.923 -0.422  -0.820 -0.319  -0.682 -0.301  -0.660 -0.178  -0.534 -0.158  -0.517 -0.029  -0.424 0.078  -0.375 0.203  -0.375 0.349  -0.459 0.411  -0.517 0.324  -0.427 0.269  -0.375 0.175  -0.307 0.058  -0.192 -0.016  -0.091 -0.061  -0.057 -0.192  0.046 -0.295  0.189 -0.301  0.335 -0.301  0.438 -0.403  0.567 -0.443  0.713 -0.443  0.858 -0.443  1.004 -0.443  1.048 -0.341  1.153 -0.301  1.298 -0.301  1.332 -0.189  1.332 -0.043  1.332 0.102  1.332 0.248  1.207 0.269  1.132 0.383  1.067 0.514  0.946 0.553  0.831 0.627  0.714 0.695  0.584 0.732  0.481 0.835  0.336 0.838
1c#app#app19#app1972/i  -0.345 0.875  -0.240 0.875  -0.135 0.875  -0.030 0.875  0.075 0.875  0.149 0.906  0.149 1.012  0.149 1.117  0.149 1.222  0.149 1.327  0.105 1.326  0.031 1.252  -0.043 1.177  -0.117 1.103  -0.192 1.029  -0.266 0.955  -0.340 0.880  -0.345 0.777  -0.345 0.672  -0.345 0.567  -0.345 0.462  -0.345 0.357  -0.345 0.252  -0.345 0.147  -0.345 0.042  -0.345 -0.063  -0.290 -0.113  -0.185 -0.113  -0.080 -0.113  0.025 -0.113  0.130 -0.113  0.149 -0.199  0.149 -0.304  0.149 -0.409  0.149 -0.514  0.149 -0.619  0.149 -0.725  0.149 -0.830  0.149 -0.935  0.149 -1.040  0.149 -1.145  0.149 -1.250  0.149 -1.355  0.149 -1.460  0.149 -1.565  0.223 -1.596  0.328 -1.596  0.433 -1.596  0.538 -1.596  0.643 -1.596
1c#app#app19#app1972/l  -0.019 1.157  -0.019 1.234  -0.019 1.310  -0.019 1.386  -0.041 1.440  -0.118 1.440  -0.160 1.406  -0.160 1.329  -0.160 1.253  -0.160 1.177  -0.160 1.100  -0.160 1.024  -0.160 0.948  -0.160 0.871  -0.160 0.795  -0.160 0.719  -0.160 0.642  -0.160 0.566  -0.160 0.490  -0.160 0.414  -0.160 0.337  -0.160 0.261  -0.160 0.185  -0.133 0.115  -0.099 0.046  -0.064 -0.022  -0.030 -0.090  -0.019 -0.164  -0.019 -0.240  -0.019 -0.316  -0.019 -0.392  -0.019 -0.469  -0.019 -0.545  -0.019 -0.621  -0.005 -0.692  0.049 -0.746  0.103 -0.800  0.123 -0.868  0.123 -0.944  0.123 -1.021  0.123 -1.097  0.173 -1.152  0.227 -1.206  0.264 -1.267  0.264 -1.344  0.289 -1.410  0.343 -1.464  0.397 -1.518  0.405 -1.590  0.405 -1.667
1c#app#app19#app1972/d  -0.315 -0.202  -0.367 -0.063  -0.559 -0.063  -0.731 -0.082  -0.802 -0.202  -0.958 -0.290  -1.009 -0.460  -1.009 -0.651  -1.009 -0.842  -0.871 -0.896  -0.735 -1.031  -0.546 -1.035  -0.355 -1.035  -0.167 -1.026  -0.029 -0.896  0.145 -0.854  0.280 -0.718  0.380 -0.568  0.426 -0.388  0.511 -0.217  0.518 -0.027  0.456 0.139  0.380 0.298  0.319 0.475  0.233 0.647  0.147 0.818  0.102 0.998  0.038 1.175  -0.037 1.348  -0.037 1.540  -0.037 1.731  -0.146 1.712  -0.037 1.566  -0.037 1.375  -0.036 1.183  0.025 1.002  0.085 0.820  0.102 0.632  0.187 0.460  0.241 0.282  0.241 0.090  0.320 -0.082  0.380 -0.260  0.380 -0.451  0.495 -0.595  0.518 -0.776  0.550 -0.960  0.636 -1.131  0.800 -1.177  0.935 -1.313
1c#app#app19#app1972/e  -0.641 -0.143  -0.474 -0.143  -0.442 -0.278  -0.338 -0.342  -0.171 -0.342  -0.015 -0.314  0.104 -0.196  0.249 -0.143  0.417 -0.143  0.576 -0.123  0.695 -0.004  0.813 0.114  0.932 0.233  1.089 0.256  1.155 0.359  1.155 0.526  1.128 0.682  1.009 0.801  0.864 0.855  0.714 0.897  0.595 1.015  0.444 1.055  0.276 1.055  0.109 1.055  -0.059 1.055  -0.226 1.055  -0.349 0.947  -0.479 0.855  -0.641 0.850  -0.641 0.683  -0.782 0.655  -0.841 0.547  -0.841 0.379  -0.841 0.212  -0.841 0.044  -0.841 -0.123  -0.736 -0.247  -0.641 -0.376  -0.641 -0.543  -0.641 -0.711  -0.544 -0.838  -0.419 -0.941  -0.252 -0.941  -0.242 -1.099  -0.116 -1.140  0.024 -1.207  0.142 -1.325  0.261 -1.444  0.388 -1.540  0.556 -1.540
1c#app#app19#app1972/r  -0.704 -0.758  -0.704 -0.853  -0.704 -0.947  -0.704 -1.042  -0.704 -1.137  -0.704 -1.232  -0.647 -1.269  -0.552 -1.269  -0.534 -1.193  -0.534 -1.098  -0.467 -1.031  -0.400 -0.964  -0.364 -0.885  -0.364 -0.790  -0.364 -0.695  -0.364 -0.600  -0.364 -0.506  -0.364 -0.411  -0.364 -0.316  -0.364 -0.222  -0.364 -0.127  -0.364 -0.032  -0.364 0.062  -0.364 0.157  -0.364 0.252  -0.364 0.347  -0.357 0.434  -0.262 0.434  -0.193 0.460  -0.193 0.555  -0.161 0.637  -0.094 0.704  -0.027 0.770  0.065 0.775  0.160 0.775  0.255 0.775  0.349 0.775  0.444 0.775  0.539 0.775  0.634 0.775  0.728 0.775  0.823 0.775  0.918 0.775  1.012 0.775  1.107 0.775  1.192 0.752  1.259 0.685  1.326 0.618  1.415 0.605  1.510 0.605
1c#app#app19#app1972/e  -1.298 -0.180  -1.485 -0.180  -1.339 -0.180  -1.152 -0.180  -1.002 -0.268  -0.864 -0.387  -0.677 -0.387  -0.544 -0.518  -0.389 -0.595  -0.202 -0.595  -0.015 -0.595  0.172 -0.595  0.358 -0.595  0.492 -0.465  0.646 -0.387  0.817 -0.348  0.949 -0.216  1.121 -0.180  1.192 -0.064  1.287 0.028  1.400 0.102  1.361 0.273  1.229 0.406  1.192 0.577  1.078 0.650  0.985 0.744  0.912 0.858  0.725 0.858  0.538 0.858  0.351 0.858  0.164 0.858  -0.023 0.858  -0.210 0.858  -0.397 0.858  -0.584 0.858  -0.675 0.762  -0.728 0.597  -0.860 0.465  -0.883 0.288  -0.883 0.101  -0.802 -0.053  -0.675 -0.187  -0.675 -0.374  -0.501 -0.387  -0.359 -0.496  -0.227 -0.628  -0.095 -0.760  0.037 -0.892  0.175 -1.010  0.362 -1.010
1c#app#app19#app1972/d  -0.140 -0.537  -0.315 -0.537  -0.490 -0.537  -0.592 -0.611  -0.705 -0.673  -0.790 -0.763  -0.784 -0.876  -0.705 -0.972  -0.547 -0.989  -0.372 -0.989  -0.213 -0.950  -0.068 -0.876  0.068 -0.782  0.112 -0.625  0.199 -0.486  0.199 -0.311  0.199 -0.135  0.199 0.040  0.147 0.193  0.086 0.343  0.086 0.518  0.086 0.694  -0.027 0.822  -0.027 0.997  -0.027 1.172  -0.027 1.348  -0.125 1.482  -0.140 1.651  -0.140 1.826  -0.103 1.687  -0.027 1.544  -0.027 1.368  -0.002 1.197  0.053 1.031  0.086 0.861  0.086 0.686  0.086 0.511  0.100 0.339  0.179 0.182  0.199 0.012  0.199 -0.163  0.199 -0.339  0.239 -0.504  0.312 -0.662  0.365 -0.816  0.454 -0.961  0.509 -1.127  0.538 -1.298  0.641 -1.431  0.764 -1.555
1c#app#app19#app1972/c  0.456 -0.663  0.314 -0.663  0.267 -0.566  0.317 -0.474  0.456 -0.470  0.456 -0.328  0.527 -0.214  0.627 -0.114  0.728 -0.013  0.829 0.088  0.834 0.228  0.834 0.371  0.834 0.513  0.834 0.656  0.834 0.799  0.834 0.941  0.789 1.038  0.647 1.038  0.504 1.038  0.362 1.038  0.219 1.038  0.076 1.038  -0.066 1.038  -0.209 1.038  -0.300 0.987  -0.305 0.849  -0.447 0.849  -0.560 0.778  -0.661 0.677  -0.731 0.554  -0.795 0.426  -0.858 0.299  -0.867 0.158  -0.867 0.016  -0.867 -0.127  -0.867 -0.269  -0.867 -0.412  -0.867 -0.554  -0.832 -0.663  -0.690 -0.663  -0.585 -0.755  -0.485 -0.856  -0.384 -0.956  -0.283 -1.057  -0.182 -1.158  -0.069 -1.230  0.073 -1.230  0.201 -1.291  0.329 -1.355  0.456 -1.419
1c#app#app19#app1972/h  -0.608 1.863  -0.608 1.754  -0.608 1.645  -0.578 1.547  -0.496 1.481  -0.417 1.451  -0.417 1.342  -0.417 1.232  -0.417 1.123  -0.417 1.014  -0.414 0.905  -0.336 0.828  -0.321 0.725  -0.321 0.615  -0.321 0.506  -0.321 0.396  -0.321 0.287  -0.321 0.177  -0.321 0.068  -0.321 -0.041  -0.321 -0.151  -0.321 -0.260  -0.321 -0.370  -0.321 -0.479  -0.276 -0.570  -0.226 -0.659  -0.226 -0.768  -0.226 -0.877  -0.146 -0.907  -0.130 -1.001  -0.022 -1.002  0.079 -0.984  0.157 -0.906  0.234 -0.829  0.336 -0.811  0.349 -0.714  0.427 -0.636  0.443 -0.533  0.514 -0.454  0.538 -0.354  0.627 -0.334  0.634 -0.245  0.649 -0.349  0.726 -0.426  0.730 -0.534  0.753 -0.620  0.825 -0.658  0.861 -0.752  0.939 -0.829  1.016 -0.907
1c#app#app19#app1972/a  0.236 0.562  0.236 0.731  0.095 0.759  -0.074 0.759  -0.159 0.843  -0.214 0.956  -0.383 0.956  -0.552 0.956  -0.721 0.956  -0.890 0.956  -1.059 0.956  -1.145 0.873  -1.184 0.720  -1.303 0.601  -1.342 0.448  -1.304 0.288  -1.229 0.137  -1.153 -0.014  -1.038 -0.137  -0.919 -0.256  -0.799 -0.375  -0.651 -0.424  -0.503 -0.475  -0.383 -0.594  -0.226 -0.622  -0.057 -0.622  0.112 -0.622  0.281 -0.622  0.450 -0.622  0.619 -0.622  0.788 -0.622  0.827 -0.492  0.827 -0.323  0.776 -0.176  0.656 -0.056  0.630 0.102  0.527 0.167  0.433 0.242  0.433 0.318  0.433 0.149  0.433 -0.020  0.545 -0.142  0.665 -0.262  0.784 -0.381  0.827 -0.532  0.883 -0.678  1.003 -0.797  1.122 -0.917  1.250 -1.016  1.419 -1.016
1c#app#app19#app1972/r  -0.347 -0.246  -0.347 -0.355  -0.347 -0.463  -0.347 -0.572  -0.347 -0.681  -0.347 -0.789  -0.347 -0.898  -0.347 -1.007  -0.347 -1.116  -0.347 -1.224  -0.347 -1.333  -0.269 -1.364  -0.160 -1.364  -0.072 -1.313  0.004 -1.236  0.081 -1.159  0.100 -1.058  0.100 -0.949  0.100 -0.841  0.100 -0.732  0.051 -0.644  -0.026 -0.567  -0.103 -0.490  -0.123 -0.390  -0.123 -0.281  -0.123 -0.172  -0.123 -0.064  -0.123 0.045  -0.123 0.154  -0.123 0.263  -0.123 0.371  -0.123 0.480  -0.123 0.589  -0.123 0.697  -0.123 0.806  -0.080 0.872  0.028 0.872  0.100 0.909  0.100 1.017  0.100 1.126  0.100 1.235  0.125 1.319  0.234 1.319  0.342 1.319  0.451 1.319  0.560 1.319  0.668 1.319  0.777 1.319  0.886 1.319  0.995 1.319
1c#app#app19#app1972/m  -1.192 0.725  -1.192 0.550  -1.244 0.428  -1.341 0.350  -1.341 0.175  -1.341 0.001  -1.271 -0.157  -1.193 -0.313  -1.168 -0.464  -0.994 -0.464  -0.842 -0.410  -0.747 -0.275  -0.681 -0.167  -0.598 -0.075  -0.515 0.065  -0.449 0.213  -0.449 0.387  -0.449 0.562  -0.336 0.689  -0.301 0.849  -0.301 0.723  -0.301 0.549  -0.301 0.374  -0.301 0.200  -0.301 0.025  -0.208 -0.111  -0.152 -0.262  -0.031 -0.315  0.144 -0.315  0.311 -0.298  0.434 -0.174  0.457 -0.018  0.591 0.023  0.591 0.198  0.683 0.279  0.739 0.398  0.739 0.572  0.888 0.554  0.888 0.380  0.888 0.205  0.958 0.060  1.036 -0.082  1.036 -0.257  1.036 -0.431  1.137 -0.564  1.185 -0.719  1.317 -0.761  1.343 -0.909  1.507 -0.935  1.631 -1.058
1c#app#app19#app1972/s  0.398 0.222  0.398 0.363  0.398 0.503  0.398 0.644  0.398 0.784  0.300 0.827  0.196 0.864  0.196 1.005  0.080 1.029  -0.061 1.029  -0.201 1.029  -0.342 1.029  -0.483 1.029  -0.623 1.029  -0.764 1.029  -0.904 1.029  -1.015 0.999  -1.015 0.859  -0.938 0.750  -0.838 0.651  -0.739 0.551  -0.639 0.452  -0.611 0.323  -0.572 0.222  -0.431 0.222  -0.325 0.138  -0.226 0.038  -0.126 -0.061  -0.027 -0.161  0.105 -0.182  0.231 -0.217  0.330 -0.316  0.430 -0.416  0.529 -0.515  0.629 -0.615  0.728 -0.714  0.828 -0.814  0.927 -0.913  0.980 -1.012  0.880 -1.112  0.772 -1.191  0.632 -1.191  0.491 -1.191  0.351 -1.191  0.210 -1.191  0.069 -1.191  -0.071 -1.191  -0.211 -1.188  -0.310 -1.089  -0.410 -0.989
1c#app#app19#app1972/e  -1.083 -1.275  -1.083 -1.095  -0.957 -1.042  -0.849 -0.969  -0.830 -0.808  -0.650 -0.808  -0.470 -0.808  -0.381 -0.717  -0.344 -0.574  -0.164 -0.574  -0.032 -0.458  0.099 -0.340  0.279 -0.340  0.418 -0.242  0.546 -0.114  0.722 -0.106  0.788 0.009  0.849 0.128  1.022 0.135  1.022 0.315  1.022 0.495  0.965 0.652  0.838 0.779  0.788 0.938  0.732 1.063  0.553 1.064  0.426 1.191  0.289 1.297  0.109 1.297  -0.071 1.297  -0.221 1.224  -0.348 1.096  -0.514 1.063  -0.615 0.984  -0.615 0.804  -0.615 0.624  -0.615 0.444  -0.546 0.292  -0.419 0.165  -0.381 0.001  -0.381 -0.179  -0.362 -0.340  -0.182 -0.340  -0.148 -0.486  -0.083 -0.639  0.045 -0.766  0.172 -0.893  0.299 -1.021  0.427 -1.148  0.554 -1.275
