1c#app#app18#app1891/f  0.494 0.991  0.494 1.144  0.494 1.297  0.424 1.380  0.300 1.409  0.216 1.479  0.063 1.479  -0.082 1.461  -0.211 1.402  -0.338 1.340  -0.343 1.191  -0.343 1.038  -0.343 0.885  -0.331 0.734  -0.294 0.585  -0.273 0.435  -0.236 0.291  -0.178 0.149  -0.128 0.005  -0.060 -0.132  0.008 -0.269  0.056 -0.414  0.116 -0.554  0.185 -0.691  0.253 -0.828  0.322 -0.965  0.380 -1.106  0.430 -1.251  0.501 -1.386  0.563 -1.513  0.510 -1.531  0.405 -1.419  0.300 -1.308  0.195 -1.197  0.090 -1.085  -0.014 -0.974  -0.119 -0.862  -0.224 -0.751  -0.329 -0.640  -0.434 -0.528  -0.539 -0.417  -0.487 -0.333  -0.482 -0.186  -0.417 -0.059  -0.358 0.069  -0.282 0.155  -0.171 0.257  -0.062 0.364  0.066 0.424  0.215 0.433
1c#app#app18#app1891/e  -0.739 -0.815  -0.755 -0.668  -0.865 -0.646  -0.750 -0.531  -0.592 -0.520  -0.429 -0.520  -0.275 -0.498  -0.160 -0.383  -0.045 -0.268  0.100 -0.225  0.229 -0.142  0.344 -0.027  0.459 0.088  0.574 0.203  0.588 0.360  0.700 0.477  0.786 0.613  0.859 0.758  0.883 0.915  0.883 1.078  0.883 1.241  0.728 1.249  0.566 1.249  0.403 1.249  0.240 1.249  0.077 1.249  -0.002 1.166  -0.101 1.102  -0.230 1.021  -0.297 0.886  -0.356 0.748  -0.461 0.625  -0.534 0.480  -0.592 0.331  -0.592 0.168  -0.592 0.005  -0.592 -0.158  -0.549 -0.310  -0.476 -0.456  -0.444 -0.611  -0.369 -0.743  -0.297 -0.876  -0.243 -1.016  -0.119 -1.110  0.030 -1.142  0.145 -1.257  0.261 -1.372  0.410 -1.405  0.573 -1.405  0.735 -1.405
1c#app#app18#app1891/w  -1.240 0.156  -1.356 0.273  -1.240 0.230  -1.240 0.065  -1.231 -0.098  -1.157 -0.246  -1.121 -0.402  -1.112 -0.564  -1.003 -0.684  -0.963 -0.832  -0.830 -0.911  -0.665 -0.911  -0.500 -0.911  -0.410 -0.835  -0.324 -0.706  -0.291 -0.554  -0.258 -0.403  -0.173 -0.273  -0.173 -0.108  -0.173 0.057  -0.173 0.223  -0.173 0.388  -0.214 0.512  -0.291 0.424  -0.291 0.259  -0.247 0.112  -0.173 -0.023  -0.097 -0.157  0.020 -0.273  0.166 -0.318  0.288 -0.423  0.447 -0.437  0.613 -0.437  0.778 -0.437  0.929 -0.402  1.059 -0.318  1.197 -0.252  1.250 -0.109  1.250 0.056  1.250 0.221  1.250 0.387  1.221 0.540  1.105 0.657  0.988 0.774  0.871 0.890  0.754 1.007  0.637 1.124  0.513 1.223  0.348 1.223  0.183 1.223
1c#app#app18#app1891/q  -0.065 0.342  -0.007 0.401  -0.044 0.500  -0.065 0.608  -0.124 0.701  -0.124 0.818  -0.215 0.878  -0.264 0.959  -0.305 1.057  -0.363 1.117  -0.480 1.117  -0.597 1.117  -0.601 1.004  -0.601 0.887  -0.553 0.781  -0.476 0.694  -0.382 0.640  -0.289 0.580  -0.173 0.580  -0.056 0.580  0.061 0.580  0.174 0.585  0.172 0.699  0.114 0.759  0.014 0.718  -0.005 0.609  -0.005 0.492  0.007 0.378  0.055 0.272  0.058 0.156  0.110 0.052  0.163 -0.053  0.174 -0.167  0.174 -0.284  0.183 -0.400  0.220 -0.511  0.233 -0.625  0.233 -0.742  0.233 -0.859  0.236 -0.976  0.273 -1.087  0.293 -1.200  0.293 -1.317  0.293 -1.434  0.293 -1.551  0.293 -1.668  0.325 -1.780  0.353 -1.893  0.353 -2.010  0.412 -2.102
1c#app#app18#app1891/u  -0.664 -0.143  -0.664 0.045  -0.664 0.232  -0.664 0.420  -0.786 0.485  -0.821 0.638  -0.821 0.773  -0.878 0.642  -0.978 0.555  -0.978 0.604  -0.978 0.791  -1.135 0.777  -1.135 0.589  -1.076 0.426  -0.978 0.279  -0.978 0.091  -0.978 -0.096  -0.837 -0.143  -0.744 -0.297  -0.664 -0.465  -0.625 -0.614  -0.507 -0.684  -0.407 -0.771  -0.219 -0.771  -0.031 -0.771  0.156 -0.771  0.279 -0.706  0.347 -0.546  0.479 -0.413  0.593 -0.273  0.593 -0.085  0.593 0.103  0.593 0.290  0.593 0.478  0.593 0.666  0.539 0.799  0.436 0.715  0.436 0.527  0.581 0.485  0.593 0.309  0.628 0.136  0.761 0.003  0.893 -0.129  1.026 -0.262  1.064 -0.434  1.226 -0.462  1.359 -0.595  1.492 -0.728  1.662 -0.771  1.692 -0.928
1c#app#app18#app1891/i  -0.271 0.975  -0.271 1.065  -0.271 1.155  -0.271 1.244  -0.271 1.334  -0.271 1.424  -0.271 1.508  -0.271 1.418  -0.271 1.329  -0.271 1.239  -0.271 1.149  -0.271 1.060  -0.271 0.970  -0.271 0.880  -0.271 0.791  -0.271 0.701  -0.271 0.611  -0.271 0.522  -0.271 0.432  -0.271 0.342  -0.271 0.253  -0.271 0.163  -0.271 0.073  -0.271 -0.016  -0.271 -0.106  -0.271 -0.196  -0.271 -0.285  -0.259 -0.363  -0.170 -0.363  -0.080 -0.363  -0.003 -0.376  -0.003 -0.466  -0.003 -0.556  0.007 -0.641  0.070 -0.704  0.134 -0.768  0.197 -0.831  0.261 -0.895  0.264 -0.983  0.264 -1.072  0.264 -1.162  0.350 -1.166  0.440 -1.166  0.529 -1.166  0.619 -1.166  0.709 -1.166  0.798 -1.166  0.888 -1.166  0.978 -1.166  1.067 -1.166
1c#app#app18#app1891/p  -0.223 0.926  -0.199 0.752  -0.113 0.595  -0.074 0.417  -0.074 0.233  -0.050 0.054  0.001 -0.118  0.034 -0.297  0.076 -0.474  0.076 -0.658  0.114 -0.836  0.151 -1.015  0.151 -1.199  0.184 -1.379  0.231 -1.557  0.301 -1.724  0.301 -1.909  0.301 -1.750  0.243 -1.579  0.190 -1.404  0.144 -1.225  0.086 -1.051  0.007 -0.884  0.001 -0.701  -0.016 -0.520  -0.074 -0.345  -0.119 -0.167  -0.176 0.007  -0.259 0.172  -0.298 0.347  -0.298 0.531  -0.338 0.710  -0.373 0.890  -0.373 1.075  -0.373 1.259  -0.373 1.443  -0.272 1.526  -0.088 1.526  0.047 1.406  0.177 1.275  0.262 1.118  0.301 0.940  0.369 0.784  0.376 0.602  0.335 0.435  0.226 0.296  0.086 0.252  -0.091 0.269  -0.221 0.399  -0.298 0.552
1c#app#app18#app1891/s  0.125 0.724  0.256 0.724  0.259 0.852  0.134 0.857  0.125 0.979  0.006 0.991  -0.124 0.991  -0.255 0.991  -0.386 0.991  -0.485 0.915  -0.592 0.857  -0.722 0.857  -0.853 0.857  -0.971 0.829  -1.064 0.736  -1.076 0.611  -0.966 0.590  -0.943 0.483  -0.838 0.457  -0.809 0.355  -0.710 0.323  -0.580 0.323  -0.459 0.282  -0.342 0.223  -0.222 0.172  -0.098 0.131  0.026 0.090  0.143 0.038  0.236 -0.054  0.357 -0.077  0.477 -0.120  0.594 -0.178  0.700 -0.251  0.793 -0.344  0.793 -0.474  0.920 -0.478  0.926 -0.602  0.926 -0.733  0.926 -0.863  0.926 -0.994  0.826 -1.062  0.709 -1.121  0.584 -1.145  0.453 -1.145  0.343 -1.195  0.247 -1.279  0.117 -1.279  -0.014 -1.279  -0.145 -1.279  -0.275 -1.279
1c#app#app18#app1891/g  -0.127 0.835  -0.127 0.933  -0.165 1.016  -0.212 1.072  -0.284 1.135  -0.353 1.204  -0.448 1.214  -0.546 1.214  -0.600 1.143  -0.547 1.066  -0.478 0.997  -0.390 0.967  -0.301 0.930  -0.203 0.930  -0.105 0.930  -0.104 0.977  -0.127 0.901  -0.127 0.803  -0.079 0.725  -0.066 0.632  0.004 0.563  0.016 0.469  0.054 0.380  0.097 0.292  0.158 0.217  0.190 0.124  0.227 0.033  0.252 -0.059  0.267 -0.155  0.298 -0.248  0.300 -0.346  0.321 -0.439  0.347 -0.531  0.347 -0.629  0.366 -0.725  0.385 -0.822  0.395 -0.919  0.395 -1.017  0.395 -1.115  0.395 -1.213  0.384 -1.307  0.315 -1.377  0.243 -1.439  0.144 -1.439  0.046 -1.439  -0.046 -1.425  -0.115 -1.355  -0.200 -1.307  -0.272 -1.243  -0.316 -1.155
1c#app#app18#app1891/a  0.020 -0.102  0.054 0.056  0.177 0.125  0.104 0.286  0.020 0.443  -0.088 0.527  -0.138 0.670  -0.309 0.699  -0.445 0.834  -0.633 0.842  -0.825 0.842  -0.990 0.776  -1.125 0.640  -1.271 0.527  -1.396 0.461  -1.396 0.269  -1.396 0.077  -1.386 -0.111  -1.251 -0.247  -1.115 -0.382  -1.081 -0.560  -0.909 -0.589  -0.773 -0.724  -0.584 -0.731  -0.392 -0.731  -0.200 -0.731  -0.008 -0.731  0.184 -0.731  0.363 -0.702  0.499 -0.566  0.635 -0.430  0.649 -0.244  0.649 -0.052  0.649 0.140  0.649 0.332  0.496 0.370  0.359 0.503  0.177 0.527  0.212 0.370  0.334 0.301  0.408 0.139  0.543 0.004  0.692 -0.102  0.875 -0.136  1.047 -0.222  1.230 -0.259  1.415 -0.304  1.597 -0.365  1.771 -0.438  1.907 -0.573
1c#app#app18#app1891/l  -0.577 -1.006  -0.577 -1.158  -0.443 -1.144  -0.303 -1.088  -0.155 -1.077  -0.047 -0.969  0.086 -0.921  0.222 -0.853  0.332 -0.749  0.400 -0.613  0.503 -0.501  0.597 -0.384  0.656 -0.245  0.656 -0.092  0.656 0.060  0.656 0.213  0.656 0.365  0.656 0.518  0.554 0.608  0.455 0.713  0.386 0.849  0.318 0.986  0.250 1.122  0.142 1.228  0.015 1.313  -0.108 1.403  -0.236 1.461  -0.389 1.461  -0.495 1.415  -0.577 1.296  -0.577 1.144  -0.577 0.991  -0.577 0.839  -0.577 0.686  -0.570 0.535  -0.522 0.390  -0.495 0.242  -0.470 0.095  -0.402 -0.041  -0.333 -0.178  -0.265 -0.314  -0.197 -0.451  -0.129 -0.587  -0.060 -0.724  0.008 -0.860  0.076 -0.997  0.208 -1.069  0.295 -1.187  0.384 -1.309  0.492 -1.417
