2#app#app35#app3563/p  -0.424 0.792  -0.338 0.629  -0.338 0.430  -0.338 0.232  -0.338 0.033  -0.325 -0.160  -0.253 -0.328  -0.253 -0.527  -0.253 -0.725  -0.253 -0.924  -0.253 -1.122  -0.253 -1.320  -0.253 -1.519  -0.253 -1.717  -0.338 -1.704  -0.338 -1.505  -0.362 -1.317  -0.424 -1.144  -0.424 -0.945  -0.424 -0.747  -0.424 -0.548  -0.424 -0.350  -0.367 -0.175  -0.338 0.012  -0.338 0.210  -0.338 0.409  -0.338 0.607  -0.256 0.786  -0.244 0.982  -0.168 1.162  -0.142 1.355  -0.018 1.474  0.181 1.474  0.344 1.389  0.484 1.249  0.625 1.109  0.736 0.947  0.837 0.777  0.941 0.610  1.027 0.447  1.109 0.283  1.095 0.093  0.955 -0.048  0.789 -0.128  0.599 -0.146  0.400 -0.146  0.202 -0.146  0.021 -0.070  -0.173 -0.056  -0.338 0.024
2#app#app35#app3563/i  -0.144 0.427  -0.144 0.310  -0.144 0.193  -0.144 0.075  -0.144 -0.042  -0.144 -0.159  -0.144 -0.276  -0.144 -0.394  -0.144 -0.511  -0.144 -0.628  -0.063 -0.712  -0.011 -0.808  -0.011 -0.925  -0.011 -1.042  -0.011 -1.160  -0.011 -1.277  -0.011 -1.394  -0.011 -1.512  -0.008 -1.486  -0.004 -1.368  0.001 -1.251  0.006 -1.134  0.010 -1.017  0.015 -0.900  0.020 -0.783  0.024 -0.666  0.029 -0.548  0.034 -0.431  0.038 -0.314  0.043 -0.197  0.048 -0.080  0.052 0.037  0.057 0.155  0.062 0.272  0.067 0.389  0.071 0.506  0.076 0.623  0.081 0.740  0.085 0.858  0.090 0.975  0.095 1.092  0.099 1.209  0.104 1.326  0.109 1.443  0.113 1.561  0.118 1.678  0.076 1.750  -0.011 1.780  -0.011 1.867  -0.011 1.750
2#app#app35#app3563/n  -0.870 0.440  -0.870 0.308  -0.870 0.177  -0.870 0.045  -0.870 -0.087  -0.870 -0.219  -0.870 -0.350  -0.870 -0.482  -0.797 -0.584  -0.734 -0.689  -0.734 -0.821  -0.734 -0.953  -0.734 -1.023  -0.734 -0.891  -0.734 -0.759  -0.726 -0.630  -0.667 -0.512  -0.608 -0.394  -0.599 -0.265  -0.565 -0.138  -0.523 -0.013  -0.482 0.112  -0.463 0.240  -0.463 0.372  -0.418 0.485  -0.327 0.579  -0.327 0.711  -0.196 0.712  -0.101 0.802  0.011 0.848  0.143 0.848  0.275 0.848  0.407 0.848  0.524 0.812  0.617 0.719  0.746 0.712  0.812 0.606  0.871 0.489  0.950 0.385  1.031 0.287  1.041 0.159  1.134 0.066  1.167 -0.052  1.167 -0.184  1.221 -0.293  1.303 -0.391  1.303 -0.523  1.303 -0.654  1.303 -0.786  1.303 -0.918
2#app#app35#app3563/k  -0.934 2.202  -0.930 1.988  -0.834 1.796  -0.798 1.587  -0.730 1.383  -0.634 1.191  -0.625 0.978  -0.625 0.763  -0.530 0.571  -0.522 0.357  -0.430 0.164  -0.334 -0.028  -0.317 -0.239  -0.317 -0.454  -0.317 -0.669  -0.317 -0.884  -0.317 -1.098  -0.317 -1.313  -0.257 -1.287  -0.158 -1.097  -0.058 -0.906  0.042 -0.716  0.142 -0.526  0.241 -0.335  0.341 -0.145  0.441 0.046  0.541 0.236  0.640 0.426  0.740 0.617  0.816 0.709  0.773 0.512  0.693 0.330  0.513 0.246  0.359 0.099  0.275 -0.076  0.081 -0.165  -0.097 -0.255  -0.279 -0.334  -0.479 -0.371  -0.454 -0.268  -0.342 -0.165  -0.127 -0.165  0.045 -0.268  0.242 -0.312  0.418 -0.430  0.611 -0.526  0.784 -0.648  0.966 -0.727  1.148 -0.807  1.227 -0.989
2#app#app35#app3563/,  0.043 1.670  0.043 1.589  0.043 1.509  0.043 1.428  0.043 1.348  0.043 1.267  0.043 1.186  0.043 1.106  0.043 1.025  0.043 0.945  0.072 0.893  0.152 0.893  0.233 0.893  0.302 0.881  0.302 0.801  0.302 0.720  0.302 0.639  0.302 0.559  0.302 0.478  0.302 0.398  0.302 0.317  0.302 0.236  0.302 0.156  0.302 0.075  0.302 -0.005  0.302 -0.086  0.286 -0.160  0.229 -0.217  0.172 -0.274  0.115 -0.331  0.058 -0.388  0.043 -0.462  0.043 -0.543  0.043 -0.623  0.013 -0.692  -0.044 -0.749  -0.101 -0.806  -0.158 -0.863  -0.215 -0.920  -0.272 -0.977  -0.329 -1.034  -0.386 -1.091  -0.443 -1.148  -0.475 -1.215  -0.475 -1.295  -0.475 -1.376  -0.492 -1.439  -0.573 -1.439  -0.654 -1.439  -0.734 -1.439
2#app#app35#app3563/i  -0.222 0.233  -0.222 0.118  -0.123 0.102  -0.090 0.019  -0.090 -0.096  -0.090 -0.211  -0.090 -0.326  -0.090 -0.441  -0.090 -0.556  -0.090 -0.671  -0.020 -0.756  0.041 -0.846  0.041 -0.961  0.041 -1.076  0.041 -1.191  0.041 -1.306  0.119 -1.343  0.172 -1.405  0.169 -1.429  0.160 -1.314  0.150 -1.199  0.141 -1.085  0.132 -0.970  0.123 -0.855  0.114 -0.741  0.105 -0.626  0.095 -0.511  0.086 -0.397  0.077 -0.282  0.068 -0.168  0.059 -0.053  0.050 0.062  0.040 0.176  0.031 0.291  0.022 0.406  0.013 0.520  0.004 0.635  -0.005 0.750  -0.015 0.864  -0.024 0.979  -0.033 1.093  -0.042 1.208  -0.051 1.323  -0.060 1.437  -0.070 1.552  -0.079 1.667  -0.088 1.781  -0.090 1.896  -0.140 1.890  -0.222 1.809
2#app#app35#app3563/s  0.009 0.855  -0.118 0.855  -0.245 0.855  -0.372 0.855  -0.499 0.855  -0.626 0.855  -0.753 0.855  -0.876 0.847  -0.966 0.757  -1.073 0.709  -1.188 0.681  -1.278 0.591  -1.306 0.476  -1.239 0.416  -1.117 0.395  -1.004 0.338  -0.890 0.282  -0.766 0.270  -0.639 0.270  -0.512 0.270  -0.385 0.270  -0.258 0.270  -0.133 0.266  -0.044 0.177  0.062 0.124  0.189 0.124  0.315 0.124  0.442 0.124  0.533 0.038  0.636 -0.022  0.756 -0.038  0.845 -0.128  0.956 -0.168  1.032 -0.219  1.054 -0.337  1.144 -0.426  1.178 -0.539  1.136 -0.649  1.046 -0.738  0.925 -0.752  0.886 -0.840  0.817 -0.899  0.690 -0.899  0.572 -0.920  0.482 -1.009  0.370 -1.045  0.243 -1.045  0.116 -1.045  -0.010 -1.045  -0.137 -1.045
2#app#app35#app3563/t  0.298 1.976  0.298 1.801  0.194 1.668  0.094 1.534  0.094 1.358  0.094 1.183  0.094 1.007  0.094 0.831  0.094 0.656  0.094 0.480  0.094 0.304  0.094 0.129  0.094 -0.047  0.094 -0.223  0.094 -0.398  0.094 -0.574  0.094 -0.749  0.094 -0.925  0.094 -1.101  0.094 -1.276  0.094 -1.452  0.191 -1.588  0.287 -1.676  0.203 -1.521  0.119 -1.367  0.035 -1.213  -0.049 -1.059  -0.133 -0.905  -0.217 -0.751  -0.301 -0.596  -0.385 -0.442  -0.469 -0.288  -0.554 -0.134  -0.638 0.020  -0.722 0.175  -0.806 0.329  -0.890 0.483  -0.824 0.548  -0.670 0.497  -0.546 0.372  -0.382 0.344  -0.206 0.344  -0.030 0.344  0.145 0.344  0.321 0.344  0.496 0.344  0.672 0.344  0.806 0.244  0.939 0.140  1.115 0.140
2#app#app35#app3563/h  -0.538 1.939  -0.538 1.807  -0.538 1.675  -0.538 1.542  -0.538 1.410  -0.538 1.278  -0.538 1.146  -0.528 1.015  -0.496 0.886  -0.464 0.758  -0.432 0.630  -0.427 0.498  -0.427 0.366  -0.427 0.234  -0.427 0.101  -0.427 -0.031  -0.427 -0.163  -0.427 -0.295  -0.427 -0.428  -0.427 -0.560  -0.427 -0.692  -0.427 -0.824  -0.427 -0.957  -0.427 -1.020  -0.427 -0.887  -0.427 -0.755  -0.372 -0.639  -0.299 -0.529  -0.225 -0.419  -0.137 -0.321  -0.044 -0.228  0.050 -0.134  0.143 -0.041  0.237 0.053  0.258 0.165  0.390 0.165  0.522 0.165  0.654 0.165  0.756 0.091  0.829 -0.017  0.888 -0.135  0.904 -0.264  0.904 -0.396  0.904 -0.528  0.904 -0.661  0.904 -0.793  0.904 -0.925  0.984 -1.024  1.015 -1.144  1.015 -1.276
2#app#app35#app3563/e  -0.737 -0.565  -0.713 -0.426  -0.551 -0.426  -0.409 -0.375  -0.283 -0.287  -0.139 -0.243  -0.015 -0.149  0.147 -0.149  0.310 -0.149  0.443 -0.078  0.578 -0.010  0.714 0.054  0.845 0.129  0.927 0.210  1.032 0.267  1.066 0.396  1.066 0.559  1.066 0.721  1.066 0.884  0.980 0.961  0.927 1.070  0.794 1.099  0.631 1.099  0.469 1.099  0.306 1.099  0.153 1.059  0.007 0.986  -0.138 0.914  -0.283 0.841  -0.321 0.702  -0.423 0.581  -0.538 0.466  -0.653 0.351  -0.768 0.237  -0.876 0.119  -0.876 -0.044  -0.876 -0.206  -0.876 -0.369  -0.876 -0.532  -0.746 -0.565  -0.737 -0.718  -0.710 -0.869  -0.593 -0.981  -0.439 -1.001  -0.324 -1.116  -0.209 -1.231  -0.058 -1.258  0.061 -1.363  0.210 -1.397  0.372 -1.397
2#app#app35#app3563/r  -0.134 0.884  -0.229 0.789  -0.323 0.695  -0.341 0.569  -0.341 0.435  -0.341 0.301  -0.341 0.168  -0.341 0.034  -0.341 -0.099  -0.341 -0.233  -0.341 -0.367  -0.341 -0.500  -0.341 -0.634  -0.341 -0.767  -0.341 -0.901  -0.341 -1.035  -0.341 -1.168  -0.341 -1.302  -0.341 -1.436  -0.341 -1.569  -0.341 -1.484  -0.341 -1.350  -0.341 -1.216  -0.341 -1.083  -0.330 -0.952  -0.270 -0.832  -0.210 -0.713  -0.151 -0.593  -0.134 -0.464  -0.134 -0.330  -0.134 -0.196  -0.074 -0.088  0.020 0.007  0.072 0.119  0.072 0.253  0.126 0.373  0.186 0.493  0.246 0.612  0.278 0.738  0.278 0.872  0.364 0.970  0.459 1.064  0.582 1.090  0.691 1.114  0.691 1.248  0.776 1.297  0.910 1.297  1.043 1.297  1.177 1.297  1.311 1.297
