3#app#app07#app0752/P  0.009 0.160  0.009 0.008  0.009 -0.145  -0.053 -0.282  -0.070 -0.431  -0.084 -0.580  -0.149 -0.717  -0.184 -0.861  -0.253 -0.997  -0.307 -1.137  -0.307 -1.289  -0.307 -1.442  -0.307 -1.594  -0.313 -1.582  -0.387 -1.503  -0.387 -1.351  -0.387 -1.198  -0.387 -1.046  -0.387 -0.894  -0.387 -0.741  -0.387 -0.589  -0.387 -0.436  -0.387 -0.284  -0.387 -0.131  -0.387 0.021  -0.357 0.169  -0.309 0.313  -0.307 0.465  -0.263 0.611  -0.228 0.757  -0.212 0.906  -0.142 1.042  -0.058 1.168  0.009 1.300  0.083 1.422  0.234 1.428  0.386 1.428  0.523 1.389  0.643 1.333  0.682 1.190  0.722 1.047  0.722 0.895  0.722 0.742  0.722 0.590  0.669 0.450  0.576 0.331  0.539 0.190  0.485 0.050  0.394 -0.020  0.326 -0.157
3#app#app07#app0752/e  -0.847 -0.237  -0.675 -0.237  -0.502 -0.237  -0.329 -0.237  -0.309 -0.084  -0.163 -0.058  -0.031 0.041  0.050 0.181  0.087 0.338  0.209 0.460  0.229 0.625  0.367 0.660  0.409 0.791  0.409 0.964  0.409 1.137  0.298 1.198  0.229 1.303  0.131 1.378  -0.015 1.313  -0.130 1.188  -0.132 1.016  -0.254 0.894  -0.377 0.772  -0.499 0.650  -0.621 0.528  -0.716 0.385  -0.793 0.231  -0.847 0.071  -0.847 -0.102  -0.847 -0.275  -0.847 -0.447  -0.847 -0.620  -0.830 -0.775  -0.657 -0.775  -0.489 -0.780  -0.489 -0.953  -0.318 -0.955  -0.145 -0.955  0.028 -0.955  0.201 -0.955  0.358 -0.890  0.513 -0.813  0.677 -0.775  0.841 -0.739  0.995 -0.661  1.153 -0.596  1.326 -0.596  1.485 -0.583  1.492 -0.417  1.665 -0.417
3#app#app07#app0752/r  -0.576 -1.760  -0.576 -1.661  -0.576 -1.561  -0.576 -1.461  -0.576 -1.361  -0.576 -1.262  -0.576 -1.162  -0.576 -1.062  -0.576 -0.963  -0.576 -0.863  -0.576 -0.763  -0.576 -0.664  -0.576 -0.564  -0.576 -0.464  -0.523 -0.417  -0.423 -0.417  -0.352 -0.389  -0.352 -0.289  -0.352 -0.189  -0.352 -0.090  -0.352 0.010  -0.352 0.110  -0.352 0.209  -0.313 0.293  -0.242 0.363  -0.172 0.434  -0.128 0.516  -0.128 0.615  -0.128 0.715  -0.128 0.815  -0.128 0.914  -0.039 0.925  0.060 0.925  0.160 0.925  0.260 0.925  0.348 0.897  0.418 0.827  0.489 0.756  0.566 0.702  0.666 0.702  0.765 0.702  0.767 0.604  0.767 0.504  0.841 0.478  0.940 0.478  1.040 0.478  1.140 0.478  1.215 0.453  1.215 0.354  1.215 0.254
3#app#app07#app0752/h  0.518 2.034  0.518 1.916  0.518 1.798  0.518 1.680  0.518 1.562  0.507 1.449  0.424 1.365  0.379 1.256  0.336 1.147  0.292 1.037  0.248 0.927  0.199 0.820  0.146 0.715  0.093 0.609  0.040 0.504  -0.043 0.420  -0.127 0.337  -0.188 0.238  -0.241 0.132  -0.280 0.021  -0.317 -0.091  -0.360 -0.201  -0.412 -0.306  -0.481 -0.400  -0.533 -0.496  -0.533 -0.614  -0.596 -0.706  -0.629 -0.811  -0.629 -0.929  -0.533 -0.910  -0.503 -0.804  -0.412 -0.739  -0.308 -0.705  -0.225 -0.622  -0.151 -0.534  -0.135 -0.420  -0.082 -0.314  0.003 -0.261  0.121 -0.261  0.136 -0.364  0.136 -0.482  0.136 -0.600  0.136 -0.718  0.136 -0.836  0.136 -0.954  0.136 -1.072  0.184 -1.170  0.283 -1.217  0.401 -1.217  0.518 -1.217
3#app#app07#app0752/a  -0.138 1.080  -0.259 0.959  -0.348 0.823  -0.356 0.659  -0.528 0.659  -0.659 0.559  -0.781 0.437  -0.902 0.316  -1.024 0.194  -1.146 0.072  -1.299 0.027  -1.402 -0.042  -1.402 -0.214  -1.402 -0.386  -1.237 -0.394  -1.065 -0.394  -0.919 -0.333  -0.797 -0.211  -0.636 -0.184  -0.492 -0.117  -0.370 0.005  -0.207 0.027  -0.046 0.073  0.108 0.150  0.262 0.227  0.283 0.385  0.361 0.526  0.482 0.647  0.494 0.814  0.442 0.765  0.365 0.611  0.288 0.457  0.283 0.286  0.196 0.150  0.074 0.029  0.073 -0.143  0.166 -0.276  0.283 -0.400  0.283 -0.572  0.422 -0.605  0.594 -0.605  0.748 -0.648  0.870 -0.770  1.023 -0.815  1.175 -0.766  1.297 -0.645  1.452 -0.605  1.624 -0.605  1.796 -0.605  1.968 -0.605
3#app#app07#app0752/p  0.020 0.577  0.020 0.400  0.020 0.223  -0.004 0.057  -0.103 -0.079  -0.103 -0.256  -0.204 -0.390  -0.227 -0.558  -0.279 -0.713  -0.351 -0.860  -0.352 -1.037  -0.408 -1.204  -0.464 -1.372  -0.475 -1.547  -0.475 -1.724  -0.464 -1.650  -0.450 -1.473  -0.435 -1.297  -0.420 -1.121  -0.406 -0.945  -0.391 -0.769  -0.376 -0.593  -0.361 -0.416  -0.347 -0.240  -0.332 -0.064  -0.317 0.112  -0.303 0.288  -0.288 0.464  -0.273 0.640  -0.259 0.817  -0.244 0.993  -0.229 1.169  -0.078 1.196  0.099 1.196  0.268 1.204  0.329 1.320  0.506 1.320  0.683 1.320  0.763 1.224  0.869 1.090  0.887 0.921  0.887 0.744  0.887 0.568  0.843 0.409  0.718 0.284  0.593 0.159  0.468 0.034  0.343 -0.091  0.197 -0.166  0.020 -0.166
3#app#app07#app0752/s  0.606 1.421  0.495 1.421  0.384 1.421  0.305 1.343  0.227 1.264  0.144 1.198  0.033 1.198  -0.078 1.198  -0.188 1.198  -0.284 1.183  -0.284 1.072  -0.284 0.961  -0.284 0.850  -0.270 0.754  -0.159 0.754  -0.061 0.740  -0.061 0.630  -0.061 0.519  -0.061 0.408  -0.050 0.309  0.061 0.309  0.161 0.298  0.161 0.187  0.171 0.087  0.282 0.087  0.383 0.077  0.383 -0.033  0.383 -0.144  0.383 -0.255  0.383 -0.366  0.383 -0.476  0.383 -0.587  0.383 -0.698  0.377 -0.802  0.266 -0.802  0.161 -0.808  0.161 -0.919  0.156 -1.025  0.045 -1.025  -0.065 -1.025  -0.176 -1.025  -0.284 -1.028  -0.284 -1.139  -0.286 -1.247  -0.397 -1.247  -0.508 -1.247  -0.618 -1.247  -0.729 -1.247  -0.840 -1.247  -0.951 -1.247
3#app#app07#app0752/t  -1.668 -1.310  -1.487 -1.276  -1.336 -1.189  -1.159 -1.072  -1.007 -0.920  -0.831 -0.801  -0.665 -0.668  -0.513 -0.516  -0.326 -0.414  -0.171 -0.265  -0.062 -0.083  0.113 0.031  0.254 0.187  0.350 0.380  0.446 0.572  0.568 0.745  0.672 0.932  0.727 1.134  0.768 1.339  0.721 1.440  0.650 1.249  0.553 1.057  0.457 0.865  0.350 0.679  0.231 0.500  0.134 0.309  0.038 0.116  -0.054 -0.078  -0.122 -0.281  -0.190 -0.485  -0.224 -0.695  -0.224 -0.909  -0.224 -1.124  -0.044 -1.159  0.110 -1.220  0.215 -1.123  0.188 -0.910  0.162 -0.696  0.135 -0.483  0.108 -0.270  0.082 -0.057  0.055 0.156  0.028 0.370  0.002 0.583  -0.025 0.796  0.020 0.946  0.235 0.946  0.450 0.946  0.647 0.871  0.859 0.855
3#app#app07#app0752/h  0.873 1.476  0.943 1.546  0.890 1.565  0.873 1.483  0.832 1.393  0.787 1.305  0.743 1.216  0.698 1.127  0.631 1.055  0.560 0.985  0.490 0.915  0.420 0.845  0.350 0.775  0.292 0.694  0.237 0.612  0.182 0.529  0.127 0.447  0.072 0.364  0.017 0.281  -0.034 0.197  -0.079 0.108  -0.132 0.025  -0.202 -0.045  -0.272 -0.115  -0.342 -0.185  -0.399 -0.265  -0.443 -0.354  -0.501 -0.433  -0.571 -0.503  -0.641 -0.573  -0.711 -0.643  -0.754 -0.730  -0.786 -0.824  -0.817 -0.919  -0.822 -1.017  -0.728 -1.017  -0.658 -0.947  -0.569 -0.907  -0.475 -0.876  -0.381 -0.845  -0.309 -0.777  -0.220 -0.754  -0.143 -0.699  -0.058 -0.664  0.041 -0.664  0.140 -0.664  0.159 -0.745  0.200 -0.834  0.244 -0.923  0.249 -1.021
3#app#app07#app0752/e  -0.752 0.480  -0.752 0.330  -0.632 0.299  -0.482 0.299  -0.331 0.299  -0.180 0.299  -0.029 0.299  0.121 0.299  0.238 0.380  0.347 0.480  0.498 0.480  0.649 0.480  0.701 0.578  0.701 0.729  0.701 0.880  0.696 1.025  0.545 1.025  0.395 1.025  0.244 1.025  0.093 1.025  -0.048 1.002  -0.155 0.896  -0.284 0.843  -0.421 0.811  -0.527 0.705  -0.634 0.598  -0.741 0.492  -0.752 0.346  -0.752 0.195  -0.752 0.044  -0.752 -0.106  -0.752 -0.257  -0.752 -0.408  -0.752 -0.558  -0.682 -0.680  -0.575 -0.786  -0.426 -0.791  -0.309 -0.871  -0.200 -0.973  -0.050 -0.973  0.095 -1.013  0.238 -1.061  0.381 -1.108  0.524 -1.155  0.674 -1.155  0.825 -1.155  0.976 -1.155  1.126 -1.155  1.277 -1.155  1.428 -1.155
3#app#app07#app0752/g  0.289 1.356  0.153 1.299  0.041 1.187  -0.055 1.061  -0.148 0.941  -0.285 0.861  -0.397 0.748  -0.441 0.603  -0.497 0.457  -0.460 0.335  -0.379 0.256  -0.219 0.256  -0.060 0.256  0.063 0.344  0.187 0.441  0.321 0.524  0.378 0.660  0.446 0.791  0.525 0.918  0.525 1.077  0.604 1.083  0.604 0.924  0.604 0.765  0.635 0.618  0.682 0.478  0.682 0.319  0.682 0.160  0.682 0.000  0.682 -0.159  0.682 -0.319  0.663 -0.470  0.570 -0.597  0.484 -0.729  0.371 -0.841  0.258 -0.954  0.134 -1.053  0.001 -1.141  -0.118 -1.245  -0.261 -1.316  -0.420 -1.316  -0.580 -1.316  -0.733 -1.309  -0.817 -1.231  -0.890 -1.102  -0.951 -0.957  -0.968 -0.802  -0.968 -0.642  -0.879 -0.520  -0.767 -0.407  -0.654 -0.294
